# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.58
metadata : {}


# id : NWRW1800000044.58.1.1
SKT, 스미싱·스팸 막는 ‘T 전화’ 상용화

SKT,	SKT/SL+,/SP
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.58.6.1
티 전화는 이번 주 중 출시될 예정인 엘지전자 최신 스마트폰 G프로2에 선탑재돼 출시된다.

티	티/NNP
전화는	전화/NNG+는/JX
이번	이번/NNG
주	주/NNG
중	중/NNB
출시될	출시/NNG+되/XSV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
엘지전자	엘지전자/NNP
최신	최신/NNG
스마트폰	스마트폰/NNG
G프로2에	G프로2/NNP+에/JKB
선탑재돼	선탑재/NNG+되/XSV+어/EC
출시된다.	출시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.58.6.2
또 3월에는 팬택의 베가 시크릿업 이용 고객을 대상으로 소프트웨어 업그레이드가 진행될 예정이다.

또	또/MAG
3월에는	3/SN+월/NNB+에/JKB+는/JX
팬택의	팬택/NNP+의/JKG
베가	베가/NNP
시크릿업	시크릿업/NNP
이용	이용/NNG
고객을	고객/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
소프트웨어	소프트웨어/NNG
업그레이드가	업그레이드/NNG+가/JKS
진행될	진행/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.58.7.1
티 전화는 에스케이텔레콤이 휴대용 컴퓨터인 스마트폰에서 가장 편리하게 통화를 할 수 있도록 하겠다며 만든 플랫폼(앱)이다.

티	티/NNP
전화는	전화/NNG+는/JX
에스케이텔레콤이	에스케이텔레콤/NNP+이/JKS
휴대용	휴대/NNG+용/XSN
컴퓨터인	컴퓨터/NNG+이/VCP+ㄴ/ETM
스마트폰에서	스마트폰/NNG+에서/JKB
가장	가장/MAG
편리하게	편리/NNG+하/XSA+게/EC
통화를	통화/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하겠다며	하/VX+겠/EP+다며/EC
만든	만들/VV+ㄴ/ETM
플랫폼(앱)이다.	플랫폼/NNG+(/SS+앱/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000044.58.7.2
‘보험가입 권유’, ‘대출 유도’ 등 다른 이용자가 등록한 전화번호 평가를 공유해 불필요한 전화를 받지 않을 수 있고, 114 전화번호 안내를 통하지 않고서도 약 100만개의 번호를 위치 순으로 정렬해 찾아보며, 홈페이지·지도 등 관련 정보를 함께 확인할 수도 있다.

‘보험가입	‘/SS+보험/NNG+가입/NNG
권유’,	권유/NNG+’/SS+,/SP
‘대출	‘/SS+대출/NNG
유도’	유도/NNG+’/SS
등	등/NNB
다른	다른/MMD
이용자가	이용자/NNG+가/JKS
등록한	등록/NNG+하/XSV+ㄴ/ETM
전화번호	전화번호/NNG
평가를	평가/NNG+를/JKO
공유해	공유/NNG+하/XSV+아/EC
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
전화를	전화/NNG+를/JKO
받지	받/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
114	114/SN
안내를	안내/NNG+를/JKO
통하지	통하/VV+지/EC
않고서도	않/VX+고서/EC+도/JX
약	약/MMA
100만개의	100/SN+만/NR+개/NNB+의/JKG
번호를	번호/NNG+를/JKO
위치	위치/NNG
순으로	순/NNB+으로/JKB
정렬해	정렬/NNG+하/XSV+아/EC
찾아보며,	찾아보/VV+며/EC+,/SP
홈페이지·지도	홈페이지/NNG+·/SP+지도/NNG
관련	관련/NNG
정보를	정보/NNG+를/JKO
함께	함께/MAG
확인할	확인/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.58.7.3
첫 화면에는 번호판(키패드)이 아니라 가장 많이 통화하는 이들의 이름과 사진이 뜨고, 통화 뒤 대화내용 등을 메모할 수도 있다.

첫	첫/MMN
화면에는	화면/NNG+에/JKB+는/JX
번호판(키패드)이	번호판/NNG+(/SS+키패드/NNG+)/SS+이/JKC
아니라	아니/VCN+라/EC
가장	가장/MAG
많이	많이/MAG
통화하는	통화/NNG+하/XSV+는/ETM
이들의	이/NNB+들/XSN+의/JKG
이름과	이름/NNG+과/JC
사진이	사진/NNG+이/JKS
뜨고,	뜨/VV+고/EC+,/SP
통화	통화/NNG
뒤	뒤/NNG
대화내용	대화/NNG+내용/NNG
등을	등/NNB+을/JKO
메모할	메모/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.58.7.4
피시(PC)나 앱을 통해 따로 이용할 수 있던 기능들을 ‘전화’ 기능에 포함시킨 셈이다.

피시(PC)나	피시/NNG+(/SS+PC/SL+)/SS+나/JC
앱을	앱/NNG+을/JKO
통해	통하/VV+아/EC
따로	따로/MAG
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있던	있/VA+던/ETM
기능들을	기능/NNG+들/XSN+을/JKO
‘전화’	‘/SS+전화/NNG+’/SS
기능에	기능/NNG+에/JKB
포함시킨	포함/NNG+시키/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.58.8.1
회사 쪽은 20일부터 3월31일까지 티 전화 이용자들을 대상으로 즉석 응모를 통해 맥북에어와 아이패드, 문화상품권 등을 증정하는 경품행사를 연다.

회사	회사/NNG
쪽은	쪽/NNB+은/JX
20일부터	20/SN+일/NNB+부터/JX
3월31일까지	3/SN+월/NNB+31/SN+일/NNB+까지/JX
티	티/NNP
전화	전화/NNG
이용자들을	이용자/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
즉석	즉석/NNG
응모를	응모/NNG+를/JKO
통해	통하/VV+아/EC
맥북에어와	맥북에어/NNP+와/JC
아이패드,	아이패드/NNP+,/SP
문화상품권	문화/NNG+상품/NNG+권/XSN
등을	등/NNB+을/JKO
증정하는	증정/NNG+하/XSV+는/ETM
경품행사를	경품/NNG+행사/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.58.8.2
또 티 전화 모드를 1개월 이상 사용한 선착순 20만명에게 500MB 분량의 데이터 쿠폰을 제공한다고 밝혔다.

또	또/MAG
티	티/NNP
전화	전화/NNG
모드를	모드/NNG+를/JKO
1개월	1/SN+개월/NNB
이상	이상/NNG
사용한	사용/NNG+하/XSV+ㄴ/ETM
선착순	선착순/NNG
20만명에게	20/SN+만/NR+명/NNB+에게/JKB
500MB	500/SN+MB/SW
분량의	분량/NNG+의/JKG
데이터	데이터/NNG
쿠폰을	쿠폰/NNG+을/JKO
제공한다고	제공/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


