# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.228
metadata : {}


# id : NWRW1800000041.228.1.1
노인-장애인 보호구역 신호위반 범칙금 6만→12만원

노인-장애인	노인/NNG+-/SO+장애인/NNG
경찰이 노인·장애인 보호구역 가중 처벌을 결정한 이유는 ‘사고 줄이기’를 위해서다.

경찰이	경찰/NNG+이/JKS
노인·장애인	노인/NNG+·/SP+장애인/NNG
보호구역	보호/NNG+구역/NNG
가중	가중/NNG
처벌을	처벌/NNG+을/JKO
결정한	결정/NNG+하/XSV+ㄴ/ETM
이유는	이유/NNG+는/JX
‘사고	‘/SS+사고/NNG
줄이기’를	줄이/VV+기/ETN+’/SS+를/JKO
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000041.228.6.2
2010년 12월부터 이미 가중 처벌을 시행하는 어린이 보호구역의 교통사고 발생 건수는 2012년과 지난해 각각 16.3%와 6.3% 감소했다.

2010년	2010/SN+년/NNB
12월부터	12/SN+월/NNB+부터/JX
이미	이미/MAG
가중	가중/NNG
처벌을	처벌/NNG+을/JKO
시행하는	시행/NNG+하/XSV+는/ETM
어린이	어린이/NNG
보호구역의	보호/NNG+구역/NNG+의/JKG
교통사고	교통사고/NNG
발생	발생/NNG
건수는	건수/NNG+는/JX
2012년과	2012/SN+년/NNB+과/JC
지난해	지난해/NNG
각각	각각/MAG
16.3%와	16/SN+./SP+3/SN+%/SW+와/JC
6.3%	6/SN+./SP+3/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.228.6.3
경찰 관계자는 “노인이나 장애인 보호구역을 지정한 것도 어린이 보호구역과 동일한 ‘교통약자 배려’의 목적을 가진 만큼 실효성 확보를 위해 처벌을 강화했다”고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“노인이나	“/SS+노인/NNG+이나/JC
장애인	장애인/NNG
보호구역을	보호/NNG+구역/NNG+을/JKO
지정한	지정/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
어린이	어린이/NNG
보호구역과	보호/NNG+구역/NNG+과/JKB
동일한	동일/NNG+하/XSA+ㄴ/ETM
‘교통약자	‘/SS+교통/NNG+약자/NNG
배려’의	배려/NNG+’/SS+의/JKG
목적을	목적/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
만큼	만큼/NNB
실효성	실효/NNG+성/XSN
확보를	확보/NNG+를/JKO
위해	위하/VV+아/EC
처벌을	처벌/NNG+을/JKO
강화했다”고	강화/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.228.6.4
경찰에 따르면 전국적으로 노인 보호구역은 626곳, 장애인 보호구역은 35곳이 지정돼 있다.

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
전국적으로	전국/NNG+적/XSN+으로/JKB
노인	노인/NNG
보호구역은	보호/NNG+구역/NNG+은/JX
626곳,	626/SN+곳/NNG+,/SP
장애인	장애인/NNG
35곳이	35/SN+곳/NNG+이/JKS
지정돼	지정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.228.6.5
어린이 보호구역은 1만5444곳에 이른다.

어린이	어린이/NNG
보호구역은	보호/NNG+구역/NNG+은/JX
1만5444곳에	1/SN+만/NR+5444/SN+곳/NNG+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


