# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.5
metadata : {}


# id : NWRW1800000054.5.1.1
500만원대 1~2인용 전기차 시장 커진다

500만원대	500/SN+만/NR+원/NNB+대/XSN
크기다.	크기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.5.4.4
무게는 475.5㎏으로 스파크(910㎏) 절반 수준.

무게는	무게/NNG+는/JX
475.5㎏으로	475/SN+./SP+5/SN+㎏/SW+으로/JKB
스파크(910㎏)	스파크/NNG+(/SS+910/SN+㎏/SW+)/SS
절반	절반/NNG
수준.	수준/NNG+./SF


# id : NWRW1800000054.5.4.5
보통 1대 주차 공간에 2대를 세워놓을 수 있다고 한다.

보통	보통/MAG
1대	1/SN+대/NNB
주차	주차/NNG
공간에	공간/NNG+에/JKB
2대를	2/SN+대/NNB+를/JKO
세워놓을	세우/VV+어/EC+놓/VX+을/ETM
수	수/NNB
있다고	있/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.5.4.6
1회 충전 거리는 55㎞.

1회	1/SN+회/NNB
충전	충전/NNG
거리는	거리/NNG+는/JX
55㎞.	55/SN+㎞/SW+./SF


# id : NWRW1800000054.5.4.7
생김새는 오토바이와 비슷하고 2012년 프랑스에서 먼저 나와 지금껏 2만대가량 팔렸다.

생김새는	생김새/NNG+는/JX
오토바이와	오토바이/NNG+와/JKB
비슷하고	비슷하/VA+고/EC
2012년	2012/SN+년/NNB
프랑스에서	프랑스/NNP+에서/JKB
먼저	먼저/MAG
나와	나오/VV+아/EC
지금껏	지금껏/MAG
2만대가량	2/SN+만/NR+대/NNB+가량/XSN
팔렸다.	팔리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.5.4.8
르노삼성 담당자는 "정식 가격은 1500만원에 달하지만 정부와 지자체 보조금을 받으면 최저 422만원(대구시 기준)에 구입할 수 있다"며 "국내에서도 지난달 사전 계약분 1200대를 '완판'했다"고 말했다.

르노삼성	르노삼성/NNP
담당자는	담당자/NNG+는/JX
"정식	"/SS+정식/NNG
가격은	가격/NNG+은/JX
1500만원에	1500/SN+만/NR+원/NNB+에/JKB
달하지만	달하/VV+지만/EC
정부와	정부/NNG+와/JC
지자체	지자체/NNG
보조금을	보조금/NNG+을/JKO
받으면	받/VV+으면/EC
최저	최저/NNG
422만원(대구시	422/SN+만/NR+원/NNB+(/SS+대구시/NNP
기준)에	기준/NNG+)/SS+에/JKB
구입할	구입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"국내에서도	"/SS+국내/NNG+에서/JKB+도/JX
지난달	지난달/NNG
사전	사전/NNG
계약분	계약/NNG+분/XSN
1200대를	1200/SN+대/NNB+를/JKO
'완판'했다"고	'/SS+완판/NNG+'/SS+하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.5.4.9
근거리 출퇴근용으로 쓰려는 젊은층이나 값이 상대적으로 비싼 기존 차량을 구입하기 부담스러운 노년층이 주로 이 차를 구입한 것으로 나타났다.

근거리	근거리/NNG
출퇴근용으로	출퇴근/NNG+용/XSN+으로/JKB
쓰려는	쓰/VV+려는/ETM
젊은층이나	젊/VA+은/ETM+층/NNG+이나/JC
값이	값/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
비싼	비싸/VA+ㄴ/ETM
기존	기존/NNG
차량을	차량/NNG+을/JKO
구입하기	구입/NNG+하/XSV+기/ETN
부담스러운	부담/NNG+스럽/XSA+ㄴ/ETM
노년층이	노년/NNG+층/XSN+이/JKS
주로	주로/MAG
이	이/MMD
차를	차/NNG+를/JKO
구입한	구입/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.5.5.1
초소형 전기차 시장엔 국내 중소기업들도 하나둘 출사표를 내밀었다.

초소형	초/XPN+소형/NNG
전기차	전기/NNG+차/NNG
시장엔	시장/NNG+에/JKB+ㄴ/JX
국내	국내/NNG
중소기업들도	중소기업/NNG+들/XSN+도/JX
하나둘	하나둘/NNG
출사표를	출사표/NNG+를/JKO
내밀었다.	내밀/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.5.5.2
골프 카트와 야쿠르트 전동카를 주로 만들었던 대창모터스는 7월 초소형 전기차 '다니고'를 출시할 계획이다.

골프	골프/NNG
카트와	카트/NNG+와/JC
야쿠르트	야쿠르트/NNP
전동카를	전동/NNG+카/NNG+를/JKO
주로	주로/MAG
만들었던	만들/VV+었/EP+던/ETM
대창모터스는	대창모터스/NNP+는/JX
7월	7/SN+월/NNB
초소형	초/XPN+소형/NNG
전기차	전기/NNG+차/NNG
'다니고'를	'/SS+다니고/NNP+'/SS+를/JKO
출시할	출시/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.5.5.3
지난달 세종시에 초소형 전기차 공장을 세운 쎄미시스코도 소형 전기차 'R3G' 출시를 앞두고 있다.

지난달	지난달/NNG
세종시에	세종시/NNP+에/JKB
초소형	초/XPN+소형/NNG
전기차	전기/NNG+차/NNG
공장을	공장/NNG+을/JKO
세운	세우/VV+ㄴ/ETM
쎄미시스코도	쎄미시스코/NNP+도/JX
소형	소형/NNG
'R3G'	'/SS+R/SL+3/SN+G/SL+'/SS
출시를	출시/NNG+를/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.5.5.4
국내 카메라 모듈 전문업체 캠시스는 지난 3월 서울모터쇼에서 초소형 전기차 'PM-100'을 공개하고 내년 2분기 출시를 발표했으며, ㈜새안 역시 조만간 초소형 전기차를 내놓을 예정이다.

국내	국내/NNG
카메라	카메라/NNG
모듈	모듈/NNG
전문업체	전문/NNG+업체/NNG
캠시스는	캠시스/NNP+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
서울모터쇼에서	서울/NNP+모터쇼/NNG+에서/JKB
초소형	초/XPN+소형/NNG
전기차	전기/NNG+차/NNG
'PM-100'을	'/SS+PM/SL+-/SO+100/SN+'/SS+을/JKO
공개하고	공개/NNG+하/XSV+고/EC
내년	내년/NNG
2분기	2/SN+분기/NNG
출시를	출시/NNG+를/JKO
발표했으며,	발표/NNG+하/XSV+았/EP+으며/EC+,/SP
㈜새안	㈜/SW+새안/NNP
역시	역시/MAG
조만간	조만간/MAG
전기차를	전기/NNG+차/NNG+를/JKO
내놓을	내놓/VV+을/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.5.6.1
이 업체들이 출시하는 초소형 전기차는 대부분 1~2인용이고, 충전 시간은 가정용 220V로 보통 3시간 반 정도 걸린다.

이	이/MMD
업체들이	업체/NNG+들/XSN+이/JKS
출시하는	출시/NNG+하/XSV+는/ETM
초소형	초/XPN+소형/NNG
전기차는	전기/NNG+차/NNG+는/JX
대부분	대/XPN+부분/NNG
1~2인용이고,	1/SN+~/SO+2/SN+인/NNG+용/XSN+이/VCP+고/EC+,/SP
충전	충전/NNG
시간은	시간/NNG+은/JX
가정용	가정/NNG+용/XSN
220V로	220/SN+V/SW+로/JKB
보통	보통/MAG
3시간	3/SN+시간/NNB
반	반/NNG
정도	정도/NNG
걸린다.	걸리/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.5.6.2
1회 충전으로 보통 50㎞ 정도 이동할 수 있다.

1회	1/SN+회/NNB
충전으로	충전/NNG+으로/JKB
보통	보통/MAG
50㎞	50/SN+㎞/SW
정도	정도/NNG
이동할	이동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.5.6.3
자동차 업계 관계자는 "초소형 전기차는 엔진 등 고도의 기술이 필요한 내연기관을 따로 개발할 필요가 없고, 골프 카트 등 기존 소형 전기차들과 기본 구조가 같아 진입 장벽이 낮은 편"이라며 "택배 오토바이나 소형 트럭 등 배달과 업무용 소형 차량 시장을 노리고 있다"고 설명했다.

자동차	자동차/NNG
업계	업계/NNG
관계자는	관계자/NNG+는/JX
"초소형	"/SS+초/XPN+소형/NNG
전기차는	전기/NNG+차/NNG+는/JX
엔진	엔진/NNG
등	등/NNB
고도의	고도/NNG+의/JKG
기술이	기술/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
내연기관을	내연/NNG+기관/NNG+을/JKO
따로	따로/MAG
개발할	개발/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없고,	없/VA+고/EC+,/SP
골프	골프/NNG
카트	카트/NNG
기존	기존/NNG
소형	소형/NNG
전기차들과	전기/NNG+차/NNG+들/XSN+과/JKB
기본	기본/NNG
구조가	구조/NNG+가/JKS
같아	같/VA+아/EC
진입	진입/NNG
장벽이	장벽/NNG+이/JKS
낮은	낮/VA+은/ETM
편"이라며	편/NNB+"/SS+이/VCP+라며/EC
"택배	"/SS+택배/NNG
오토바이나	오토바이/NNG+나/JC
트럭	트럭/NNG
배달과	배달/NNG+과/JC
업무용	업무/NNG+용/XSN
차량	차량/NNG
시장을	시장/NNG+을/JKO
노리고	노리/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.5.6.4
이항구 산업연구원 선임연구위원은 "단거리는 소형 이동 장치를 이용하고, 장거리는 대중교통을 이용하는 '퍼스널 모빌리티'의 한 추세로 볼 수 있다"며 "앞으로 소형 전기차 시장이 커질 수 있을 것으로 보인다"고 말했다.

이항구	이항구/NNP
산업연구원	산업/NNG+연구원/NNG
선임연구위원은	선임/NNG+연구/NNG+위원/NNG+은/JX
"단거리는	"/SS+단거리/NNG+는/JX
소형	소형/NNG
이동	이동/NNG
장치를	장치/NNG+를/JKO
이용하고,	이용/NNG+하/XSV+고/EC+,/SP
장거리는	장거리/NNG+는/JX
대중교통을	대중교통/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
'퍼스널	'/SS+퍼스널/NNG
모빌리티'의	모빌리티/NNG+'/SS+의/JKG
한	한/MMN
추세로	추세/NNG+로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"앞으로	"/SS+앞/NNG+으로/JKB
전기차	전기/NNG+차/NNG
시장이	시장/NNG+이/JKS
커질	커지/VV+ㄹ/ETM
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


