# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.138
metadata : {}


# id : NWRW1800000049.138.1.1
선사문명 꽃피운 송국리문화, 왜 사라졌나

선사문명	선사/NNG+문명/NNG
# id : NWRW1800000049.138.6.3
쉽게 말해 원형덧띠토기문화보다 인구가 많고 문명 수준도 상대적으로 높았던 송국리문화가 왜 갑자기 소멸했는지에 대해 학자들이 아직까지 답을 찾지 못했다는 얘기다.

쉽게	쉽/VA+게/EC
말해	말/NNG+하/XSV+아/EC
원형덧띠토기문화보다	원형덧띠토기/NNG+문화/NNG+보다/JKB
인구가	인구/NNG+가/JKS
많고	많/VA+고/EC
문명	문명/NNG
수준도	수준/NNG+도/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
높았던	높/VA+았/EP+던/ETM
송국리문화가	송국리/NNP+문화/NNG+가/JKS
왜	왜/MAG
갑자기	갑자기/MAG
소멸했는지에	소멸/NNG+하/XSV+았/EP+는지/EF+에/JKB
대해	대하/VV+아/EC
학자들이	학자/NNG+들/XSN+이/JKS
아직까지	아직/MAG+까지/JX
답을	답/NNG+을/JKO
찾지	찾/VV+지/EC
못했다는	못하/VX+았/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.138.7.1
1975년 충남 부여군 송국리 발굴조사에서 처음 존재가 드러난 송국리문화는 원형 주거지와 특유의 민무늬토기(송국리형 토기)를 핵심적인 특징으로 갖고 있다.

1975년	1975/SN+년/NNB
충남	충남/NNP
부여군	부여군/NNP
송국리	송국리/NNP
발굴조사에서	발굴/NNG+조사/NNG+에서/JKB
처음	처음/NNG
존재가	존재/NNG+가/JKS
드러난	드러나/VV+ㄴ/ETM
송국리문화는	송국리/NNP+문화/NNG+는/JX
원형	원형/NNG
주거지와	주거지/NNG+와/JC
특유의	특유/NNG+의/JKG
민무늬토기(송국리형	민무늬토기/NNG+(/SS+송국리/NNP+형/XSN
토기)를	토기/NNG+)/SS+를/JKO
핵심적인	핵심/NNG+적/XSN+이/VCP+ㄴ/ETM
특징으로	특징/NNG+으로/JKB
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.138.7.2
송국리형 주거지는 안쪽 중앙에 2개의 기둥구멍이 나 있는 타원형 구덩이가 있는데, 광주 송암동, 충남 서산시 휴암리, 전남 영암군 장천리 등 남부지방 일대에서 대거 발견됐다.

송국리형	송국리/NNP+형/XSN
주거지는	주거지/NNG+는/JX
안쪽	안쪽/NNG
중앙에	중앙/NNG+에/JKB
2개의	2/SN+개/NNB+의/JKG
기둥구멍이	기둥/NNG+구멍/NNG+이/JKS
나	나/VV+아/EC
있는	있/VX+는/ETM
타원형	타원/NNG+형/XSN
구덩이가	구덩이/NNG+가/JKS
있는데,	있/VA+는데/EC+,/SP
광주	광주/NNP
송암동,	송암동/NNP+,/SP
충남	충남/NNP
서산시	서산시/NNP
휴암리,	휴암리/NNP+,/SP
전남	전남/NNP
영암군	영암군/NNP
장천리	장천리/NNP
등	등/NNB
남부지방	남부/NNG+지방/NNG
일대에서	일대/NNG+에서/JKB
대거	대거/MAG
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.138.7.3
원형덧띠토기문화는 둥그런 단면의 덧띠를 아가리에 말아 붙인 토기를 사용하는 문화로 경기 남양주시 수석동, 대전 괴정동, 충남 아산시 남성리 등에서 발견됐다.

원형덧띠토기문화는	원형덧띠토기/NNG+문화/NNG+는/JX
둥그런	둥그렇/VA+ㄴ/ETM
단면의	단면/NNG+의/JKG
덧띠를	덧띠/NNG+를/JKO
아가리에	아가리/NNG+에/JKB
말아	말/VV+아/EC
붙인	붙이/VV+ㄴ/ETM
토기를	토기/NNG+를/JKO
사용하는	사용/NNG+하/XSV+는/ETM
문화로	문화/NNG+로/JKB
경기	경기/NNP
남양주시	남양주시/NNP
수석동,	수석동/NNP+,/SP
대전	대전/NNP
괴정동,	괴정동/NNP+,/SP
충남	충남/NNP
아산시	아산시/NNP
남성리	남성리/NNP
등에서	등/NNB+에서/JKB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.138.8.1
학계 다수는 원형덧띠토기문화가 중국 랴오닝(遼寧) 지역에 기원을 두고 있으며, 이곳 이주민들에 의해 한반도 남부까지 전파된 것으로 추정한다.

학계	학계/NNG
다수는	다수/NNG+는/JX
원형덧띠토기문화가	원형덧띠토기/NNG+문화/NNG+가/JKS
중국	중국/NNP
랴오닝(遼寧)	랴오닝/NNP+(/SS+遼寧/SH+)/SS
지역에	지역/NNG+에/JKB
기원을	기원/NNG+을/JKO
두고	두/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
이곳	이곳/NP
이주민들에	이주민/NNG+들/XSN+에/JKB
의해	의하/VV+아/EC
한반도	한반도/NNP
남부까지	남부/NNG+까지/JX
전파된	전파/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정한다.	추정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.138.8.2
박순발 충남대 교수(고고학)는 1990년대 발표한 논문에서 연나라 장수 진개의 고조선 침공을 계기로 랴오닝 지역 이주민이 서해안을 따라 남하함에 따라 한반도에 원형덧띠토기가 출현했다고 주장했다.

박순발	박순발/NNP
충남대	충남대/NNP
교수(고고학)는	교수/NNG+(/SS+고고학/NNG+)/SS+는/JX
1990년대	1990/SN+년대/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
논문에서	논문/NNG+에서/JKB
연나라	연나라/NNP
장수	장수/NNG
진개의	진개/NNP+의/JKG
고조선	고조선/NNP
침공을	침공/NNG+을/JKO
계기로	계기/NNG+로/JKB
랴오닝	랴오닝/NNP
지역	지역/NNG
이주민이	이주민/NNG+이/JKS
서해안을	서해안/NNP+을/JKO
따라	따르/VV+아/EC
남하함에	남하/NNG+하/XSV+ㅁ/ETN+에/JKB
한반도에	한반도/NNP+에/JKB
원형덧띠토기가	원형덧띠토기/NNG+가/JKS
출현했다고	출현/NNG+하/XSV+았/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.138.9.1
일각에서는 원형덧띠토기문화가 이미 한반도에 자리 잡고 있던 송국리문화를 소멸시킨 것으로 본다.

일각에서는	일각/NNG+에서/JKB+는/JX
원형덧띠토기문화가	원형덧띠토기/NNG+문화/NNG+가/JKS
이미	이미/MAG
한반도에	한반도/NNP+에/JKB
자리	자리/NNG
잡고	잡/VV+고/EC
있던	있/VX+던/ETM
송국리문화를	송국리/NNP+문화/NNG+를/JKO
소멸시킨	소멸/NNG+시키/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.138.9.2
굴러온 돌이 박힌 돌을 빼낸 셈이다.

굴러온	굴러오/VV+ㄴ/ETM
돌이	돌/NNG+이/JKS
박힌	박히/VV+ㄴ/ETM
돌을	돌/NNG+을/JKO
빼낸	빼내/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.138.9.3
평지에 제법 큰 규모의 주거지를 지은 송국리문화와 달리, 방어에 유리한 구릉지대에 정착한 원형덧띠토기문화의 행태가 특히 눈길을 끈다.

평지에	평지/NNG+에/JKB
제법	제법/MAG
큰	크/VA+ㄴ/ETM
규모의	규모/NNG+의/JKG
주거지를	주거지/NNG+를/JKO
지은	짓/VV+은/ETM
송국리문화와	송국리/NNP+문화/NNG+와/JKB
달리,	달리/MAG+,/SP
방어에	방어/NNG+에/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
구릉지대에	구릉/NNG+지대/NNG+에/JKB
정착한	정착/NNG+하/XSV+ㄴ/ETM
원형덧띠토기문화의	원형덧띠토기/NNG+문화/NNG+의/JKG
행태가	행태/NNG+가/JKS
특히	특히/MAG
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.138.9.4
이주민들이 평지에 있던 원주민과 동화되지 못하고 갈등을 벌인 게 아니냐는 얘기다.

이주민들이	이주민/NNG+들/XSN+이/JKS
평지에	평지/NNG+에/JKB
있던	있/VA+던/ETM
원주민과	원주민/NNG+과/JKB
동화되지	동화/NNG+되/XSV+지/EC
못하고	못하/VX+고/EC
갈등을	갈등/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.138.9.5
그러나 최근 송국리식 주거지에서도 원형덧띠토기가 출토된 사례가 발견되고 있어 새로운 해석이 필요하다는 주장도 제기된다.

그러나	그러나/MAJ
최근	최근/NNG
송국리식	송국리식/NNG
주거지에서도	주거지/NNG+에서/JKB+도/JX
원형덧띠토기가	원형덧띠토기/NNG+가/JKS
출토된	출토/NNG+되/XSV+ㄴ/ETM
사례가	사례/NNG+가/JKS
발견되고	발견/NNG+되/XSV+고/EC
있어	있/VX+어/EC
새로운	새롭/VA+ㄴ/ETM
해석이	해석/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
주장도	주장/NNG+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.138.10.1
흥미로운 것은 일본의 경우 원형덧띠토기가 평지에 있는 야요이문화 주거지에서 주로 발견된다는 점이다.

흥미로운	흥미/NNG+롭/XSA+ㄴ/ETM
것은	것/NNB+은/JX
일본의	일본/NNP+의/JKG
경우	경우/NNG
원형덧띠토기가	원형덧띠토기/NNG+가/JKS
평지에	평지/NNG+에/JKB
있는	있/VA+는/ETM
야요이문화	야요이/NNP+문화/NNG
주거지에서	주거지/NNG+에서/JKB
주로	주로/MAG
발견된다는	발견/NNG+되/XSV+ㄴ다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.138.10.2
일본 열도로 이주한 원형덧띠토기인들은 점점 야요이문화에 동화, 흡수돼 가는 현상을 보이고 있다.

일본	일본/NNP
열도로	열도/NNG+로/JKB
이주한	이주/NNG+하/XSV+ㄴ/ETM
원형덧띠토기인들은	원형덧띠토기인/NNG+들/XSN+은/JX
점점	점점/MAG
야요이문화에	야요이/NNP+문화/NNG+에/JKB
동화,	동화/NNG+,/SP
흡수돼	흡수/NNG+되/XSV+어/EC
가는	가/VX+는/ETM
현상을	현상/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.138.10.3
평지로 나아가지 못하고 구릉지대에 점점이 모여 살던 한반도의 원형덧띠토기문화와 대조적인 모습이다.

평지로	평지/NNG+로/JKB
나아가지	나아가/VV+지/EC
못하고	못하/VX+고/EC
구릉지대에	구릉/NNG+지대/NNG+에/JKB
점점이	점점이/MAG
모여	모이/VV+어/EC
살던	살/VV+던/ETM
한반도의	한반도/NNP+의/JKG
원형덧띠토기문화와	원형덧띠토기/NNG+문화/NNG+와/JKB
대조적인	대조/NNG+적/XSN+이/VCP+ㄴ/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.138.11.1
이창희 교수는 “대규모 취락을 형성하고 안정적인 생활을 영위한 송국리문화인들이 갑자기 사라진 이유에 대해 인구 감소 가능성이 논의되지만 여전히 의문”이라고 말했다.

이창희	이창희/NNP
교수는	교수/NNG+는/JX
“대규모	“/SS+대/XPN+규모/NNG
취락을	취락/NNG+을/JKO
형성하고	형성/NNG+하/XSV+고/EC
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
생활을	생활/NNG+을/JKO
영위한	영위/NNG+하/XSV+ㄴ/ETM
송국리문화인들이	송국리/NNP+문화인/NNG+들/XSN+이/JKS
갑자기	갑자기/MAG
사라진	사라지/VV+ㄴ/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
인구	인구/NNG
감소	감소/NNG
가능성이	가능/NNG+성/XSN+이/JKS
논의되지만	논의/NNG+되/XSV+지만/EC
여전히	여전히/MAG
의문”이라고	의문/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


