# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.134
metadata : {}


# id : NWRW1800000033.134.1.1
[청년드림… 진로교육이 미래다]<6>독일의 3종류 중등학교

[청년드림…	[/SS+청년/NNG+드림/NNG+…/SE
방문한	방문/NNG+하/XSV+ㄴ/ETM
헤센	헤센/NNP
주	주/NNG
비스바덴	비스바덴/NNP
시의	시/NNG+의/JKG
게슈비스터	게슈비스터/NNP
숄	숄/NNP
그룬트슐레에는	그룬트슐레/NNG+에/JKB+는/JX
1,	1/SN+,/SP
2학년	2/SN+학년/NNG
학생들이	학생/NNG+들/XSN+이/JKS
체육관과	체육관/NNG+과/JC
교실에서	교실/NNG+에서/JKB
자유롭게	자유/NNG+롭/XSA+게/EC
뛰놀고	뛰놀/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.134.5.2
저학년 수업은 간단한 읽기와 쓰기, 셈하기가 전부다.

저학년	저/XPN+학년/NNG
수업은	수업/NNG+은/JX
간단한	간단하/VA+ㄴ/ETM
읽기와	읽/VV+기/ETN+와/JC
쓰기,	쓰/VV+기/ETN+,/SP
셈하기가	셈/NNG+하/XSV+기/ETN+가/JKS
전부다.	전부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.134.5.3
3학년 교실에서는 컴퓨터를 활용한 수학과 학생들끼리 퀴즈를 내며 익히는 영어단어 공부가 한창이었다.

3학년	3/SN+학년/NNG
교실에서는	교실/NNG+에서/JKB+는/JX
컴퓨터를	컴퓨터/NNG+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
수학과	수학/NNG+과/JC
학생들끼리	학생/NNG+들/XSN+끼리/XSN
퀴즈를	퀴즈/NNG+를/JKO
내며	내/VV+며/EC
익히는	익히/VV+는/ETM
영어단어	영어/NNP+단어/NNG
공부가	공부/NNG+가/JKS
한창이었다.	한창/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.134.5.4
헤센 주 교육청은 모든 초등학교 3학년을 대상으로 학년말 독일어와 수학 학업성취도 평가를 한 뒤 4학년 진로 지도에 참고한다.

헤센	헤센/NNP
주	주/NNG
교육청은	교육청/NNG+은/JX
모든	모든/MMN
초등학교	초등학교/NNG
3학년을	3/SN+학년/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
학년말	학년말/NNG
독일어와	독일어/NNP+와/JC
수학	수학/NNG
학업성취도	학업/NNG+성취도/NNG
평가를	평가/NNG+를/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
4학년	4/SN+학년/NNG
진로	진로/NNG
지도에	지도/NNG+에/JKB
참고한다.	참고/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.134.6.1
4학년 때 공부에 두각을 나타내는 학생은 교사가 김나지움 진학을 권한다.

4학년	4/SN+학년/NNG
때	때/NNG
공부에	공부/NNG+에/JKB
두각을	두각/NNG+을/JKO
나타내는	나타내/VV+는/ETM
학생은	학생/NNG+은/JX
교사가	교사/NNG+가/JKS
김나지움	김나지움/NNG
진학을	진학/NNG+을/JKO
권한다.	권/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.134.6.2
나머지 학생은 대부분 레알슐레에 진학하지만 성적이 특히 나쁜 학생은 하우프트슐레로 간다.

나머지	나머지/NNG
학생은	학생/NNG+은/JX
대부분	대/XPN+부분/NNG
레알슐레에	레알슐레/NNG+에/JKB
진학하지만	진학/NNG+하/XSV+지만/EC
성적이	성적/NNG+이/JKS
특히	특히/MAG
나쁜	나쁘/VA+ㄴ/ETM
하우프트슐레로	하우프트슐레/NNP+로/JKB
간다.	가/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.134.6.3
에레나 붼 교장은 “교사와 학부모, 학생이 평소에 자주 상담을 하면서 진로를 확정한다. 기술인력의 임금 수준이 높아 실업계 진학을 흔쾌히 받아들인다”고 전했다.

에레나	에레나/NNP
붼	붼/NNP
교장은	교장/NNG+은/JX
“교사와	“/SS+교사/NNG+와/JC
학부모,	학부모/NNG+,/SP
학생이	학생/NNG+이/JKS
평소에	평소/NNG+에/JKB
자주	자주/MAG
상담을	상담/NNG+을/JKO
하면서	하/VV+면서/EC
진로를	진로/NNG+를/JKO
확정한다.	확정/NNG+하/XSV+ㄴ다/EF+./SF
기술인력의	기술/NNG+인력/NNG+의/JKG
임금	임금/NNG
수준이	수준/NNG+이/JKS
높아	높/VA+아/EC
실업계	실업/NNG+계/XSN
진학을	진학/NNG+을/JKO
흔쾌히	흔쾌히/MAG
받아들인다”고	받아들이/VV+ㄴ다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.134.6.4
다만 독일에서는 최근 고학력 선호 현상이 생겨 김나지움에 가려는 학생과 학부모가 늘어나는 추세다.

다만	다만/MAG
독일에서는	독일/NNP+에서/JKB+는/JX
최근	최근/NNG
고학력	고/XPN+학력/NNG
선호	선호/NNG
현상이	현상/NNG+이/JKS
생겨	생기/VV+어/EC
김나지움에	김나지움/NNG+에/JKB
가려는	가/VV+려는/ETM
학생과	학생/NNG+과/JC
학부모가	학부모/NNG+가/JKS
늘어나는	늘어나/VV+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.134.7.1
학생의 진로를 너무 빨리 결정짓는다는 지적에도 이 같은 시스템이 유지되는 데는 비결이 있다.

학생의	학생/NNG+의/JKG
진로를	진로/NNG+를/JKO
너무	너무/MAG
빨리	빨리/MAG
결정짓는다는	결정짓/VV+는다는/ETM
지적에도	지적/NNG+에/JKB+도/JX
이	이/NP
같은	같/VA+은/ETM
시스템이	시스템/NNG+이/JKS
유지되는	유지/NNG+되/XSV+는/ETM
데는	데/NNB+는/JX
비결이	비결/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.134.7.2
인문계나 실업계로 진학한 뒤에도 언제든지 쉽게 전학해 진로를 바꿀 수 있다는 것이다.

인문계나	인문/NNG+계/XSN+나/JC
실업계로	실업/NNG+계/XSN+로/JKB
진학한	진학/NNG+하/XSV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
언제든지	언제/NP+든지/JX
쉽게	쉽/VA+게/EC
전학해	전학/NNG+하/XSV+아/EC
진로를	진로/NNG+를/JKO
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.134.7.3
일부 주에서는 인문계와 실업계를 합쳐 원하는 교육과정을 고를 수 있도록 종합학교도 운영한다.

일부	일부/NNG
주에서는	주/NNG+에서/JKB+는/JX
인문계와	인문/NNG+계/XSN+와/JC
실업계를	실업/NNG+계/XSN+를/JKO
합쳐	합치/VV+어/EC
원하는	원/NNG+하/XSV+는/ETM
교육과정을	교육/NNG+과정/NNG+을/JKO
고를	고르/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
종합학교도	종합/NNG+학교/NNG+도/JX
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.134.7.4
프랑크푸르트 인근 마인츠코스트하임 시에 있는 빌헬름로이슈너 슐레가 이런 학교다.

프랑크푸르트	프랑크푸르트/NNP
인근	인근/NNG
마인츠코스트하임	마인츠코스트하임/NNP
시에	시/NNG+에/JKB
있는	있/VA+는/ETM
빌헬름로이슈너	빌헬름로이슈너/NNP
슐레가	슐레/NNG+가/JKS
이런	이런/MMD
학교다.	학교/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.134.8.1
이 학교는 5∼10학년 동안 학업과 직업체험을 병행한다.

이	이/MMD
학교는	학교/NNG+는/JX
5∼10학년	5/SN+∼/SO+10/SN+학년/NNG
동안	동안/NNG
학업과	학업/NNG+과/JC
직업체험을	직업/NNG+체험/NNG+을/JKO
병행한다.	병행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.134.8.2
7학년부터는 제빵 외국어 기계 목공 등 가능한 한 선택과목을 많이 배치해 학생이 적성에 따라 과목을 고르게 한다.

7학년부터는	7/SN+학년/NNG+부터/JX+는/JX
제빵	제빵/NNG
외국어	외국어/NNG
기계	기계/NNG
목공	목공/NNG
등	등/NNB
가능한	가능/NNG+하/XSA+ㄴ/ETM
한	한/NNG
선택과목을	선택/NNG+과목/NNG+을/JKO
많이	많이/MAG
배치해	배치/NNG+하/XSV+아/EC
학생이	학생/NNG+이/JKS
적성에	적성/NNG+에/JKB
따라	따르/VV+아/EC
과목을	과목/NNG+을/JKO
고르게	고르/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.134.8.3
이를 위해 인근 4개 학교가 협력해 수업을 진행한다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
인근	인근/NNG
4개	4/SN+개/NNB
학교가	학교/NNG+가/JKS
협력해	협력/NNG+하/XSV+아/EC
수업을	수업/NNG+을/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.134.8.4
7, 8학년 때는 의무적으로 2주씩 직업 체험을 한다.

7,	7/SN+,/SP
8학년	8/SN+학년/NNG
때는	때/NNG+는/JX
의무적으로	의무/NNG+적/XSN+으로/JKB
2주씩	2/SN+주/NNB+씩/XSN
직업	직업/NNG
체험을	체험/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.134.8.5
학생이 직접 인근 기업에 지원서를 내며 이 과정에서 학교에 상주하는 사회복지사가 도움을 준다.

학생이	학생/NNG+이/JKS
직접	직접/MAG
인근	인근/NNG
기업에	기업/NNG+에/JKB
지원서를	지원서/NNG+를/JKO
내며	내/VV+며/EC
이	이/MMD
과정에서	과정/NNG+에서/JKB
학교에	학교/NNG+에/JKB
상주하는	상주/NNG+하/XSV+는/ETM
사회복지사가	사회/NNG+복지사/NNG+가/JKS
도움을	도움/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.134.9.1
9학년을 마친 학생 중 60% 정도는 하우프트슐레 졸업생처럼 곧바로 취업을 하고 나머지 학생은 10학년을 졸업한 뒤 취업을 하거나 김나지움으로 옮겨 대학입시를 준비한다.

9학년을	9/SN+학년/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
학생	학생/NNG
중	중/NNB
60%	60/SN+%/SW
정도는	정도/NNG+는/JX
하우프트슐레	하우프트슐레/NNP
졸업생처럼	졸업/NNG+생/XSN+처럼/JKB
곧바로	곧바로/MAG
취업을	취업/NNG+을/JKO
하고	하/VV+고/EC
나머지	나머지/NNG
학생은	학생/NNG+은/JX
10학년을	10/SN+학년/NNG+을/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
하거나	하/VV+거나/EC
김나지움으로	김나지움/NNG+으로/JKB
옮겨	옮기/VV+어/EC
대학입시를	대학/NNG+입시/NNG+를/JKO
준비한다.	준비/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.134.9.2
잉예 클라인 교장은 “개개인의 특성에 따라 최대한 다양한 진로를 열어주는 것이 우리의 역할”이라며 “성실하지만 성적이 나쁜 학생은 일주일에 하루씩 인근의 공장에서 단순기술을 익히게 하는 등 현실적인 진로 지도를 한다”고 말했다.

잉예	잉예/NNP
클라인	클라인/NNP
교장은	교장/NNG+은/JX
“개개인의	“/SS+개개인/NNG+의/JKG
특성에	특성/NNG+에/JKB
따라	따르/VV+아/EC
최대한	최대한/MAG
다양한	다양/NNG+하/XSA+ㄴ/ETM
진로를	진로/NNG+를/JKO
열어주는	열/VV+어/EC+주/VX+는/ETM
것이	것/NNB+이/JKS
우리의	우리/NP+의/JKG
역할”이라며	역할/NNG+”/SS+이/VCP+라며/EC
“성실하지만	“/SS+성실/NNG+하/XSA+지만/EC
성적이	성적/NNG+이/JKS
나쁜	나쁘/VA+ㄴ/ETM
학생은	학생/NNG+은/JX
일주일에	일주일/NNG+에/JKB
하루씩	하루/NNG+씩/XSN
인근의	인근/NNG+의/JKG
공장에서	공장/NNG+에서/JKB
단순기술을	단순/NNG+기술/NNG+을/JKO
익히게	익히/VV+게/EC
하는	하/VX+는/ETM
등	등/NNB
현실적인	현실/NNG+적/XSN+이/VCP+ㄴ/ETM
진로	진로/NNG
지도를	지도/NNG+를/JKO
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


