# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.49
metadata : {}


# id : NWRW1800000056.49.1.1
‘효도폰은 폴더폰’도 옛말…60대 이상 어르신 ‘스마트폰’ 선호

‘효도폰은	‘/SS+효도/NNG+폰/NNG+은/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.49.6.3
에스케이텔레콤이 4일 자사의 온라인쇼핑몰인 티(T)월드다이렉트의 고객을 분석해 발표한 결과를 보면 지난달 65살 이상 고객이 선택한 스마트폰은 갤럭시S8이 40%이 가장 많았고 갤럭시A8이 14%로 뒤를 이었다.

에스케이텔레콤이	에스케이텔레콤/NNP+이/JKS
4일	4/SN+일/NNB
자사의	자사/NNG+의/JKG
온라인쇼핑몰인	온라인/NNG+쇼핑몰/NNG+이/VCP+ㄴ/ETM
티(T)월드다이렉트의	티/NNP+(/SS+T/SL+)/SS+월드/NNP+다이렉트/NNP+의/JKG
고객을	고객/NNG+을/JKO
분석해	분석/NNG+하/XSV+아/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
결과를	결과/NNG+를/JKO
보면	보/VV+면/EC
지난달	지난달/NNG
65살	65/SN+살/NNB
이상	이상/NNG
고객이	고객/NNG+이/JKS
선택한	선택/NNG+하/XSV+ㄴ/ETM
스마트폰은	스마트폰/NNG+은/JX
갤럭시S8이	갤럭시S8/NNP+이/JKS
40%이	40/SN+%/SW+이/JKS
가장	가장/MAG
많았고	많/VA+았/EP+고/EC
갤럭시A8이	갤럭시A8/NNP+이/JKS
14%로	14/SN+%/SW+로/JKB
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.49.6.4
지난달 에스케이텔레콤 60대 이상 고객 가운데 스마트폰 이용 고객 비중도 74%에 이르는 것으로 집계됐다.

지난달	지난달/NNG
에스케이텔레콤	에스케이텔레콤/NNP
60대	60/SN+대/NNB
이상	이상/NNG
고객	고객/NNG
가운데	가운데/NNG
스마트폰	스마트폰/NNG
이용	이용/NNG
비중도	비중/NNG+도/JX
74%에	74/SN+%/SW+에/JKB
이르는	이르/VV+는/ETM
것으로	것/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.49.6.5
에스케이텔레콤은 “고령층은 보통 아이콘이나 터치 사용에 익숙치 않아 스마트폰과 거리가 멀다는 것이 통념이었지만, 최근에는 부모님 세대의 모바일 라이프 트렌드가 확연히 달라지고 있다”며 “실버서퍼(디지털 기기에 능숙한 고령층)인 분들이 많아지면서 최신 사양을 갖춘 대화면 스마트폰 선호 경향이 뚜렷하다”며고 설명했다.

에스케이텔레콤은	에스케이텔레콤/NNP+은/JX
“고령층은	“/SS+고령/NNG+층/XSN+은/JX
보통	보통/MAG
아이콘이나	아이콘/NNG+이나/JC
터치	터치/NNG
사용에	사용/NNG+에/JKB
익숙치	익숙하/VA+지/EC
않아	않/VX+아/EC
스마트폰과	스마트폰/NNG+과/JKB
거리가	거리/NNG+가/JKS
멀다는	멀/VA+다는/ETM
것이	것/NNB+이/JKS
통념이었지만,	통념/NNG+이/VCP+었/EP+지만/EC+,/SP
최근에는	최근/NNG+에/JKB+는/JX
부모님	부모/NNG+님/XSN
세대의	세대/NNG+의/JKG
모바일	모바일/NNG
라이프	라이프/NNG
트렌드가	트렌드/NNG+가/JKS
확연히	확연히/MAG
달라지고	달라지/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“실버서퍼(디지털	“/SS+실버/NNG+서퍼/NNG+(/SS+디지털/NNG
기기에	기기/NNG+에/JKB
능숙한	능숙하/VA+ㄴ/ETM
고령층)인	고령/NNG+층/XSN+)/SS+이/VCP+ㄴ/ETM
분들이	분/NNB+들/XSN+이/JKS
많아지면서	많아지/VV+면서/EC
최신	최신/NNG
사양을	사양/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
대화면	대/XPN+화면/NNG
스마트폰	스마트폰/NNG
선호	선호/NNG
경향이	경향/NNG+이/JKS
뚜렷하다”며고	뚜렷하/VA+다/EF+”/SS+며/EC+고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.49.6.6
자녀세대 중 9살 이하에서는 시계형 키즈폰을 많이 샀지만, 10살 이상에서는 스마트폰 이용이 대세였다.

자녀세대	자녀/NNG+세대/NNG
중	중/NNB
9살	9/SN+살/NNB
이하에서는	이하/NNG+에서/JKB+는/JX
시계형	시계/NNG+형/XSN
키즈폰을	키즈폰/NNG+을/JKO
많이	많이/MAG
샀지만,	사/VV+았/EP+지만/EC+,/SP
10살	10/SN+살/NNB
이상에서는	이상/NNG+에서/JKB+는/JX
스마트폰	스마트폰/NNG
이용이	이용/NNG+이/JKS
대세였다.	대세/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.49.6.7
초등학교 고학년(만 10살~12살)이 구매한 휴대폰은 중저가인 갤럭시와이드(14%), 갤럭시온7(12%)이 1·2위를 차지했다.

초등학교	초등학교/NNG
고학년(만	고/XPN+학년/NNG+(/SS+만/MMA
10살~12살)이	10/SN+살/NNB+~/SO+12/SN+살/NNB+)/SS+이/JKS
구매한	구매/NNG+하/XSV+ㄴ/ETM
휴대폰은	휴대폰/NNG+은/JX
중저가인	중저가/NNG+이/VCP+ㄴ/ETM
갤럭시와이드(14%),	갤럭시와이드/NNP+(/SS+14/SN+%/SW+)/SS+,/SP
갤럭시온7(12%)이	갤럭시온7/NNP+(/SS+12/SN+%/SW+)/SS+이/JKS
1·2위를	1/SN+·/SP+2/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.49.6.8
중고등학생도 중저가 갤럭시A8(15%)이 1위였지만, 고가인 아이폰7도 11%로 2위를 기록했다.

중고등학생도	중고등학생/NNG+도/JX
중저가	중저가/NNG
갤럭시A8(15%)이	갤럭시A8/NNP+(/SS+15/SN+%/SW+)/SS+이/JKS
1위였지만,	1/SN+위/NNB+이/VCP+었/EP+지만/EC+,/SP
고가인	고가/NNG+이/VCP+ㄴ/ETM
아이폰7도	아이폰7/NNP+도/JX
11%로	11/SN+%/SW+로/JKB
2위를	2/SN+위/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


