# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.195
metadata : {}


# id : NWRW1800000028.195.1.1
‘금리 3.36%’ 주택대출상품 나왔다

‘금리	‘/SS+금리/NNG
변동	변동/NNG
코픽스	코픽스/NNG
연동형)는	연동/NNG+형/XSN+)/SS+는/JX
최저	최저/NNG
연	연/NNG
3.36%에	3/SN+./SP+36/SN+%/SW+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000028.195.3.6
은행권 코픽스 연동형 주택담보대출 금리가 연 3.57~6.15% 수준으로 고시되고 있고, 연 4%대 후반에서 주로 대출이 이뤄지고 있는 것을 고려하면 매우 유리한 조건이다.

은행권	은행/NNG+권/XSN
코픽스	코픽스/NNG
연동형	연동/NNG+형/XSN
주택담보대출	주택/NNG+담보/NNG+대출/NNG
금리가	금리/NNG+가/JKS
연	연/NNG
3.57~6.15%	3/SN+./SP+57/SN+~/SO+6/SN+./SP+15/SN+%/SW
수준으로	수준/NNG+으로/JKB
고시되고	고시/NNG+되/XSV+고/EC
있고,	있/VX+고/EC+,/SP
4%대	4/SN+%/SW+대/XSN
후반에서	후반/NNG+에서/JKB
주로	주로/MAG
대출이	대출/NNG+이/JKS
이뤄지고	이뤄지/VV+고/EC
있는	있/VX+는/ETM
것을	것/NNB+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
매우	매우/MAG
유리한	유리/NNG+하/XSA+ㄴ/ETM
조건이다.	조건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.195.4.1
유보금자리론을 이용하기 위해서는 우선 보금자리론 누리집(www.e-mortgage.co.kr)에서 대출상담을 신청하면 된다.

유보금자리론을	유보금자리론/NNP+을/JKO
이용하기	이용/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
우선	우선/MAG
보금자리론	보금자리론/NNP
누리집(www.e-mortgage.co.kr)에서	누리집/NNG+(/SS+www/SL+./SP+e/SL+-/SO+mortgage/SL+./SP+co/SL+./SP+kr/SL+)/SS+에서/JKB
대출상담을	대출/NNG+상담/NNG+을/JKO
신청하면	신청/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.195.4.2
신청이 이뤄지면 주택금융공사의 상담 직원이 전화로 상담을 진행하며, 주택금융공사 지사에서 고객이 발송한 서류를 바탕으로 대출 적격 여부를 심사해 대출을 승인한다.

신청이	신청/NNG+이/JKS
이뤄지면	이뤄지/VV+면/EC
주택금융공사의	주택금융공사/NNP+의/JKG
상담	상담/NNG
직원이	직원/NNG+이/JKS
전화로	전화/NNG+로/JKB
상담을	상담/NNG+을/JKO
진행하며,	진행/NNG+하/XSV+며/EC+,/SP
주택금융공사	주택금융공사/NNP
지사에서	지사/NNG+에서/JKB
고객이	고객/NNG+이/JKS
발송한	발송/NNG+하/XSV+ㄴ/ETM
서류를	서류/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
대출	대출/NNG
적격	적격/NNG
여부를	여부/NNG+를/JKO
심사해	심사/NNG+하/XSV+아/EC
대출을	대출/NNG+을/JKO
승인한다.	승인/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.195.4.3
대출을 받기로 확정된 고객은 유보금자리론 취급 금융회사인 기업은행과 삼성생명 지점을 방문해 대출금을 받으면 된다.

대출을	대출/NNG+을/JKO
받기로	받/VV+기/ETN+로/JKB
확정된	확정/NNG+되/XSV+ㄴ/ETM
고객은	고객/NNG+은/JX
유보금자리론	유보금자리론/NNP
취급	취급/NNG
금융회사인	금융/NNG+회사/NNG+이/VCP+ㄴ/ETM
기업은행과	기업은행/NNP+과/JKB
삼성생명	삼성생명/NNP
지점을	지점/NNG+을/JKO
방문해	방문/NNG+하/XSV+아/EC
대출금을	대출금/NNG+을/JKO
받으면	받/VV+으면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.195.4.4
대출 승인은 오는 21일부터, 실제 대출은 23일부터 시작된다.

대출	대출/NNG
승인은	승인/NNG+은/JX
오는	오/VV+는/ETM
21일부터,	21/SN+일/NNB+부터/JX+,/SP
실제	실제/NNG
대출은	대출/NNG+은/JX
23일부터	23/SN+일/NNB+부터/JX
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.195.4.5
다만 기존 보금자리론과 마찬가지로 무주택자 또는 주택 취득 5년 이내인 1주택자만 대출을 받을 수있고, 담보로 잡힐 주택은 9억원 이하여야 한다.

다만	다만/MAG
기존	기존/NNG
보금자리론과	보금자리론/NNP+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
무주택자	무주택자/NNG
또는	또는/MAG
주택	주택/NNG
취득	취득/NNG
5년	5/SN+년/NNB
이내인	이내/NNG+이/VCP+ㄴ/ETM
1주택자만	1/SN+주택자/NNG+만/JX
대출을	대출/NNG+을/JKO
받을	받/VV+을/ETM
수있고,	수/NNB+있/VA+고/EC+,/SP
담보로	담보/NNG+로/JKB
잡힐	잡히/VV+ㄹ/ETM
주택은	주택/NNG+은/JX
9억원	9/SN+억/NR+원/NNB
이하여야	이하/NNG+이/VCP+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.195.4.6
대출한도는 5억원으로 주택가격의 70%까지 가능하다.

대출한도는	대출/NNG+한도/NNG+는/JX
5억원으로	5/SN+억/NR+원/NNB+으로/JKB
주택가격의	주택/NNG+가격/NNG+의/JKG
70%까지	70/SN+%/SW+까지/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.195.5.1
주택금융공사는 유보금자리론을 출시하면서 대출 신청 때 입력 항목을 종전 70여개에서 20여개로 줄였다.

주택금융공사는	주택금융공사/NNP+는/JX
유보금자리론을	유보금자리론/NNP+을/JKO
출시하면서	출시/NNG+하/XSV+면서/EC
대출	대출/NNG
신청	신청/NNG
때	때/NNG
입력	입력/NNG
항목을	항목/NNG+을/JKO
종전	종전/NNG
70여개에서	70/SN+여/XSN+개/NNB+에서/JKB
20여개로	20/SN+여/XSN+개/NNB+로/JKB
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.195.5.2
사회 초년생을 배려해 기존의 원리금 균등상환방식 외에, 대출받은 초기에는 돈을 조금씩 갚다가 소득이 늘어나는 후기에는 많이 갚도록 하는 체증식 상환방식도 도입했다.

사회	사회/NNG
초년생을	초년/NNG+생/XSN+을/JKO
배려해	배려/NNG+하/XSV+아/EC
기존의	기존/NNG+의/JKG
원리금	원리금/NNG
균등상환방식	균등/NNG+상환/NNG+방식/NNG
외에,	외/NNB+에/JKB+,/SP
대출받은	대출/NNG+받/XSV+은/ETM
초기에는	초기/NNG+에/JKB+는/JX
돈을	돈/NNG+을/JKO
조금씩	조금/NNG+씩/XSN
갚다가	갚/VV+다가/EC
소득이	소득/NNG+이/JKS
늘어나는	늘어나/VV+는/ETM
후기에는	후기/NNG+에/JKB+는/JX
많이	많이/MAG
갚도록	갚/VV+도록/EC
하는	하/VX+는/ETM
체증식	체증식/NNG
상환방식도	상환/NNG+방식/NNG+도/JX
도입했다.	도입/NNG+하/XSV+았/EP+다/EF+./SF


