# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.321
metadata : {}


# id : NWRW1800000044.321.1.1
[싱크탱크 시각] 탈북자 신동혁과 북한의 진실 공방 / 김보근

[싱크탱크	[/SS+싱크탱크/NNG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
탈북	탈북/NNG
인권운동가	인권/NNG+운동가/NNG
신동혁씨의	신동혁/NNP+씨/NNB+의/JKG
아버지	아버지/NNG
신경섭(70)씨	신경섭/NNP+(/SS+70/SN+)/SS+씨/NNB
등이	등/NNB+이/JKS
나서	나/VV+아서/EC
신씨의	신/NNP+씨/NNB+의/JKG
북한	북한/NNP
인권	인권/NNG
관련	관련/NNG
증언이	증언/NNG+이/JKS
거짓이라고	거짓/NNG+이/VCP+라고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.321.4.3
이에 대해 신씨는 자신의 페이스북에 “영상 속의 인물이 아버지가 맞다”면서도 “독재자가 어떤 행동을 해도 내 눈과 입을 막을 수 없다”고 밝혔다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
신씨는	신/NNP+씨/NNB+는/JX
자신의	자신/NNG+의/JKG
페이스북에	페이스북/NNP+에/JKB
“영상	“/SS+영상/NNG
속의	속/NNG+의/JKG
인물이	인물/NNG+이/JKS
아버지가	아버지/NNG+가/JKS
맞다”면서도	맞/VV+다/EF+”/SS+면서/EC+도/JX
“독재자가	“/SS+독재자/NNG+가/JKS
어떤	어떤/MMD
행동을	행동/NNG+을/JKO
해도	하/VV+아도/EC
내	나/NP+의/JKG
눈과	눈/NNG+과/JC
입을	입/NNG+을/JKO
막을	막/VV+을/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.321.5.1
대부분의 국내 언론은 이런 사실에 대해 신씨의 페이스북 내용을 중심으로 보도했다.

대부분의	대/XPN+부분/NNG+의/JKG
국내	국내/NNG
언론은	언론/NNG+은/JX
이런	이런/MMD
사실에	사실/NNG+에/JKB
대해	대하/VV+아/EC
신씨의	신/NNP+씨/NNB+의/JKG
페이스북	페이스북/NNP
내용을	내용/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.321.5.2
또 ‘거짓과 진실’에서 주장된 내용은 소개하지 않은 채 “북한이 가족마저도 탈북자 협박에 이용하고 있다”고 북을 비판하는 데 초점을 맞췄다.

또	또/MAG
‘거짓과	‘/SS+거짓/NNG+과/JC
진실’에서	진실/NNG+’/SS+에서/JKB
주장된	주장/NNG+되/XSV+ㄴ/ETM
내용은	내용/NNG+은/JX
소개하지	소개/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
“북한이	“/SS+북한/NNP+이/JKS
가족마저도	가족/NNG+마저/JX+도/JX
탈북자	탈북자/NNG
협박에	협박/NNG+에/JKB
이용하고	이용/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
북을	북/NNP+을/JKO
비판하는	비판/NNG+하/XSV+는/ETM
데	데/NNB
초점을	초점/NNG+을/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.321.5.3
하지만 남북관계가 ‘적대 관계’의 측면이 있다 해도, 이런 보도 양태가 실체적 진실에 다가가려는 태도였을까 하는 아쉬움이 든다.

하지만	하지만/MAJ
남북관계가	남북/NNP+관계/NNG+가/JKS
‘적대	‘/SS+적대/NNG
관계’의	관계/NNG+’/SS+의/JKG
측면이	측면/NNG+이/JKS
있다	있/VA+다/EF
해도,	하/VV+아도/EC+,/SP
이런	이런/MMD
보도	보도/NNG
양태가	양태/NNG+가/JKS
실체적	실체/NNG+적/XSN
진실에	진실/NNG+에/JKB
다가가려는	다가가/VV+려는/ETM
태도였을까	태도/NNG+이/VCP+었/EP+을까/EC
하는	하/VV+는/ETM
아쉬움이	아쉬움/NNG+이/JKS
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.321.6.1
북의 인권 실태는 실로 열악하다.

북의	북/NNP+의/JKG
인권	인권/NNG
실태는	실태/NNG+는/JX
실로	실로/MAG
열악하다.	열악하/VA+다/EF+./SF


# id : NWRW1800000044.321.6.2
북한 인권운동은 그래서 정당성이 있다.

북한	북한/NNP
인권운동은	인권/NNG+운동/NNG+은/JX
그래서	그래서/MAJ
정당성이	정당성/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.321.6.3
최근 유엔 북한대표부 관계자가 한 인터뷰에서 “(북한) 인권 실사도 가능하다”고 밝힌 것도, 유엔 표결 등을 앞두고 북한 인권운동이 커다란 압력으로 작용하면서 북의 변화를 이끌어낸 측면이 크다.

최근	최근/NNG
유엔	유엔/NNP
북한대표부	북한/NNP+대표부/NNG
관계자가	관계자/NNG+가/JKS
한	한/MMN
인터뷰에서	인터뷰/NNG+에서/JKB
“(북한)	“/SS+(/SS+북한/NNP+)/SS
인권	인권/NNG
실사도	실사/NNG+도/JX
가능하다”고	가능/NNG+하/XSA+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
것도,	것/NNB+도/JX+,/SP
표결	표결/NNG
등을	등/NNB+을/JKO
앞두고	앞두/VV+고/EC
북한	북한/NNP
인권운동이	인권/NNG+운동/NNG+이/JKS
커다란	커다랗/VA+ㄴ/ETM
압력으로	압력/NNG+으로/JKB
작용하면서	작용/NNG+하/XSV+면서/EC
북의	북/NNP+의/JKG
변화를	변화/NNG+를/JKO
이끌어낸	이끌/VV+어/EC+내/VX+ㄴ/ETM
측면이	측면/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000044.321.7.1
하지만 북한 인권운동 진영이나 국내 언론들도 일부 탈북자들이 밝힌 북한 인권 관련 증언의 정밀성에 대해 이제 한번 따져봐야 할 시점이 된 것 같다.

하지만	하지만/MAJ
북한	북한/NNP
인권운동	인권/NNG+운동/NNG
진영이나	진영/NNG+이나/JC
국내	국내/NNG
언론들도	언론/NNG+들/XSN+도/JX
일부	일부/NNG
탈북자들이	탈북자/NNG+들/XSN+이/JKS
밝힌	밝히/VV+ㄴ/ETM
인권	인권/NNG
관련	관련/NNG
증언의	증언/NNG+의/JKG
정밀성에	정밀/NNG+성/XSN+에/JKB
대해	대하/VV+아/EC
이제	이제/MAG
한번	한번/MAG
따져봐야	따지/VV+어/EC+보/VX+아야/EC
할	하/VX+ㄹ/ETM
시점이	시점/NNG+이/JKC
된	되/VV+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000044.321.7.2
북의 인권 상황을 개선하기 위해서라 해도, 만일 북의 인권 상황을 의도적으로 과장한 증언들이 섞여 있다면, 북한 인권운동의 설득력은 크게 떨어질 것이다.

북의	북/NNP+의/JKG
인권	인권/NNG
상황을	상황/NNG+을/JKO
개선하기	개선/NNG+하/XSV+기/ETN
위해서라	위하/VV+아서/EC+라/EC
해도,	하/VV+아도/EC+,/SP
만일	만일/MAG
의도적으로	의도/NNG+적/XSN+으로/JKB
과장한	과장/NNG+하/XSV+ㄴ/ETM
증언들이	증언/NNG+들/XSN+이/JKS
섞여	섞이/VV+어/EC
있다면,	있/VX+다면/EC+,/SP
북한	북한/NNP
인권운동의	인권/NNG+운동/NNG+의/JKG
설득력은	설득력/NNG+은/JX
크게	크/VA+게/EC
떨어질	떨어지/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.321.8.1
신동혁씨는 세계적인 탈북 인권운동가다.

신동혁씨는	신동혁/NNP+씨/NNB+는/JX
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
탈북	탈북/NNG
인권운동가다.	인권/NNG+운동가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.321.8.2
전 <워싱턴 포스트> 기자 블레인 하든이 그의 증언을 토대로 저술한 <14호 수용소 탈출>은 세계 24개국에 번역됐다.

전	전/MMD
<워싱턴	</SS+워싱턴/NNP
포스트>	포스트/NNP+>/SS
기자	기자/NNG
블레인	블레인/NNP
하든이	하든/NNP+이/JKS
그의	그/NP+의/JKG
증언을	증언/NNG+을/JKO
토대로	토대/NNG+로/JKB
저술한	저술/NNG+하/XSV+ㄴ/ETM
<14호	</SS+14/SN+호/NNB
수용소	수용소/NNG
탈출>은	탈출/NNG+>/SS+은/JX
세계	세계/NNG
24개국에	24/SN+개국/NNB+에/JKB
번역됐다.	번역/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.321.8.3
그의 증언은 유엔 북한인권 조사위원회(COI) 출범에도 커다란 영향을 줬다.

그의	그/NP+의/JKG
증언은	증언/NNG+은/JX
유엔	유엔/NNP
북한인권	북한/NNP+인권/NNG
조사위원회(COI)	조사/NNG+위원회/NNG+(/SS+COI/SL+)/SS
출범에도	출범/NNG+에/JKB+도/JX
커다란	커다랗/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.321.8.4
증언의 핵심 내용은 그가 ‘14호 수용소’로 알려진 평안남도 개천수용소에서 태어나 극악한 인권 상황에서 2005년 탈북 이전까지 생활했다는 것이다.

증언의	증언/NNG+의/JKG
핵심	핵심/NNG
내용은	내용/NNG+은/JX
그가	그/NP+가/JKS
‘14호	‘/SS+14/SN+호/NNB
수용소’로	수용소/NNG+’/SS+로/JKB
알려진	알려지/VV+ㄴ/ETM
평안남도	평안남도/NNP
개천수용소에서	개천수용소/NNP+에서/JKB
태어나	태어나/VV+아/EC
극악한	극악/NNG+하/XSA+ㄴ/ETM
인권	인권/NNG
상황에서	상황/NNG+에서/JKB
2005년	2005/SN+년/NNB
탈북	탈북/NNG
이전까지	이전/NNG+까지/JX
생활했다는	생활/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.321.8.5
그의 부모는 모범 재소자에게 주는 상인 ‘표창결혼’을 했다고 한다.

그의	그/NP+의/JKG
부모는	부모/NNG+는/JX
모범	모범/NNG
재소자에게	재소자/NNG+에게/JKB
주는	주/VV+는/ETM
상인	상/NNG+이/VCP+ㄴ/ETM
‘표창결혼’을	‘/SS+표창/NNG+결혼/NNG+’/SS+을/JKO
했다고	하/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.321.8.6
또 수용소 안에서 그는 어머니와 친형의 탈출 계획을 밀고했고, 그 결과 두 사람은 그가 지켜보는 앞에서 처형됐다고 했다.

또	또/MAG
수용소	수용소/NNG
안에서	안/NNG+에서/JKB
그는	그/NP+는/JX
어머니와	어머니/NNG+와/JC
친형의	친형/NNG+의/JKG
탈출	탈출/NNG
계획을	계획/NNG+을/JKO
밀고했고,	밀고/NNG+하/XSV+았/EP+고/EC+,/SP
그	그/MMD
결과	결과/NNG
두	두/MMN
사람은	사람/NNG+은/JX
그가	그/NP+가/JKS
지켜보는	지켜보/VV+는/ETM
앞에서	앞/NNG+에서/JKB
처형됐다고	처형/NNG+되/XSV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.321.8.7
그 자신도 재봉틀을 떨어뜨린 죄로 손가락이 잘리는 벌을 받았다고 했다.

그	그/NP
자신도	자신/NNG+도/JX
재봉틀을	재봉틀/NNG+을/JKO
떨어뜨린	떨어뜨리/VV+ㄴ/ETM
죄로	죄/NNG+로/JKB
손가락이	손가락/NNG+이/JKS
잘리는	잘리/VV+는/ETM
벌을	벌/NNG+을/JKO
받았다고	받/VV+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.321.9.1
그런데 ‘거짓과 진실’에서 아버지 신씨는 그의 유치원 때 사진을 제시하며 그의 출생지는 개천이 아니라 평남도 북창군 석산리라고 주장했다.

그런데	그런데/MAJ
‘거짓과	‘/SS+거짓/NNG+과/JC
진실’에서	진실/NNG+’/SS+에서/JKB
아버지	아버지/NNG
신씨는	신/NNP+씨/NNB+는/JX
그의	그/NP+의/JKG
유치원	유치원/NNG
때	때/NNG
사진을	사진/NNG+을/JKO
제시하며	제시/NNG+하/XSV+며/EC
출생지는	출생지/NNG+는/JX
개천이	개천/NNP+이/JKC
아니라	아니/VCN+라/EC
평남도	평남도/NNP
북창군	북창군/NNP
석산리라고	석산리/NNP+이/VCP+라고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.321.9.2
또 이웃 주민 송경란씨는 신씨의 어머니와 형이 처형된 것은 그 둘이 김춘애라는 여성을 살해했기 때문이라고 말했다.

또	또/MAG
이웃	이웃/NNG
주민	주민/NNG
송경란씨는	송경란/NNP+씨/NNB+는/JX
신씨의	신/NNP+씨/NNB+의/JKG
어머니와	어머니/NNG+와/JC
형이	형/NNG+이/JKS
처형된	처형/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
그	그/MMD
둘이	둘/NR+이/JKS
김춘애라는	김춘애/NNP+이/VCP+라는/ETM
여성을	여성/NNG+을/JKO
살해했기	살해/NNG+하/XSV+았/EP+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.321.9.3
북창군 봉창리 탄광에서 신동혁씨와 함께 일했다는 리봉은씨는 그의 손가락은 밤에 길을 가다 돌밭에 넘어져 골절이 된 뒤 수술을 받았기 때문이라고 주장했다.

북창군	북창군/NNP
봉창리	봉창리/NNP
탄광에서	탄광/NNG+에서/JKB
신동혁씨와	신동혁/NNP+씨/NNB+와/JKB
함께	함께/MAG
일했다는	일/NNG+하/XSV+았/EP+다는/ETM
리봉은씨는	리봉은/NNP+씨/NNB+는/JX
그의	그/NP+의/JKG
손가락은	손가락/NNG+은/JX
밤에	밤/NNG+에/JKB
길을	길/NNG+을/JKO
가다	가/VV+다/EC
돌밭에	돌밭/NNG+에/JKB
넘어져	넘어지/VV+어/EC
골절이	골절/NNG+이/JKC
된	되/VV+ㄴ/ETM
뒤	뒤/NNG
수술을	수술/NNG+을/JKO
받았기	받/VV+았/EP+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.321.9.4
게다가 주민 윤영옥씨는 신씨가 2001년 당시 13살인 자신의 딸을 강간했다고 주장하기도 했다.

게다가	게다가/MAG
주민	주민/NNG
윤영옥씨는	윤영옥/NNP+씨/NNB+는/JX
신씨가	신/NNP+씨/NNB+가/JKS
2001년	2001/SN+년/NNB
당시	당시/NNG
13살인	13/SN+살/NNB+이/VCP+ㄴ/ETM
자신의	자신/NNG+의/JKG
딸을	딸/NNG+을/JKO
강간했다고	강간/NNG+하/XSV+았/EP+다고/EC
주장하기도	주장/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.321.10.1
두 주장 사이의 간격이 너무 크다.

두	두/MMN
주장	주장/NNG
사이의	사이/NNG+의/JKG
간격이	간격/NNG+이/JKS
너무	너무/MAG
크다.	크/VA+다/EF+./SF


# id : NWRW1800000044.321.10.2
신씨의 주장이 진실인데 북한이 인권 문제를 회피하기 위해 많은 주민을 동원해 거짓말을 하게 한 것이라면, 이번 일은 북한의 그 어떤 인권 침해보다 더욱 크게 비판받을 것이다.

신씨의	신/NNP+씨/NNB+의/JKG
주장이	주장/NNG+이/JKS
진실인데	진실/NNG+이/VCP+ㄴ데/EC
북한이	북한/NNP+이/JKS
인권	인권/NNG
문제를	문제/NNG+를/JKO
회피하기	회피/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
많은	많/VA+은/ETM
주민을	주민/NNG+을/JKO
동원해	동원/NNG+하/XSV+아/EC
거짓말을	거짓말/NNG+을/JKO
하게	하/VV+게/EC
한	하/VX+ㄴ/ETM
것이라면,	것/NNB+이/VCP+라면/EC+,/SP
이번	이번/NNG
일은	일/NNG+은/JX
북한의	북한/NNP+의/JKG
그	그/MMD
어떤	어떤/MMD
침해보다	침해/NNG+보다/JKB
더욱	더욱/MAG
크게	크/VA+게/EC
비판받을	비판/NNG+받/XSV+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.321.10.3
하지만 신씨의 주장에 과장이 있는 것으로 밝혀진다면, 북한 인권운동 진영도 지금까지 쌓아왔던 도덕성에 적지 않은 타격을 입을 것 같다.

하지만	하지만/MAJ
신씨의	신/NNP+씨/NNB+의/JKG
주장에	주장/NNG+에/JKB
과장이	과장/NNG+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
밝혀진다면,	밝히/VV+어/EC+지/VX+ㄴ다면/EC+,/SP
북한	북한/NNP
인권운동	인권/NNG+운동/NNG
진영도	진영/NNG+도/JX
지금까지	지금/NNG+까지/JX
쌓아왔던	쌓/VV+아/EC+오/VX+았/EP+던/ETM
도덕성에	도덕/NNG+성/XSN+에/JKB
적지	적/VA+지/EC
않은	않/VX+은/ETM
타격을	타격/NNG+을/JKO
입을	입/VV+을/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000044.321.11.1
그 진실 공방의 끝은 어디일까?

그	그/MMD
진실	진실/NNG
공방의	공방/NNG+의/JKG
끝은	끝/NNG+은/JX
어디일까?	어디/NP+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000044.321.11.2
어쩌면 우리는 우리 앞에 놓인 커다란 ‘적대의 벽’을 넘을 수 있을 때에만 그 실체적 진실에 도달할 수 있을지 모르겠다.

어쩌면	어쩌면/MAG
우리는	우리/NP+는/JX
우리	우리/NP
앞에	앞/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
커다란	커다랗/VA+ㄴ/ETM
‘적대의	‘/SS+적대/NNG+의/JKG
벽’을	벽/NNG+’/SS+을/JKO
넘을	넘/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
때에만	때/NNG+에/JKB+만/JX
그	그/MMD
실체적	실체/NNG+적/XSN
진실에	진실/NNG+에/JKB
도달할	도달/NNG+하/XSV+ㄹ/ETM
있을지	있/VA+을지/EC
모르겠다.	모르/VV+겠/EP+다/EF+./SF


