# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.413
metadata : {}


# id : NWRW1800000036.413.1.1
‘10월 유신’ 안보 내세우더니…박정희 정권, 북에 두차례나 ‘사전 통보’

‘10월	‘/SS+10/SN+월/NNB
보낸	보내/VV+ㄴ/ETM
비밀문건(2급·secret)에	비밀/NNG+문건/NNG+(/SS+2/SN+급/NNG+·/SP+secret/SL+)/SS+에/JKB
따르면,	따르/VV+면/EC+,/SP
이후락	이후락/NNP
당시	당시/NNG
중앙정보부장은	중앙정보부장/NNG+은/JX
10월12일	10/SN+월/NNB+12/SN+일/NNB
박성철	박성철/NNP
북한	북한/NNP
부수상을	부수상/NNG+을/JKO
만나서	만나/VV+아서/EC
“남북대화를	“/SS+남북/NNP+대화/NNG+를/JKO
지속적이고	지속/NNG+적/XSN+이/VCP+고/EC
성공적으로	성공/NNG+적/XSN+으로/JKB
지속하기	지속/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
정치	정치/NNG
시스템을	시스템/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
게	거/NNB+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
우리	우리/NP
정부는	정부/NNG+는/JX
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.413.5.4
또, 이 비밀전문은 “남북조절위원회 남쪽 실무대표인 정홍진이 계엄선포 하루 전인 10월16일 북쪽 실무대표인 김덕현을 판문점에서 만나 명시적이고 구체적인 내용을 통보했다”고 적었다.

또,	또/MAG+,/SP
이	이/MMD
비밀전문은	비밀/NNG+전문/NNG+은/JX
“남북조절위원회	“/SS+남북조절위원회/NNP
남쪽	남쪽/NNG
실무대표인	실무/NNG+대표/NNG+이/VCP+ㄴ/ETM
정홍진이	정홍진/NNP+이/JKS
계엄선포	계엄/NNG+선포/NNG
하루	하루/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
10월16일	10/SN+월/NNB+16/SN+일/NNB
북쪽	북쪽/NNG
김덕현을	김덕현/NNP+을/JKO
판문점에서	판문점/NNP+에서/JKB
만나	만나/VV+아/EC
명시적이고	명시/NNG+적/XSN+이/VCP+고/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
내용을	내용/NNG+을/JKO
통보했다”고	통보/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.413.6.1
지난 2009년에 공개된 동독과 루마니아, 불가리아의 북한 관련 외교문서에는 이후락이 남북조절위원회 북측대표인 김영주에게 “박 대통령은 17일 북한이 주의해서 들어야 할 중요한 선언을 발표할 것”(10월16일)과 “헌법 수정을 통한 대화의 법적 근거를 만들 것”(10월18일)이라는 내용의 메시지를 보낸 것으로 적혀 있다.

지난	지나/VV+ㄴ/ETM
2009년에	2009/SN+년/NNB+에/JKB
공개된	공개/NNG+되/XSV+ㄴ/ETM
동독과	동독/NNP+과/JC
루마니아,	루마니아/NNP+,/SP
불가리아의	불가리아/NNP+의/JKG
북한	북한/NNP
관련	관련/NNG
외교문서에는	외교/NNG+문서/NNG+에/JKB+는/JX
이후락이	이후락/NNP+이/JKS
남북조절위원회	남북조절위원회/NNP
북측대표인	북측/NNG+대표/NNG+이/VCP+ㄴ/ETM
김영주에게	김영주/NNP+에게/JKB
“박	“/SS+박/NNP
대통령은	대통령/NNG+은/JX
17일	17/SN+일/NNB
북한이	북한/NNP+이/JKS
주의해서	주의/NNG+하/XSV+아서/EC
들어야	들/VV+어야/EC
할	하/VV+ㄹ/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
선언을	선언/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
것”(10월16일)과	것/NNB+”/SS+(/SS+10/SN+월/NNB+16/SN+일/NNB+)/SS+과/JC
“헌법	“/SS+헌법/NNG
수정을	수정/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
대화의	대화/NNG+의/JKG
법적	법/NNG+적/XSN
근거를	근거/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
것”(10월18일)이라는	것/NNB+”/SS+(/SS+10/SN+월/NNB+18/SN+일/NNB+)/SS+이/VCP+라는/ETM
내용의	내용/NNG+의/JKG
메시지를	메시지/NNG+를/JKO
보낸	보내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.413.7.1
미 국무부 문서를 발굴했던 박명림 연세대 교수는 17일 “이 자료들은 박 정권이 겉으로는 공산화 방지, 즉 국가안보 강화를 명분으로 내세웠지만, 실제로는 북한과 내통하면서 장기집권을 위한 유신체제를 구축해 나간 사실을 보여준다”고 말했다.

미	미/NNP
국무부	국무부/NNG
문서를	문서/NNG+를/JKO
발굴했던	발굴/NNG+하/XSV+았/EP+던/ETM
박명림	박명림/NNP
연세대	연세대/NNP
교수는	교수/NNG+는/JX
17일	17/SN+일/NNB
“이	“/SS+이/MMD
자료들은	자료/NNG+들/XSN+은/JX
박	박/NNP
정권이	정권/NNG+이/JKS
겉으로는	겉/NNG+으로/JKB+는/JX
공산화	공산/NNG+화/XSN
방지,	방지/NNG+,/SP
즉	즉/MAG
국가안보	국가/NNG+안보/NNG
강화를	강화/NNG+를/JKO
명분으로	명분/NNG+으로/JKB
내세웠지만,	내세우/VV+었/EP+지만/EC+,/SP
실제로는	실제로/MAG+는/JX
북한과	북한/NNP+과/JKB
내통하면서	내통/NNG+하/XSV+면서/EC
장기집권을	장기/NNG+집권/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
유신체제를	유신/NNG+체제/NNG+를/JKO
구축해	구축/NNG+하/XSV+아/EC
나간	나가/VX+ㄴ/ETM
사실을	사실/NNG+을/JKO
보여준다”고	보이/VV+어/EC+주/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.413.8.1
실제로 남한의 유신체제에 맞춰 북한도 김일성 유일체제를 구축했다.

실제로	실제로/MAG
남한의	남한/NNP+의/JKG
유신체제에	유신/NNG+체제/NNG+에/JKB
맞춰	맞추/VV+어/EC
북한도	북한/NNP+도/JX
김일성	김일성/NNP
유일체제를	유일/NNG+체제/NNG+를/JKO
구축했다.	구축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.413.8.2
공교롭게도 유신헌법과 북한의 사회주의헌법(1972년 헌법)은 같은날(12월27일) 제정됐다.

공교롭게도	공교롭/VA+게/EC+도/JX
유신헌법과	유신/NNG+헌법/NNG+과/JC
북한의	북한/NNP+의/JKG
사회주의헌법(1972년	사회주의/NNG+헌법/NNG+(/SS+1972/SN+년/NNB
헌법)은	헌법/NNG+)/SS+은/JX
같은날(12월27일)	같/VA+은/ETM+날/NNG+(/SS+12/SN+월/NNB+27/SN+일/NNB+)/SS
제정됐다.	제정/NNG+되/XSV+었/EP+다/EF+./SF


