# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.81
metadata : {}


# id : NWRW1800000038.81.1.1
"萬行 열 달, 인도서 만난 사기꾼도 내 부처님"

"萬行	"/SS+萬行/SH
동안	동안/NNG
숙박은	숙박/NNG+은/JX
모르는	모르/VV+는/ETM
이의	이/NNB+의/JKG
집에	집/NNG+에/JKB
공짜로	공짜/NNG+로/JKB
머무는	머물/VV+는/ETM
'카우치	'/SS+카우치/NNG
서핑(couch	서핑/NNG+(/SS+couch/SL
surfing)'〈키워드〉으로	surfing/SL+)/SS+'/SS+〈/SS+키워드/NNG+〉/SS+으로/JKB
대부분	대/XPN+부분/NNG
해결했다.	해결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.81.3.4
여행이 아니라 "사람들과 깊이 교감하겠다"는 만행의 목적이 상대의 집에 머물러 함께 생활하며 경험을 나누는 카우치 서핑의 취지와 딱 들어맞았기 때문이다.

여행이	여행/NNG+이/JKC
아니라	아니/VCN+라/EC
"사람들과	"/SS+사람/NNG+들/XSN+과/JKB
깊이	깊이/MAG
교감하겠다"는	교감/NNG+하/XSV+겠/EP+다/EF+"/SS+는/ETM
만행의	만행/NNG+의/JKG
목적이	목적/NNG+이/JKS
상대의	상대/NNG+의/JKG
집에	집/NNG+에/JKB
머물러	머무르/VV+어/EC
함께	함께/MAG
생활하며	생활/NNG+하/XSV+며/EC
경험을	경험/NNG+을/JKO
나누는	나누/VV+는/ETM
카우치	카우치/NNG
서핑의	서핑/NNG+의/JKG
취지와	취지/NNG+와/JC
딱	딱/MAG
들어맞았기	들어맞/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.81.3.5
11일 아침, 헝겊 바랑을 짊어진 채 서울 경복궁 건너편 법련사 앞에 나타난 스님은 머리에 쓴 삿갓 얘기부터 했다.

11일	11/SN+일/NNB
아침,	아침/NNG+,/SP
헝겊	헝겊/NNG
바랑을	바랑/NNG+을/JKO
짊어진	짊어지/VV+ㄴ/ETM
채	채/NNB
서울	서울/NNP
경복궁	경복궁/NNP
건너편	건너편/NNG
법련사	법련사/NNP
앞에	앞/NNG+에/JKB
나타난	나타나/VV+ㄴ/ETM
스님은	스님/NNG+은/JX
머리에	머리/NNG+에/JKB
쓴	쓰/VV+ㄴ/ETM
삿갓	삿갓/NNG
얘기부터	얘기/NNG+부터/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.81.3.6
"인도에선 현지인들이 하루에 100번쯤은 '삿갓 한번 써보자'며 붙잡더군요.

"인도에선	"/SS+인도/NNP+에서/JKB+ㄴ/JX
현지인들이	현지인/NNG+들/XSN+이/JKS
하루에	하루/NNG+에/JKB
100번쯤은	100/SN+번/NNB+쯤/XSN+은/JX
'삿갓	'/SS+삿갓/NNG
한번	한번/MAG
써보자'며	쓰/VV+어/EC+보/VX+자/EF+'/SS+며/EC
붙잡더군요.	붙잡/VV+더군/EF+요/JX+./SF


# id : NWRW1800000038.81.3.7
이래봬도 아시아 곳곳의 햇볕과 비바람을 다 겪고 버텨온 삿갓이에요.

이래봬도	이래/MAG+뵈/VV+어도/EC
아시아	아시아/NNP
곳곳의	곳곳/NNG+의/JKG
햇볕과	햇볕/NNG+과/JC
비바람을	비바람/NNG+을/JKO
다	다/MAG
겪고	겪/VV+고/EC
버텨온	버티/VV+어/EC+오/VX+ㄴ/ETM
삿갓이에요.	삿갓/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000038.81.3.8
하하."

하하."	하하/IC+./SF+"/SS


# id : NWRW1800000038.81.4.1
◇선방을 떠나 세상 진창 속으로

◇선방을	◇/SW+선방/NNG+을/JKO
떠나	떠나/VV+아/EC
세상	세상/NNG
진창	진창/NNG
속으로	속/NNG+으로/JKB


# id : NWRW1800000038.81.5.1
서강대 종교학과를 나온 스님은 2006년 1월 전 조계종 종정 법전스님을 은사로 해인사에 출가했다.

서강대	서강대/NNP
종교학과를	종교학/NNG+과/NNG+를/JKO
나온	나오/VV+ㄴ/ETM
스님은	스님/NNG+은/JX
2006년	2006/SN+년/NNB
1월	1/SN+월/NNB
전	전/MMD
조계종	조계종/NNP
종정	종정/NNG
법전스님을	법전/NNP+스님/NNG+을/JKO
은사로	은사/NNG+로/JKB
해인사에	해인사/NNP+에/JKB
출가했다.	출가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.81.5.2
졸업식엔 가지 않았고, 쭉 선방(禪房)에서만 생활했다.

졸업식엔	졸업식/NNG+에/JKB+ㄴ/JX
가지	가/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
쭉	쭉/MAG
선방(禪房)에서만	선방/NNG+(/SS+禪房/SH+)/SS+에서/JKB+만/JX
생활했다.	생활/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.81.5.3
세계를 만행하겠다는 결심은 법전스님의 시봉 상좌를 마치던 2011년 초쯤 했다.

세계를	세계/NNG+를/JKO
만행하겠다는	만행/NNG+하/XSV+겠/EP+다는/ETM
결심은	결심/NNG+은/JX
법전스님의	법전/NNP+스님/NNG+의/JKG
시봉	시봉/NNG
상좌를	상좌/NNG+를/JKO
마치던	마치/VV+던/ETM
2011년	2011/SN+년/NNB
초쯤	초/NNB+쯤/XSN
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.81.5.4
"한 보살님이 그러셨어요.

"한	"/SS+한/MMN
보살님이	보살/NNG+님/XSN+이/JKS
그러셨어요.	그러/VV+시/EP+었/EP+어요/EF+./SF


# id : NWRW1800000038.81.5.5
'선방에만 있어서는 세상 사람들이 얼마나 혹독한 진창에서 사는지 알 수 없다.

'선방에만	'/SS+선방/NNG+에/JKB+만/JX
있어서는	있/VA+어서/EC+는/JX
세상	세상/NNG
사람들이	사람/NNG+들/XSN+이/JKS
얼마나	얼마나/MAG
혹독한	혹독하/VA+ㄴ/ETM
진창에서	진창/NNG+에서/JKB
사는지	살/VV+는지/EC
알	알/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.81.5.6
세상을 돌아다녀 보면 혹시 알게 될지도 모른다'고요."

세상을	세상/NNG+을/JKO
돌아다녀	돌아다니/VV+어/EC
보면	보/VX+면/EC
혹시	혹시/MAG
알게	알/VV+게/EC
될지도	되/VV+ㄹ지/EF+도/JX
모른다'고요."	모르/VV+ㄴ다/EF+'/SS+고/JKQ+요/JX+./SF+"/SS


# id : NWRW1800000038.81.6.1
길 위에서 만난 이들은 모두 스승이었다.

길	길/NNG
위에서	위/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
이들은	이/NNB+들/XSN+은/JX
모두	모두/MAG
스승이었다.	스승/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.81.6.2
태국 치앙마이에선 옥스퍼드 출신 영국인 요가 수행자를 만났다.

태국	태국/NNP
치앙마이에선	치앙마이/NNP+에서/JKB+ㄴ/JX
옥스퍼드	옥스퍼드/NNP
출신	출신/NNG
영국인	영국인/NNG
요가	요가/NNG
수행자를	수행자/NNG+를/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.81.6.3
스티브 잡스와 애플에서 함께 일했다는 그는 20년 전 실리콘밸리를 박차고 나와 하루 한 끼 생식만 하며 수행자로 살고 있었다.

스티브	스티브/NNP
잡스와	잡스/NNP+와/JC
애플에서	애플/NNP+에서/JKB
함께	함께/MAG
일했다는	일/NNG+하/XSV+았/EP+다는/ETM
그는	그/NP+는/JX
20년	20/SN+년/NNB
전	전/NNG
실리콘밸리를	실리콘밸리/NNP+를/JKO
박차고	박차/VV+고/EC
나와	나오/VV+아/EC
하루	하루/NNG
한	한/MMN
끼	끼/NNG
생식만	생식/NNG+만/JX
하며	하/VV+며/EC
수행자로	수행자/NNG+로/JKB
살고	살/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.81.6.4
"그는 '옛 동료들은 쉼없이 일하고 채워 불행해졌지만, 나는 버리고 내려놓아 행복해졌다'고 했어요.

"그는	"/SS+그/NP+는/JX
'옛	'/SS+옛/MMA
동료들은	동료/NNG+들/XSN+은/JX
쉼없이	쉬/VV+ㅁ/ETN+없이/MAG
일하고	일/NNG+하/XSV+고/EC
채워	채우/VV+어/EC
불행해졌지만,	불행/NNG+하/XSA+아/EC+지/VX+었/EP+지만/EC+,/SP
나는	나/NP+는/JX
버리고	버리/VV+고/EC
내려놓아	내려놓/VV+아/EC
행복해졌다'고	행복/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+'/SS+고/JKQ
했어요.	하/VV+았/EP+어요/EF+./SF


# id : NWRW1800000038.81.6.5
그의 얼굴에 깃든 평화에서 수행의 길로 들어선 내 선택이 옳았음을 다시 확신했지요."

그의	그/NP+의/JKG
얼굴에	얼굴/NNG+에/JKB
깃든	깃들/VV+ㄴ/ETM
평화에서	평화/NNG+에서/JKB
수행의	수행/NNG+의/JKG
길로	길/NNG+로/JKB
들어선	들어서/VV+ㄴ/ETM
내	나/NP+의/JKG
선택이	선택/NNG+이/JKS
옳았음을	옳/VA+았/EP+음/ETN+을/JKO
다시	다시/MAG
확신했지요."	확신/NNG+하/XSV+았/EP+지요/EF+./SF+"/SS


# id : NWRW1800000038.81.7.1
◇"만행서 만난 모두가 내 부처님"

◇"만행서	◇/SW+"/SS+만행/NNG+서/JKB
만난	만나/VV+ㄴ/ETM
모두가	모두/NNG+가/JKS
내	나/NP+의/JKG
부처님"	부처/NNP+님/XSN+"/SS


# id : NWRW1800000038.81.8.1
인도에서 푼돈 사기꾼들을 만날 땐 "저것도 살려는 몸부림이니 화를 내서 스스로 마음을 다치게 하기보다 속아주고 당해주는 사람이 되자"고 생각했다.

인도에서	인도/NNP+에서/JKB
푼돈	푼돈/NNG
사기꾼들을	사기/NNG+꾼/XSN+들/XSN+을/JKO
만날	만나/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
"저것도	"/SS+저것/NP+도/JX
살려는	살/VV+려는/ETM
몸부림이니	몸부림/NNG+이/VCP+니/EC
화를	화/NNG+를/JKO
내서	내/VV+어서/EC
스스로	스스로/MAG
마음을	마음/NNG+을/JKO
다치게	다치/VV+게/EC
하기보다	하/VX+기/ETN+보다/JKB
속아주고	속/VV+아/EC+주/VX+고/EC
당해주는	당하/VV+아/EC+주/VX+는/ETM
사람이	사람/NNG+이/JKC
되자"고	되/VV+자/EF+"/SS+고/JKQ
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.81.8.2
중국 윈난성 샹그릴라에서 눈 덮인 산을 함께 열흘간 트레킹했던 미국 노인 피에르는 스님이 보기에도 부러울 만큼 배려심 깊고 온화했다.

중국	중국/NNP
윈난성	윈난성/NNP
샹그릴라에서	샹그릴라/NNP+에서/JKB
눈	눈/NNG
덮인	덮이/VV+ㄴ/ETM
산을	산/NNG+을/JKO
함께	함께/MAG
열흘간	열흘/NNG+간/XSN
트레킹했던	트레킹/NNG+하/XSV+았/EP+던/ETM
미국	미국/NNP
노인	노인/NNG
피에르는	피에르/NNP+는/JX
스님이	스님/NNG+이/JKS
보기에도	보/VV+기에/EC+도/JX
부러울	부럽/VA+ㄹ/ETM
만큼	만큼/NNB
배려심	배려심/NNG
깊고	깊/VA+고/EC
온화했다.	온화하/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.81.8.3
하지만 얼마 전 말기암 선고를 받고 죽음을 기다리고 있다고 연락해왔다.

하지만	하지만/MAJ
얼마	얼마/NNG
전	전/NNG
말기암	말기/NNG+암/NNG
선고를	선고/NNG+를/JKO
받고	받/VV+고/EC
죽음을	죽음/NNG+을/JKO
기다리고	기다리/VV+고/EC
있다고	있/VX+다고/EC
연락해왔다.	연락/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.81.8.4
스님은 "여행이 인생의 축소판이라면, 나는 사랑하고 화내고 병들고 죽어가는 모든 이야기들을 길 위에서 압축해 겪고 있는 셈"이라고 했다.

스님은	스님/NNG+은/JX
"여행이	"/SS+여행/NNG+이/JKS
인생의	인생/NNG+의/JKG
축소판이라면,	축소판/NNG+이/VCP+라면/EC+,/SP
나는	나/NP+는/JX
사랑하고	사랑/NNG+하/XSV+고/EC
화내고	화내/VV+고/EC
병들고	병들/VV+고/EC
죽어가는	죽/VV+어/EC+가/VX+는/ETM
모든	모든/MMN
이야기들을	이야기/NNG+들/XSN+을/JKO
길	길/NNG
위에서	위/NNG+에서/JKB
압축해	압축/NNG+하/XSV+아/EC
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
셈"이라고	셈/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.81.8.5
스님은 그렇게 만난 사람들 이야기를 블로그와 페이스북에도 올리고, 해인사가 펴내는 월간 '해인'에 '원제스님의 세계 만행'으로도 연재하고 있다.

스님은	스님/NNG+은/JX
그렇게	그렇/VA+게/EC
만난	만나/VV+ㄴ/ETM
사람들	사람/NNG+들/XSN
이야기를	이야기/NNG+를/JKO
블로그와	블로그/NNG+와/JC
페이스북에도	페이스북/NNP+에/JKB+도/JX
올리고,	올리/VV+고/EC+,/SP
해인사가	해인사/NNP+가/JKS
펴내는	펴내/VV+는/ETM
월간	월간/NNG
'해인'에	'/SS+해인/NNP+'/SS+에/JKB
'원제스님의	'/SS+원제/NNP+스님/NNG+의/JKG
세계	세계/NNG
만행'으로도	만행/NNG+'/SS+으로/JKB+도/JX
연재하고	연재/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.81.9.1
스님은 이달 말 다시 출국한다.

스님은	스님/NNG+은/JX
이달	이달/NNG
말	말/NNB
다시	다시/MAG
출국한다.	출국/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.81.9.2
유럽을 거쳐 아프리카, 남미, 북미까지 갈 계획이다.

유럽을	유럽/NNP+을/JKO
거쳐	거치/VV+어/EC
아프리카,	아프리카/NNP+,/SP
남미,	남미/NNP+,/SP
북미까지	북미/NNP+까지/JX
갈	가/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.81.9.3
내년 말까지 '세계 만행'을 마치는 것이 목표다.

내년	내년/NNG
말까지	말/NNB+까지/JX
'세계	'/SS+세계/NNG
만행'을	만행/NNG+'/SS+을/JKO
마치는	마치/VV+는/ETM
것이	것/NNB+이/JKS
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.81.9.4
스님은 "끊임없이 걸었고, 걷지 않는 동안은 계속 대화를 했다. 아마 앞으로도 그럴 것"이라고 했다.

스님은	스님/NNG+은/JX
"끊임없이	"/SS+끊임없이/MAG
걸었고,	걷/VV+었/EP+고/EC+,/SP
걷지	걷/VV+지/EC
않는	않/VX+는/ETM
동안은	동안/NNG+은/JX
계속	계속/MAG
대화를	대화/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF
아마	아마/MAG
앞으로도	앞/NNG+으로/JKB+도/JX
그럴	그렇/VA+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ


# id : NWRW1800000038.81.9.5
"자기 삶의 방향을 점검하고 전환하고 싶어하는 사람들이, 제게 다가와 고민과 역경을 털어놓습니다.

"자기	"/SS+자기/NP
삶의	삶/NNG+의/JKG
방향을	방향/NNG+을/JKO
점검하고	점검/NNG+하/XSV+고/EC
전환하고	전환/NNG+하/XSV+고/EC
싶어하는	싶/VX+어/EC+하/VX+는/ETM
사람들이,	사람/NNG+들/XSN+이/JKS+,/SP
제게	저/NP+에게/JKB
다가와	다가오/VV+아/EC
고민과	고민/NNG+과/JC
역경을	역경/NNG+을/JKO
털어놓습니다.	털어놓/VV+습니다/EF+./SF


# id : NWRW1800000038.81.9.6
제가 승복을 입고 머리를 깎았다는 이유로요.

제가	제/NP+가/JKS
승복을	승복/NNG+을/JKO
입고	입/VV+고/EC
머리를	머리/NNG+를/JKO
깎았다는	깎/VV+았/EP+다는/ETM
이유로요.	이유/NNG+로/JKB+요/JX+./SF


# id : NWRW1800000038.81.9.7
지금 제게는 그들 모두가 길 위에서 만난 부처이고, 그들과 삶을 나누고 함께 경험을 쌓는 것이 가장 소중한 수행입니다."

지금	지금/MAG
제게는	저/NP+에게/JKB+는/JX
그들	그/NP+들/XSN
모두가	모두/NNG+가/JKS
길	길/NNG
위에서	위/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
부처이고,	부처/NNG+이/VCP+고/EC+,/SP
그들과	그/NP+들/XSN+과/JKB
삶을	삶/NNG+을/JKO
나누고	나누/VV+고/EC
함께	함께/MAG
경험을	경험/NNG+을/JKO
쌓는	쌓/VV+는/ETM
것이	것/NNB+이/JKS
가장	가장/MAG
소중한	소중하/VA+ㄴ/ETM
수행입니다."	수행/NNG+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000038.81.10.1
☞카우치 서핑(Couch Surfing)

☞카우치	☞/SW+카우치/NNG
서핑(Couch	서핑/NNG+(/SS+Couch/SL
Surfing)	Surfing/SL+)/SS


# id : NWRW1800000038.81.11.1
잠잘 만한 ‘소파(couch)’를 ‘옮겨 다니는 일(surfing)’을 뜻하는 여행자 네트워크.

잠잘	잠자/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
‘소파(couch)’를	‘/SS+소파/NNG+(/SS+couch/SL+)/SS+’/SS+를/JKO
‘옮겨	‘/SS+옮기/VV+어/EC
다니는	다니/VV+는/ETM
일(surfing)’을	일/NNG+(/SS+surfing/SL+)/SS+’/SS+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
여행자	여행자/NNG
네트워크.	네트워크/NNG+./SF


# id : NWRW1800000038.81.11.2
2004년 미국 보스턴의 한 대학생이 시작했다.

2004년	2004/SN+년/NNB
미국	미국/NNP
보스턴의	보스턴/NNP+의/JKG
한	한/MMN
대학생이	대학/NNG+생/XSN+이/JKS
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.81.11.3
인터넷(www.couchsurfing.org)과 페이스북을 통해 운영되며, 세계 10만여 도시에 회원이 약 600만명에 달한다.

인터넷(www.couchsurfing.org)과	인터넷/NNG+(/SS+www/SL+./SP+couchsurfing/SL+./SP+org/SL+)/SS+과/JC
페이스북을	페이스북/NNP+을/JKO
통해	통하/VV+아/EC
운영되며,	운영/NNG+되/XSV+며/EC+,/SP
세계	세계/NNG
10만여	10/SN+만/NR+여/XSN
도시에	도시/NNG+에/JKB
회원이	회원/NNG+이/JKS
약	약/MMA
600만명에	600/SN+만/NR+명/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.81.11.4
‘숙소 교환’이 아니라, A는 B를, B는 C를, C…Z 중 누군가는 다시 A를 재워주는 식으로 연결되는 일종의 ‘무료 숙소 품앗이’다.

‘숙소	‘/SS+숙소/NNG
교환’이	교환/NNG+’/SS+이/JKC
아니라,	아니/VCN+라/EC+,/SP
A는	A/SL+는/JX
B를,	B/SL+를/JKO+,/SP
B는	B/SL+는/JX
C를,	C/SL+를/JKO+,/SP
C…Z	C/SL+…/SE+Z/SL
중	중/NNB
누군가는	누구/NP+이/VCP+ㄴ가/EF+는/JX
다시	다시/MAG
A를	A/SL+를/JKO
재워주는	재우/VV+어/EC+주/VX+는/ETM
식으로	식/NNB+으로/JKB
연결되는	연결/NNG+되/XSV+는/ETM
일종의	일종/NNG+의/JKG
‘무료	‘/SS+무료/NNG
숙소	숙소/NNG
품앗이’다.	품앗이/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.81.11.5
여행을 원하는 ‘서퍼(surfer)’가 목적지 회원들에게 ‘호스트(host)’ 요청을 하면, 호스트는 자기소개서를 보고 교류하고 싶은 기술·지식·경험 등을 가진 서퍼를 선택, 숙박을 제공한다.

여행을	여행/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
‘서퍼(surfer)’가	‘/SS+서퍼/NNG+(/SS+surfer/SL+)/SS+’/SS+가/JKS
목적지	목적지/NNG
회원들에게	회원/NNG+들/XSN+에게/JKB
‘호스트(host)’	‘/SS+호스트/NNG+(/SS+host/SL+)/SS+’/SS
요청을	요청/NNG+을/JKO
하면,	하/VV+면/EC+,/SP
호스트는	호스트/NNG+는/JX
자기소개서를	자기소개서/NNG+를/JKO
보고	보/VV+고/EC
교류하고	교류/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
기술·지식·경험	기술/NNG+·/SP+지식/NNG+·/SP+경험/NNG
등을	등/NNB+을/JKO
가진	가지/VV+ㄴ/ETM
서퍼를	서퍼/NNG+를/JKO
선택,	선택/NNG+,/SP
숙박을	숙박/NNG+을/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


