# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.259
metadata : {}


# id : NWRW1800000056.259.1.1
고교생 위험 내몬 ‘조기취업 현장실습’ 내년 폐지

고교생	고교/NNG+생/XSN
병역특례업체	병역/NNG+특례/NNG+업체/NNG
선정이나	선정/NNG+이나/JC
금융기관	금융/NNG+기관/NNG
대출	대출/NNG
금리	금리/NNG
혜택	혜택/NNG
등	등/NNB
인센티브를	인센티브/NNG+를/JKO
주는	주/VV+는/ETM
방안을	방안/NNG+을/JKO
찾기로	찾/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.259.10.5
또 교육부는 모든 현장실습 사업장을 점검해 안전 및 인권 침해 우려가 있다고 판단되면, 실습생을 학교로 돌려보내는 조처도 취하기로 했다.

또	또/MAG
교육부는	교육부/NNG+는/JX
모든	모든/MMN
현장실습	현장/NNG+실습/NNG
사업장을	사업장/NNG+을/JKO
점검해	점검/NNG+하/XSV+아/EC
안전	안전/NNG
및	및/MAG
인권	인권/NNG
침해	침해/NNG
우려가	우려/NNG+가/JKS
있다고	있/VA+다고/EC
판단되면,	판단/NNG+되/XSV+면/EC+,/SP
실습생을	실습/NNG+생/XSN+을/JKO
학교로	학교/NNG+로/JKB
돌려보내는	돌려보내/VV+는/ETM
조처도	조처/NNG+도/JX
취하기로	취하/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.259.11.1
‘학습중심 현장실습제도’ 전면 도입 시기는 애초 2020년으로 계획됐지만, 이민호군 사건을 계기로 내년으로 앞당겨졌다.

‘학습중심	‘/SS+학습/NNG+중심/NNG
현장실습제도’	현장/NNG+실습/NNG+제도/NNG+’/SS
전면	전면/NNG
도입	도입/NNG
시기는	시기/NNG+는/JX
애초	애초/NNG
2020년으로	2020/SN+년/NNB+으로/JKB
계획됐지만,	계획/NNG+되/XSV+었/EP+지만/EC+,/SP
이민호군	이민호/NNP+군/NNB
사건을	사건/NNG+을/JKO
계기로	계기/NNG+로/JKB
내년으로	내년/NNG+으로/JKB
앞당겨졌다.	앞당기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.259.11.2
교육부 관계자는 “졸업도 안 한 학생을 사실상 값싼 노동자로 부리면서 위험 업무까지 맡긴 탓에 현장실습 관련 각종 안전사고가 빚어졌다”며 “실습 업체가 ‘실습생’의 권리를 지키도록 관련 법과 제도도 고쳐나갈 계획”이라고 말했다.

교육부	교육부/NNG
관계자는	관계자/NNG+는/JX
“졸업도	“/SS+졸업/NNG+도/JX
안	안/MAG
한	하/VV+ㄴ/ETM
학생을	학생/NNG+을/JKO
사실상	사실/NNG+상/XSN
값싼	값싸/VA+ㄴ/ETM
노동자로	노동자/NNG+로/JKB
부리면서	부리/VV+면서/EC
위험	위험/NNG
업무까지	업무/NNG+까지/JX
맡긴	맡기/VV+ㄴ/ETM
탓에	탓/NNG+에/JKB
현장실습	현장/NNG+실습/NNG
관련	관련/NNG
각종	각종/NNG
안전사고가	안전사고/NNG+가/JKS
빚어졌다”며	빚어지/VV+었/EP+다/EF+”/SS+며/EC
“실습	“/SS+실습/NNG
업체가	업체/NNG+가/JKS
‘실습생’의	‘/SS+실습/NNG+생/XSN+’/SS+의/JKG
권리를	권리/NNG+를/JKO
지키도록	지키/VV+도록/EC
법과	법/NNG+과/JC
제도도	제도/NNG+도/JX
고쳐나갈	고치/VV+어/EC+나가/VX+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


