# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.320
metadata : {}


# id : NWRW1800000048.320.1.1
OK저축, 창단 2년만에 챔피언전 진출

OK저축,	OK/SL+저축/NNG+,/SP
오케이저축은행은 세트점수 1-1로 균형을 이룬 3세트에서 한때 16-20으로 뒤졌다.

오케이저축은행은	오케이저축은행/NNP+은/JX
세트점수	세트/NNG+점수/NNG
1-1로	1/SN+-/SO+1/SN+로/JKB
균형을	균형/NNG+을/JKO
이룬	이루/VV+ㄴ/ETM
3세트에서	3/SN+세트/NNG+에서/JKB
한때	한때/MAG
16-20으로	16/SN+-/SO+20/SN+으로/JKB
뒤졌다.	뒤지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.320.6.3
한국전력 서재덕의 범실로 한 점을 추가한 오케이저축은행은 시몬의 오픈과 속공이 잇따라 성공해 1점차로 추격했고, 전광인의 범실로 순식간에 동점을 만들었다.

한국전력	한국전력/NNP
서재덕의	서재덕/NNP+의/JKG
범실로	범실/NNG+로/JKB
한	하/VV+ㄴ/ETM
점을	점/NNB+을/JKO
추가한	추가/NNG+하/XSV+ㄴ/ETM
오케이저축은행은	오케이저축은행/NNP+은/JX
시몬의	시몬/NNP+의/JKG
오픈과	오픈/NNG+과/JC
속공이	속공/NNG+이/JKS
잇따라	잇따르/VV+아/EC
성공해	성공/NNG+하/XSV+아/EC
1점차로	1/SN+점/NNB+차/NNG+로/JKB
추격했고,	추격/NNG+하/XSV+았/EP+고/EC+,/SP
전광인의	전광인/NNP+의/JKG
순식간에	순식/NNG+간/XSN+에/JKB
동점을	동점/NNG+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.320.6.4
오케이저축은행은 이어 고비마다 주포 시몬이 백어택과 서브 득점 등을 성공하며 기어코 역전승으로 세트를 따냈다.

오케이저축은행은	오케이저축은행/NNP+은/JX
이어	이어/MAG
고비마다	고비/NNG+마다/JX
주포	주포/NNG
시몬이	시몬/NNP+이/JKS
백어택과	백/NNG+어택/NNG+과/JC
서브	서브/NNG
득점	득점/NNG
등을	등/NNB+을/JKO
성공하며	성공/NNG+하/XSV+며/EC
기어코	기어코/MAG
역전승으로	역전승/NNG+으로/JKB
세트를	세트/NNG+를/JKO
따냈다.	따/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.320.7.1
오케이저축은행은 4세트 들어 후반 점수차가 벌어지자 시몬을 벤치에서 쉬게 하며 5세트를 준비했다.

오케이저축은행은	오케이저축은행/NNP+은/JX
4세트	4/SN+세트/NNG
들어	들/VV+어/EC
후반	후반/NNG
점수차가	점수/NNG+차/NNG+가/JKS
벌어지자	벌어지/VV+자/EC
시몬을	시몬/NNP+을/JKO
벤치에서	벤치/NNG+에서/JKB
쉬게	쉬/VV+게/EC
하며	하/VX+며/EC
5세트를	5/SN+세트/NNG+를/JKO
준비했다.	준비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.320.7.2
한국전력과 치열한 접전을 펼치던 오케이저축은행은 4-4에서 송명근의 블로킹, 시몬의 백어택, 김규민의 블로킹이 잇따라 나오며 7-4로 치고 나가 승기를 잡았다.

한국전력과	한국전력/NNP+과/JKB
치열한	치열/NNG+하/XSA+ㄴ/ETM
접전을	접전/NNG+을/JKO
펼치던	펼치/VV+던/ETM
오케이저축은행은	오케이저축은행/NNP+은/JX
4-4에서	4/SN+-/SO+4/SN+에서/JKB
송명근의	송명근/NNP+의/JKG
블로킹,	블로킹/NNG+,/SP
시몬의	시몬/NNP+의/JKG
백어택,	백/NNG+어택/NNG+,/SP
김규민의	김규민/NNP+의/JKG
블로킹이	블로킹/NNG+이/JKS
잇따라	잇따르/VV+아/EC
나오며	나오/VV+며/EC
7-4로	7/SN+-/SO+4/SN+로/JKB
치고	치/VV+고/EC
나가	나가/VV+아/EC
승기를	승기/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.320.7.3
오케이저축은행은 7-5에서 한국전력이 제기한 비디오 판독에서도 정심으로 나오며 8-5로 점수차가 벌어지자 이후 2~3점차를 꾸준히 유지했고 마지막 14-11에서 송명근의 시간차 공격으로 길고 긴 승부를 마무리지었다.

오케이저축은행은	오케이저축은행/NNP+은/JX
7-5에서	7/SN+-/SO+5/SN+에서/JKB
한국전력이	한국전력/NNP+이/JKS
제기한	제기/NNG+하/XSV+ㄴ/ETM
비디오	비디오/NNG
판독에서도	판독/NNG+에서/JKB+도/JX
정심으로	정심/NNG+으로/JKB
나오며	나오/VV+며/EC
8-5로	8/SN+-/SO+5/SN+로/JKB
점수차가	점수/NNG+차/NNG+가/JKS
벌어지자	벌어지/VV+자/EC
이후	이후/NNG
2~3점차를	2/SN+~/SO+3/SN+점/NNB+차/NNG+를/JKO
꾸준히	꾸준히/MAG
유지했고	유지/NNG+하/XSV+았/EP+고/EC
마지막	마지막/NNG
14-11에서	14/SN+-/SO+11/SN+에서/JKB
송명근의	송명근/NNP+의/JKG
시간차	시간차/NNG
공격으로	공격/NNG+으로/JKB
길고	길/VA+고/EC
긴	길/VA+ㄴ/ETM
승부를	승부/NNG+를/JKO
마무리지었다.	마무리/NNG+짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.320.7.4
오케이저축은행 시몬은 이날 블로킹 5개와 서브 에이스 3개를 포함해 43득점을 터뜨리며 팀의 첫 챔프전을 이끌었다.

오케이저축은행	오케이저축은행/NNP
시몬은	시몬/NNP+은/JX
이날	이날/NNG
블로킹	블로킹/NNG
5개와	5/SN+개/NNB+와/JC
서브	서브/NNG
에이스	에이스/NNG
3개를	3/SN+개/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
43득점을	43/SN+득점/NNG+을/JKO
터뜨리며	터뜨리/VV+며/EC
팀의	팀/NNG+의/JKG
첫	첫/MMN
챔프전을	챔프전/NNG+을/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


