# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.64
metadata : {}


# id : NWRW1800000024.64.1.1
‘촛불사건’ 특정 재판부 몰아주기 /판사들 ‘반발’ 대책회의 했었다

‘촛불사건’	‘/SS+촛불/NNG+사건/NNG+’/SS
예규에는	예규/NNG+에/JKB+는/JX
“사건	“/SS+사건/NNG
배당은	배당/NNG+은/JX
재판부	재판부/NNG
배당	배당/NNG
순서에	순서/NNG+에/JKB
따라	따르/VV+아/EC
1건씩	1/SN+건/NNB+씩/XSN
각	각/MMD
재판부에	재판부/NNG+에/JKB
부여한다.	부여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.64.4.4
다만 쟁점이 동일하거나 사회에 미치는 영향이 큰 사건은 배당 주관자가 적절히 배정할 수 있다”고 나와 있다.

다만	다만/MAG
쟁점이	쟁점/NNG+이/JKS
동일하거나	동일/NNG+하/XSA+거나/EC
사회에	사회/NNG+에/JKB
미치는	미치/VV+는/ETM
영향이	영향/NNG+이/JKS
큰	크/VA+ㄴ/ETM
사건은	사건/NNG+은/JX
배당	배당/NNG
주관자가	주관자/NNG+가/JKS
적절히	적절히/MAG
배정할	배정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
나와	나오/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.64.5.1
이에 대해 서울중앙지법의 형사사건 배당을 맡았던 허만 당시 형사수석부장판사는 “관련 사건들이라 대법원 예규에 따라 재판 진행이나 양형 편차 등을 고려해 한 재판부에 배당했다”며 “이후 한 재판부에 몰아주는 게 문제가 될 수 있다는 얘기를 직간접적으로 들은 뒤 통상적으로 배당했다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
서울중앙지법의	서울중앙지법/NNP+의/JKG
형사사건	형사/NNG+사건/NNG
배당을	배당/NNG+을/JKO
맡았던	맡/VV+았/EP+던/ETM
허만	허만/NNP
당시	당시/NNG
형사수석부장판사는	형사/NNG+수석/NNG+부장/NNG+판사/NNG+는/JX
“관련	“/SS+관련/NNG
사건들이라	사건/NNG+들/XSN+이/VCP+라/EC
대법원	대/XPN+법원/NNG
예규에	예규/NNG+에/JKB
따라	따르/VV+아/EC
재판	재판/NNG
진행이나	진행/NNG+이나/JC
양형	양형/NNG
편차	편차/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
한	한/MMN
재판부에	재판부/NNG+에/JKB
배당했다”며	배당/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“이후	“/SS+이후/NNG
몰아주는	몰아주/VV+는/ETM
게	거/NNB+이/JKS
문제가	문제/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
얘기를	얘기/NNG+를/JKO
직간접적으로	직간접/NNG+적/XSN+으로/JKB
들은	듣/VV+은/ETM
뒤	뒤/NNG
통상적으로	통상/NNG+적/XSN+으로/JKB
배당했다”고	배당/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.64.5.2
허 부장판사는 “판사들이 공식적으로 문제제기를 하지는 않았다”고 덧붙였다.

허	허/NNP
부장판사는	부장/NNG+판사/NNG+는/JX
“판사들이	“/SS+판사/NNG+들/XSN+이/JKS
공식적으로	공식/NNG+적/XSN+으로/JKB
문제제기를	문제/NNG+제기/NNG+를/JKO
하지는	하/VV+지/EC+는/JX
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.64.6.1
신영철 대법관은 “형사단독 판사들에게 유감 표명이나 사과 등을 한 적이 없다”고 밝혔다고 대법원 관계자가 전했다.

신영철	신영철/NNP
대법관은	대/XPN+법관/NNG+은/JX
“형사단독	“/SS+형사/NNG+단독/NNG
판사들에게	판사/NNG+들/XSN+에게/JKB
유감	유감/NNG
표명이나	표명/NNG+이나/JC
사과	사과/NNG
등을	등/NNB+을/JKO
한	하/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다고	밝히/VV+었/EP+다고/EC
대법원	대/XPN+법원/NNG
관계자가	관계자/NNG+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.64.6.2
대법원 관계자는 “신 대법관은 ‘당시 촛불집회 관련 사건이 폭주해 배당 방식을 바꾼 것’이라는 입장을 밝혔다”고 말했다.

대법원	대/XPN+법원/NNG
관계자는	관계자/NNG+는/JX
“신	“/SS+신/NNP
대법관은	대/XPN+법관/NNG+은/JX
‘당시	‘/SS+당시/NNG
촛불집회	촛불/NNG+집회/NNG
관련	관련/NNG
사건이	사건/NNG+이/JKS
폭주해	폭주/NNG+하/XSV+아/EC
배당	배당/NNG
방식을	방식/NNG+을/JKO
바꾼	바꾸/VV+ㄴ/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
입장을	입장/NNG+을/JKO
밝혔다”고	밝히/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.64.6.3
촛불집회 관련 사건은, 안진걸 광우병 국민대책회의 조직팀장 사건을 맡았던 박재영 당시 서울중앙지법 판사가 사직하는 등 법원 내부에서도 뜨거운 쟁점이 됐었다.

촛불집회	촛불/NNG+집회/NNG
관련	관련/NNG
사건은,	사건/NNG+은/JX+,/SP
안진걸	안진걸/NNP
광우병	광우병/NNG
국민대책회의	국민/NNG+대책/NNG+회의/NNG
조직팀장	조직/NNG+팀장/NNG
사건을	사건/NNG+을/JKO
맡았던	맡/VV+았/EP+던/ETM
박재영	박재영/NNP
당시	당시/NNG
서울중앙지법	서울중앙지법/NNP
판사가	판사/NNG+가/JKS
사직하는	사직/NNG+하/XSV+는/ETM
등	등/NNB
법원	법원/NNG
내부에서도	내부/NNG+에서/JKB+도/JX
뜨거운	뜨겁/VA+ㄴ/ETM
쟁점이	쟁점/NNG+이/JKC
됐었다.	되/VV+었었/EP+다/EF+./SF


