# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.145
metadata : {}


# id : NWRW1800000024.145.1.1
2차감염 1명 “어디서 감염됐는지 파악안된다”

2차감염	2/SN+차/NNB+감염/NNG
첫 추정환자와 함께 비행기를 탄 337명 가운데 추적하기 힘든 외국인 및 환승객 141명 가운데 감염인이 있음을 배제할 수 없는 점도 불안 거리다.

첫	첫/MMN
추정환자와	추정/NNG+환자/NNG+와/JKB
함께	함께/MAG
비행기를	비행기/NNG+를/JKO
탄	타/VV+ㄴ/ETM
337명	337/SN+명/NNB
가운데	가운데/NNG
추적하기	추적/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
외국인	외국인/NNG
및	및/MAG
환승객	환승객/NNG
141명	141/SN+명/NNB
감염인이	감염인/NNG+이/JKS
있음을	있/VA+음/ETN+을/JKO
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
점도	점/NNG+도/JX
불안	불안/NNG
거리다.	거리/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.145.4.2
■ 추정환자 증상은 양호=1일 현재 추정환자 3명은 모두 건강하다.

■	■/SW
추정환자	추정/NNG+환자/NNG
증상은	증상/NNG+은/JX
양호=1일	양호/NNG+=/SW+1/SN+일/NNB
현재	현재/MAG
3명은	3/SN+명/NNB+은/JX
모두	모두/MAG
건강하다.	건강/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000024.145.4.3
감기를 앓은 뒤처럼 증상이 깨끗하게 좋아졌다는 것이 보건당국의 이야기다.

감기를	감기/NNG+를/JKO
앓은	앓/VV+은/ETM
뒤처럼	뒤/NNG+처럼/JKB
증상이	증상/NNG+이/JKS
깨끗하게	깨끗하/VA+게/EC
좋아졌다는	좋/VA+아/EC+지/VX+었/EP+다는/ETM
것이	것/NNB+이/JKS
보건당국의	보건/NNG+당국/NNG+의/JKG
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.145.4.4
이런 상황이라면 몇 사람의 추정환자가 더 나와도 심각한 상황으로 번질 것 같지 않다는 전망이 우세하다.

이런	이런/MMD
상황이라면	상황/NNG+이/VCP+라면/EC
몇	몇/NR
사람의	사람/NNG+의/JKG
추정환자가	추정/NNG+환자/NNG+가/JKS
더	더/MAG
나와도	나오/VV+아도/EC
심각한	심각하/VA+ㄴ/ETM
상황으로	상황/NNG+으로/JKB
번질	번지/VV+ㄹ/ETM
것	것/NNB
같지	같/VA+지/EC
않다는	않/VX+다는/ETM
전망이	전망/NNG+이/JKS
우세하다.	우세/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000024.145.4.5
전 센터장은 “추정환자가 많이 늘어난다면 사람 사이 전파가 잘되는 인플루엔자 바이러스로 볼 수 있다”며 “하지만 심각한 증상이 나타나지 않는다면 보통 사람에게 유행하는 계절성 인플루엔자와 큰 차이가 없다고 볼 수 있다”고 말했다.

전	전/NNP
센터장은	센터장/NNG+은/JX
“추정환자가	“/SS+추정/NNG+환자/NNG+가/JKS
많이	많이/MAG
늘어난다면	늘어나/VV+ㄴ다면/EC
사람	사람/NNG
사이	사이/NNG
전파가	전파/NNG+가/JKS
잘되는	잘/MAG+되/XSV+는/ETM
인플루엔자	인플루엔자/NNG
바이러스로	바이러스/NNG+로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“하지만	“/SS+하지만/MAJ
심각한	심각하/VA+ㄴ/ETM
증상이	증상/NNG+이/JKS
나타나지	나타나/VV+지/EC
않는다면	않/VX+는다면/EC
보통	보통/NNG
사람에게	사람/NNG+에게/JKB
유행하는	유행/NNG+하/XSV+는/ETM
계절성	계절/NNG+성/XSN
인플루엔자와	인플루엔자/NNG+와/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없다고	없/VA+다고/EC
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.145.4.6
멕시코를 제외한 유럽 등 다른 나라의 상황도 우리나라와 비슷하다.

멕시코를	멕시코/NNP+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
유럽	유럽/NNP
등	등/NNB
다른	다른/MMD
나라의	나라/NNG+의/JKG
상황도	상황/NNG+도/JX
우리나라와	우리나라/NNG+와/JKB
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000024.145.4.7
세계보건기구 쪽에서도 이번 인플루엔자 바이러스가 사람 사이 전파를 일으키기는 했지만 동시에 독성이 크게 떨어진 것으로 볼 수 있다는 견해가 나온다.

세계보건기구	세계보건기구/NNP
쪽에서도	쪽/NNB+에서/JKB+도/JX
이번	이번/NNG
인플루엔자	인플루엔자/NNG
바이러스가	바이러스/NNG+가/JKS
사람	사람/NNG
사이	사이/NNG
전파를	전파/NNG+를/JKO
일으키기는	일으키/VV+기/ETN+는/JX
했지만	하/VX+았/EP+지만/EC
동시에	동시/NNG+에/JKB
독성이	독성/NNG+이/JKS
크게	크/VA+게/EC
떨어진	떨어지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
견해가	견해/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


