# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.57
metadata : {}


# id : NWRW1800000038.57.1.1
너무 허술한 CIA… 피자집서 정보원 면접

너무	너무/MAG
요원들이	요원/NNG+들/XSN+이/JKS
일반	일반/NNG
휴대전화를	휴대/NNG+전화/NNG+를/JKO
사용하고,	사용/NNG+하/XSV+고/EC+,/SP
5성급	5/SN+성급/NNG
호텔에	호텔/NNG+에/JKB
실명으로	실명/NNG+으로/JKB
투숙하는	투숙/NNG+하/XSV+는/ETM
등	등/NNB
꼬리를	꼬리/NNG+를/JKO
밟힌	밟히/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.57.4.5
FP는 "납치 준비 당시 교통 감시 카메라에 CIA 승합차가 뚜렷이 찍히기도 했다"며 "당시 CIA의 밀라노 지국장 등 22명이 기소돼 유죄 선고를 받았다"고 전했다.

FP는	FP/SL+는/JX
"납치	"/SS+납치/NNG
준비	준비/NNG
당시	당시/NNG
교통	교통/NNG
감시	감시/NNG
카메라에	카메라/NNG+에/JKB
CIA	CIA/SL
승합차가	승합차/NNG+가/JKS
뚜렷이	뚜렷이/MAG
찍히기도	찍히/VV+기/ETN+도/JX
했다"며	하/VX+았/EP+다/EF+"/SS+며/EC
"당시	"/SS+당시/NNG
CIA의	CIA/SL+의/JKG
밀라노	밀라노/NNP
지국장	지국장/NNG
등	등/NNB
22명이	22/SN+명/NNB+이/JKS
기소돼	기소/NNG+되/XSV+어/EC
유죄	유죄/NNG
선고를	선고/NNG+를/JKO
받았다"고	받/VV+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.57.5.1
6년 전 이란에서 실종된 로버트 레빈슨(65) 전 연방수사국(FBI) 요원도 CIA의 의뢰를 받아 활동하던 중이었다.

6년	6/SN+년/NNB
전	전/MMD
이란에서	이란/NNP+에서/JKB
실종된	실종/NNG+되/XSV+ㄴ/ETM
로버트	로버트/NNP
레빈슨(65)	레빈슨/NNP+(/SS+65/SN+)/SS
연방수사국(FBI)	연방수사국/NNP+(/SS+FBI/SL+)/SS
요원도	요원/NNG+도/JX
CIA의	CIA/SL+의/JKG
의뢰를	의뢰/NNG+를/JKO
받아	받/VV+아/EC
활동하던	활동/NNG+하/XSV+던/ETM
중이었다.	중/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.57.5.2
FP는 "레빈슨에게 작전을 지시한 사람은 첩보 작전 명령 권한이 없는 사람"이라고 비판했다.

FP는	FP/SL+는/JX
"레빈슨에게	"/SS+레빈슨/NNP+에게/JKB
작전을	작전/NNG+을/JKO
지시한	지시/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
첩보	첩보/NNG
작전	작전/NNG
명령	명령/NNG
권한이	권한/NNG+이/JKS
없는	없/VA+는/ETM
사람"이라고	사람/NNG+"/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.57.6.1
이 밖에도 CIA의 어처구니없는 실수로 ▲1985년 헤즈볼라 지도자 암살 실패 후 동맹 세력에 이를 뒤집어씌우려다 들통 난 일 ▲1957년 시리아 고위급 3명을 암살한 일을 CIA 현지 정보원이 TV에 출연해 폭로한 일▲1960년 U-2 정찰기로 소련 미사일 기지를 촬영하다 격추된 일 등을 열거했다.

이	이/NP
밖에도	밖/NNG+에/JKB+도/JX
CIA의	CIA/SL+의/JKG
어처구니없는	어처구니없/VA+는/ETM
실수로	실수/NNG+로/JKB
▲1985년	▲/SW+1985/SN+년/NNB
헤즈볼라	헤즈볼라/NNP
지도자	지도자/NNG
암살	암살/NNG
실패	실패/NNG
후	후/NNG
동맹	동맹/NNG
세력에	세력/NNG+에/JKB
이를	이/NP+를/JKO
뒤집어씌우려다	뒤집어씌우/VV+려다/EC
들통	들통/NNG
난	나/VV+ㄴ/ETM
일	일/NNG
▲1957년	▲/SW+1957/SN+년/NNB
시리아	시리아/NNP
고위급	고위급/NNG
3명을	3/SN+명/NNB+을/JKO
암살한	암살/NNG+하/XSV+ㄴ/ETM
일을	일/NNG+을/JKO
CIA	CIA/SL
현지	현지/NNG
정보원이	정보원/NNG+이/JKS
TV에	TV/SL+에/JKB
출연해	출연/NNG+하/XSV+아/EC
폭로한	폭로/NNG+하/XSV+ㄴ/ETM
일▲1960년	일/NNG+▲/SW+1960/SN+년/NNB
U-2	U/SL+-/SO+2/SN
정찰기로	정찰기/NNG+로/JKB
소련	소련/NNP
미사일	미사일/NNG
기지를	기지/NNG+를/JKO
촬영하다	촬영/NNG+하/XSV+다/EC
격추된	격추/NNG+되/XSV+ㄴ/ETM
등을	등/NNB+을/JKO
열거했다.	열거/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.57.6.2
FP는 "쿠바의 피델 카스트로 축출을 시도하다가 미사일 위기를 초래한 것도 CIA의 불찰"이라고 지적했다.

FP는	FP/SL+는/JX
"쿠바의	"/SS+쿠바/NNP+의/JKG
피델	피델/NNP
카스트로	카스트로/NNP
축출을	축출/NNG+을/JKO
시도하다가	시도/NNG+하/XSV+다가/EC
미사일	미사일/NNG
위기를	위기/NNG+를/JKO
초래한	초래/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
CIA의	CIA/SL+의/JKG
불찰"이라고	불찰/NNG+"/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


