# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.55
metadata : {}


# id : NWRW1800000044.55.1.1
제2금융권 ‘임원추천위’ 신설 없던 일로…“재벌에 무력한 금융위” 비판 확산

제2금융권	제/XPN+2/SN+금융/NNG+권/XSN
은행지주(11곳)에만	은행/NNG+지주/NNG+(/SS+11/SN+곳/NNG+)/SS+에/JKB+만/JX
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.55.5.4
지난달 20일 금융위는 2금융권을 포함한 자산 2조원 이상 모든 금융회사에 임추위 설치를 의무화하겠다는 방안을 발표한 바 있다.

지난달	지난달/NNG
20일	20/SN+일/NNB
금융위는	금융위/NNG+는/JX
2금융권을	2/SN+금융/NNG+권/XSN+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
자산	자산/NNG
2조원	2/SN+조/NR+원/NNB
이상	이상/NNG
모든	모든/MMN
금융회사에	금융/NNG+회사/NNG+에/JKB
임추위	임추위/NNG
설치를	설치/NNG+를/JKO
의무화하겠다는	의무/NNG+화/XSN+하/XSV+겠/EP+다는/ETM
방안을	방안/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.55.5.5
이럴 경우 재벌 총수가 계열 금융사의 사장을 자의적으로 임명해온 관행에 제동이 걸린다.

이럴	이렇/VA+ㄹ/ETM
경우	경우/NNG
재벌	재벌/NNG
총수가	총수/NNG+가/JKS
계열	계열/NNG
금융사의	금융사/NNG+의/JKG
사장을	사장/NNG+을/JKO
자의적으로	자의/NNG+적/XSN+으로/JKB
임명해온	임명/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
관행에	관행/NNG+에/JKB
제동이	제동/NNG+이/JKS
걸린다.	걸리/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.55.5.6
하지만 삼성그룹을 중심으로 ‘주주권 침해’라는 반대 의견이 집중적으로 제기되면서 금융위가 한발 물러선 상황이다.

하지만	하지만/MAJ
삼성그룹을	삼성그룹/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
‘주주권	‘/SS+주주/NNG+권/XSN
침해’라는	침해/NNG+’/SS+이/VCP+라는/ETM
반대	반대/NNG
의견이	의견/NNG+이/JKS
집중적으로	집중/NNG+적/XSN+으로/JKB
제기되면서	제기/NNG+되/XSV+면서/EC
금융위가	금융위/NNG+가/JKS
한발	한발/MAG
물러선	물러서/VV+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.55.6.1
새정치민주연합 민병두 의원은 23일 논평을 내어 “금융위가 2금융권을 사금고로 활용하고 있는 삼성 등 재벌그룹의 명분 없는 집단 이기주의를 수용하려 하고 있다”며 “왜 삼성 앞에만 서면 (금융당국이) 작아지는지 의문”이라고 밝혔다.

새정치민주연합	새정치민주연합/NNP
민병두	민병두/NNP
의원은	의원/NNG+은/JX
23일	23/SN+일/NNB
논평을	논평/NNG+을/JKO
내어	내/VV+어/EC
“금융위가	“/SS+금융위/NNG+가/JKS
2금융권을	2/SN+금융/NNG+권/XSN+을/JKO
사금고로	사금고/NNG+로/JKB
활용하고	활용/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
삼성	삼성/NNP
등	등/NNB
재벌그룹의	재벌/NNG+그룹/NNG+의/JKG
명분	명분/NNG
없는	없/VA+는/ETM
집단	집단/NNG
이기주의를	이기주의/NNG+를/JKO
수용하려	수용/NNG+하/XSV+려/EC
하고	하/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“왜	“/SS+왜/MAG
앞에만	앞/NNG+에/JKB+만/JX
서면	서/VV+면/EC
(금융당국이)	(/SS+금융/NNG+당국/NNG+이/JKS+)/SS
작아지는지	작아지/VV+는지/EF
의문”이라고	의문/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.55.6.2
경제개혁연대도 같은 날 “재벌 총수의 전횡적 인사권을 주주권으로 곡학아세하는 삼성의 주장에 동조해 방침을 수정하려는 금융위는 스스로 감독기구의 권위를 포기한 것”이라고 비판했다.

경제개혁연대도	경제/NNG+개혁/NNG+연대/NNG+도/JX
같은	같/VA+은/ETM
날	날/NNG
“재벌	“/SS+재벌/NNG
총수의	총수/NNG+의/JKG
전횡적	전횡/NNG+적/XSN
인사권을	인사/NNG+권/XSN+을/JKO
주주권으로	주주/NNG+권/XSN+으로/JKB
곡학아세하는	곡학아세/NNG+하/XSV+는/ETM
삼성의	삼성/NNP+의/JKG
주장에	주장/NNG+에/JKB
동조해	동조/NNG+하/XSV+아/EC
방침을	방침/NNG+을/JKO
수정하려는	수정/NNG+하/XSV+려는/ETM
금융위는	금융위/NNG+는/JX
스스로	스스로/MAG
감독기구의	감독/NNG+기구/NNG+의/JKG
권위를	권위/NNG+를/JKO
포기한	포기/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.55.7.1
전문가들은 금융당국이 2금융권의 시이오 리스크 관리에도 적극 나설 필요가 있는데, 이런 요구에 역행하고 있다고 지적한다.

전문가들은	전문가/NNG+들/XSN+은/JX
금융당국이	금융/NNG+당국/NNG+이/JKS
2금융권의	2/SN+금융/NNG+권/XSN+의/JKG
시이오	시이오/NNG
리스크	리스크/NNG
관리에도	관리/NNG+에/JKB+도/JX
적극	적극/NNG
나설	나서/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있는데,	있/VA+는데/EC+,/SP
이런	이런/MMD
요구에	요구/NNG+에/JKB
역행하고	역행/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.55.7.2
송민경 기업지배구조원 연구위원은 “금융회사에는 주주와 피고용인 외에도 주식과 회사채, 펀드 투자자 및 보험계약자 등 여러 이해관계자가 있으며 이 때문에 시이오 리스크가 야기할 피해 범위도 크다”며 “2금융권의 경우, 최대주주가 산업자본이거나 산업자본과 소유구조로 얽힌 사례가 많은데 직접 보유한 지분율이 5% 미만인 최대주주가 전 계열사의 시이오를 선임하는 것이 정당화될 수 있는지 궁금하다”고 밝혔다.

송민경	송민경/NNP
기업지배구조원	기업/NNG+지배/NNG+구조원/NNG
연구위원은	연구/NNG+위원/NNG+은/JX
“금융회사에는	“/SS+금융/NNG+회사/NNG+에/JKB+는/JX
주주와	주주/NNG+와/JC
피고용인	피/XPN+고용인/NNG
외에도	외/NNB+에/JKB+도/JX
주식과	주식/NNG+과/JC
회사채,	회사채/NNG+,/SP
펀드	펀드/NNG
투자자	투자자/NNG
및	및/MAG
보험계약자	보험/NNG+계약자/NNG
등	등/NNB
여러	여러/MMN
이해관계자가	이해관계자/NNG+가/JKS
있으며	있/VA+으며/EC
이	이/MMD
때문에	때문/NNB+에/JKB
시이오	시이오/NNG
리스크가	리스크/NNG+가/JKS
야기할	야기/NNG+하/XSV+ㄹ/ETM
피해	피해/NNG
범위도	범위/NNG+도/JX
크다”며	크/VA+다/EF+”/SS+며/EC
“2금융권의	“/SS+2/SN+금융/NNG+권/XSN+의/JKG
경우,	경우/NNG+,/SP
최대주주가	최대/NNG+주주/NNG+가/JKS
산업자본이거나	산업/NNG+자본/NNG+이/VCP+거나/EC
산업자본과	산업/NNG+자본/NNG+과/JC
소유구조로	소유/NNG+구조/NNG+로/JKB
얽힌	얽히/VV+ㄴ/ETM
사례가	사례/NNG+가/JKS
많은데	많/VA+은데/EC
직접	직접/MAG
보유한	보유/NNG+하/XSV+ㄴ/ETM
지분율이	지분/NNG+율/XSN+이/JKS
5%	5/SN+%/SW
미만인	미만/NNG+이/VCP+ㄴ/ETM
전	전/MMD
계열사의	계열사/NNG+의/JKG
시이오를	시이오/NNG+를/JKO
선임하는	선임/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
정당화될	정당화/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EF
궁금하다”고	궁금하/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.55.8.1
실제로 재벌그룹과 총수 일가가 금융 계열사를 사금고처럼 활용해온 사례는 곳곳에서 드러난 바 있다.

실제로	실제로/MAG
재벌그룹과	재벌/NNG+그룹/NNG+과/JC
총수	총수/NNG
일가가	일가/NNG+가/JKS
금융	금융/NNG
계열사를	계열사/NNG+를/JKO
사금고처럼	사금고/NNG+처럼/JKB
활용해온	활용/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
사례는	사례/NNG+는/JX
곳곳에서	곳곳/NNG+에서/JKB
드러난	드러나/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.55.8.2
한 예로, 효성캐피탈의 전·현직 대표이사 등은 그룹 회장의 장남 등 효성그룹 임원들에게 수천억원의 불법 대출을 해준 혐의로 지난 7월 금융감독원의 중징계를 받았다.

한	한/MMN
예로,	예/NNG+로/JKB+,/SP
효성캐피탈의	효성캐피탈/NNP+의/JKG
전·현직	전·현직/NNG
대표이사	대표/NNG+이사/NNG
등은	등/NNB+은/JX
그룹	그룹/NNG
회장의	회장/NNG+의/JKG
장남	장남/NNG
등	등/NNB
효성그룹	효성그룹/NNP
임원들에게	임원/NNG+들/XSN+에게/JKB
수천억원의	수천억/NR+원/NNB+의/JKG
불법	불법/NNG
대출을	대출/NNG+을/JKO
해준	하/VV+아/EC+주/VX+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
금융감독원의	금융/NNG+감독원/NNG+의/JKG
중징계를	중징계/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.55.9.1
현재 재벌 계열 금융계열사의 시이오 선임은 주로 그룹 차원의 사장단 인사에서 결정되고 형식적으로 주주총회의 승인을 얻는 식으로 이루어진다.

현재	현재/MAG
재벌	재벌/NNG
계열	계열/NNG
금융계열사의	금융/NNG+계열사/NNG+의/JKG
시이오	시이오/NNG
선임은	선임/NNG+은/JX
주로	주로/MAG
그룹	그룹/NNG
차원의	차원/NNG+의/JKG
사장단	사장단/NNG
인사에서	인사/NNG+에서/JKB
결정되고	결정/NNG+되/XSV+고/EC
형식적으로	형식/NNG+적/XSN+으로/JKB
주주총회의	주주/NNG+총회/NNG+의/JKG
승인을	승인/NNG+을/JKO
얻는	얻/VV+는/ETM
식으로	식/NNB+으로/JKB
이루어진다.	이루어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.55.9.2
임추위가 설치되면, 시이오 후보자의 자격 요건 등을 검증해 이사회에 후보자를 추천하는 절차가 추가된다.

임추위가	임추위/NNG+가/JKS
설치되면,	설치/NNG+되/XSV+면/EC+,/SP
시이오	시이오/NNG
후보자의	후보자/NNG+의/JKG
자격	자격/NNG
요건	요건/NNG
등을	등/NNB+을/JKO
검증해	검증/NNG+하/XSV+아/EC
이사회에	이사회/NNG+에/JKB
후보자를	후보자/NNG+를/JKO
추천하는	추천/NNG+하/XSV+는/ETM
절차가	절차/NNG+가/JKS
추가된다.	추가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.55.9.3
최소한 금융 분야 경험이 전무한 이들이 시이오로 내려오는 일은 걸러질 통로가 생기는 셈이다.

최소한	최소한/NNG
금융	금융/NNG
분야	분야/NNG
경험이	경험/NNG+이/JKS
전무한	전무/NNG+하/XSA+ㄴ/ETM
이들이	이/NNB+들/XSN+이/JKS
시이오로	시이오/NNG+로/JKB
내려오는	내려오/VV+는/ETM
일은	일/NNG+은/JX
걸러질	거르/VV+어/EC+지/VX+ㄹ/ETM
통로가	통로/NNG+가/JKS
생기는	생기/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.55.9.4
송민경 연구위원은 “미국 상장사들은 시이오 승계를 담당하는 지명위원회 등을 100% 독립이사로 구성한다”며 “최대주주의 시이오 추천권 자체를 해외에서는 찾아보기 어려운데 임추위가 이를 제한한다고 주장하는 것은 적절치 않다”고 말했다.

송민경	송민경/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“미국	“/SS+미국/NNP
상장사들은	상장사/NNG+들/XSN+은/JX
시이오	시이오/NNG
승계를	승계/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
지명위원회	지명/NNG+위원회/NNG
등을	등/NNB+을/JKO
100%	100/SN+%/SW
독립이사로	독립/NNG+이사/NNG+로/JKB
구성한다”며	구성/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“최대주주의	“/SS+최대/NNG+주주/NNG+의/JKG
추천권	추천/NNG+권/XSN
자체를	자체/NNG+를/JKO
해외에서는	해외/NNG+에서/JKB+는/JX
찾아보기	찾아보/VV+기/ETN
어려운데	어렵/VA+ㄴ데/EC
임추위가	임추위/NNG+가/JKS
이를	이/NP+를/JKO
제한한다고	제한/NNG+하/XSV+ㄴ다고/EC
주장하는	주장/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
적절치	적절하/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


