# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.164
metadata : {}


# id : NWRW1800000026.164.1.1
버스에 교통 단속용 카메라 달았더니… "효과 만점"

버스에	버스/NNG+에/JKB
3개	3/SN+개/NNB
노선은	노선/NNG+은/JX
종로를	종로/NNP+를/JKO
중심으로	중심/NNG+으로/JKB
서울	서울/NNP
주요	주요/NNG
도로를	도로/NNG+를/JKO
남북과	남북/NNG+과/JKB
동서로	동서/NNG+로/JKB
가로지르는	가로지르/VV+는/ETM
노선으로,	노선/NNG+으로/JKB+,/SP
시범	시범/NNG
운영을	운영/NNG+을/JKO
거쳐	거치/VV+어/EC
이달	이달/NNG
1일부터	1/SN+일/NNB+부터/JX
실제	실제/NNG
단속을	단속/NNG+을/JKO
시작하자	시작/NNG+하/XSV+자/EC
걸리는	걸리/VV+는/ETM
차량이	차량/NNG+이/JKS
속출하고	속출/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.164.4.1
서울시 교통정보센터 관계자는 "불법 주·정차와 전용차로 위반 차량이 매일 100건 이상씩 나오고 있다"며 "버스 장착 카메라는 고정식 카메라와 달리 언제 어디서 걸릴지 알 수 없으니 효과만점"이라고 말했다.

서울시	서울시/NNP
교통정보센터	교통/NNG+정보/NNG+센터/NNG
관계자는	관계자/NNG+는/JX
"불법	"/SS+불법/NNG
주·정차와	주·정차/NNG+와/JC
전용차로	전용/NNG+차로/NNG
위반	위반/NNG
차량이	차량/NNG+이/JKS
매일	매일/MAG
100건	100/SN+건/NNB
이상씩	이상/NNG+씩/XSN
나오고	나오/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"버스	"/SS+버스/NNG
장착	장착/NNG
카메라는	카메라/NNG+는/JX
고정식	고정식/NNG
카메라와	카메라/NNG+와/JKB
달리	달리/MAG
언제	언제/MAG
어디서	어디/NP+서/JKB
걸릴지	걸리/VV+ㄹ지/EF
알	알/VV+ㄹ/ETM
수	수/NNB
없으니	없/VA+으니/EC
효과만점"이라고	효과/NNG+만점/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.164.5.1
교통단속 외의 부수적인 효과도 있다.

교통단속	교통/NNG+단속/NNG
외의	외/NNB+의/JKG
부수적인	부수/NNG+적/XSN+이/VCP+ㄴ/ETM
효과도	효과/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.164.5.2
서울 서부경찰서가 최근 은평구 일대 여성 7명을 성폭행한 정모씨(34)를 붙잡은 것은 사건 당시 주변을 지나는 시내버스 카메라 화면을 뒤진 결과였다.

서울	서울/NNP
서부경찰서가	서부/NNG+경찰서/NNG+가/JKS
최근	최근/MAG
은평구	은평구/NNP
일대	일대/NNG
여성	여성/NNG
7명을	7/SN+명/NNB+을/JKO
성폭행한	성폭행/NNG+하/XSV+ㄴ/ETM
정모씨(34)를	정/NNP+모/NP+씨/NNB+(/SS+34/SN+)/SS+를/JKO
붙잡은	붙잡/VV+은/ETM
것은	것/NNB+은/JX
사건	사건/NNG
당시	당시/NNG
주변을	주변/NNG+을/JKO
지나는	지나/VV+는/ETM
시내버스	시내버스/NNG
카메라	카메라/NNG
화면을	화면/NNG+을/JKO
뒤진	뒤지/VV+ㄴ/ETM
결과였다.	결과/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.164.5.3
서울시는 버스 장착 카메라를 올 하반기 4개 노선에 추가 투입하는 등 점차 서울 전역으로 확대할 방침이다.

서울시는	서울시/NNP+는/JX
버스	버스/NNG
장착	장착/NNG
카메라를	카메라/NNG+를/JKO
올	올/NNG
하반기	하반기/NNG
4개	4/SN+개/NNB
노선에	노선/NNG+에/JKB
추가	추가/NNG
투입하는	투입/NNG+하/XSV+는/ETM
등	등/NNB
점차	점차/MAG
서울	서울/NNP
전역으로	전역/NNG+으로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.164.5.4
대전·대구도 이미 버스 장착 카메라를 도입했고, 인천·제주시 등도 곧 도입할 예정이다.

대전·대구도	대전/NNP+·/SP+대구/NNP+도/JX
이미	이미/MAG
버스	버스/NNG
장착	장착/NNG
카메라를	카메라/NNG+를/JKO
도입했고,	도입/NNG+하/XSV+았/EP+고/EC+,/SP
인천·제주시	인천/NNP+·/SP+제주시/NNP
등도	등/NNB+도/JX
곧	곧/MAG
도입할	도입/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


