# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.300
metadata : {}


# id : NWRW1800000025.300.1.1
예산안, 4대강 건너 법정시한 지킬까

예산안,	예산안/NNG+,/SP
박근혜 전 대표는 이 대통령과의 회동 이후 여권 주류 진영의 행보에 협조하는 모습을 취해 왔으나 개헌 논의에 대해서도 손을 들어줄지는 미지수라는 게 당내의 대체적 평가다.

박근혜	박근혜/NNP
전	전/MMD
대표는	대표/NNG+는/JX
이	이/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
회동	회동/NNG
이후	이후/NNG
여권	여권/NNG
주류	주류/NNG
진영의	진영/NNG+의/JKG
행보에	행보/NNG+에/JKB
협조하는	협조/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
취해	취하/VV+아/EC
왔으나	오/VX+았/EP+으나/EC
개헌	개헌/NNG
논의에	논의/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
손을	손/NNG+을/JKO
들어줄지는	들어주/VV+ㄹ지/EF+는/JX
미지수라는	미지수/NNG+이/VCP+라는/ETM
게	거/NNB+이/JKS
당내의	당내/NNG+의/JKG
대체적	대체/NNG+적/XSN
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.300.12.2
친박(친박근혜) 진영은 여권 주류 진영의 ‘분권형 개헌’ 시도가 ‘박근혜 죽이기’라는 의구심을 거두지 않고 있다.

친박(친박근혜)	친/XPN+박/NNP+(/SS+친/XPN+박근혜/NNP+)/SS
진영은	진영/NNG+은/JX
여권	여권/NNG
주류	주류/NNG
진영의	진영/NNG+의/JKG
‘분권형	‘/SS+분권/NNG+형/XSN
개헌’	개헌/NNG+’/SS
시도가	시도/NNG+가/JKS
‘박근혜	‘/SS+박근혜/NNP
죽이기’라는	죽이/VV+기/ETN+’/SS+이/VCP+라는/ETM
의구심을	의구심/NNG+을/JKO
거두지	거두/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.300.12.3
정치권 일각에선 예산안 처리의 법정시한을 지키기 어렵다는 김 원내대표의 솔직한 고백에서 볼 수 있듯이 현행 예산국회 관련 제도에 원천적인 문제가 있다는 지적이 나온다.

정치권	정치/NNG+권/XSN
일각에선	일각/NNG+에서/JKB+ㄴ/JX
예산안	예산안/NNG
처리의	처리/NNG+의/JKG
법정시한을	법정/NNG+시한/NNG+을/JKO
지키기	지키/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
김	김/NNP
원내대표의	원내/NNG+대표/NNG+의/JKG
솔직한	솔직하/VA+ㄴ/ETM
고백에서	고백/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있듯이	있/VA+듯이/EC
현행	현행/NNG
예산국회	예산/NNG+국회/NNG
관련	관련/NNG
제도에	제도/NNG+에/JKB
원천적인	원천/NNG+적/XSN+이/VCP+ㄴ/ETM
문제가	문제/NNG+가/JKS
있다는	있/VA+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.300.12.4
정부가 예산안을 제출하는 것은 정기국회가 열린 지 한 달이나 지난 10월 2일까지인 만큼 예산안 처리 시한이 매우 촉박하다는 것이다.

정부가	정부/NNG+가/JKS
예산안을	예산안/NNG+을/JKO
제출하는	제출/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
정기국회가	정기/NNG+국회/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
지	지/NNB
한	한/MMN
달이나	달/NNB+이나/JX
지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
2일까지인	2/SN+일/NNB+까지/JX+이/VCP+ㄴ/ETM
만큼	만큼/NNB
예산안	예산안/NNG
처리	처리/NNG
시한이	시한/NNG+이/JKS
매우	매우/MAG
촉박하다는	촉박/NNG+하/XSA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.300.13.1
원래 제3공화국 헌법에서는 회계연도 개시 120일 전(9월 2일)까지 예산안을 제출하도록 돼 있었지만 1972년 유신헌법부터 90일 전으로 예산안 제출 시기가 늦춰진 후 현행 헌법까지 이어져 오고 있다.

원래	원래/MAG
제3공화국	제/XPN+3/SN+공화국/NNG
헌법에서는	헌법/NNG+에서/JKB+는/JX
회계연도	회계/NNG+연도/NNG
개시	개시/NNG
120일	120/SN+일/NNB
전(9월	전/NNG+(/SS+9/SN+월/NNB
2일)까지	2/SN+일/NNB+)/SS+까지/JX
예산안을	예산안/NNG+을/JKO
제출하도록	제출/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있었지만	있/VX+었/EP+지만/EC
1972년	1972/SN+년/NNB
유신헌법부터	유신/NNG+헌법/NNG+부터/JX
90일	90/SN+일/NNB
전으로	전/NNG+으로/JKB
예산안	예산안/NNG
제출	제출/NNG
시기가	시기/NNG+가/JKS
늦춰진	늦춰지/VV+ㄴ/ETM
후	후/NNG
현행	현행/NNG
헌법까지	헌법/NNG+까지/JX
이어져	이어지/VV+어/EC
오고	오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.300.13.2
국회의 예산 감시 권한을 크게 줄인 유신헌법의 의도가 현행 헌법에까지 반영된 것이다.

국회의	국회/NNG+의/JKG
예산	예산/NNG
감시	감시/NNG
권한을	권한/NNG+을/JKO
크게	크/VA+게/EC
줄인	줄이/VV+ㄴ/ETM
유신헌법의	유신/NNG+헌법/NNG+의/JKG
의도가	의도/NNG+가/JKS
현행	현행/NNG
헌법에까지	헌법/NNG+에/JKB+까지/JX
반영된	반영/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.300.14.1
■ “4대강 녹색성장 선도모델 될것”… 李대통령, 예산안 국회시정연설

■	■/SW
“4대강	“/SS+4/SN+대/NNG+강/NNG
녹색성장	녹색/NNG+성장/NNG
선도모델	선도/NNG+모델/NNG
될것”…	되/VV+ㄹ/ETM+것/NNB+”/SS+…/SE
李대통령,	李/SH+대통령/NNG+,/SP
예산안	예산안/NNG
국회시정연설	국회/NNG+시정/NNG+연설/NNG


# id : NWRW1800000025.300.15.1
이명박 대통령은 25일 “4대강 살리기 사업은 ‘생명 살리기’ 사업이자 이수(利水) 치수(治水)는 물론 문화(관광)를 고려한 물 관리사업”이라며 “내년에 4대강 사업이 완공되면 우리 국민은 푸른 자연과 함께 한층 여유 있는 삶을 누리게 될 것”이라고 강조했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
25일	25/SN+일/NNB
“4대강	“/SS+4/SN+대/NNG+강/NNG
살리기	살리/VV+기/ETN
사업은	사업/NNG+은/JX
‘생명	‘/SS+생명/NNG
살리기’	살리/VV+기/ETN+’/SS
사업이자	사업/NNG+이/VCP+자/EC
이수(利水)	이수/NNG+(/SS+利水/SH+)/SS
치수(治水)는	치수/NNG+(/SS+治水/SH+)/SS+는/JX
물론	물론/MAG
문화(관광)를	문화/NNG+(/SS+관광/NNG+)/SS+를/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
물	물/NNG
관리사업”이라며	관리/NNG+사업/NNG+”/SS+이/VCP+라며/EC
“내년에	“/SS+내년/NNG+에/JKB
4대강	4/SN+대/NNG+강/NNG
사업이	사업/NNG+이/JKS
완공되면	완공/NNG+되/XSV+면/EC
우리	우리/NP
국민은	국민/NNG+은/JX
푸른	푸르/VA+ㄴ/ETM
자연과	자연/NNG+과/JKB
함께	함께/MAG
한층	한층/MAG
여유	여유/NNG
있는	있/VA+는/ETM
삶을	삶/NNG+을/JKO
누리게	누리/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.300.16.1
이 대통령은 이날 오전 국회에서 김황식 국무총리가 대독한 2011년도 예산안 시정연설을 통해 “4대강은 국제적인 명소로서 우리 국민은 물론 세계인의 사랑을 받고 녹색성장의 선도 모델로 자리 잡을 것이라 확신한다”며 예산 처리 협조를 요청했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
국회에서	국회/NNG+에서/JKB
김황식	김황식/NNP
국무총리가	국무총리/NNG+가/JKS
대독한	대독/NNG+하/XSV+ㄴ/ETM
2011년도	2011/SN+년도/NNB
예산안	예산안/NNG
시정연설을	시정/NNG+연설/NNG+을/JKO
통해	통하/VV+아/EC
“4대강은	“/SS+4/SN+대/NNG+강/NNG+은/JX
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
명소로서	명소/NNG+로서/JKB
우리	우리/NP
국민은	국민/NNG+은/JX
물론	물론/MAG
세계인의	세계인/NNG+의/JKG
사랑을	사랑/NNG+을/JKO
받고	받/VV+고/EC
녹색성장의	녹색/NNG+성장/NNG+의/JKG
선도	선도/NNG
모델로	모델/NNG+로/JKB
자리	자리/NNG
잡을	잡/VV+을/ETM
것이라	것/NNB+이/VCP+라/EC
확신한다”며	확신/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
예산	예산/NNG
처리	처리/NNG
협조를	협조/NNG+를/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.300.17.1
이 대통령은 또 남북관계와 관련해 “우리의 꿈은 조국의 평화통일이고 그 첫걸음은 북한의 비핵화를 통한 평화공동체 구축”이라며 “폭넓은 경제협력을 통해 경제공동체를 건설하고 공동번영을 통해 북한 주민의 삶을 개선해야 한다”고 말했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
또	또/MAG
남북관계와	남북/NNP+관계/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“우리의	“/SS+우리/NP+의/JKG
꿈은	꿈/NNG+은/JX
조국의	조국/NNG+의/JKG
평화통일이고	평화/NNG+통일/NNG+이/VCP+고/EC
그	그/MMD
첫걸음은	첫걸음/NNG+은/JX
북한의	북한/NNP+의/JKG
비핵화를	비핵/NNG+화/XSN+를/JKO
통한	통하/VV+ㄴ/ETM
평화공동체	평화/NNG+공동체/NNG
구축”이라며	구축/NNG+”/SS+이/VCP+라며/EC
“폭넓은	“/SS+폭넓/VA+은/ETM
경제협력을	경제/NNG+협력/NNG+을/JKO
통해	통하/VV+아/EC
경제공동체를	경제/NNG+공동체/NNG+를/JKO
건설하고	건설/NNG+하/XSV+고/EC
공동번영을	공동/NNG+번영/NNG+을/JKO
북한	북한/NNP
주민의	주민/NNG+의/JKG
삶을	삶/NNG+을/JKO
개선해야	개선/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.300.18.1
이어 “천안함 사태와 같은 불행한 일이 다시는 일어나지 않도록 안보 태세를 더욱 확고히 하겠다”면서 “군이 선진 강군으로 거듭나도록 근본적이고 강력한 국방개혁도 추진해 나가겠다”고 약속했다.

이어	이어/MAG
“천안함	“/SS+천안함/NNP
사태와	사태/NNG+와/JKB
같은	같/VA+은/ETM
불행한	불행/NNG+하/XSA+ㄴ/ETM
일이	일/NNG+이/JKS
다시는	다시/MAG+는/JX
일어나지	일어나/VV+지/EC
않도록	않/VX+도록/EC
안보	안보/NNG
태세를	태세/NNG+를/JKO
더욱	더욱/MAG
확고히	확고히/MAG
하겠다”면서	하/VV+겠/EP+다/EF+”/SS+면서/EC
“군이	“/SS+군/NNG+이/JKS
선진	선진/NNG
강군으로	강군/NNG+으로/JKB
거듭나도록	거듭나/VV+도록/EC
근본적이고	근본/NNG+적/XSN+이/VCP+고/EC
강력한	강력/NNG+하/XSA+ㄴ/ETM
국방개혁도	국방/NNG+개혁/NNG+도/JX
추진해	추진/NNG+하/XSV+아/EC
나가겠다”고	나가/VX+겠/EP+다/EF+”/SS+고/JKQ
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.300.19.1
특히 이 대통령은 “근로 빈곤층이 근로를 통해 자립하도록 일과 복지를 연계한 탈빈곤 대책을 체계적으로 추진하겠으며 정규직-비정규직의 격차를 줄이기 위해 노력하겠다”고 말했다.

특히	특히/MAG
이	이/NNP
대통령은	대통령/NNG+은/JX
“근로	“/SS+근로/NNG
빈곤층이	빈곤/NNG+층/XSN+이/JKS
근로를	근로/NNG+를/JKO
통해	통하/VV+아/EC
자립하도록	자립/NNG+하/XSV+도록/EC
일과	일/NNG+과/JC
복지를	복지/NNG+를/JKO
연계한	연계/NNG+하/XSV+ㄴ/ETM
탈빈곤	탈/XPN+빈곤/NNG
대책을	대책/NNG+을/JKO
체계적으로	체계/NNG+적/XSN+으로/JKB
추진하겠으며	추진/NNG+하/XSV+겠/EP+으며/EC
정규직-비정규직의	정규직/NNG+-/SO+비/XPN+정규직/NNG+의/JKG
격차를	격차/NNG+를/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.300.19.2
또 “공정한 시장이 강한 시장이다.

또	또/MAG
“공정한	“/SS+공정/NNG+하/XSA+ㄴ/ETM
시장이	시장/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
시장이다.	시장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.300.19.3
대기업의 (하도급업체를 상대로 한) 불공정 관습과 관행은 없어져야 한다”면서도 “대립이 계속돼 온 노사관계도 ‘87년 체제’를 넘어서자”고 강조했다.

대기업의	대/XPN+기업/NNG+의/JKG
(하도급업체를	(/SS+하도급/NNG+업체/NNG+를/JKO
상대로	상대/NNG+로/JKB
한)	하/VV+ㄴ/ETM+)/SS
불공정	불/XPN+공정/NNG
관습과	관습/NNG+과/JC
관행은	관행/NNG+은/JX
없어져야	없어지/VV+어야/EC
한다”면서도	하/VX+ㄴ다/EF+”/SS+면서/EC+도/JX
“대립이	“/SS+대립/NNG+이/JKS
계속돼	계속/NNG+되/XSV+어/EC
온	오/VX+ㄴ/ETM
노사관계도	노사/NNG+관계/NNG+도/JX
‘87년	‘/SS+87/SN+년/NNB
체제’를	체제/NNG+’/SS+를/JKO
넘어서자”고	넘어서/VV+자/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.300.20.1
■ “또 총리 대독… 국민 무시하는 행태”… 정세균 “대통령 직접 국회 와야”

■	■/SW
“또	“/SS+또/MAG
총리	총리/NNG
대독…	대독/NNG+…/SE
국민	국민/NNG
무시하는	무시/NNG+하/XSV+는/ETM
행태”…	행태/NNG+”/SS+…/SE
정세균	정세균/NNP
“대통령	“/SS+대통령/NNG
직접	직접/MAG
국회	국회/NNG
와야”	오/VV+아야/EC+”/SS


