# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.180
metadata : {}


# id : NWRW1800000046.180.1.1
[잠깐만요!] 4대강 사업 이후 막힌 낙동강 모래 채취… 가격은 천정부지, 불법 모래 유통 우려도

[잠깐만요!]	[/SS+잠깐/NNG+만/JX+요/JX+!/SF+]/SS
채취해	채취/NNG+하/XSV+아/EC
수도권과	수도/NNG+권/XSN+과/JC
충청도	충청도/NNP
일대에서	일대/NNG+에서/JKB
주로	주로/MAG
사용한다.	사용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.180.4.2
영남 지역에서 주로 사용되는 강모래는 65%가량이 낙동강에서 채취되고 있으며, 최근 6년간은 4대강 사업 때 준설해놨던 모래로 버텨왔다.

영남	영남/NNP
지역에서	지역/NNG+에서/JKB
주로	주로/MAG
사용되는	사용/NNG+되/XSV+는/ETM
강모래는	강모래/NNG+는/JX
65%가량이	65/SN+%/SW+가량/XSN+이/JKS
낙동강에서	낙동강/NNP+에서/JKB
채취되고	채취/NNG+되/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
최근	최근/MAG
6년간은	6/SN+년/NNB+간/XSN+은/JX
4대강	4/SN+대/NNG+강/NNG
사업	사업/NNG
때	때/NNG
준설해놨던	준설/NNG+하/XSV+아/EC+놓/VX+았/EP+던/ETM
모래로	모래/NNG+로/JKB
버텨왔다.	버티/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.180.4.3
한국골재협회 대구경북지회는 "4대강에서 준설된 모래는 올해면 바닥난다"며 "강모래 가격도 4년 전 ㎥당 8000원이던 것이 지금은 2만원 선을 오르내리고 있다"고 했다.

한국골재협회	한국골재협회/NNP
대구경북지회는	대구/NNP+경북/NNP+지회/NNG+는/JX
"4대강에서	"/SS+4/SN+대/NNG+강/NNG+에서/JKB
준설된	준설/NNG+되/XSV+ㄴ/ETM
모래는	모래/NNG+는/JX
올해면	올해/NNG+이/VCP+면/EC
바닥난다"며	바닥나/VV+ㄴ다/EF+"/SS+며/EC
"강모래	"/SS+강모래/NNG
가격도	가격/NNG+도/JX
4년	4/SN+년/NNB
전	전/NNG
㎥당	㎥/SW+당/XSN
8000원이던	8000/SN+원/NNB+이/VCP+던/ETM
것이	것/NNB+이/JKS
지금은	지금/NNG+은/JX
2만원	2/SN+만/NR+원/NNB
선을	선/NNG+을/JKO
오르내리고	오르내리/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.180.4.4
한 대형 건설업체 대표는 "서해안의 바닷모래는 운송 비용이 높아 수요를 맞출 수 없다"며 "벌써 모래 구하기 전쟁이 벌어지고 있다"고 했다.

한	한/MMN
대형	대형/NNG
건설업체	건설업체/NNG
대표는	대표/NNG+는/JX
"서해안의	"/SS+서해안/NNP+의/JKG
바닷모래는	바닷모래/NNG+는/JX
운송	운송/NNG
비용이	비용/NNG+이/JKS
높아	높/VA+아/EC
수요를	수요/NNG+를/JKO
맞출	맞추/VV+ㄹ/ETM
수	수/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
"벌써	"/SS+벌써/MAG
모래	모래/NNG
구하기	구하/VV+기/ETN
전쟁이	전쟁/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.180.5.1
골재협회 측은 "낙동강에 쌓여 있는 모래가 지류를 막아 범람을 초래할 수 있는 데다, 공급 부족을 메우느라 불량 모래가 유통될 수 있다"며 최근 국토교통부(부산지방국토관리청)에 골재 채취를 허용해 달라고 요구했다.

골재협회	골재협회/NNP
측은	측/NNB+은/JX
"낙동강에	"/SS+낙동강/NNP+에/JKB
쌓여	쌓이/VV+어/EC
있는	있/VA+는/ETM
모래가	모래/NNG+가/JKS
지류를	지류/NNG+를/JKO
막아	막/VV+아/EC
범람을	범람/NNG+을/JKO
초래할	초래/NNG+하/XSV+ㄹ/ETM
수	수/NNB
데다,	데/NNB+다/JX+,/SP
공급	공급/NNG
부족을	부족/NNG+을/JKO
메우느라	메우/VV+느라/EC
불량	불량/NNG
유통될	유통/NNG+되/XSV+ㄹ/ETM
있다"며	있/VA+다/EF+"/SS+며/EC
최근	최근/MAG
국토교통부(부산지방국토관리청)에	국토/NNG+교통부/NNG+(/SS+부산지방국토관리청/NNP+)/SS+에/JKB
골재	골재/NNG
채취를	채취/NNG+를/JKO
허용해	허용/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.180.5.2
하지만 국토관리청은 "낙동강 본류는 100년 동안 버틸 수 있도록 충분히 준설했기 때문에 모래 채취를 2017년까지는 허용하지 않겠다"면서 거부했다.

하지만	하지만/MAJ
국토관리청은	국토/NNG+관리청/NNG+은/JX
"낙동강	"/SS+낙동강/NNP
본류는	본류/NNG+는/JX
100년	100/SN+년/NNB
동안	동안/NNG
버틸	버티/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
충분히	충분히/MAG
준설했기	준설/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
모래	모래/NNG
채취를	채취/NNG+를/JKO
2017년까지는	2017/SN+년/NNB+까지/JX+는/JX
허용하지	허용/NNG+하/XSV+지/EC
않겠다"면서	않/VX+겠/EP+다/EF+"/SS+면서/EC
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.180.5.3
낙동강 '물 흐름'만 생각했지, 건설업계의 모래 공급난은 '내 알 바 아니라는' 전형적 공무원 식 답변이다.

낙동강	낙동강/NNP
'물	'/SS+물/NNG
흐름'만	흐름/NNG+'/SS+만/JX
생각했지,	생각/NNG+하/XSV+았/EP+지/EC+,/SP
건설업계의	건설업/NNG+계/XSN+의/JKG
모래	모래/NNG
공급난은	공급난/NNG+은/JX
'내	'/SS+나/NP+의/JKG
알	알/VV+ㄹ/ETM
바	바/NNB
아니라는'	아니/VCN+라는/ETM+'/SS
전형적	전형/NNG+적/XSN
공무원	공무원/NNG
식	식/NA
답변이다.	답변/NNG+이/VCP+다/EF+./SF


