# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.360
metadata : {}


# id : NWRW1800000036.360.1.1
[유레카] 지하경제 / 정영무

[유레카]	[/SS+유레카/NNG+]/SS
지하경제를	지하/NNG+경제/NNG+를/JKO
측정하는	측정/NNG+하/XSV+는/ETM
방법은	방법/NNG+은/JX
다양하고	다양/NNG+하/XSA+고/EC
그에	그/NP+에/JKB
따라	따르/VV+아/EC
규모도	규모/NNG+도/JX
천차만별이다.	천차만별/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.360.4.1
오스트리아 린츠대(요하네스케플러대) 프리드리히 슈나이더 교수가 발표한 자료로는 우리나라 지하경제가 국내총생산의 27.6%로 미국(7.9%) 일본(8.8%) 영국(10.3) 등에 비해 매우 높은 편이다.

오스트리아	오스트리아/NNP
린츠대(요하네스케플러대)	린츠대/NNP+(/SS+요하네스케플러대/NNP+)/SS
프리드리히	프리드리히/NNP
슈나이더	슈나이더/NNP
교수가	교수/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
자료로는	자료/NNG+로/JKB+는/JX
우리나라	우리나라/NNG
지하경제가	지하/NNG+경제/NNG+가/JKS
국내총생산의	국내/NNG+총생산/NNG+의/JKG
27.6%로	27/SN+./SP+6/SN+%/SW+로/JKB
미국(7.9%)	미국/NNP+(/SS+7/SN+./SP+9/SN+%/SW+)/SS
일본(8.8%)	일본/NNP+(/SS+8/SN+./SP+8/SN+%/SW+)/SS
영국(10.3)	영국/NNP+(/SS+10/SN+./SP+3/SN+)/SS
등에	등/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
매우	매우/MAG
높은	높/VA+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.360.4.2
전통적으로 현금 사용이 많고 자영업자 비율이 높은데다 고소득층의 납세 의식이 낮은 탓이다.

전통적으로	전통/NNG+적/XSN+으로/JKB
현금	현금/NNG
사용이	사용/NNG+이/JKS
많고	많/VA+고/EC
자영업자	자영업자/NNG
비율이	비율/NNG+이/JKS
높은데다	높/VA+은/ETM+데/NNB+다/JX
고소득층의	고/XPN+소득/NNG+층/XSN+의/JKG
납세	납세/NNG
의식이	의식/NNG+이/JKS
낮은	낮/VA+은/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.360.4.3
하지만 조세연구원은 금융거래와 세원의 투명화로 지하경제는 2010년 전체 국내총생산의 17~19% 수준으로 축소된 것으로 추정했다.

하지만	하지만/MAJ
조세연구원은	조세/NNG+연구원/NNG+은/JX
금융거래와	금융/NNG+거래/NNG+와/JC
세원의	세원/NNG+의/JKG
투명화로	투명/NNG+화/XSN+로/JKB
지하경제는	지하/NNG+경제/NNG+는/JX
2010년	2010/SN+년/NNB
전체	전체/NNG
국내총생산의	국내/NNG+총생산/NNG+의/JKG
17~19%	17/SN+~/SO+19/SN+%/SW
수준으로	수준/NNG+으로/JKB
축소된	축소/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정했다.	추정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.360.4.4
소득세 탈루 규모로만 좁혀서 따지면 국내총생산 대비 5% 미만까지 떨어지는 것으로 보았다.

소득세	소득세/NNG
탈루	탈루/NNG
규모로만	규모/NNG+로/JKB+만/JX
좁혀서	좁히/VV+어서/EC
따지면	따지/VV+면/EC
국내총생산	국내/NNG+총생산/NNG
대비	대비/NNG
5%	5/SN+%/SW
미만까지	미만/NNG+까지/JX
떨어지는	떨어지/VV+는/ETM
것으로	것/NNB+으로/JKB
보았다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.360.5.1
지하경제는 사회를 병들게 하기 때문에 양성화하는 게 당연하다.

지하경제는	지하/NNG+경제/NNG+는/JX
사회를	사회/NNG+를/JKO
병들게	병들/VV+게/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
양성화하는	양성/NNG+화/XSN+하/XSV+는/ETM
게	거/NNB+이/JKS
당연하다.	당연/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000036.360.5.2
경제위기로 선진국도 지하경제에 대한 과세 강화를 추진하고 있다.

경제위기로	경제/NNG+위기/NNG+로/JKB
선진국도	선진국/NNG+도/JX
지하경제에	지하/NNG+경제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
과세	과세/NNG
강화를	강화/NNG+를/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.360.5.3
유럽연합은 60조달러에 이를 것으로 추산되는 그림자 금융과의 전면전을 예고했다.

유럽연합은	유럽연합/NNP+은/JX
60조달러에	60/SN+조/NR+달러/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추산되는	추산/NNG+되/XSV+는/ETM
그림자	그림자/NNG
금융과의	금융/NNG+과/JKB+의/JKG
전면전을	전면전/NNG+을/JKO
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.360.5.4
하지만 선거 때마다 양성화 구호가 나왔지만 실제로 얼마의 돈이 빛을 봤다는 통계를 본 적은 없다.

하지만	하지만/MAJ
선거	선거/NNG
때마다	때/NNG+마다/JX
양성화	양성/NNG+화/XSN
구호가	구호/NNG+가/JKS
나왔지만	나오/VV+았/EP+지만/EC
실제로	실제로/MAG
얼마의	얼마/NNG+의/JKG
돈이	돈/NNG+이/JKS
빛을	빛/NNG+을/JKO
봤다는	보/VV+았/EP+다는/ETM
통계를	통계/NNG+를/JKO
본	보/VV+ㄴ/ETM
적은	적/NNB+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000036.360.5.5
지하경제가 가장 큰 경쟁교란 행위자인 재벌과 권력층에 대한 주의를 흩트리는 레토릭(수사)에 그쳐서는 안 된다.

지하경제가	지하/NNG+경제/NNG+가/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
경쟁교란	경쟁/NNG+교란/NNG
행위자인	행위자/NNG+이/VCP+ㄴ/ETM
재벌과	재벌/NNG+과/JC
권력층에	권력/NNG+층/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
주의를	주의/NNG+를/JKO
흩트리는	흩트리/VV+는/ETM
레토릭(수사)에	레토릭/NNG+(/SS+수사/NNG+)/SS+에/JKB
그쳐서는	그치/VV+어서/EC+는/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


