# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.187
metadata : {}


# id : NWRW1800000021.187.1.1
[아파트 미리보기]김포 한강신도시 ‘우미 린’

[아파트	[/SS+아파트/NNG
△128m²	△/SW+128/SN+m²/SW
278채	278/SN+채/NNB
△130m²	△/SW+130/SN+m²/SW
118채	118/SN+채/NNB
등	등/NNB
총	총/MMA
1058채.	1058/SN+채/NNB+./SF


# id : NWRW1800000021.187.5.3
지하 2층에 지상 20∼26층 총 14개 동이다.

지하	지하/NNG
2층에	2/SN+층/NNG+에/JKB
지상	지상/NNG
20∼26층	20/SN+∼/SO+26/SN+층/NNG
총	총/MMA
14개	14/SN+개/NNB
동이다.	동/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.187.5.4
특히 128m²와 130m²는 중도금의 60%를 전액 무이자로 빌려주는 게 특징으로 꼽힌다.

특히	특히/MAG
128m²와	128/SN+m²/SW+와/JC
130m²는	130/SN+m²/SW+는/JX
중도금의	중도금/NNG+의/JKG
60%를	60/SN+%/SW+를/JKO
전액	전액/NNG
무이자로	무/XPN+이자/NNG+로/JKB
빌려주는	빌리/VV+어/EC+주/VX+는/ETM
게	거/NNB+이/JKS
특징으로	특징/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.187.5.5
우미건설 관계자는 “128m²와 130m²는 중도금의 60%에 무이자를, 105m²는 중도금의 30%에 무이자를 각각 적용했다”며 “무이자 혜택을 감안하면 128, 130m²와 105m²의 3.3m²당 분양가 차이가 37만 원에서 14만 원 정도로 줄어든다”고 말했다.

우미건설	우미건설/NNP
관계자는	관계자/NNG+는/JX
“128m²와	“/SS+128/SN+m²/SW+와/JC
130m²는	130/SN+m²/SW+는/JX
중도금의	중도금/NNG+의/JKG
60%에	60/SN+%/SW+에/JKB
무이자를,	무/XPN+이자/NNG+를/JKO+,/SP
105m²는	105/SN+m²/SW+는/JX
30%에	30/SN+%/SW+에/JKB
무이자를	무/XPN+이자/NNG+를/JKO
각각	각각/MAG
적용했다”며	적용/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“무이자	“/SS+무/XPN+이자/NNG
혜택을	혜택/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
128,	128/SN+,/SP
130m²와	130/SN+m²/SW+와/JC
105m²의	105/SN+m²/SW+의/JKG
3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
분양가	분양/NNG+가/XSN
차이가	차이/NNG+가/JKS
37만	37/SN+만/NR
원에서	원/NNB+에서/JKB
14만	14/SN+만/NR
원	원/NNB
정도로	정도/NNG+로/JKB
줄어든다”고	줄어들/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.187.6.1
내년 2월 11일까지 계약하면 양도소득세가 5년간 100% 면제되며 전매제한 기한은 1년이다.

내년	내년/NNG
2월	2/SN+월/NNB
11일까지	11/SN+일/NNB+까지/JX
계약하면	계약/NNG+하/XSV+면/EC
양도소득세가	양도/NNG+소득세/NNG+가/JKS
5년간	5/SN+년/NNB+간/XSN
100%	100/SN+%/SW
면제되며	면제/NNG+되/XSV+며/EC
전매제한	전매/NNG+제한/NNG
기한은	기한/NNG+은/JX
1년이다.	1/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.187.6.2
단지가 11만 m² 크기의 호수공원에서 걸어서 10분 거리이고 인근에 경전철역이 신설되며 단지 바로 옆에 초등학교와 중학교가 들어설 예정이라는 것도 이 아파트의 장점이다.

단지가	단지/NNG+가/JKS
11만	11/SN+만/NR
m²	m²/SW
크기의	크기/NNG+의/JKG
호수공원에서	호수/NNG+공원/NNG+에서/JKB
걸어서	걷/VV+어서/EC
10분	10/SN+분/NNB
거리이고	거리/NNG+이/VCP+고/EC
인근에	인근/NNG+에/JKB
경전철역이	경전철역/NNP+이/JKS
신설되며	신설/NNG+되/XSV+며/EC
단지	단지/MAG
바로	바로/MAG
옆에	옆/NNG+에/JKB
초등학교와	초등학교/NNG+와/JC
중학교가	중학교/NNG+가/JKS
들어설	들어서/VV+ㄹ/ETM
예정이라는	예정/NNG+이/VCP+라는/ETM
것도	것/NNB+도/JX
이	이/MMD
아파트의	아파트/NNG+의/JKG
장점이다.	장점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.187.7.1
○벽 떼내 구조 바꿀 수 있어

○벽	○/SW+벽/NNG
떼내	떼/VV+어/EC+내/VX+어/EC
구조	구조/NNG
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EF


# id : NWRW1800000021.187.8.1
우미 린의 전체적인 인테리어는 은은한 그레이 톤을 적용해 모던하고 담백한 이미지를 연출하는 데 초점을 맞췄다.

우미	우미/NNP
린의	린/NNP+의/JKG
전체적인	전체/NNG+적/XSN+이/VCP+ㄴ/ETM
인테리어는	인테리어/NNG+는/JX
은은한	은은하/VA+ㄴ/ETM
그레이	그레이/NNG
톤을	톤/NNG+을/JKO
적용해	적용/NNG+하/XSV+아/EC
모던하고	모던/NNG+하/XSA+고/EC
담백한	담백하/VA+ㄴ/ETM
이미지를	이미지/NNG+를/JKO
연출하는	연출/NNG+하/XSV+는/ETM
데	데/NNB
초점을	초점/NNG+을/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.187.8.2
특히 실용성을 강조하기 위해 수납공간에 신경을 많이 쓴 모습이 보였다.

특히	특히/MAG
실용성을	실용/NNG+성/XSN+을/JKO
강조하기	강조/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
수납공간에	수납공간/NNG+에/JKB
신경을	신경/NNG+을/JKO
많이	많이/MAG
쓴	쓰/VV+ㄴ/ETM
모습이	모습/NNG+이/JKS
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.187.8.3
수납공간이 넉넉하고 효과적으로 배치돼 있기 때문이다.

수납공간이	수납공간/NNG+이/JKS
넉넉하고	넉넉하/VA+고/EC
효과적으로	효과/NNG+적/XSN+으로/JKB
배치돼	배치/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.187.8.4
주방, 현관, 안방의 멀티룸 등은 전체 면적의 약 25%가 수납공간으로 이뤄져 벽 전체가 크고 작은 수납공간으로 채워졌다는 느낌이 들 정도였다.

주방,	주방/NNG+,/SP
현관,	현관/NNG+,/SP
안방의	안방/NNG+의/JKG
멀티룸	멀티룸/NNG
등은	등/NNB+은/JX
전체	전체/NNG
면적의	면적/NNG+의/JKG
약	약/MMA
25%가	25/SN+%/SW+가/JKS
수납공간으로	수납공간/NNG+으로/JKB
이뤄져	이뤄지/VV+어/EC
벽	벽/NNG
전체가	전체/NNG+가/JKS
크고	크/VA+고/EC
작은	작/VA+은/ETM
채워졌다는	채우/VV+어/EC+지/VX+었/EP+다는/ETM
느낌이	느낌/NNG+이/JKS
들	들/VV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.187.9.1
우미건설 관계자는 “오랫동안 새 집 같은 분위기를 유지하려면 거주 기간이 늘어날수록 쌓이는 각종 잡동사니를 최대한 넣어둘 수 있는 공간이 필요하다는 주부들의 의견을 반영한 결과”라고 설명했다.

우미건설	우미건설/NNP
관계자는	관계자/NNG+는/JX
“오랫동안	“/SS+오랫동안/NNG
새	새/MMA
집	집/NNG
같은	같/VA+은/ETM
분위기를	분위기/NNG+를/JKO
유지하려면	유지/NNG+하/XSV+려면/EC
거주	거주/NNG
기간이	기간/NNG+이/JKS
늘어날수록	늘어나/VV+ㄹ수록/EC
쌓이는	쌓이/VV+는/ETM
각종	각종/NNG
잡동사니를	잡동사니/NNG+를/JKO
최대한	최대한/MAG
넣어둘	넣/VV+어/EC+두/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공간이	공간/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
주부들의	주부/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
결과”라고	결과/NNG+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.187.10.1
입주자들이 자유롭게 실내 구조를 바꿀 수 있도록 한 것도 특징이다.

입주자들이	입주자/NNG+들/XSN+이/JKS
자유롭게	자유/NNG+롭/XSA+게/EC
실내	실내/NNG
구조를	구조/NNG+를/JKO
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VX+ㄴ/ETM
것도	것/NNB+도/JX
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.187.10.2
거실과 방, 방과 방 사이의 벽 중 상당수를 떼어낼 수 있는 무량판 구조를 적용했다.

거실과	거실/NNG+과/JC
방,	방/NNG+,/SP
방과	방/NNG+과/JC
방	방/NNG
사이의	사이/NNG+의/JKG
벽	벽/NNG
중	중/NNB
상당수를	상당수/NNG+를/JKO
떼어낼	떼/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
무량판	무량판/NNG
구조를	구조/NNG+를/JKO
적용했다.	적용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.187.10.3
바닥도 폴리싱 타일과 온돌마루 중 선택이 가능하다.

바닥도	바닥/NNG+도/JX
폴리싱	폴리싱/NNG
타일과	타일/NNG+과/JC
온돌마루	온돌/NNG+마루/NNG
중	중/NNB
선택이	선택/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000021.187.10.4
주방에는 주부들이 일을 하면서 편안하게 TV를 시청할 수 있도록 10인치 크기의 고화질(HD) 주방액정TV를 무료로 설치했다.

주방에는	주방/NNG+에/JKB+는/JX
주부들이	주부/NNG+들/XSN+이/JKS
일을	일/NNG+을/JKO
하면서	하/VV+면서/EC
편안하게	편안/NNG+하/XSA+게/EC
TV를	TV/SL+를/JKO
시청할	시청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
10인치	10/SN+인치/NNB
크기의	크기/NNG+의/JKG
고화질(HD)	고/XPN+화질/NNG+(/SS+HD/SL+)/SS
주방액정TV를	주방/NNG+액정/NNG+TV/SL+를/JKO
무료로	무료/NNG+로/JKB
설치했다.	설치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.187.11.1
김포 한강신도시는 김포고속화도로가 곧 개통될 예정이고 김포공항까지 이어지는 경전철도 2012년 완공 예정이어서 교통 여건이 계속 좋아질 것으로 보인다.

김포	김포/NNP
한강신도시는	한강신도시/NNP+는/JX
김포고속화도로가	김포고속화도로/NNP+가/JKS
곧	곧/MAG
개통될	개통/NNG+되/XSV+ㄹ/ETM
예정이고	예정/NNG+이/VCP+고/EC
김포공항까지	김포공항/NNP+까지/JX
이어지는	이어지/VV+는/ETM
경전철도	경전철/NNG+도/JX
2012년	2012/SN+년/NNB
완공	완공/NNG
예정이어서	예정/NNG+이/VCP+어서/EC
교통	교통/NNG
여건이	여건/NNG+이/JKS
계속	계속/MAG
좋아질	좋/VA+아/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.187.11.2
우미 린의 청약은 16일 특별공급을 시작으로 17일부터 19일까지 실시된다.

우미	우미/NNP
린의	린/NNP+의/JKG
청약은	청약/NNG+은/JX
16일	16/SN+일/NNB
특별공급을	특별/NNG+공급/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
17일부터	17/SN+일/NNB+부터/JX
19일까지	19/SN+일/NNB+까지/JX
실시된다.	실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.187.11.3
당첨자 발표는 25일이며 다음 달 1일부터 3일까지 계약을 한다.

당첨자	당첨자/NNG
발표는	발표/NNG+는/JX
25일이며	25/SN+일/NNB+이/VCP+며/EC
다음	다음/NNG
달	달/NNG
1일부터	1/SN+일/NNB+부터/JX
3일까지	3/SN+일/NNB+까지/JX
계약을	계약/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.187.11.4
입주는 2011년 10월 예정이다.

입주는	입주/NNG+는/JX
2011년	2011/SN+년/NNB
10월	10/SN+월/NNB
예정이다.	예정/NNG+이/VCP+다/EF+./SF


