# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.192
metadata : {}


# id : NWRW1800000046.192.1.1
"司試 4년 연장 환영" "차기 정권에 폭탄 넘겨" 또 불붙은 논란

"司試	"/SS+司試/SH
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.192.5.1
법무부의 방침 발표에 로스쿨 측은 '자퇴도 불사할 것'이라며 강하게 반발하고 나섰다.

법무부의	법무부/NNG+의/JKG
방침	방침/NNG
발표에	발표/NNG+에/JKB
로스쿨	로스쿨/NNG
측은	측/NNB+은/JX
'자퇴도	'/SS+자퇴/NNG+도/JX
불사할	불사/NNG+하/XSV+ㄹ/ETM
것'이라며	것/NNB+'/SS+이/VCP+라며/EC
강하게	강하/VA+게/EC
반발하고	반발/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.192.5.2
반면 사시(司試)를 존치해야 한다고 주장해 온 대한변협은 "환영할 일"이라는 입장을 보였다.

반면	반면/NNG
사시(司試)를	사시/NNG+(/SS+司試/SH+)/SS+를/JKO
존치해야	존치/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장해	주장/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
대한변협은	대한변협/NNP+은/JX
"환영할	"/SS+환영/NNG+하/XSV+ㄹ/ETM
일"이라는	일/NNG+"/SS+이/VCP+라는/ETM
입장을	입장/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.192.6.1
'검찰 실무 수업'을 하려던 서강대 로스쿨 재학생들은 수업을 거부했다.

'검찰	'/SS+검찰/NNG
실무	실무/NNG
수업'을	수업/NNG+'/SS+을/JKO
하려던	하/VV+려던/ETM
서강대	서강대/NNP
로스쿨	로스쿨/NNG
재학생들은	재학/NNG+생/XSN+들/XSN+은/JX
수업을	수업/NNG+을/JKO
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.192.6.2
서울대 로스쿨 학생회는 긴급 총회를 열고 전원이 자퇴서를 작성하고 모든 학사 일정을 거부하기로 했다.

서울대	서울대/NNP
로스쿨	로스쿨/NNG
학생회는	학생회/NNG+는/JX
긴급	긴급/NNG
총회를	총회/NNG+를/JKO
열고	열/VV+고/EC
전원이	전원/NNG+이/JKS
자퇴서를	자퇴서/NNG+를/JKO
작성하고	작성/NNG+하/XSV+고/EC
모든	모든/MMN
학사	학사/NNG
일정을	일정/NNG+을/JKO
거부하기로	거부/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.192.6.3
법학전문대학원 학생협의회도 성명을 내고 "총자퇴 운동을 전개하겠다"고 밝혔다.

법학전문대학원	법학/NNG+전문/NNG+대학원/NNG
학생협의회도	학생/NNG+협의회/NNG+도/JX
성명을	성명/NNG+을/JKO
내고	내/VV+고/EC
"총자퇴	"/SS+총/MMA+자퇴/NNG
운동을	운동/NNG+을/JKO
전개하겠다"고	전개/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.192.6.4
전국 25개 로스쿨 원장들로 이뤄진 법학전문대학원협의회는 "박근혜 정부는 국민과의 약속을 저버렸다"는 성명을 냈다.

전국	전국/NNG
25개	25/SN+개/NNB
로스쿨	로스쿨/NNG
원장들로	원장/NNG+들/XSN+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
법학전문대학원협의회는	법학/NNG+전문/NNG+대학원/NNG+협의회/NNG+는/JX
"박근혜	"/SS+박근혜/NNP
정부는	정부/NNG+는/JX
국민과의	국민/NNG+과/JKB+의/JKG
약속을	약속/NNG+을/JKO
저버렸다"는	저버리/VV+었/EP+다/EF+"/SS+는/ETM
성명을	성명/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.192.7.1
반면 변협(辯協)은 "사시 폐지를 유예하기로 한 것은 환영할 만한 일"이라고 했다.

반면	반면/NNG
변협(辯協)은	변협/NNP+(/SS+辯協/SH+)/SS+은/JX
"사시	"/SS+사시/NNG
폐지를	폐지/NNG+를/JKO
유예하기로	유예/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
환영할	환영/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
일"이라고	일/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.192.7.2
변협은 그러면서도 "사시를 4년 정도 유예하는 것은 사시 존치를 희망하는 국민의 열망을 무시한 법무부의 어정쩡한 눈치 보기"라며 "국회는 사시 존치 법안을 통과시켜야 할 것"이라고 했다.

변협은	변협/NNP+은/JX
그러면서도	그러/VV+면서/EC+도/JX
"사시를	"/SS+사시/NNG+를/JKO
4년	4/SN+년/NNB
정도	정도/NNG
유예하는	유예/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
사시	사시/NNG
존치를	존치/NNG+를/JKO
희망하는	희망/NNG+하/XSV+는/ETM
국민의	국민/NNG+의/JKG
열망을	열망/NNG+을/JKO
무시한	무시/NNG+하/XSV+ㄴ/ETM
법무부의	법무부/NNG+의/JKG
어정쩡한	어정쩡/MAG+하/XSA+ㄴ/ETM
눈치	눈치/NNG
보기"라며	보/VV+기/ETN+"/SS+이/VCP+라며/EC
"국회는	"/SS+국회/NNG+는/JX
존치	존치/NNG
법안을	법안/NNG+을/JKO
통과시켜야	통과/NNG+시키/XSV+어야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.192.7.3
로스쿨이 설치되지 않은 대학 학부 교수들로 구성된 전국법과대학교수회도 "사시 존치를 둘러싼 갈등을 4년 뒤로 연장하는 의미밖에 없다"고 했다.

로스쿨이	로스쿨/NNG+이/JKS
설치되지	설치/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
대학	대학/NNG
학부	학부/NNG
교수들로	교수/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
전국법과대학교수회도	전국법과대학교수회/NNP+도/JX
"사시	"/SS+사시/NNG
존치를	존치/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
갈등을	갈등/NNG+을/JKO
4년	4/SN+년/NNB
뒤로	뒤/NNG+로/JKB
연장하는	연장/NNG+하/XSV+는/ETM
의미밖에	의미/NNG+밖에/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.192.8.1
법조계가 사시 존치냐 폐지냐를 둘러싸고 두 쪽으로 갈라져 갈등을 빚어온 것은 어제오늘의 일이 아니다.

법조계가	법조/NNG+계/XSN+가/JKS
사시	사시/NNG
존치냐	존치/NNG+이/VCP+냐/EF
폐지냐를	폐지/NNG+이/VCP+냐/EF+를/JKO
둘러싸고	둘러싸/VV+고/EC
두	두/MMN
쪽으로	쪽/NNB+으로/JKB
갈라져	갈라지/VV+어/EC
갈등을	갈등/NNG+을/JKO
빚어온	빚/VV+어/EC+오/VX+ㄴ/ETM
것은	것/NNB+은/JX
어제오늘의	어제오늘/NNG+의/JKG
일이	일/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.192.8.2
사시 존폐(存廢) 문제의 직접 이해당사자인 로스쿨 재학생과 사시 준비생들은 서로를 '사시충(蟲)' '로퀴벌레'(로스쿨+바퀴벌레)라고 비하하며 수준 낮은 감정 다툼까지 벌이고 있다.

사시	사시/NNG
존폐(存廢)	존폐/NNG+(/SS+存廢/SH+)/SS
문제의	문제/NNG+의/JKG
직접	직접/NNG
이해당사자인	이해/NNG+당사자/NNG+이/VCP+ㄴ/ETM
로스쿨	로스쿨/NNG
재학생과	재학/NNG+생/XSN+과/JC
준비생들은	준비/NNG+생/XSN+들/XSN+은/JX
서로를	서로/NNG+를/JKO
'사시충(蟲)'	'/SS+사시/NNG+충/NNG+(/SS+蟲/SH+)/SS+'/SS
'로퀴벌레'(로스쿨+바퀴벌레)라고	'/SS+로퀴벌레/NNG+'/SS+(/SS+로스쿨/NNG++/SW+바퀴벌레/NNG+)/SS+이/VCP+라고/EC
비하하며	비하/NNG+하/XSV+며/EC
수준	수준/NNG
낮은	낮/VA+은/ETM
감정	감정/NNG
다툼까지	다툼/NNG+까지/JX
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.192.8.3
로스쿨 교수와 일반 법대 교수들도 마찬가지다.

로스쿨	로스쿨/NNG
교수와	교수/NNG+와/JC
일반	일반/NNG
법대	법대/NNG
교수들도	교수/NNG+들/XSN+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.192.8.4
여기에다 최근 몇 년 사이에는 사시 존폐 문제가 변호사 단체장(長) 선거의 주요 공약으로 등장하고, 당락의 결정적 요소로 작용하면서 갈등이 더 커졌다.

여기에다	여기/NP+에다/JKB
최근	최근/NNG
몇	몇/NR
년	년/NNB
사이에는	사이/NNG+에/JKB+는/JX
사시	사시/NNG
존폐	존폐/NNG
문제가	문제/NNG+가/JKS
변호사	변호사/NNG
단체장(長)	단체장/NNG+(/SS+長/SH+)/SS
선거의	선거/NNG+의/JKG
주요	주요/NNG
공약으로	공약/NNG+으로/JKB
등장하고,	등장/NNG+하/XSV+고/EC+,/SP
당락의	당락/NNG+의/JKG
결정적	결정/NNG+적/XSN
요소로	요소/NNG+로/JKB
작용하면서	작용/NNG+하/XSV+면서/EC
갈등이	갈등/NNG+이/JKS
더	더/MAG
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.192.8.5
2만명 변호사를 대표하는 변협이 국회를 상대로 '사시 존치 법 개정 로비'를 벌였다는 의혹도 불거졌다.

2만명	2/SN+만/NR+명/NNB
변호사를	변호사/NNG+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
변협이	변협/NNP+이/JKS
국회를	국회/NNG+를/JKO
상대로	상대/NNG+로/JKB
'사시	'/SS+사시/NNG
존치	존치/NNG
법	법/NNG
개정	개정/NNG
로비'를	로비/NNG+'/SS+를/JKO
벌였다는	벌이/VV+었/EP+다는/ETM
의혹도	의혹/NNG+도/JX
불거졌다.	불거지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.192.8.6
양측은 작년부터 서울역 광장이나 국회의사당 부근으로 뛰쳐나가 경쟁적으로 집회를 갖기도 했다.

양측은	양측/NNG+은/JX
작년부터	작년/NNG+부터/JX
서울역	서울역/NNP
광장이나	광장/NNG+이나/JC
국회의사당	국회의사당/NNP
부근으로	부근/NNG+으로/JKB
뛰쳐나가	뛰쳐나가/VV+아/EC
경쟁적으로	경쟁/NNG+적/XSN+으로/JKB
집회를	집회/NNG+를/JKO
갖기도	갖/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.192.9.1
로스쿨 출신 법조인과 로스쿨 재학생 등 예정대로 2017년 사시를 폐지해야 한다는 쪽은 "사시는 합격률이 4%에 불과한 시험으로 '고시 낭인(浪人)'을 양산하고, 대학 교육을 황폐화시킨 주범"이라고 주장한다.

로스쿨	로스쿨/NNG
출신	출신/NNG
법조인과	법조인/NNG+과/JC
재학생	재학/NNG+생/XSN
등	등/NNB
예정대로	예정/NNG+대로/JX
2017년	2017/SN+년/NNB
사시를	사시/NNG+를/JKO
폐지해야	폐지/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
쪽은	쪽/NNB+은/JX
"사시는	"/SS+사시/NNG+는/JX
합격률이	합격/NNG+률/XSN+이/JKS
4%에	4/SN+%/SW+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
시험으로	시험/NNG+으로/JKB
'고시	'/SS+고시/NNG
낭인(浪人)'을	낭인/NNG+(/SS+浪人/SH+)/SS+'/SS+을/JKO
양산하고,	양산/NNG+하/XSV+고/EC+,/SP
대학	대학/NNG
교육을	교육/NNG+을/JKO
황폐화시킨	황폐/NNG+화/XSN+시키/XSV+ㄴ/ETM
주범"이라고	주범/NNG+"/SS+이라고/JKQ
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.192.9.2
법조계의 병폐로 꼽히는 기수(期數) 문화나 전관예우도 결국 사시에서 기인한 것이라는 입장이다.

법조계의	법조/NNG+계/XSN+의/JKG
병폐로	병폐/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
기수(期數)	기수/NNG+(/SS+期數/SH+)/SS
문화나	문화/NNG+나/JC
전관예우도	전관예우/NNG+도/JX
결국	결국/MAG
사시에서	사시/NNG+에서/JKB
기인한	기인/NNG+하/XSV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.192.9.3
반면 사시를 존치해야 한다는 쪽에서는 "사시는 고졸이나 가난한 사람들도 응시할 수 있는 '희망의 사다리' 역할을 해온 데다 로스쿨은 돈 있는 계층만 갈 수 있는 특권 학교"라는 입장이다.

반면	반면/NNG
사시를	사시/NNG+를/JKO
존치해야	존치/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
쪽에서는	쪽/NNB+에서/JKB+는/JX
"사시는	"/SS+사시/NNG+는/JX
고졸이나	고졸/NNG+이나/JC
가난한	가난/NNG+하/XSA+ㄴ/ETM
사람들도	사람/NNG+들/XSN+도/JX
응시할	응시/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'희망의	'/SS+희망/NNG+의/JKG
사다리'	사다리/NNG+'/SS
역할을	역할/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
데다	데/NNB+다/JX
로스쿨은	로스쿨/NNG+은/JX
돈	돈/NNG
계층만	계층/NNG+만/JX
갈	가/VV+ㄹ/ETM
특권	특권/NNG
학교"라는	학교/NNG+"/SS+이/VCP+라는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.192.9.4
또 로스쿨 입시는 사시처럼 공정하지 않기 때문에 '현대판 음서제'가 될 수 있다고 하고 있다.

또	또/MAG
로스쿨	로스쿨/NNG
입시는	입시/NNG+는/JX
사시처럼	사시/NNG+처럼/JKB
공정하지	공정/NNG+하/XSA+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
'현대판	'/SS+현대판/NNG
음서제'가	음서/NNG+제/XSN+'/SS+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.192.10.1
국회는 지난달 18일 양쪽 인사들을 한자리에 모아 공청회를 열었다.

국회는	국회/NNG+는/JX
지난달	지난달/NNG
18일	18/SN+일/NNB
양쪽	양쪽/NNG
인사들을	인사/NNG+들/XSN+을/JKO
한자리에	한자리/NNG+에/JKB
모아	모으/VV+아/EC
공청회를	공청회/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.192.10.2
하지만 공청회는 양쪽의 극명한 입장 차이만 확인하는 데 그쳤다.

하지만	하지만/MAJ
공청회는	공청회/NNG+는/JX
양쪽의	양쪽/NNG+의/JKG
극명한	극명/NNG+하/XSA+ㄴ/ETM
입장	입장/NNG
차이만	차이/NNG+만/JX
확인하는	확인/NNG+하/XSV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.192.10.3
이런 상황에서 법무부가 내놓은 '사시 4년 연장' 방침은 현 정부가 사시 존치라는 시한폭탄을 차기 정권으로 떠넘긴 게 아니냐는 말도 나온다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
법무부가	법무부/NNG+가/JKS
내놓은	내놓/VV+은/ETM
'사시	'/SS+사시/NNG
4년	4/SN+년/NNB
연장'	연장/NNG+'/SS
방침은	방침/NNG+은/JX
현	현/MMD
정부가	정부/NNG+가/JKS
사시	사시/NNG
존치라는	존치/NNG+이/VCP+라는/ETM
시한폭탄을	시한폭탄/NNG+을/JKO
차기	차기/NNG
정권으로	정권/NNG+으로/JKB
떠넘긴	떠넘기/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
말도	말/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.192.11.1
일각에선 이 같은 양측의 양보 없는 대치는 결국 변호사 시장의 사건 수임 경쟁이 치열해진 데 따른 '밥그릇 싸움' 때문 아니냐는 지적이다.

일각에선	일각/NNG+에서/JKB+ㄴ/JX
이	이/NP
같은	같/VA+은/ETM
양측의	양측/NNG+의/JKG
양보	양보/NNG
없는	없/VA+는/ETM
대치는	대치/NNG+는/JX
결국	결국/MAG
변호사	변호사/NNG
시장의	시장/NNG+의/JKG
사건	사건/NNG
수임	수임/NNG
경쟁이	경쟁/NNG+이/JKS
치열해진	치열/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
'밥그릇	'/SS+밥그릇/NNG
싸움'	싸움/NNG+'/SS
때문	때문/NNB
아니냐는	아니/VCN+냐는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.192.11.2
명지대 신율 교수는 "자기들 입장만 떠들어대는 다툼이 이어진다면 법조인에 대한 신뢰는 떨어질 수밖에 없다"고 말했다.

명지대	명지대/NNP
신율	신율/NNP
교수는	교수/NNG+는/JX
"자기들	"/SS+자기/NNG+들/XSN
입장만	입장/NNG+만/JX
떠들어대는	떠들/VV+어/EC+대/VX+는/ETM
다툼이	다툼/NNG+이/JKS
이어진다면	이어지/VV+ㄴ다면/EC
법조인에	법조인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰는	신뢰/NNG+는/JX
떨어질	떨어지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


