# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.301
metadata : {}


# id : NWRW1800000038.301.1.1
[조정훈의 태평로] 볼수록 기분 좋은 청년, 구자철

[조정훈의	[/SS+조정훈/NNP+의/JKG
박찬호는	박찬호/NNP+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
WBC(월드베이스볼클래식)가	WBC/SL+(/SS+월드베이스볼클래식/NNG+)/SS+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
"인성	"/SS+인성/NNG
교육을	교육/NNG+을/JKO
통해	통하/VV+아/EC
태극	태극/NNG
마크에	마크/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책임감을	책임감/NNG+을/JKO
길러야	기르/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
쓴소리를	쓴소리/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.301.5.3
당시 대표 선수들의 정신 자세를 질책한 것이다.

당시	당시/NNG
대표	대표/NNG
선수들의	선수/NNG+들/XSN+의/JKG
정신	정신/NNG
자세를	자세/NNG+를/JKO
질책한	질책/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.301.5.4
지난 5월에는 프로야구 LG와 롯데의 경기가 끝난 뒤 LG 임찬규가 MVP로 뽑힌 선수를 인터뷰하던 여자 아나운서에게 물세례를 퍼부으면서 인성 논란이 일었다.

지난	지나/VV+ㄴ/ETM
5월에는	5/SN+월/NNB+에/JKB+는/JX
프로야구	프로/NNG+야구/NNG
LG와	LG/SL+와/JC
롯데의	롯데/NNP+의/JKG
경기가	경기/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
LG	LG/SL
임찬규가	임찬규/NNP+가/JKS
MVP로	MVP/SL+로/JKB
뽑힌	뽑히/VV+ㄴ/ETM
선수를	선수/NNG+를/JKO
인터뷰하던	인터뷰/NNG+하/XSV+던/ETM
여자	여자/NNG
아나운서에게	아나운서/NNG+에게/JKB
물세례를	물세례/NNG+를/JKO
퍼부으면서	퍼붓/VV+으면서/EC
인성	인성/NNG
논란이	논란/NNG+이/JKS
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.301.5.5
최근에는 축구 선수 기성용이 최강희 전 대표팀 감독을 겨냥해 '다음부턴 그 오만한 모습 보이지 않길 바란다.

최근에는	최근/NNG+에/JKB+는/JX
축구	축구/NNG
선수	선수/NNG
기성용이	기성용/NNP+이/JKS
최강희	최강희/NNP
전	전/MMD
대표팀	대표/NNG+팀/NNG
감독을	감독/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
'다음부턴	'/SS+다음/NNG+부터/JX+ㄴ/JX
그	그/MMD
오만한	오만/NNG+하/XSA+ㄴ/ETM
모습	모습/NNG
보이지	보이/VV+지/EC
않길	않/VX+기/ETN+ㄹ/JKO
바란다.	바라/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.301.5.6
그러다 다친다'고 페이스북에 글을 남긴 사실이 알려져 파문을 일으켰다.

그러다	그러/VV+다/EC
다친다'고	다치/VV+ㄴ다/EF+'/SS+고/JKQ
페이스북에	페이스북/NNP+에/JKB
글을	글/NNG+을/JKO
남긴	남기/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
알려져	알려지/VV+어/EC
파문을	파문/NNG+을/JKO
일으켰다.	일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.301.6.1
살다 보면 누구나 한두 번 실수는 하게 마련이다.

살다	살/VV+다/EC
보면	보/VX+면/EC
누구나	누구/NP+나/JX
한두	한두/MMN
번	번/NNB
실수는	실수/NNG+는/JX
하게	하/VV+게/EC
마련이다.	마련/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.301.6.2
하지만 선수들이 "왜 나한테만 그러느냐" "우릴 무시하는 거냐"고 몽니를 부리는 건 볼썽사납다.

하지만	하지만/MAJ
선수들이	선수/NNG+들/XSN+이/JKS
"왜	"/SS+왜/MAG
나한테만	나/NP+한테/JKB+만/JX
그러느냐"	그러/VV+느냐/EF+"/SS
"우릴	"/SS+우리/NP+ㄹ/JKO
무시하는	무시/NNG+하/XSV+는/ETM
거냐"고	거/NNB+이/VCP+냐/EF+"/SS+고/JKQ
몽니를	몽니/NNG+를/JKO
부리는	부리/VV+는/ETM
건	거/NNB+ㄴ/JX
볼썽사납다.	볼썽사납/VA+다/EF+./SF


# id : NWRW1800000038.301.6.3
인터뷰 도중 물벼락 맞은 여자 아나운서는 '쓰레기통에 담겼던 물' 때문에 결막염(結膜炎)까지 걸렸지만 연관된 선수들에게 피해가 갈까 봐 입을 다물었다.

인터뷰	인터뷰/NNG
도중	도중/NNG
물벼락	물벼락/NNG
맞은	맞/VV+은/ETM
여자	여자/NNG
아나운서는	아나운서/NNG+는/JX
'쓰레기통에	'/SS+쓰레기통/NNG+에/JKB
담겼던	담기/VV+었/EP+던/ETM
물'	물/NNG+'/SS
때문에	때문/NNB+에/JKB
결막염(結膜炎)까지	결막염/NNG+(/SS+結膜炎/SH+)/SS+까지/JX
걸렸지만	걸리/VV+었/EP+지만/EC
연관된	연관/NNG+되/XSV+ㄴ/ETM
선수들에게	선수/NNG+들/XSN+에게/JKB
피해가	피해/NNG+가/JKS
갈까	가/VV+ㄹ까/EF
봐	보/VX+아/EC
입을	입/NNG+을/JKO
다물었다.	다물/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.301.6.4
기성용의 페이스북 내용을 공개한 칼럼니스트는 1년 전에 자료를 입수해 칼럼을 썼다가 폐기 처분한 적이 있다고 했다.

기성용의	기성용/NNP+의/JKG
페이스북	페이스북/NNP
내용을	내용/NNG+을/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
칼럼니스트는	칼럼니스트/NNG+는/JX
1년	1/SN+년/NNB
전에	전/NNG+에/JKB
자료를	자료/NNG+를/JKO
입수해	입수/NNG+하/XSV+아/EC
칼럼을	칼럼/NNG+을/JKO
썼다가	쓰/VV+었/EP+다가/EC
폐기	폐기/NNG
처분한	처분/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다고	있/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.301.6.5
월드컵 8회 연속 본선 진출을 앞두고 대표팀 분위기를 흐릴지도 모른다는 걱정 때문이었다고 한다.

월드컵	월드컵/NNG
8회	8/SN+회/NNB
연속	연속/NNG
본선	본선/NNG
진출을	진출/NNG+을/JKO
앞두고	앞두/VV+고/EC
대표팀	대표/NNG+팀/NNG
분위기를	분위기/NNG+를/JKO
흐릴지도	흐리/VA+ㄹ지/EC+도/JX
모른다는	모르/VV+ㄴ다는/ETM
걱정	걱정/NNG
때문이었다고	때문/NNB+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.301.7.1
새로 월드컵 축구 대표팀 사령탑에 오른 홍명보 감독은 기성용에게 "부족한 내면(內面) 세계의 공간을 넓혀가라"고 일침을 놓았다.

새로	새로/MAG
월드컵	월드컵/NNG
축구	축구/NNG
대표팀	대표/NNG+팀/NNG
사령탑에	사령탑/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
홍명보	홍명보/NNP
감독은	감독/NNG+은/JX
기성용에게	기성용/NNP+에게/JKB
"부족한	"/SS+부족/NNG+하/XSA+ㄴ/ETM
내면(內面)	내면/NNG+(/SS+內面/SL+)/SS
세계의	세계/NNG+의/JKG
공간을	공간/NNG+을/JKO
넓혀가라"고	넓히/VV+어/EC+가/VX+라/EF+"/SS+고/JKQ
일침을	일침/NNG+을/JKO
놓았다.	놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.301.7.2
17일 파주NFC에 소집된 대표팀 선수들은 홍 감독의 지시에 따라 전원이 정장(正裝)에 넥타이 차림으로 모였다.

17일	17/SN+일/NNB
파주NFC에	파주/NNP+NFC/SL+에/JKB
소집된	소집/NNG+되/XSV+ㄴ/ETM
대표팀	대표/NNG+팀/NNG
선수들은	선수/NNG+들/XSN+은/JX
홍	홍/NNP
감독의	감독/NNG+의/JKG
지시에	지시/NNG+에/JKB
따라	따르/VV+아/EC
전원이	전원/NNG+이/JKS
정장(正裝)에	정장/NNG+(/SS+正裝/SH+)/SS+에/JKB
넥타이	넥타이/NNG
차림으로	차림/NNG+으로/JKB
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.301.7.3
대한항공 스포츠단은 지난주 소속 선수 80여명을 모아놓고 서양 식사 예절 등 국제 매너 교육을 했다.

대한항공	대한항공/NNP
스포츠단은	스포츠단/NNG+은/JX
지난주	지난주/NNG
소속	소속/NNG
선수	선수/NNG
80여명을	80/SN+여/XSN+명/NNB+을/JKO
모아놓고	모으/VV+아/EC+놓/VX+고/EC
서양	서양/NNG
식사	식사/NNG
예절	예절/NNG
등	등/NNB
국제	국제/NNG
매너	매너/NNG
교육을	교육/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.301.7.4
반갑고도 다행스러운 일이다.

반갑고도	반갑/VA+고/EC+도/JX
다행스러운	다행/NNG+스럽/XSA+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.301.7.5
주위에서 이끌고 도와주는 분위기만큼이나 스포츠 선수들 스스로 인성 함양을 위해 노력해야 한다.

주위에서	주위/NNG+에서/JKB
이끌고	이끌/VV+고/EC
도와주는	도와주/VV+는/ETM
분위기만큼이나	분위기/NNG+만큼/JKB+이나/JX
스포츠	스포츠/NNG
선수들	선수/NNG+들/XSN
스스로	스스로/MAG
인성	인성/NNG
함양을	함양/NNG+을/JKO
위해	위하/VV+아/EC
노력해야	노력/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.301.7.6
경기장 안팎에서 인정받는 스타가 늘어난다면 운동선수들을 바라보는 우리 사회의 시각(視角)도 분명 달라질 것이다.

경기장	경기장/NNG
안팎에서	안팎/NNG+에서/JKB
인정받는	인정/NNG+받/XSV+는/ETM
스타가	스타/NNG+가/JKS
늘어난다면	늘어나/VV+ㄴ다면/EC
운동선수들을	운동선수/NNG+들/XSN+을/JKO
바라보는	바라보/VV+는/ETM
우리	우리/NP
사회의	사회/NNG+의/JKG
시각(視角)도	시각/NNG+(/SS+視角/SH+)/SS+도/JX
분명	분명/MAG
달라질	달라지/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


