# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.327
metadata : {}


# id : NWRW1800000030.327.1.1
"어게인 2004년"… 한나라, 총선 불출마 도미노 재현되나

"어게인	"/SS+어게인/NNG
실제 상당수 한나라당 의원들은 내년 총선 판세와 관련해 비관적인 전망을 내놓고 있다.

실제	실제/MAG
상당수	상당수/NNG
한나라당	한나라당/NNP
의원들은	의원/NNG+들/XSN+은/JX
내년	내년/NNG
총선	총선/NNG
판세와	판세/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
비관적인	비관/NNG+적/XSN+이/VCP+ㄴ/ETM
전망을	전망/NNG+을/JKO
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.327.4.2
특히 수도권 의원들은 '수도권에서 한나라당이 궤멸(潰滅)할 수도 있다'고 할 정도로 위기감을 호소하고 있다.

특히	특히/MAG
수도권	수도/NNG+권/XSN
의원들은	의원/NNG+들/XSN+은/JX
'수도권에서	'/SS+수도/NNG+권/XSN+에서/JKB
한나라당이	한나라당/NNP+이/JKS
궤멸(潰滅)할	궤멸/NNG+(/SS+潰滅/SH+)/SS+하/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다'고	있/VA+다/EF+'/SS+고/JKQ
할	하/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
위기감을	위기감/NNG+을/JKO
호소하고	호소/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.327.4.3
최근 한 인터넷 매체가 서울지역 45개 지역구를 대상으로 실시한 여론조사에서 한나라당 우세지역은 12곳에 불과했다.

최근	최근/NNG
한	한/MMN
인터넷	인터넷/NNG
매체가	매체/NNG+가/JKS
서울지역	서울지역/NNP
45개	45/SN+개/NNB
지역구를	지역구/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
여론조사에서	여론/NNG+조사/NNG+에서/JKB
한나라당	한나라당/NNP
우세지역은	우세/NNG+지역/NNG+은/JX
12곳에	12/SN+곳/NNG+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000030.327.5.1
이런 상황에서 원 의원을 비롯해 한나라당 의원들이 '돌파구'로 거론하는 모델이 2004년 17대 총선 공천이다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
원	원/NNP
의원을	의원/NNG+을/JKO
비롯해	비롯하/VV+아/EC
한나라당	한나라당/NNP
의원들이	의원/NNG+들/XSN+이/JKS
'돌파구'로	'/SS+돌파구/NNG+'/SS+로/JKB
거론하는	거론/NNG+하/XSV+는/ETM
모델이	모델/NNG+이/JKS
2004년	2004/SN+년/NNB
17대	17/SN+대/NNB
총선	총선/NNG
공천이다.	공천/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.327.5.2
17대 총선은 한나라당이 2003년 말 검찰의 불법 대선자금 수사로 '차떼기당(黨)'이란 오명(汚名)을 뒤집어 쓴 상태에서 당시 노무현 대통령 탄핵사태까지 겹친 최악의 조건으로 치른 총선으로 평가되고 있다.

17대	17/SN+대/NNB
총선은	총선/NNG+은/JX
한나라당이	한나라당/NNP+이/JKS
2003년	2003/SN+년/NNB
말	말/NNB
검찰의	검찰/NNG+의/JKG
불법	불법/NNG
대선자금	대선/NNG+자금/NNG
수사로	수사/NNG+로/JKB
'차떼기당(黨)'이란	'/SS+차떼기/NNG+당/NNG+(/SS+黨/SH+)/SS+'/SS+이/VCP+란/ETM
오명(汚名)을	오명/NNG+(/SS+汚名/SH+)/SS+을/JKO
뒤집어	뒤집/VV+어/EC
쓴	쓰/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
당시	당시/NNG
노무현	노무현/NNP
대통령	대통령/NNG
탄핵사태까지	탄핵/NNG+사태/NNG+까지/JX
겹친	겹치/VV+ㄴ/ETM
최악의	최악/NNG+의/JKG
조건으로	조건/NNG+으로/JKB
치른	치르/VV+ㄴ/ETM
총선으로	총선/NNG+으로/JKB
평가되고	평가/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.327.5.3
당시 146석을 갖고 있던 한나라당에선 비례대표를 포함해 50석 안팎을 얻으면 선전(善戰)한 것이란 전망까지 나왔었다.

당시	당시/NNG
146석을	146/SN+석/NNB+을/JKO
갖고	갖/VV+고/EC
있던	있/VX+던/ETM
한나라당에선	한나라당/NNP+에서/JKB+ㄴ/JX
비례대표를	비례/NNG+대표/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
50석	50/SN+석/NNB
안팎을	안팎/NNG+을/JKO
얻으면	얻/VV+으면/EC
선전(善戰)한	선전/NNG+(/SS+善戰/SH+)/SS+하/VV+ㄴ/ETM
것이란	것/NNB+이/VCP+란/ETM
전망까지	전망/NNG+까지/JX
나왔었다.	나오/VV+았었/EP+다/EF+./SF


# id : NWRW1800000030.327.6.1
당시 공천심사위원장을 맡은 김문수 현 경기지사와 남경필·원희룡 의원, 오세훈 현 서울시장 등 소장파들은 '60대(代) 용퇴론' '5·6공(共) 인사 퇴진론'을 제기하며 공천 개혁을 밀어붙였다.

당시	당시/NNG
공천심사위원장을	공천/NNG+심사/NNG+위원장/NNG+을/JKO
맡은	맡/VV+은/ETM
김문수	김문수/NNP
현	현/MMD
경기지사와	경기/NNP+지사/NNG+와/JC
남경필·원희룡	남경필/NNP+·/SP+원희룡/NNP
의원,	의원/NNG+,/SP
오세훈	오세훈/NNP
서울시장	서울시장/NNG
등	등/NNB
소장파들은	소장파/NNG+들/XSN+은/JX
'60대(代)	'/SS+60/SN+대/NNB+(/SS+代/SH+)/SS
용퇴론'	용퇴/NNG+론/XSN+'/SS
'5·6공(共)	'/SS+5/SN+·/SP+6/SN+공/NNG+(/SS+共/SH+)/SS
인사	인사/NNG
퇴진론'을	퇴진/NNG+론/XSN+'/SS+을/JKO
제기하며	제기/NNG+하/XSV+며/EC
공천	공천/NNG
개혁을	개혁/NNG+을/JKO
밀어붙였다.	밀어붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.327.6.2
이런 흐름에 밀려 당시 3선 이상 의원 16명을 포함해 27명의 현역 의원이 불출마를 선언했다.

이런	이런/MMD
흐름에	흐름/NNG+에/JKB
밀려	밀리/VV+어/EC
당시	당시/NNG
3선	3/SN+선/NNB
이상	이상/NNG
의원	의원/NNG
16명을	16/SN+명/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
27명의	27/SN+명/NNB+의/JKG
현역	현역/NNG
의원이	의원/NNG+이/JKS
불출마를	불/XPN+출마/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.327.6.3
영남권 공천에서 3선 이상 의원 20명 중 살아남은 사람은 6명에 불과했다.

영남권	영남/NNP+권/XSN
공천에서	공천/NNG+에서/JKB
3선	3/SN+선/NNB
이상	이상/NNG
의원	의원/NNG
20명	20/SN+명/NNB
중	중/NNB
살아남은	살아남/VV+은/ETM
사람은	사람/NNG+은/JX
6명에	6/SN+명/NNB+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000030.327.6.4
이런 '공천 개혁'을 통해 한나라당은 2004년 3월 노무현 대통령에 대한 탄핵 역풍(逆風)을 뚫고 121석을 건져냈다.

이런	이런/MMD
'공천	'/SS+공천/NNG
개혁'을	개혁/NNG+'/SS+을/JKO
통해	통하/VV+아/EC
한나라당은	한나라당/NNP+은/JX
2004년	2004/SN+년/NNB
3월	3/SN+월/NNB
노무현	노무현/NNP
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
탄핵	탄핵/NNG
역풍(逆風)을	역풍/NNG+(/SS+逆風/SH+)/SS+을/JKO
뚫고	뚫/VV+고/EC
121석을	121/SN+석/NNB+을/JKO
건져냈다.	건지/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.327.7.1
결국 17대 못지않은 위기 속에 치러지는 차기 총선에서 한나라당 강세지역인 서울 강남과 영남권에서 현역 의원들이 '자기 희생'을 하는 모습을 보여주고 그 자리에 참신한 인재를 영입해야 민심을 얻을 수 있다는 것이다.

결국	결국/MAG
17대	17/SN+대/NNB
못지않은	못지않/VA+은/ETM
위기	위기/NNG
속에	속/NNG+에/JKB
치러지는	치르/VV+어/EC+지/VX+는/ETM
차기	차기/NNG
총선에서	총선/NNG+에서/JKB
한나라당	한나라당/NNP
강세지역인	강세/NNG+지역/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
강남과	강남/NNP+과/JC
영남권에서	영남/NNP+권/XSN+에서/JKB
현역	현역/NNG
의원들이	의원/NNG+들/XSN+이/JKS
'자기	'/SS+자기/NNG
희생'을	희생/NNG+'/SS+을/JKO
하는	하/VV+는/ETM
모습을	모습/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
그	그/MMD
자리에	자리/NNG+에/JKB
참신한	참신하/VA+ㄴ/ETM
인재를	인재/NNG+를/JKO
영입해야	영입/NNG+하/XSV+아야/EC
민심을	민심/NNG+을/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.327.7.2
서울 출신의 김용태 의원은 "내년 총선이 결과를 점치기 힘든 '계가(計家) 바둑' 형국으로 간다면 서울 강남과 영남권 중진 의원들에 대한 용퇴 압박이 거세질 것"이라고 했다.

서울	서울/NNP
출신의	출신/NNG+의/JKG
김용태	김용태/NNP
의원은	의원/NNG+은/JX
"내년	"/SS+내년/NNG
총선이	총선/NNG+이/JKS
결과를	결과/NNG+를/JKO
점치기	점치/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
'계가(計家)	'/SS+계가/NNG+(/SS+計家/SH+)/SS
바둑'	바둑/NNG+'/SS
형국으로	형국/NNG+으로/JKB
간다면	가/VV+ㄴ다면/EC
강남과	강남/NNP+과/JC
영남권	영남/NNP+권/XSN
중진	중진/NNG
의원들에	의원/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
용퇴	용퇴/NNG
압박이	압박/NNG+이/JKS
거세질	거세/VA+어/EC+지/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.327.7.3
유승민 의원도 이날 "현역 의원을 대부분 다시 공천해선 박근혜 전 대표와 김문수 경기지사 모두 뛰어다녀도 총선을 못 치를 것"이라고 했다.

유승민	유승민/NNP
의원도	의원/NNG+도/JX
이날	이날/NNG
"현역	"/SS+현역/NNG
의원을	의원/NNG+을/JKO
대부분	대/XPN+부분/NNG
다시	다시/MAG
공천해선	공천/NNG+하/XSV+아서/EC+ㄴ/JX
박근혜	박근혜/NNP
전	전/MMD
대표와	대표/NNG+와/JC
김문수	김문수/NNP
경기지사	경기/NNP+지사/NNG
모두	모두/MAG
뛰어다녀도	뛰어다니/VV+어도/EC
총선을	총선/NNG+을/JKO
못	못/MAG
치를	치르/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.327.7.4
청와대가 최근 1996년 15대 총선 때 이회창·이재오·김문수·홍준표 의원 등을 영입한 한나라당 공천이 가장 성공적이었다는 내용의 조사를 한 것도 이런 흐름을 반영한 것이라는 관측이다.

청와대가	청와대/NNP+가/JKS
최근	최근/NNG
1996년	1996/SN+년/NNB
15대	15/SN+대/NNB
총선	총선/NNG
때	때/NNG
이회창·이재오·김문수·홍준표	이회창/NNP+·/SP+이재오/NNP+·/SP+김문수/NNP+·/SP+홍준표/NNP
의원	의원/NNG
등을	등/NNB+을/JKO
영입한	영입/NNG+하/XSV+ㄴ/ETM
한나라당	한나라당/NNP
공천이	공천/NNG+이/JKS
가장	가장/MAG
성공적이었다는	성공/NNG+적/XSN+이/VCP+었/EP+다는/ETM
내용의	내용/NNG+의/JKG
조사를	조사/NNG+를/JKO
한	하/VV+ㄴ/ETM
것도	것/NNB+도/JX
이런	이런/MMD
흐름을	흐름/NNG+을/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이다.	관측/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.327.8.1
하지만 내년 총선 공천이 2004년 때처럼 '위로부터의 물갈이식'으로 이뤄지기는 어려울 것이란 전망도 만만치 않다.

하지만	하지만/MAJ
내년	내년/NNG
총선	총선/NNG
공천이	공천/NNG+이/JKS
2004년	2004/SN+년/NNB
때처럼	때/NNG+처럼/JKB
'위로부터의	'/SS+위/NNG+로부터/JKB+의/JKG
물갈이식'으로	물갈이식/NNG+'/SS+으로/JKB
이뤄지기는	이뤄지/VV+기/ETN+는/JX
어려울	어렵/VA+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
전망도	전망/NNG+도/JX
만만치	만만하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000030.327.8.2
내년에는 총선과 대선이 연이어 치러지기 때문이다.

내년에는	내년/NNG+에/JKB+는/JX
총선과	총선/NNG+과/JC
대선이	대선/NNG+이/JKS
연이어	연잇/VV+어/EC
치러지기	치르/VV+어/EC+지/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.327.8.3
한 영남권 중진 의원은 "2008년 총선 때 친박계에 대한 공천 학살의 경험 때문에 인위적인 공천 물갈이는 곧바로 계파 갈등으로 번질 수 있고, 당이 대선을 앞둔 상황에서 이를 감당하기 어려울 것"이라고 했다.

한	한/MMN
영남권	영남/NNP+권/XSN
중진	중진/NNG
의원은	의원/NNG+은/JX
"2008년	"/SS+2008/SN+년/NNB
총선	총선/NNG
때	때/NNG
친박계에	친/XPN+박/NNP+계/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
공천	공천/NNG
학살의	학살/NNG+의/JKG
경험	경험/NNG
때문에	때문/NNB+에/JKB
인위적인	인위/NNG+적/XSN+이/VCP+ㄴ/ETM
물갈이는	물갈이/NNG+는/JX
곧바로	곧바로/MAG
계파	계파/NNG
갈등으로	갈등/NNG+으로/JKB
번질	번지/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
당이	당/NNG+이/JKS
대선을	대선/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
이를	이/NP+를/JKO
감당하기	감당/NNG+하/XSV+기/ETN
어려울	어렵/VA+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.327.8.4
내년처럼 총선과 대선이 같은 해 치러졌던 1992년 총선 때도 현역 의원 대부분이 그대로 공천을 받았다는 것이다.

내년처럼	내년/NNG+처럼/JKB
총선과	총선/NNG+과/JC
대선이	대선/NNG+이/JKS
같은	같/VA+은/ETM
해	해/NNG
치러졌던	치르/VV+어/EC+지/VX+었/EP+던/ETM
1992년	1992/SN+년/NNB
총선	총선/NNG
때도	때/NNG+도/JX
현역	현역/NNG
의원	의원/NNG
대부분이	대/XPN+부분/NNG+이/JKS
그대로	그대로/MAG
공천을	공천/NNG+을/JKO
받았다는	받/VV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


