# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.84
metadata : {}


# id : NWRW1800000040.84.1.1
오바마-시진핑 7일 첫 정상회담

오바마-시진핑	오바마/NNP+-/SO+시진핑/NNP
직전	직전/NNG
북한이	북한/NNP+이/JKS
남북	남북/NNP
당국간	당국/NNG+간/NNB
회담을	회담/NNG+을/JKO
제의한	제의/NNG+하/XSV+ㄴ/ETM
상황에서,	상황/NNG+에서/JKB+,/SP
미·중	미/NNP+·/SP+중/NNP
정상이	정상/NNG+이/JKS
어떤	어떤/MMD
대북정책을	대북/NNG+정책/NNG+을/JKO
내놓을지	내놓/VV+을지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.84.4.1
시 주석을 정점으로 한 중국의 5세대 지도부 출범 이후 미·중 정상이 회동하는 것은 이번이 처음이다.

시	시/NNP
주석을	주석/NNG+을/JKO
정점으로	정점/NNG+으로/JKB
한	하/VV+ㄴ/ETM
중국의	중국/NNP+의/JKG
5세대	5/SN+세대/NNG
지도부	지도부/NNG
출범	출범/NNG
이후	이후/NNG
미·중	미/NNP+·/SP+중/NNP
정상이	정상/NNG+이/JKS
회동하는	회동/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.84.4.2
각 나라의 수도에서 열린 과거 정상회담과 달리 휴양지에서 열리는 이번 회담에선, 편안한 분위기 속에서 현안에 대한 격의없는 논의가 이뤄질 것으로 예상된다.

각	각/MMD
나라의	나라/NNG+의/JKG
수도에서	수도/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
과거	과거/NNG
정상회담과	정상/NNG+회담/NNG+과/JKB
달리	달리/MAG
휴양지에서	휴양지/NNG+에서/JKB
열리는	열리/VV+는/ETM
이번	이번/NNG
회담에선,	회담/NNG+에서/JKB+ㄴ/JX+,/SP
편안한	편안/NNG+하/XSA+ㄴ/ETM
분위기	분위기/NNG
속에서	속/NNG+에서/JKB
현안에	현안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
격의없는	격의/NNG+없/VA+는/ETM
논의가	논의/NNG+가/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.84.5.1
이번 회담의 핵심 의제로는 미국 안보·기업 기밀에 대한 중국의 사이버 해킹, 북한 핵문제, 남·동중국해 영유권 분쟁 등 세가지가 꼽힌다.

이번	이번/NNG
회담의	회담/NNG+의/JKG
핵심	핵심/NNG
의제로는	의제/NNG+로/JKB+는/JX
미국	미국/NNP
안보·기업	안보/NNG+·/SP+기업/NNG
기밀에	기밀/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중국의	중국/NNP+의/JKG
사이버	사이버/NNG
해킹,	해킹/NNG+,/SP
북한	북한/NNP
핵문제,	핵/NNG+문제/NNG+,/SP
남·동중국해	남·동중국해/NNP
영유권	영유/NNG+권/XSN
분쟁	분쟁/NNG
등	등/NNB
세가지가	세/MMN+가지/NNB+가/JKS
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.84.5.2
북한 핵문제와 관련해, 시 주석은 북한쪽의 최근 대화 제의를 설명하며 6자회담 재개 필요성을 강조할 것으로 보인다.

북한	북한/NNP
핵문제와	핵/NNG+문제/NNG+와/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
시	시/NNP
주석은	주석/NNG+은/JX
북한쪽의	북한/NNP+쪽/NNB+의/JKG
최근	최근/MAG
대화	대화/NNG
제의를	제의/NNG+를/JKO
설명하며	설명/NNG+하/XSV+며/EC
6자회담	6/SN+자/NNB+회담/NNG
재개	재개/NNG
필요성을	필요/NNG+성/XSN+을/JKO
강조할	강조/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.84.5.3
가능성은 높지 않지만, 오바마 대통령이 ‘비핵화와 관련한 북한의 진정성 있는 조처가 선행되어야 한다’는 기존 방침에 변화를 줄지가 관심사다.

가능성은	가능/NNG+성/XSN+은/JX
높지	높/VA+지/EC
않지만,	않/VX+지만/EC+,/SP
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
‘비핵화와	‘/SS+비핵/NNG+화/XSN+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
북한의	북한/NNP+의/JKG
진정성	진정/NNG+성/XSN
있는	있/VA+는/ETM
조처가	조처/NNG+가/JKS
선행되어야	선행/NNG+되/XSV+어야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
기존	기존/NNG
방침에	방침/NNG+에/JKB
변화를	변화/NNG+를/JKO
줄지가	주/VV+ㄹ지/EF+가/JKS
관심사다.	관심사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.84.6.1
특히 시 주석은 오바마 대통령에게 ‘서로의 핵심이익을 존중하자’는 내용을 뼈대로 한 ‘신형 대국관계’를 강조할 것으로 보여 오바마 대통령이 어떻게 반응할지도 관심거리다.

특히	특히/MAG
시	시/NNP
주석은	주석/NNG+은/JX
오바마	오바마/NNP
대통령에게	대통령/NNG+에게/JKB
‘서로의	‘/SS+서로/NNG+의/JKG
핵심이익을	핵심/NNG+이익/NNG+을/JKO
존중하자’는	존중/NNG+하/XSV+자/EF+’/SS+는/ETM
내용을	내용/NNG+을/JKO
뼈대로	뼈대/NNG+로/JKB
한	하/VV+ㄴ/ETM
‘신형	‘/SS+신형/NNG
대국관계’를	대국/NNG+관계/NNG+’/SS+를/JKO
강조할	강조/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보여	보이/VV+어/EC
대통령이	대통령/NNG+이/JKS
어떻게	어떻/VA+게/EC
반응할지도	반응/NNG+하/XSV+ㄹ지/EF+도/JX
관심거리다.	관심거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.84.7.1
조지프 나이 하버드대 교수는 3일 전략국제문제연구소(CSIS)에서 열린 출판기념회에서 “의례적 행사를 배제한 비공식적 회담 형식은 오바마 대통령이 중국과 진지한 관계를 맺으려 한다는 신호”라며 “미-중이 앞으로 갈등 요소를 관리하고 협력을 강화하는 방향으로 가는데 좋은 출발점이 될 수 있을 것”이라고 말했다.

조지프	조지프/NNP
나이	나이/NNP
하버드대	하버드대/NNP
교수는	교수/NNG+는/JX
3일	3/SN+일/NNB
전략국제문제연구소(CSIS)에서	전략국제문제연구소/NNP+(/SS+CSIS/SL+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
출판기념회에서	출판/NNG+기념회/NNG+에서/JKB
“의례적	“/SS+의례/NNG+적/XSN
행사를	행사/NNG+를/JKO
배제한	배제/NNG+하/XSV+ㄴ/ETM
비공식적	비/XPN+공식/NNG+적/XSN
회담	회담/NNG
형식은	형식/NNG+은/JX
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
중국과	중국/NNP+과/JC
진지한	진지하/VA+ㄴ/ETM
관계를	관계/NNG+를/JKO
맺으려	맺/VV+으려/EC
한다는	하/VX+ㄴ다는/ETM
신호”라며	신호/NNG+”/SS+이/VCP+라며/EC
“미-중이	“/SS+미/NNP+-/SO+중/NNP+이/JKS
앞으로	앞/NNG+으로/JKB
갈등	갈등/NNG
요소를	요소/NNG+를/JKO
관리하고	관리/NNG+하/XSV+고/EC
협력을	협력/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
가는데	가/VV+는데/EC
좋은	좋/VA+은/ETM
출발점이	출발점/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


