# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.31
metadata : {}


# id : NWRW1800000049.31.1.1
‘내우외환’ 넥슨, 모바일 다걸기

‘내우외환’	‘/SS+내우외환/NNG+’/SS
7종을	7/SN+종/NNG+을/JKO
한꺼번에	한꺼번에/MAG
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.31.3.2
넥슨은 10일 서울 서초구 서초대로 넥슨아레나에서 기자간담회를 열고 자사 인기 지식재산권(IP)을 활용해 만든 ‘메이플스토리M’ ‘던전앤파이터: 혼’ ‘엘소드 슬래시’ 등 신작 게임 7종을 이달부터 12월에 걸쳐 순차적으로 공개할 계획이라고 밝혔다.

넥슨은	넥슨/NNP+은/JX
10일	10/SN+일/NNB
서울	서울/NNP
서초구	서초구/NNP
서초대로	서초대로/NNP
넥슨아레나에서	넥슨아레나/NNP+에서/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열고	열/VV+고/EC
자사	자사/NNG
인기	인기/NNG
지식재산권(IP)을	지식/NNG+재산/NNG+권/XSN+(/SS+IP/SL+)/SS+을/JKO
활용해	활용/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
‘메이플스토리M’	‘/SS+메이플스토리M/NNP+’/SS
‘던전앤파이터:	‘/SS+던전앤파이터/NNP+:/SP
혼’	혼/NNG+’/SS
‘엘소드	‘/SS+엘소드/NNP
슬래시’	슬래시/NNP+’/SS
등	등/NNB
신작	신작/NNG
게임	게임/NNG
7종을	7/SN+종/NNG+을/JKO
이달부터	이달/NNG+부터/JX
12월에	12/SN+월/NNB+에/JKB
걸쳐	걸치/VV+어/EC
순차적으로	순차/NNG+적/XSN+으로/JKB
공개할	공개/NNG+하/XSV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.31.4.1
메이플스토리는 2003년 출시돼 전 세계 110여 개국에서 1억7000만 명이 즐기는 넥슨의 장수 온라인 게임이다.

메이플스토리는	메이플스토리/NNP+는/JX
2003년	2003/SN+년/NNB
출시돼	출시/NNG+되/XSV+어/EC
전	전/MMN
세계	세계/NNG
110여	110/SN+여/XSN
개국에서	개국/NNB+에서/JKB
1억7000만	1/SN+억/NR+7000/SN+만/NR
명이	명/NNB+이/JKS
즐기는	즐기/VV+는/ETM
넥슨의	넥슨/NNP+의/JKG
장수	장수/NNG
온라인	온라인/NNG
게임이다.	게임/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.31.4.2
던전앤파이터는 2005년 서비스를 시작해 중국에서 동시 접속자 500만 명, 국내에서 29만 명을 기록한 인기작이다.

던전앤파이터는	던전앤파이터/NNP+는/JX
2005년	2005/SN+년/NNB
서비스를	서비스/NNG+를/JKO
시작해	시작/NNG+하/XSV+아/EC
중국에서	중국/NNP+에서/JKB
동시	동시/NNG
접속자	접속자/NNG
500만	500/SN+만/NR
명,	명/NNB+,/SP
국내에서	국내/NNG+에서/JKB
29만	29/SN+만/NR
명을	명/NNB+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
인기작이다.	인기작/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.31.4.3
이들 게임은 모두 PC 게임 전용으로 인기를 누렸는데, 이번에 모바일 게임으로 단장해 새로 내놓은 것이다.

이들	이/NP+들/XSN
게임은	게임/NNG+은/JX
모두	모두/MAG
PC	PC/SL
게임	게임/NNG
전용으로	전용/NNG+으로/JKB
인기를	인기/NNG+를/JKO
누렸는데,	누리/VV+었/EP+는데/EC+,/SP
이번에	이번/NNG+에/JKB
모바일	모바일/NNG
게임으로	게임/NNG+으로/JKB
단장해	단장/NNG+하/XSV+아/EC
새로	새로/MAG
내놓은	내놓/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.31.5.1
이번 신작 출시가 여러 악재에 시달려 온 넥슨에 새로운 전환점을 제공할지 주목된다.

이번	이번/NNG
신작	신작/NNG
출시가	출시/NNG+가/JKS
여러	여러/MMN
악재에	악재/NNG+에/JKB
시달려	시달리/VV+어/EC
온	오/VX+ㄴ/ETM
넥슨에	넥슨/NNP+에/JKB
새로운	새롭/VA+ㄴ/ETM
전환점을	전환점/NNG+을/JKO
제공할지	제공/NNG+하/XSV+ㄹ지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.31.5.2
넥슨은 김정주 NXC(넥슨 지주회사) 대표가 진경준 전 검사장에게 뇌물을 제공해 여론의 질타를 받은 데 이어 기대작이었던 ‘서든어택2’가 선정성 문제에 휩싸이면서 9월에 서비스를 접은 바 있다.

넥슨은	넥슨/NNP+은/JX
김정주	김정주/NNP
NXC(넥슨	NXC/SL+(/SS+넥슨/NNP
지주회사)	지주/NNG+회사/NNG+)/SS
대표가	대표/NNG+가/JKS
진경준	진경준/NNP
전	전/MMD
검사장에게	검사장/NNG+에게/JKB
뇌물을	뇌물/NNG+을/JKO
제공해	제공/NNG+하/XSV+아/EC
여론의	여론/NNG+의/JKG
질타를	질타/NNG+를/JKO
받은	받/VV+은/ETM
데	데/NNB
이어	잇/VV+어/EC
기대작이었던	기대작/NNG+이/VCP+었/EP+던/ETM
‘서든어택2’가	‘/SS+서든어택2/NNP+’/SS+가/JKS
선정성	선정/NNG+성/XSN
문제에	문제/NNG+에/JKB
휩싸이면서	휩싸이/VV+면서/EC
9월에	9/SN+월/NNB+에/JKB
서비스를	서비스/NNG+를/JKO
접은	접/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.31.6.1
넥슨 일본법인의 주가는 3월 말 1984엔(약 2만1427원)에서 CEO 리스크 및 서든어택2 선정성 논란 등 악재가 불거진 8월 중순에는 1289엔(약 1만3921원)으로 35%가량 떨어졌다.

넥슨	넥슨/NNP
일본법인의	일본/NNP+법인/NNG+의/JKG
주가는	주가/NNG+는/JX
3월	3/SN+월/NNB
말	말/NNB
1984엔(약	1984/SN+엔/NNB+(/SS+약/MMA
2만1427원)에서	2/SN+만/NR+1427/SN+원/NNB+)/SS+에서/JKB
CEO	CEO/SL
리스크	리스크/NNG
및	및/MAG
서든어택2	서든어택2/NNP
선정성	선정/NNG+성/XSN
논란	논란/NNG
등	등/NNB
악재가	악재/NNG+가/JKS
불거진	불거지/VV+ㄴ/ETM
8월	8/SN+월/NNB
중순에는	중순/NNG+에/JKB+는/JX
1289엔(약	1289/SN+엔/NNB+(/SS+약/MMA
1만3921원)으로	1/SN+만/NR+3921/SN+원/NNB+)/SS+으로/JKB
35%가량	35/SN+%/SW+가량/XSN
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.31.6.2
신작 모바일 게임 등에 대한 기대감으로 주가는 7일 현재 1635엔(약 1만7658원)까지 회복된 상태다.

신작	신작/NNG
모바일	모바일/NNG
게임	게임/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
기대감으로	기대감/NNG+으로/JKB
주가는	주가/NNG+는/JX
7일	7/SN+일/NNB
현재	현재/MAG
1635엔(약	1635/SN+엔/NNB+(/SS+약/MMA
1만7658원)까지	1/SN+만/NR+7658/SN+원/NNB+)/SS+까지/JX
회복된	회복/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.31.7.1
정상원 넥슨 부사장은 이날 기자간담회에서 “최근 어려운 시기를 보내며 넥슨의 본질에 대해 생각해 봤다”며 “소명 의식을 갖고 게임을 만드는 것이라 결론 내렸으며 앞으로 개발, 퍼블리셔(유통) 역할을 충실히 할 것”이라고 말했다.

정상원	정상원/NNP
넥슨	넥슨/NNP
부사장은	부사장/NNG+은/JX
이날	이날/NNG
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“최근	“/SS+최근/NNG
어려운	어렵/VA+ㄴ/ETM
시기를	시기/NNG+를/JKO
보내며	보내/VV+며/EC
넥슨의	넥슨/NNP+의/JKG
본질에	본질/NNG+에/JKB
대해	대하/VV+아/EC
생각해	생각/NNG+하/XSV+아/EC
봤다”며	보/VX+았/EP+다/EF+”/SS+며/EC
“소명	“/SS+소명/NNG
의식을	의식/NNG+을/JKO
갖고	갖/VV+고/EC
게임을	게임/NNG+을/JKO
만드는	만들/VV+는/ETM
것이라	것/NNB+이/VCP+라/EC
결론	결론/NNG
내렸으며	내리/VV+었/EP+으며/EC
앞으로	앞/NNG+으로/JKB
개발,	개발/NNG+,/SP
퍼블리셔(유통)	퍼블리셔/NNG+(/SS+유통/NNG+)/SS
역할을	역할/NNG+을/JKO
충실히	충실히/MAG
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.31.8.1
넥슨과 함께 국내 빅3 게임회사로 불리는 넷마블게임즈와 엔씨소프트도 신작을 내놓는다.

넥슨과	넥슨/NNP+과/JKB
함께	함께/MAG
국내	국내/NNG
빅3	빅/NNG+3/SN
게임회사로	게임/NNG+회사/NNG+로/JKB
불리는	불리/VV+는/ETM
넷마블게임즈와	넷마블게임즈/NNP+와/JC
엔씨소프트도	엔씨소프트/NNP+도/JX
신작을	신작/NNG+을/JKO
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000049.31.8.2
넷마블게임즈는 연말까지 국내외 유명 IP를 활용해 개발한 ‘리니지2: 레볼루션’ ‘더킹오브파이터즈’ ‘스타워즈’ 등 다수의 게임을 출시할 예정이다.

넷마블게임즈는	넷마블게임즈/NNP+는/JX
연말까지	연말/NNG+까지/JX
국내외	국내외/NNG
유명	유명/NNG
IP를	IP/SL+를/JKO
활용해	활용/NNG+하/XSV+아/EC
개발한	개발/NNG+하/XSV+ㄴ/ETM
‘리니지2:	‘/SS+리니지2/NNP+:/SP
레볼루션’	레볼루션/NNG+’/SS
‘더킹오브파이터즈’	‘/SS+더킹오브파이터즈/NNP+’/SS
‘스타워즈’	‘/SS+스타워즈/NNP+’/SS
등	등/NNB
다수의	다수/NNG+의/JKG
게임을	게임/NNG+을/JKO
출시할	출시/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.31.8.3
엔씨소프트도 리니지 IP를 활용한 ‘리니지 레드나이츠’(모바일) ‘리니지 이터널’(PC) 등을 선보일 계획이다.

엔씨소프트도	엔씨소프트/NNP+도/JX
리니지	리니지/NNP
IP를	IP/SL+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
‘리니지	‘/SS+리니지/NNP
레드나이츠’(모바일)	레드나이츠/NNP+’/SS+(/SS+모바일/NNG+)/SS
이터널’(PC)	이터널/NNP+’/SS+(/SS+PC/SL+)/SS
등을	등/NNB+을/JKO
선보일	선보이/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.31.9.1
한편 국내 대형 게임회사들이 가상현실(VR)과 증강현실(AR) 등 새로운 형태의 게임에 도전하기보다 국내외 인기 IP에 의존해 잇달아 게임을 내놓는 것에 대해 우려하는 목소리도 나온다.

한편	한편/MAG
국내	국내/NNG
대형	대형/NNG
게임회사들이	게임/NNG+회사/NNG+들/XSN+이/JKS
가상현실(VR)과	가상/NNG+현실/NNG+(/SS+VR/SL+)/SS+과/JC
증강현실(AR)	증강/NNG+현실/NNG+(/SS+AR/SL+)/SS
등	등/NNB
새로운	새롭/VA+ㄴ/ETM
형태의	형태/NNG+의/JKG
게임에	게임/NNG+에/JKB
도전하기보다	도전/NNG+하/XSV+기/ETN+보다/JKB
국내외	국내외/NNG
인기	인기/NNG
IP에	IP/SL+에/JKB
의존해	의존/NNG+하/XSV+아/EC
잇달아	잇달/VV+아/EC
게임을	게임/NNG+을/JKO
내놓는	내놓/VV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
우려하는	우려/NNG+하/XSV+는/ETM
목소리도	목소리/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.31.9.2
윤형섭 상명대 게임학과 교수는 “닌텐도의 ‘포켓몬 고’가 성공한 배경에는 ‘가족에게 즐거움을 제공한다’ 같은 철학에 기초한 자기 혁신이 있었기 때문”이라며 “한국 게임회사들은 비전 없이 비즈니스 모델에만 집착하는 것 같아 아쉽다”고 말했다.

윤형섭	윤형섭/NNP
상명대	상명대/NNP
게임학과	게임학과/NNG
교수는	교수/NNG+는/JX
“닌텐도의	“/SS+닌텐도/NNP+의/JKG
‘포켓몬	‘/SS+포켓몬/NNP
고’가	고/NNP+’/SS+가/JKS
성공한	성공/NNG+하/XSV+ㄴ/ETM
배경에는	배경/NNG+에/JKB+는/JX
‘가족에게	‘/SS+가족/NNG+에게/JKB
즐거움을	즐거움/NNG+을/JKO
제공한다’	제공/NNG+하/XSV+ㄴ다/EF+’/SS
같은	같/VA+은/ETM
철학에	철학/NNG+에/JKB
기초한	기초/NNG+하/XSV+ㄴ/ETM
자기	자기/NNG
혁신이	혁신/NNG+이/JKS
있었기	있/VA+었/EP+기/ETN
때문”이라며	때문/NNB+”/SS+이/VCP+라며/EC
“한국	“/SS+한국/NNP
게임회사들은	게임/NNG+회사/NNG+들/XSN+은/JX
비전	비전/NNG
없이	없이/MAG
비즈니스	비즈니스/NNG
모델에만	모델/NNG+에/JKB+만/JX
집착하는	집착/NNG+하/XSV+는/ETM
것	것/NNB
같아	같/VA+아/EC
아쉽다”고	아쉽/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


