# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.317
metadata : {}


# id : NWRW1800000033.317.1.1
공천취소 전혜숙 “금품제공 의혹 억울”… 黨대표실 점거

공천취소	공천/NNG+취소/NNG
줬다는	주/VV+었/EP+다는/ETM
사람만	사람/NNG+만/JX
있는데	있/VA+는데/EC
한명숙	한명숙/NNP
대표도	대표/NNG+도/JX
똑같은	똑같/VA+은/ETM
일로	일/NNG+로/JKB
무죄를	무죄/NNG+를/JKO
받지	받/VV+지/EC
않았느냐”고	않/VX+았/EP+느냐/EF+”/SS+고/JKQ
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.317.4.5
당은 “당의 실사가 있었고 경찰 조사가 진행 중이어서 본선에서 어려움이 예상된다”고 설명했다.

당은	당/NNG+은/JX
“당의	“/SS+당/NNG+의/JKG
실사가	실사/NNG+가/JKS
있었고	있/VA+었/EP+고/EC
경찰	경찰/NNG
조사가	조사/NNG+가/JKS
진행	진행/NNG
중이어서	중/NNB+이/VCP+어서/EC
본선에서	본선/NNG+에서/JKB
어려움이	어려움/NNG+이/JKS
예상된다”고	예상/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.317.4.6
전 의원은 눈물을 흘리며 “생명이 끊어지더라도 여기서 한 발자국도 못 물러난다”고 맞섰다.

전	전/NNP
의원은	의원/NNG+은/JX
눈물을	눈물/NNG+을/JKO
흘리며	흘리/VV+며/EC
“생명이	“/SS+생명/NNG+이/JKS
끊어지더라도	끊어지/VV+더라도/EC
여기서	여기/NP+서/JKB
한	한/MMN
발자국도	발자국/NNG+도/JX
못	못/MAG
물러난다”고	물러나/VV+ㄴ다/EF+”/SS+고/JKQ
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.317.4.7
한 대표는 “미안하다”는 말을 하고 돌아섰다.

한	한/NNP
대표는	대표/NNG+는/JX
“미안하다”는	“/SS+미안/NNG+하/XSA+다/EF+”/SS+는/ETM
말을	말/NNG+을/JKO
하고	하/VV+고/EC
돌아섰다.	돌아서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.317.4.8
전 의원은 대표실에서 무기한 농성을 벌이겠다고 했다.

전	전/NNP
의원은	의원/NNG+은/JX
대표실에서	대표실/NNG+에서/JKB
무기한	무/XPN+기한/NNG
농성을	농성/NNG+을/JKO
벌이겠다고	벌이/VV+겠/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.317.5.1
광주 전남에선 경선을 둘러싼 시비가 난무한다.

광주	광주/NNP
전남에선	전남/NNP+에서/JKB+ㄴ/JX
경선을	경선/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
시비가	시비/NNG+가/JKS
난무한다.	난무/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.317.5.2
광주 북갑 경선에서 강기정 의원에게 패한 이형석 후보는 당에 강 의원의 후보자격 박탈을 요구했다.

광주	광주/NNP
북갑	북갑/NNP
경선에서	경선/NNG+에서/JKB
강기정	강기정/NNP
의원에게	의원/NNG+에게/JKB
패한	패/NNG+하/XSV+ㄴ/ETM
이형석	이형석/NNP
후보는	후보/NNG+는/JX
당에	당/NNG+에/JKB
강	강/NNP
의원의	의원/NNG+의/JKG
후보자격	후보/NNG+자격/NNG
박탈을	박탈/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.317.5.3
강 의원은 경선 전인 9일 오후 10시 반경 자신이 살고 있는 아파트 우편함에 발송된 이 후보의 홍보물을 절취한 혐의를 받고 있다.

강	강/NNP
의원은	의원/NNG+은/JX
경선	경선/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
9일	9/SN+일/NNB
오후	오후/NNG
10시	10/SN+시/NNB
반경	반/NNG+경/XSN
자신이	자신/NNG+이/JKS
살고	살/VV+고/EC
있는	있/VX+는/ETM
아파트	아파트/NNG
우편함에	우편함/NNG+에/JKB
발송된	발송/NNG+되/XSV+ㄴ/ETM
이	이/NNP
후보의	후보/NNG+의/JKG
홍보물을	홍보물/NNG+을/JKO
절취한	절취/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.317.5.4
당은 이 장면이 담긴 아파트 폐쇄회로(CC)TV를 확보해 조사를 벌이고 있다.

당은	당/NNG+은/JX
이	이/MMD
장면이	장면/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
아파트	아파트/NNG
폐쇄회로(CC)TV를	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS+TV/SL+를/JKO
확보해	확보/NNG+하/XSV+아/EC
조사를	조사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.317.5.5
광주 북을 경선에서 182표 차로 패한 최경환 후보는 “행정구역 개편으로 북을에서 서구로 편입된 동천동 주민들이 경선에 참여했다”며 재심 청구와 함께 광주지법에 ‘경선 당선자 결정 효력정지 및 공천장 교부금지 가처분 신청’을 냈다.

광주	광주/NNP
북을	북을/NNP
경선에서	경선/NNG+에서/JKB
182표	182/SN+표/NNG
차로	차/NNG+로/JKB
패한	패/NNG+하/XSV+ㄴ/ETM
최경환	최경환/NNP
후보는	후보/NNG+는/JX
“행정구역	“/SS+행정/NNG+구역/NNG
개편으로	개편/NNG+으로/JKB
북을에서	북을/NNP+에서/JKB
서구로	서구/NNP+로/JKB
편입된	편입/NNG+되/XSV+ㄴ/ETM
동천동	동천동/NNP
주민들이	주민/NNG+들/XSN+이/JKS
경선에	경선/NNG+에/JKB
참여했다”며	참여/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
재심	재심/NNG
청구와	청구/NNG+와/JKB
함께	함께/MAG
광주지법에	광주지법/NNP+에/JKB
‘경선	‘/SS+경선/NNG
당선자	당선자/NNG
결정	결정/NNG
효력정지	효력/NNG+정지/NNG
및	및/MAG
공천장	공천장/NNG
교부금지	교부/NNG+금지/NNG
가처분	가/XPN+처분/NNG
신청’을	신청/NNG+’/SS+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.317.5.6
전남 나주-화순과 고흥-보성 경선에서 각각 패한 박선원, 장성민 후보는 “상대 후보가 현장투표 때 관광버스 등 교통 편의를 제공하고 선거인단을 동원했다”며 재심을 청구했다.

전남	전남/NNP
나주-화순과	나주/NNP+-/SO+화순/NNP+과/JC
고흥-보성	고흥/NNP+-/SO+보성/NNP
경선에서	경선/NNG+에서/JKB
각각	각각/MAG
패한	패/NNG+하/XSV+ㄴ/ETM
박선원,	박선원/NNP+,/SP
장성민	장성민/NNP
후보는	후보/NNG+는/JX
“상대	“/SS+상대/NNG
후보가	후보/NNG+가/JKS
현장투표	현장/NNG+투표/NNG
때	때/NNG
관광버스	관광버스/NNG
등	등/NNB
교통	교통/NNG
편의를	편의/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
선거인단을	선거인단/NNG+을/JKO
동원했다”며	동원/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
재심을	재심/NNG+을/JKO
청구했다.	청구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.317.6.1
저축은행 비리 사건으로 기소된 이화영 전 의원은 강원 동해-삼척 공천자로 발표됐다가 취소되자 16일 “어제 공천을 철회한다고 해 혼란스럽다.

저축은행	저축/NNG+은행/NNG
비리	비리/NNG
사건으로	사건/NNG+으로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
이화영	이화영/NNP
전	전/MMD
의원은	의원/NNG+은/JX
강원	강원/NNP
동해-삼척	동해/NNP+-/SO+삼척/NNP
공천자로	공천자/NNG+로/JKB
발표됐다가	발표/NNG+되/XSV+었/EP+다가/EC
취소되자	취소/NNG+되/XSV+자/EC
16일	16/SN+일/NNB
“어제	“/SS+어제/MAG
공천을	공천/NNG+을/JKO
철회한다고	철회/NNG+하/XSV+ㄴ다고/EC
해	하/VV+아/EC
혼란스럽다.	혼란/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000033.317.6.2
실질적인 민주당 후보로 최선을 다하겠다”며 무소속 출마를 선언했다.

실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
민주당	민주당/NNP
후보로	후보/NNG+로/JKB
최선을	최선/NNG+을/JKO
다하겠다”며	다/MAG+하/XSV+겠/EP+다/EF+”/SS+며/EC
무소속	무/XPN+소속/NNG
출마를	출마/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.317.6.3
15일엔 공천 탈락한 김재균(광주 북을), 조영택(광주 서갑) 의원이 “친노(친노무현), 486이 원칙과 기준 없이 공천 학살을 자행했다”며 무소속 출마를 선언했다.

15일엔	15/SN+일/NNB+에/JKB+ㄴ/JX
공천	공천/NNG
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
김재균(광주	김재균/NNP+(/SS+광주/NNP
북을),	북을/NNP+)/SS+,/SP
조영택(광주	조영택/NNP+(/SS+광주/NNP
서갑)	서갑/NNP+)/SS
의원이	의원/NNG+이/JKS
“친노(친노무현),	“/SS+친/XPN+노/NNP+(/SS+친/XPN+노무현/NNP+)/SS+,/SP
486이	486/SN+이/JKS
원칙과	원칙/NNG+과/JC
기준	기준/NNG
없이	없이/MAG
학살을	학살/NNG+을/JKO
자행했다”며	자행/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
무소속	무/XPN+소속/NNG
출마를	출마/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.317.6.4
박지원 의원이 공천된 목포의 배종호 후보는 “비리 전과자를 경선도 없이 공천했다”며 무소속 출마 의사를 밝혔다.

박지원	박지원/NNP
의원이	의원/NNG+이/JKS
공천된	공천/NNG+되/XSV+ㄴ/ETM
목포의	목포/NNP+의/JKG
배종호	배종호/NNP
후보는	후보/NNG+는/JX
“비리	“/SS+비리/NNG
전과자를	전과자/NNG+를/JKO
경선도	경선/NNG+도/JX
없이	없이/MAG
공천했다”며	공천/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
무소속	무/XPN+소속/NNG
출마	출마/NNG
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.317.7.1
한편 14일 마감된 민주당 비례대표 후보 공모에는 282명이 지원했다.

한편	한편/MAG
14일	14/SN+일/NNB
마감된	마감/NNG+되/XSV+ㄴ/ETM
민주당	민주당/NNP
비례대표	비례/NNG+대표/NNG
후보	후보/NNG
공모에는	공모/NNG+에/JKB+는/JX
282명이	282/SN+명/NNB+이/JKS
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.317.7.2
4대강 사업 반대운동에 앞장선 박창근 관동대 토목공학과 교수가 응모한 데 대해선 “결국 국회의원 배지 달려고 그토록 4대강 반대에 매달렸나”란 비판이 당 안팎에서 나온다.

4대강	4/SN+대/NNG+강/NNG
사업	사업/NNG
반대운동에	반대/NNG+운동/NNG+에/JKB
앞장선	앞장서/VV+ㄴ/ETM
박창근	박창근/NNP
관동대	관동대/NNP
토목공학과	토목/NNG+공학과/NNG
교수가	교수/NNG+가/JKS
응모한	응모/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해선	대하/VV+아서/EC+ㄴ/JX
“결국	“/SS+결국/MAG
국회의원	국회/NNG+의원/NNG
배지	배지/NNG
달려고	달/VV+려고/EC
그토록	그토록/MAG
반대에	반대/NNG+에/JKB
매달렸나”란	매달리/VV+었/EP+나/EF+”/SS+란/ETM
비판이	비판/NNG+이/JKS
당	당/NNG
안팎에서	안팎/NNG+에서/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.317.7.3
노무현 정부에서 대북정책을 주도했던 서훈 전 국가정보원 3차장도 신청서를 냈다.

노무현	노무현/NNP
정부에서	정부/NNG+에서/JKB
대북정책을	대북/NNG+정책/NNG+을/JKO
주도했던	주도/NNG+하/XSV+았/EP+던/ETM
서훈	서훈/NNP
전	전/MMD
국가정보원	국가/NNG+정보원/NNG
3차장도	3/SN+차장/NNG+도/JX
신청서를	신청서/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.317.7.4
김기식 전략기획위원장, 이재경 홍보위원장 등 당내 인사를 비롯해 이석행 전 민주노총 위원장 등도 문을 두드렸다.

김기식	김기식/NNP
전략기획위원장,	전략/NNG+기획/NNG+위원장/NNG+,/SP
이재경	이재경/NNP
홍보위원장	홍보/NNG+위원장/NNG
등	등/NNB
당내	당내/NNG
인사를	인사/NNG+를/JKO
비롯해	비롯하/VV+아/EC
이석행	이석행/NNP
전	전/MMD
민주노총	민주노총/NNP
위원장	위원장/NNG
등도	등/NNB+도/JX
문을	문/NNG+을/JKO
두드렸다.	두드리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.317.7.5
민주당은 100명 정도를 추려 17, 18일 면접을 하고 다음 주초 비례대표 후보를 발표한다.

민주당은	민주당/NNP+은/JX
100명	100/SN+명/NNB
정도를	정도/NNG+를/JKO
추려	추리/VV+어/EC
17,	17/SN+,/SP
18일	18/SN+일/NNB
면접을	면접/NNG+을/JKO
하고	하/VV+고/EC
다음	다음/NNG
주초	주초/NNG
비례대표	비례/NNG+대표/NNG
후보를	후보/NNG+를/JKO
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


