# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.159
metadata : {}


# id : NWRW1800000026.159.1.1
[문갑식의 하드보일드] '狂馬부부'고성규·윤미라, 사라진 제국 고구려의 기마무예를 살리다;"말과 고구려에 미친 우리 부부… 예, '또라이' 맞습니다"

[문갑식의	[/SS+문갑식/NNP+의/JKG
충청도 제천에서 열린 할아버지 제사 때였다.

충청도	충청도/NNP
제천에서	제천/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
할아버지	할아버지/NNG
제사	제사/NNG
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.159.8.2
강원도 영월이 고향인 초등학교 4학년생 고성규는 짐수레 끌고 다니는 말을 거기서 처음 봤다.

강원도	강원도/NNP
영월이	영월/NNP+이/JKS
고향인	고향/NNG+이/VCP+ㄴ/ETM
초등학교	초등학교/NNG
4학년생	4/SN+학년/NNG+생/XSN
고성규는	고성규/NNP+는/JX
짐수레	짐수레/NNG
끌고	끌/VV+고/EC
다니는	다니/VV+는/ETM
말을	말/NNG+을/JKO
거기서	거기/NP+서/JKB
처음	처음/NNG
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.8.3
순간 혈관에 뭔가가 찌르르했다.

순간	순간/NNG
혈관에	혈관/NNG+에/JKB
뭔가가	뭐/NP+이/VCP+ㄴ가/EF+가/JKS
찌르르했다.	찌르르/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000026.159.8.4
"언젠가 저걸 꼭 타봐야겠다!"

"언젠가	"/SS+언젠가/MAG
저걸	저거/NP+ㄹ/JKO
꼭	꼭/MAG
타봐야겠다!"	타/VV+아/EC+보/VX+아야/EC+하/VX+겠/EP+다/EF+!/SF+"/SS


# id : NWRW1800000026.159.9.1
고성규는 대관령 축산고에 입학했다.

고성규는	고성규/NNP+는/JX
대관령	대관령/NNP
축산고에	축산고/NNP+에/JKB
입학했다.	입학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.9.2
지금은 교명(校名)이 사라졌지만 박정희 전 대통령 시절 생긴 금오공고 같은 특수고(特殊高)였다.

지금은	지금/NNG+은/JX
교명(校名)이	교명/NNG+(/SS+校名/SH+)/SS+이/JKS
사라졌지만	사라지/VV+었/EP+지만/EC
박정희	박정희/NNP
전	전/MMD
대통령	대통령/NNG
시절	시절/NNG
생긴	생기/VV+ㄴ/ETM
금오공고	금오공고/NNP
같은	같/VA+은/ETM
특수고(特殊高)였다.	특수고/NNG+(/SS+特殊高/SH+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.159.9.3
국민들이 굶던 시절, 고기와 우유를 증산하라는 임무가 이들에게 부여됐다.

국민들이	국민/NNG+들/XSN+이/JKS
굶던	굶/VV+던/ETM
시절,	시절/NNG+,/SP
고기와	고기/NNG+와/JC
우유를	우유/NNG+를/JKO
증산하라는	증산/NNG+하/XSV+라는/ETM
임무가	임무/NNG+가/JKS
이들에게	이/NP+들/XSN+에게/JKB
부여됐다.	부여/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.159.10.1
축산고생들은 1년에 40일 대관령 삼양목장에서 실습을 했다.

축산고생들은	축산고/NNP+생/XSN+들/XSN+은/JX
1년에	1/SN+년/NNB+에/JKB
40일	40/SN+일/NNB
대관령	대관령/NNP
삼양목장에서	삼양목장/NNP+에서/JKB
실습을	실습/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.10.2
그중에 고2 고성규도 포함돼 있었다.

그중에	그중/NNG+에/JKB
고2	고/NNG+2/SN
고성규도	고성규/NNP+도/JX
포함돼	포함/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.159.10.3
거기서 다시 조랑말 두 필이 어슬렁거리고 있었다.

거기서	거기/NP+서/JKB
다시	다시/MAG
조랑말	조랑말/NNG
두	두/MMN
필이	필/NNB+이/JKS
어슬렁거리고	어슬렁거리/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.159.10.4
주인도 없던 참이었다.

주인도	주인/NNG+도/JX
없던	없/VA+던/ETM
참이었다.	참/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.159.10.5
고성규는 뒤도 안 돌아보고 냅다 올라탔다.

고성규는	고성규/NNP+는/JX
뒤도	뒤/NNG+도/JX
안	안/MAG
돌아보고	돌아보/VV+고/EC
냅다	냅다/MAG
올라탔다.	올라타/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.11.1
겁 많은 게 말이다.

겁	겁/NNG
많은	많/VA+은/ETM
게	거/NNB+이/JKS
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.11.2
사람 귀찮아하는 것도 말이다.

사람	사람/NNG
귀찮아하는	귀찮/VA+아/EC+하/VX+는/ETM
것도	것/NNB+도/JX
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.11.3
조랑말은 등에 '뭔가'가 오르자 마방(馬房)을 향해 달렸다.

조랑말은	조랑말/NNG+은/JX
등에	등/NNG+에/JKB
'뭔가'가	'/SS+뭐/NP+이/VCP+ㄴ가/EF+'/SS+가/JKS
오르자	오르/VV+자/EC
마방(馬房)을	마방/NNG+(/SS+馬房/SH+)/SS+을/JKO
향해	향하/VV+아/EC
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.159.11.4
잽싸게 뛰어내리지 않았다면 벽에 부닥쳐 크게 다쳤을 것이다.

잽싸게	잽싸/VA+게/EC
뛰어내리지	뛰어내리/VV+지/EC
않았다면	않/VX+았/EP+다면/EC
벽에	벽/NNG+에/JKB
부닥쳐	부닥치/VV+어/EC
크게	크/VA+게/EC
다쳤을	다치/VV+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.11.5
고성규의 혈관에 잠자던 '말 바이러스'가 다시 살아났다.

고성규의	고성규/NNP+의/JKG
혈관에	혈관/NNG+에/JKB
잠자던	잠자/VV+던/ETM
'말	'/SS+말/NNG
바이러스'가	바이러스/NNG+'/SS+가/JKS
다시	다시/MAG
살아났다.	살아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.12.1
고교 졸업 후 고성규는 기아자동차 영업사원이 됐다.

고교	고교/NNG
졸업	졸업/NNG
후	후/NNG
고성규는	고성규/NNP+는/JX
기아자동차	기아자동차/NNP
영업사원이	영업/NNG+사원/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.159.12.2
동대문, 청량리, 종로지점을 돌며 숱하게 자동차를 팔았다.

동대문,	동대문/NNP+,/SP
청량리,	청량리/NNP+,/SP
종로지점을	종로/NNP+지점/NNG+을/JKO
돌며	돌/VV+며/EC
숱하게	숱하/VA+게/EC
자동차를	자동차/NNG+를/JKO
팔았다.	팔/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.12.3
어느 날 신문기사에 눈이 박혔다.

어느	어느/MMD
날	날/NNG
신문기사에	신문/NNG+기사/NNG+에/JKB
눈이	눈/NNG+이/JKS
박혔다.	박히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.159.12.4
"승마(乘馬)가 대중화되고 있다"는 내용이었다.

"승마(乘馬)가	"/SS+승마/NNG+(/SS+乘馬/SH+)/SS+가/JKS
대중화되고	대중/NNG+화/XSN+되/XSV+고/EC
있다"는	있/VX+다/EF+"/SS+는/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.159.12.5
운명이 그 순간 변했다.

운명이	운명/NNG+이/JKS
그	그/MMD
순간	순간/NNG
변했다.	변하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.13.1
1993년부터 토요일이면 고성규는 경기 파주, 원당, 일산, 포천을 헤맸다.

1993년부터	1993/SN+년/NNB+부터/JX
토요일이면	토요일/NNG+이/VCP+면/EC
고성규는	고성규/NNP+는/JX
경기	경기/NNP
파주,	파주/NNP+,/SP
원당,	원당/NNP+,/SP
일산,	일산/NNP+,/SP
포천을	포천/NNP+을/JKO
헤맸다.	헤매/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.159.13.2
말 있는 곳을 찾아 말 타는 법을 배웠다.

말	말/NNG
있는	있/VA+는/ETM
곳을	곳/NNG+을/JKO
찾아	찾/VV+아/EC
타는	타/VV+는/ETM
법을	법/NNB+을/JKO
배웠다.	배우/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.159.13.3
"10번 타면 될 줄 알았어요.

"10번	"/SS+10/SN+번/NNB
타면	타/VV+면/EC
될	되/VV+ㄹ/ETM
줄	줄/NNB
알았어요.	알/VV+았/EP+어요/EF+./SF


# id : NWRW1800000026.159.13.4
알고보니 100번은 타야 말을 느끼고 200번 타야 밖에 나갈 수 있었어요."

알고보니	알/VV+고/EC+보/VX+니/EC
100번은	100/SN+번/NNB+은/JX
타야	타/VV+아야/EC
말을	말/NNG+을/JKO
느끼고	느끼/VV+고/EC
200번	200/SN+번/NNB
밖에	밖/NNG+에/JKB
나갈	나가/VV+ㄹ/ETM
수	수/NNB
있었어요."	있/VA+었/EP+어요/EF+./SF+"/SS


# id : NWRW1800000026.159.14.1
말 좋아하면 떠도는 인생이 되는 모양이다.

말	말/NNG
좋아하면	좋아하/VV+면/EC
떠도는	떠돌/VV+는/ETM
인생이	인생/NNG+이/JKC
되는	되/VV+는/ETM
모양이다.	모양/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.14.2
고성규의 직업이 천변만화(千變萬化)했다.

고성규의	고성규/NNP+의/JKG
직업이	직업/NNG+이/JKS
천변만화(千變萬化)했다.	천변만화/NNG+(/SS+千變萬化/SH+)/SS+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.14.3
'풀뿌리 저널' '리더스비전'이란 격주간지, 중국 보따리상(商), '서울패션', 오리고기 유통회사, 제빵기 납품회사를 정처 없이 흘러다녔다.

'풀뿌리	'/SS+풀뿌리/NNG
저널'	저널/NNG+'/SS
'리더스비전'이란	'/SS+리더스비전/NNP+'/SS+이/VCP+란/ETM
격주간지,	격주간지/NNG+,/SP
중국	중국/NNP
보따리상(商),	보따리상/NNG+(/SS+商/SH+)/SS+,/SP
'서울패션',	'/SS+서울패션/NNP+'/SS+,/SP
오리고기	오리고기/NNG
유통회사,	유통/NNG+회사/NNG+,/SP
제빵기	제빵기/NNG
납품회사를	납품/NNG+회사/NNG+를/JKO
정처	정처/NNG
없이	없이/MAG
흘러다녔다.	흐르/VV+어/EC+다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.159.15.1
#팬티의 피

#팬티의	#/SW+팬티/NNG+의/JKG
피	피/NNG


# id : NWRW1800000026.159.16.1
1993년이 윤미라에게도 '운명의 해'였다.

1993년이	1993/SN+년/NNB+이/JKS
윤미라에게도	윤미라/NNP+에게/JKB+도/JX
'운명의	'/SS+운명/NNG+의/JKG
해'였다.	해/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.159.16.2
결혼생활을 정리한 그는 서울여성합창단원으로 활동하고 있었다.

결혼생활을	결혼/NNG+생활/NNG+을/JKO
정리한	정리/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
서울여성합창단원으로	서울/NNP+여성/NNG+합창단원/NNG+으로/JKB
활동하고	활동/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.159.16.3
그들을 취재한다며 기자가 왔는데 그 뒤에 다른 사내가 있었다.

그들을	그/NP+들/XSN+을/JKO
취재한다며	취재/NNG+하/XSV+ㄴ다며/EC
기자가	기자/NNG+가/JKS
왔는데	오/VV+았/EP+는데/EC
그	그/MMD
뒤에	뒤/NNG+에/JKB
다른	다른/MMD
사내가	사내/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.159.16.4
고성규였다.

고성규였다.	고성규/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.159.16.5
취재 후 두 사람은 헤어졌다.

취재	취재/NNG
후	후/NNG
두	두/MMN
사람은	사람/NNG+은/JX
헤어졌다.	헤어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.159.17.1
한참 뒤 그녀가 화곡동 버스정류장에서 서 있을 때였다.

한참	한참/NNG
뒤	뒤/NNG
그녀가	그녀/NP+가/JKS
화곡동	화곡동/NNP
버스정류장에서	버스/NNG+정류장/NNG+에서/JKB
서	서/VV+어/EC
있을	있/VX+을/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.159.17.2
승용차에서 남자가 머리를 내밀더니 "타라"고 했다.

승용차에서	승용차/NNG+에서/JKB
남자가	남자/NNG+가/JKS
머리를	머리/NNG+를/JKO
내밀더니	내밀/VV+더니/EC
"타라"고	"/SS+타/VV+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.17.3
고성규였다.

고성규였다.	고성규/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.159.17.4
여자는 '이상한 남자네, 절대 타지 말아야지'하고 마음먹었다.

여자는	여자/NNG+는/JX
'이상한	'/SS+이상/NNG+하/XSA+ㄴ/ETM
남자네,	남자/NNG+이/VCP+네/EF+,/SP
절대	절대/MAG
타지	타/VV+지/EC
말아야지'하고	말/VX+아야지/EF+'/SS+하/VV+고/EC
마음먹었다.	마음먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.159.17.5
뒤에서 버스들이 빵빵거렸다.

뒤에서	뒤/NNG+에서/JKB
버스들이	버스/NNG+들/XSN+이/JKS
빵빵거렸다.	빵빵거리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.159.18.1
고성규는 물러서지 않았다.

고성규는	고성규/NNP+는/JX
물러서지	물러서/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.159.18.2
윤미라는 낯이 뜨거워 차에 타고 말았다.

윤미라는	윤미라/NNP+는/JX
낯이	낯/NNG+이/JKS
뜨거워	뜨겁/VA+어/EC
차에	차/NNG+에/JKB
타고	타/VV+고/EC
말았다.	말/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.159.18.3
팔자(八字)는 원래 그런 것이다.

팔자(八字)는	팔자/NNG+(/SS+八字/SH+)/SS+는/JX
원래	원래/MAG
그런	그렇/VA+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.18.4
그때부터 고성규는 괴상한 장소에 괴상하게 나타났다.

그때부터	그때/NNG+부터/JX
고성규는	고성규/NNP+는/JX
괴상한	괴상/NNG+하/XSA+ㄴ/ETM
장소에	장소/NNG+에/JKB
괴상하게	괴상/NNG+하/XSA+게/EC
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.18.5
서울 정도(定都) 600년 행사를 기념한 보신각 앞 행사 때도 그랬다.

서울	서울/NNP
정도(定都)	정도/NNG+(/SS+定都/SH+)/SS
600년	600/SN+년/NNB
행사를	행사/NNG+를/JKO
기념한	기념/NNG+하/XSV+ㄴ/ETM
보신각	보신각/NNP
앞	앞/NNG
행사	행사/NNG
때도	때/NNG+도/JX
그랬다.	그렇/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.159.19.1
키 작은 사내가 행사장에 지각하게 된 윤미라를 다시 태워주게 됐다.

키	키/NNG
작은	작/VA+은/ETM
사내가	사내/NNG+가/JKS
행사장에	행사장/NNG+에/JKB
지각하게	지각/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
윤미라를	윤미라/NNP+를/JKO
다시	다시/MAG
태워주게	태우/VV+어/EC+주/VX+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.159.19.2
자주 만나면 탈 나는 게 인간사다.

자주	자주/MAG
만나면	만나/VV+면/EC
탈	탈/NNG
나는	나/VV+는/ETM
게	거/NNB+이/JKS
인간사다.	인간사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.19.3
키 167㎝ 여자와 164㎝ 남자의 인연은 이렇게 이어지고 있었다.

키	키/NNG
167㎝	167/SN+㎝/SW
여자와	여자/NNG+와/JC
164㎝	164/SN+㎝/SW
남자의	남자/NNG+의/JKG
인연은	인연/NNG+은/JX
이렇게	이렇/VA+게/EC
이어지고	이어지/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.159.19.4
역시 첫 아내와 이혼한 고성규에게 윤미라는 점점 끌렸다.

역시	역시/MAG
첫	첫/MMN
아내와	아내/NNG+와/JKB
이혼한	이혼/NNG+하/XSV+ㄴ/ETM
고성규에게	고성규/NNP+에게/JKB
윤미라는	윤미라/NNP+는/JX
점점	점점/MAG
끌렸다.	끌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.159.20.1
둘이 함께 살던 어느 날이었다.

둘이	둘/NR+이/JKS
함께	함께/MAG
살던	살/VV+던/ETM
어느	어느/MMD
날이었다.	날/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.159.20.2
고성규의 팬티가 피로 붉게 젖어 있었다.

고성규의	고성규/NNP+의/JKG
팬티가	팬티/NNG+가/JKS
피로	피/NNG+로/JKB
붉게	붉/VA+게/EC
젖어	젖/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.159.20.3
아내 곁에는 다가오지도 않고 벽만 바라보고 끙끙거리며 자는 것이었다.

아내	아내/NNG
곁에는	곁/NNG+에/JKB+는/JX
다가오지도	다가오/VV+지/EC+도/JX
않고	않/VX+고/EC
벽만	벽/NNG+만/JX
바라보고	바라보/VV+고/EC
끙끙거리며	끙끙거리/VV+며/EC
자는	자/VV+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.159.20.4
여자들은 백이면 백, 이럴 때 뭔가를 연상한다.

여자들은	여자/NNG+들/XSN+은/JX
백이면	백/NR+이/VCP+면/EC
백,	백/NR+,/SP
이럴	이렇/VA+ㄹ/ETM
때	때/NNG
뭔가를	뭐/NP+이/VCP+ㄴ가/EF+를/JKO
연상한다.	연상/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.159.20.5
"이 남자에게 딴 여자가 생겼구나!"

"이	"/SS+이/MMD
남자에게	남자/NNG+에게/JKB
딴	딴/MMD
여자가	여자/NNG+가/JKS
생겼구나!"	생기/VV+었/EP+구나/EF+!/SF+"/SS


# id : NWRW1800000026.159.21.1
아내의 추궁에 고성규가 마침내 실토했다.

아내의	아내/NNG+의/JKG
추궁에	추궁/NNG+에/JKB
고성규가	고성규/NNP+가/JKS
마침내	마침내/MAG
실토했다.	실토/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.159.21.2
"당신 몰래 승마를 배우고 있었다"는 것이었다.

"당신	"/SS+당신/NP
몰래	몰래/MAG
승마를	승마/NNG+를/JKO
배우고	배우/VV+고/EC
있었다"는	있/VX+었/EP+다/EF+"/SS+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.159.21.3
동물이라면 질색하는 게 윤미라다.

동물이라면	동물/NNG+이/VCP+라면/EC
질색하는	질색/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
윤미라다.	윤미라/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000026.159.21.4
알레르기가 심해 곁에만 가면 온몸이 가려워지는 그에게 남편은 엉뚱한 소리를 했다.

알레르기가	알레르기/NNG+가/JKS
심해	심하/VA+아/EC
곁에만	곁/NNG+에/JKB+만/JX
가면	가/VV+면/EC
온몸이	온몸/NNG+이/JKS
가려워지는	가렵/VA+어/EC+지/VX+는/ETM
