# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.321
metadata : {}


# id : NWRW1800000048.321.1.1
IBK기업은행, PO-챔프전 전승 우승 ‘V2’

IBK기업은행,	IBK기업은행/NNP+,/SP
2위로 플레이오프에 진출해 현대건설을 2-0으로 완파했으며, 챔피언결정전에서도 3연승으로 정상에 올랐다.

2위로	2/SN+위/NNB+로/JKB
플레이오프에	플레이오프/NNG+에/JKB
진출해	진출/NNG+하/XSV+아/EC
현대건설을	현대건설/NNP+을/JKO
2-0으로	2/SN+-/SO+0/SN+으로/JKB
완파했으며,	완파/NNG+하/XSV+았/EP+으며/EC+,/SP
챔피언결정전에서도	챔피언/NNG+결정전/NNG+에서/JKB+도/JX
3연승으로	3/SN+연승/NNG+으로/JKB
정상에	정상/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.321.5.4
정규시즌 마지막 6라운드까지 포함하면 파죽의 10연승이다.

정규시즌	정규/NNG+시즌/NNG
마지막	마지막/NNG
6라운드까지	6/SN+라운드/NNG+까지/JX
포함하면	포함/NNG+하/XSV+면/EC
파죽의	파죽/NNG+의/JKG
10연승이다.	10/SN+연승/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.321.5.5
창단 4년째인 기업은행이 챔피언결정전 정상에 오른 것은 2년 만이자 통산 두번째다.

창단	창단/NNG
4년째인	4/SN+년/NNB+째/XSN+이/VCP+ㄴ/ETM
기업은행이	기업은행/NNP+이/JKS
챔피언결정전	챔피언/NNG+결정전/NNG
정상에	정상/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
것은	것/NNB+은/JX
2년	2/SN+년/NNB
만이자	만/NNB+이/VCP+자/EC
통산	통산/NNG
두번째다.	두/MMN+번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000048.321.6.1
기업은행은 세터 김사니의 절묘한 공배급을 바탕으로 데스티니·박정아·김희진의 삼각 편대가 펄펄 날았다.

기업은행은	기업은행/NNP+은/JX
세터	세터/NNG
김사니의	김사니/NNP+의/JKG
절묘한	절묘하/VA+ㄴ/ETM
공배급을	공/NNG+배급/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
데스티니·박정아·김희진의	데스티니/NNP+·/SP+박정아/NNP+·/SP+김희진/NNP+의/JKG
삼각	삼각/NNG
편대가	편대/NNG+가/JKS
펄펄	펄펄/MAG
날았다.	날/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.321.6.2
도로공사가 배수진을 치고 나오며 1세트부터 팽팽한 접전을 이어갔으나 채선아가 버틴 서브리시브와 데스티니를 앞세운 결정력에서 한 수 앞섰다.

도로공사가	도로공사/NNP+가/JKS
배수진을	배수진/NNG+을/JKO
치고	치/VV+고/EC
나오며	나오/VV+며/EC
1세트부터	1/SN+세트/NNG+부터/JX
팽팽한	팽팽하/VA+ㄴ/ETM
접전을	접전/NNG+을/JKO
이어갔으나	잇/VV+어/EC+가/VX+았/EP+으나/EC
채선아가	채선아/NNP+가/JKS
버틴	버티/VV+ㄴ/ETM
서브리시브와	서브/NNG+리시브/NNG+와/JC
데스티니를	데스티니/NNP+를/JKO
앞세운	앞세우/VV+ㄴ/ETM
결정력에서	결정력/NNG+에서/JKB
한	한/MMN
수	수/NNG
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.321.6.3
고비였던 2세트 20-20에서 박정아의 오픈공격으로 앞서갔고, 상대 선수의 실책과 강약을 조절한 데스티니의 노련한 공격으로 도로공사를 따돌려 세트점수 2-0으로 앞서며 사실상 승기를 잡았다.

고비였던	고비/NNG+이/VCP+었/EP+던/ETM
2세트	2/SN+세트/NNG
20-20에서	20/SN+-/SO+20/SN+에서/JKB
박정아의	박정아/NNP+의/JKG
오픈공격으로	오픈/NNG+공격/NNG+으로/JKB
앞서갔고,	앞서가/VV+았/EP+고/EC+,/SP
상대	상대/NNG
선수의	선수/NNG+의/JKG
실책과	실책/NNG+과/JC
강약을	강약/NNG+을/JKO
조절한	조절/NNG+하/XSV+ㄴ/ETM
데스티니의	데스티니/NNP+의/JKG
노련한	노련하/VA+ㄴ/ETM
공격으로	공격/NNG+으로/JKB
도로공사를	도로공사/NNP+를/JKO
따돌려	따돌리/VV+어/EC
세트점수	세트/NNG+점수/NNG
2-0으로	2/SN+-/SO+0/SN+으로/JKB
앞서며	앞서/VV+며/EC
사실상	사실/NNG+상/XSN
승기를	승기/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.321.6.4
부상에도 불구하고 기업은행 승리를 조율한 김사니는 챔피언결정전 최우수선수에 올랐다.

부상에도	부상/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
기업은행	기업은행/NNP
승리를	승리/NNG+를/JKO
조율한	조율/NNG+하/XSV+ㄴ/ETM
김사니는	김사니/NNP+는/JX
챔피언결정전	챔피언/NNG+결정전/NNG
최우수선수에	최/XPN+우수/NNG+선수/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.321.6.5
이정철 감독은 경기가 끝난 뒤 “선수들에게 너무 욕심 부리지 말자고 당부했는데 선수들이 냉정함을 잃지 않고 정말 잘해줬다”고 말했다.

이정철	이정철/NNP
감독은	감독/NNG+은/JX
경기가	경기/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
“선수들에게	“/SS+선수/NNG+들/XSN+에게/JKB
너무	너무/MAG
욕심	욕심/NNG
부리지	부리/VV+지/EC
말자고	말/VX+자고/EC
당부했는데	당부/NNG+하/XSV+았/EP+는데/EC
선수들이	선수/NNG+들/XSN+이/JKS
냉정함을	냉정/NNG+하/XSA+ㅁ/ETN+을/JKO
잃지	잃/VV+지/EC
않고	않/VX+고/EC
정말	정말/MAG
잘해줬다”고	잘/MAG+하/XSV+아/EC+주/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.321.7.1
도로공사는 V리그 출범 원년 이후 10년 만에 정규시즌 1위에 올라 사상 첫 챔피언 등극을 바라봤지만 끝내 기업은행의 벽을 넘지 못했다.

도로공사는	도로공사/NNP+는/JX
V리그	V/SL+리그/NNG
출범	출범/NNG
원년	원년/NNG
이후	이후/NNG
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
정규시즌	정규/NNG+시즌/NNG
1위에	1/SN+위/NNB+에/JKB
올라	오르/VV+아/EC
사상	사상/NNG
첫	첫/MMN
챔피언	챔피언/NNG
등극을	등극/NNG+을/JKO
바라봤지만	바라보/VV+았/EP+지만/EC
끝내	끝내/MAG
기업은행의	기업은행/NNP+의/JKG
벽을	벽/NNG+을/JKO
넘지	넘/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


