# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.126
metadata : {}


# id : NWRW1800000021.126.1.1
“청춘 바친 전우들의 희생 헛되지 않았다”

“청춘	“/SS+청춘/NNG
쓰다듬었다.	쓰다듬/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.126.4.1
보훈처의 초청으로 영국, 캐나다, 호주, 뉴질랜드 등 영연방 4개국 참전용사 65명과 함께 이 행사에 참석한 여우드 씨는 약 60년 전 6·25전쟁 당시 19세 소년병이었던 시절의 기억을 더듬고 있었다.

보훈처의	보훈처/NNG+의/JKG
초청으로	초청/NNG+으로/JKB
영국,	영국/NNP+,/SP
캐나다,	캐나다/NNP+,/SP
호주,	호주/NNP+,/SP
뉴질랜드	뉴질랜드/NNP
등	등/NNB
영연방	영연방/NNG
4개국	4/SN+개국/NNB
참전용사	참전/NNG+용사/NNG
65명과	65/SN+명/NNB+과/JKB
함께	함께/MAG
이	이/MMD
행사에	행사/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
여우드	여우드/NNP
씨는	씨/NNB+는/JX
약	약/MMA
60년	60/SN+년/NNB
전	전/NNG
6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
당시	당시/NNG
19세	19/SN+세/NNB
소년병이었던	소년/NNG+병/NNG+이/VCP+었/EP+던/ETM
시절의	시절/NNG+의/JKG
기억을	기억/NNG+을/JKO
더듬고	더듬/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.126.5.1
“중공군의 인해전술에 정말 많은 전우가 죽었습니다.

“중공군의	“/SS+중공군/NNG+의/JKG
인해전술에	인해/NNG+전술/NNG+에/JKB
정말	정말/MAG
많은	많/VA+은/ETM
전우가	전우/NNG+가/JKS
죽었습니다.	죽/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000021.126.5.2
저도 중공군과의 교전 중에 포탄 파편에 맞아 왼팔과 복부에 관통상을 입었죠.

저도	저/NP+도/JX
중공군과의	중공군/NNG+과/JKB+의/JKG
교전	교전/NNG
중에	중/NNB+에/JKB
포탄	포탄/NNG
파편에	파편/NNG+에/JKB
맞아	맞/VV+아/EC
왼팔과	왼팔/NNG+과/JC
복부에	복부/NNG+에/JKB
관통상을	관통상/NNG+을/JKO
입었죠.	입/VV+었/EP+죠/EF+./SF


# id : NWRW1800000021.126.5.3
당시 의사는 파편이 몇 cm만 옆으로 갔어도 신장이 파열됐을 거라고 하더군요.

당시	당시/NNG
의사는	의사/NNG+는/JX
파편이	파편/NNG+이/JKS
몇	몇/NR
cm만	cm/SW+만/JX
옆으로	옆/NNG+으로/JKB
갔어도	가/VV+았/EP+어도/EC
신장이	신장/NNG+이/JKS
파열됐을	파열/NNG+되/XSV+었/EP+을/ETM
거라고	거/NNB+이/VCP+라고/EC
하더군요.	하/VV+더군/EF+요/JX+./SF


# id : NWRW1800000021.126.5.4
그래도 저는 이렇게 살아남아 한국 땅을 밟게 됐으니 먼저 간 전우들보다 행복한 거겠죠.”

그래도	그러/VV+어도/EC
저는	저/NP+는/JX
이렇게	이렇/VA+게/EC
살아남아	살아남/VV+아/EC
한국	한국/NNP
땅을	땅/NNG+을/JKO
밟게	밟/VV+게/EC
됐으니	되/VV+었/EP+으니/EC
먼저	먼저/MAG
간	가/VV+ㄴ/ETM
전우들보다	전우/NNG+들/XSN+보다/JKB
행복한	행복/NNG+하/XSA+ㄴ/ETM
거겠죠.”	거/NNB+이/VCP+겠/EP+죠/EF+./SF+”/SS


# id : NWRW1800000021.126.6.1
6·25전쟁에 참전한 영국의 대표적 전투부대인 미들섹스 연대는 서울 탈환과 평양 수복, 중공군의 제1차 춘계 대공세를 저지한 가평전투 등에서 용맹을 떨친 것으로 유명하다.

6·25전쟁에	6/SN+·/SP+25/SN+전쟁/NNG+에/JKB
참전한	참전/NNG+하/XSV+ㄴ/ETM
영국의	영국/NNP+의/JKG
대표적	대표/NNG+적/XSN
전투부대인	전투/NNG+부대/NNG+이/VCP+ㄴ/ETM
미들섹스	미들섹스/NNP
연대는	연대/NNG+는/JX
서울	서울/NNP
탈환과	탈환/NNG+과/JC
평양	평양/NNP
수복,	수복/NNG+,/SP
중공군의	중공군/NNG+의/JKG
제1차	제/XPN+1/SN+차/NNB
춘계	춘계/NNG
대공세를	대/XPN+공세/NNG+를/JKO
저지한	저지/NNG+하/XSV+ㄴ/ETM
가평전투	가평/NNP+전투/NNG
등에서	등/NNB+에서/JKB
용맹을	용맹/NNG+을/JKO
떨친	떨치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000021.126.6.2
전장에서 절대 물러서지 않는 근성 덕분에 ‘독종(die hard)’이라는 별칭도 갖고 있다.

전장에서	전장/NNG+에서/JKB
절대	절대/MAG
물러서지	물러서/VV+지/EC
않는	않/VX+는/ETM
근성	근성/NNG
덕분에	덕분/NNG+에/JKB
‘독종(die	‘/SS+독종/NNG+(/SS+die/SL
hard)’이라는	hard/SL+)/SS+’/SS+이/VCP+라는/ETM
별칭도	별칭/NNG+도/JX
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.126.6.3
6·25전쟁 중 이곳저곳을 누볐던 여우드 씨의 한국 방문은 2001년에 이어 이번이 두 번째다.

6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
중	중/NNB
이곳저곳을	이곳저곳/NNG+을/JKO
누볐던	누비/VV+었/EP+던/ETM
여우드	여우드/NNP
씨의	씨/NNB+의/JKG
한국	한국/NNP
방문은	방문/NNG+은/JX
2001년에	2001/SN+년/NNB+에/JKB
이어	잇/VV+어/EC
이번이	이번/NNG+이/JKS
두	두/MMN
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000021.126.7.1
“전쟁 당시 한강에 다리라고는 하나밖에 없었습니다.

“전쟁	“/SS+전쟁/NNG
당시	당시/NNG
한강에	한강/NNP+에/JKB
다리라고는	다리/NNG+라고/JX+는/JX
하나밖에	하나/NR+밖에/JX
없었습니다.	없/VA+었/EP+습니다/EF+./SF


# id : NWRW1800000021.126.7.2
그런데 이번에 공항에서 서울로 들어오는 길에 세어 봤더니 큰 다리만 어림잡아 10개가 넘더군요.

그런데	그런데/MAJ
이번에	이번/NNG+에/JKB
공항에서	공항/NNG+에서/JKB
서울로	서울/NNP+로/JKB
들어오는	들어오/VV+는/ETM
길에	길/NNG+에/JKB
세어	세/VV+어/EC
봤더니	보/VX+았/EP+더니/EC
큰	크/VA+ㄴ/ETM
다리만	다리/NNG+만/JX
어림잡아	어림잡/VV+아/EC
10개가	10/SN+개/NNB+가/JKS
넘더군요.	넘/VV+더군/EF+요/JX+./SF


# id : NWRW1800000021.126.7.3
고층빌딩에 넓은 고속도로까지 한국인들이 이 모든 것들을 전후 50여 년 만에 이뤄냈다니 놀라울 따름입니다.”

고층빌딩에	고층/NNG+빌딩/NNG+에/JKB
넓은	넓/VA+은/ETM
고속도로까지	고속/NNG+도로/NNG+까지/JX
한국인들이	한국인/NNG+들/XSN+이/JKS
이	이/MMD
모든	모든/MMN
것들을	것/NNB+들/XSN+을/JKO
전후	전후/NNG
50여	50/SN+여/XSN
년	년/NNB
만에	만/NNB+에/JKB
이뤄냈다니	이루/VV+어/EC+내/VX+었/EP+다니/EC
놀라울	놀랍/VA+ㄹ/ETM
따름입니다.”	따름/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000021.126.8.1
그는 자신과 전우들이 목숨을 걸고 싸워서 지켜낸, 가난했던 나라 한국이 놀라운 성장을 이루게 되어 참전용사로서의 자부심이 더 강해졌다고 했다.

그는	그/NP+는/JX
자신과	자신/NNG+과/JC
전우들이	전우/NNG+들/XSN+이/JKS
목숨을	목숨/NNG+을/JKO
걸고	걸/VV+고/EC
싸워서	싸우/VV+어서/EC
지켜낸,	지키/VV+어/EC+내/VX+ㄴ/ETM+,/SP
가난했던	가난/NNG+하/XSA+았/EP+던/ETM
나라	나라/NNG
한국이	한국/NNP+이/JKS
놀라운	놀랍/VA+ㄴ/ETM
성장을	성장/NNG+을/JKO
이루게	이루/VV+게/EC
되어	되/VV+어/EC
참전용사로서의	참전/NNG+용사/NNG+로서/JKB+의/JKG
자부심이	자부심/NNG+이/JKS
더	더/MAG
강해졌다고	강하/VA+아/EC+지/VX+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.126.8.2
대부분 18, 19세의 소년병으로 청춘을 미처 피우지도 못하고 산화한 전우들의 죽음에 대해서도 “가치 있었다”고 당당히 말할 수 있게 됐다.

대부분	대/XPN+부분/NNG
18,	18/SN+,/SP
19세의	19/SN+세/NNB+의/JKG
소년병으로	소년/NNG+병/NNG+으로/JKB
청춘을	청춘/NNG+을/JKO
미처	미처/MAG
피우지도	피우/VV+지/EC+도/JX
못하고	못하/VX+고/EC
산화한	산화/NNG+하/XSV+ㄴ/ETM
전우들의	전우/NNG+들/XSN+의/JKG
죽음에	죽음/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
“가치	“/SS+가치/NNG
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
당당히	당당히/MAG
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.126.9.1
“당시에는 머나먼 타국 땅에서 무얼 위해 싸우는지 고민하는 전우들도 많았습니다.

“당시에는	“/SS+당시/NNG+에/JKB+는/JX
머나먼	머나멀/VA+ㄴ/ETM
타국	타국/NNG
땅에서	땅/NNG+에서/JKB
무얼	무어/NP+ㄹ/JKO
위해	위하/VV+아/EC
싸우는지	싸우/VV+는지/EC
고민하는	고민/NNG+하/XSV+는/ETM
전우들도	전우/NNG+들/XSN+도/JX
많았습니다.	많/VA+았/EP+습니다/EF+./SF


# id : NWRW1800000021.126.9.2
하지만 그들도 하늘나라에서 대한민국의 지금 모습을 보게 된다면 청춘을 바친 것이 전혀 아깝지 않을 겁니다.”

하지만	하지만/MAJ
그들도	그/NP+들/XSN+도/JX
하늘나라에서	하늘나라/NNG+에서/JKB
대한민국의	대한민국/NNP+의/JKG
지금	지금/MAG
모습을	모습/NNG+을/JKO
보게	보/VV+게/EC
된다면	되/VV+ㄴ다면/EC
청춘을	청춘/NNG+을/JKO
바친	바치/VV+ㄴ/ETM
것이	것/NNB+이/JKS
전혀	전혀/MAG
아깝지	아깝/VA+지/EC
않을	않/VX+을/ETM
겁니다.”	거/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


