# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.376
metadata : {}


# id : NWRW1800000036.376.1.1
‘핵테러 막자’ 53개국 회담…한·중 등 북핵 집중 논의

‘핵테러	‘/SS+핵/NNG+테러/NNG
원전	원전/NNG
사고	사고/NNG
이후	이후/NNG
관심이	관심/NNG+이/JKS
집중된	집중/NNG+되/XSV+ㄴ/ETM
안전과	안전/NNG+과/JC
북한의	북한/NNP+의/JKG
비핵화(핵확산	비핵/NNG+화/XSN+(/SS+핵/NNG+확산/NNG
방지)	방지/NNG+)/SS
문제와	문제/NNG+와/JKB
이번	이번/NNG
회의는	회의/NNG+는/JX
사실상	사실/NNG+상/XSN
무관하다.	무관하/VA+다/EF+./SF


# id : NWRW1800000036.376.10.6
청와대와 정부가 ‘흥행 실패’를 걱정하는 이유다.

청와대와	청와대/NNP+와/JC
정부가	정부/NNG+가/JKS
‘흥행	‘/SS+흥행/NNG
실패’를	실패/NNG+’/SS+를/JKO
걱정하는	걱정/NNG+하/XSV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.376.11.1
■ 정상간 외교 무대

■	■/SW
정상간	정상/NNG+간/NNB
외교	외교/NNG
무대	무대/NNG


# id : NWRW1800000036.376.12.1
이번 회의엔 53개국 대표와 유엔 등 4개 국제기구 대표가 참여한다.

이번	이번/NNG
회의엔	회의/NNG+에/JKB+ㄴ/JX
53개국	53/SN+개국/NNB
대표와	대표/NNG+와/JC
유엔	유엔/NNP
등	등/NNB
4개	4/SN+개/NNB
국제기구	국제기구/NNG
대표가	대표/NNG+가/JKS
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.376.12.2
대표자들 가운데는 버락 오바마 미국 대통령과 후진타오 중국 국가주석 등 42명의 정상급 인사가 포함돼 있다.

대표자들	대표자/NNG+들/XSN
가운데는	가운데/NNG+는/JX
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령과	대통령/NNG+과/JC
후진타오	후진타오/NNP
중국	중국/NNP
국가주석	국가주석/NNG
등	등/NNB
42명의	42/SN+명/NNB+의/JKG
정상급	정상급/NNG
인사가	인사/NNG+가/JKS
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.376.12.3
오바마 대통령, 후진타오 주석, 드미트리 메드베데프 러시아 대통령 등이 25일 한국을 찾은 것을 비롯해 이날까지 모두 32명의 세계 지도자들이 한국에 들어왔다.

오바마	오바마/NNP
대통령,	대통령/NNG+,/SP
후진타오	후진타오/NNP
주석,	주석/NNG+,/SP
드미트리	드미트리/NNP
메드베데프	메드베데프/NNP
러시아	러시아/NNP
대통령	대통령/NNG
등이	등/NNB+이/JKS
25일	25/SN+일/NNB
한국을	한국/NNP+을/JKO
찾은	찾/VV+은/ETM
것을	것/NNB+을/JKO
비롯해	비롯하/VV+아/EC
이날까지	이날/NNG+까지/JX
모두	모두/MAG
32명의	32/SN+명/NNB+의/JKG
세계	세계/NNG
지도자들이	지도자/NNG+들/XSN+이/JKS
한국에	한국/NNP+에/JKB
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.376.12.4
정상회의 개막일인 26일까지는 모두 58명의 지도자가 입국한다.

정상회의	정상/NNG+회의/NNG
개막일인	개막일/NNG+이/VCP+ㄴ/ETM
26일까지는	26/SN+일/NNB+까지/JX+는/JX
모두	모두/MAG
58명의	58/SN+명/NNB+의/JKG
지도자가	지도자/NNG+가/JKS
입국한다.	입국/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.376.13.1
이번 회의에서는 핵안보 문제뿐 아니라 각국 정상들이 서로 수십 차례의 양자 정상회담을 하는 등 뜨거운 ‘외교전’도 함께 벌어진다.

이번	이번/NNG
회의에서는	회의/NNG+에서/JKB+는/JX
핵안보	핵/NNG+안보/NNG
문제뿐	문제/NNG+뿐/JX
아니라	아니/VCN+라/EC
각국	각국/NNG
정상들이	정상/NNG+들/XSN+이/JKS
서로	서로/MAG
수십	수십/NR
차례의	차례/NNG+의/JKG
양자	양자/NNG
정상회담을	정상/NNG+회담/NNG+을/JKO
하는	하/VV+는/ETM
등	등/NNB
뜨거운	뜨겁/VA+ㄴ/ETM
‘외교전’도	‘/SS+외교전/NNG+’/SS+도/JX
함께	함께/MAG
벌어진다.	벌어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.376.13.2
이 대통령도 지난 24일 반기문 유엔 사무총장과 잉락 친나왓 타이 총리와 양자회담을 하는 등 29일까지 모두 24번의 양자 정상회담(22개국, 2개 국제기구)을 할 예정이다.

이	이/NNP
대통령도	대통령/NNG+도/JX
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
반기문	반기문/NNP
유엔	유엔/NNP
사무총장과	사무총장/NNG+과/JC
잉락	잉락/NNP
친나왓	친나왓/NNP
타이	타이/NNP
총리와	총리/NNG+와/JKB
양자회담을	양자/NNG+회담/NNG+을/JKO
하는	하/VV+는/ETM
등	등/NNB
29일까지	29/SN+일/NNB+까지/JX
모두	모두/MAG
24번의	24/SN+번/NNB+의/JKG
양자	양자/NNG
정상회담(22개국,	정상/NNG+회담/NNG+(/SS+22/SN+개국/NNB+,/SP
2개	2/SN+개/NNB
국제기구)을	국제기구/NNG+)/SS+을/JKO
할	하/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.376.13.3
오바마 대통령(25일), 후진타오 주석(26일), 메드베데프 대통령(˝) 등 6자회담 당사국 정상들과는 북한 비핵화와 장거리 로켓 발사 문제를 집중 논의할 예정이다.

오바마	오바마/NNP
대통령(25일),	대통령/NNG+(/SS+25/SN+일/NNB+)/SS+,/SP
후진타오	후진타오/NNP
주석(26일),	주석/NNG+(/SS+26/SN+일/NNB+)/SS+,/SP
메드베데프	메드베데프/NNP
대통령(˝)	대통령/NNG+(/SS+˝/SS+)/SS
등	등/NNB
6자회담	6/SN+자/NNB+회담/NNG
당사국	당사국/NNG
정상들과는	정상/NNG+들/XSN+과/JKB+는/JX
북한	북한/NNP
비핵화와	비핵/NNG+화/XSN+와/JC
장거리	장거리/NNG
로켓	로켓/NNG
발사	발사/NNG
문제를	문제/NNG+를/JKO
집중	집중/NNG
논의할	논의/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.376.13.4
다만, 노다 야스히코 일본 총리는 체류 기간이 짧아 양자회담을 하지 못한다.

다만,	다만/MAG+,/SP
노다	노다/NNP
야스히코	야스히코/NNP
일본	일본/NNP
총리는	총리/NNG+는/JX
체류	체류/NNG
기간이	기간/NNG+이/JKS
짧아	짧/VA+아/EC
양자회담을	양자/NNG+회담/NNG+을/JKO
하지	하/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.376.14.1
청와대 핵심 관계자는 “역대 가장 많은 양자회담을 단일 국제회의에서 하는 것”이라며 “우리 외교사에서 상당히 의미있는 일”이라고 말했다.

청와대	청와대/NNP
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
“역대	“/SS+역대/NNG
가장	가장/MAG
많은	많/VA+은/ETM
양자회담을	양자/NNG+회담/NNG+을/JKO
단일	단일/NNG
국제회의에서	국제회의/NNG+에서/JKB
하는	하/VV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“우리	“/SS+우리/NP
외교사에서	외교사/NNG+에서/JKB
상당히	상당히/MAG
의미있는	의미/NNG+있/VA+는/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.376.15.1
오바마 대통령도 26일 미-러, 미-중 정상회담을 예정하고 있는 것으로 전해졌다.

오바마	오바마/NNP
대통령도	대통령/NNG+도/JX
26일	26/SN+일/NNB
미-러,	미/NNP+-/SO+러/NNP+,/SP
미-중	미/NNP+-/SO+중/NNP
정상회담을	정상/NNG+회담/NNG+을/JKO
예정하고	예정/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.376.15.2
후진타오 주석과 메드베데프 대통령도 서울 삼성동 코엑스 회의장 내부 또는 호텔 등에서 잇따라 정상회담을 여는 것으로 알려졌다.

후진타오	후진타오/NNP
주석과	주석/NNG+과/JC
메드베데프	메드베데프/NNP
대통령도	대통령/NNG+도/JX
서울	서울/NNP
삼성동	삼성동/NNP
코엑스	코엑스/NNP
회의장	회의장/NNG
내부	내부/NNG
또는	또는/MAG
호텔	호텔/NNG
등에서	등/NNB+에서/JKB
잇따라	잇따르/VV+아/EC
정상회담을	정상/NNG+회담/NNG+을/JKO
여는	열/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


