# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.125
metadata : {}


# id : NWRW1800000028.125.1.1
그대들을 오래도록 기억하겠습니다 /천안함 수병들 바다에서 하늘로 ‘통한의 귀환’

그대들을	그대/NP+들/XSN+을/JKO
박 하사는 어머니를 끔찍이 아끼던 효자였다.

박	박/NNP
하사는	하사/NNG+는/JX
어머니를	어머니/NNG+를/JKO
끔찍이	끔찍이/MAG
아끼던	아끼/VV+던/ETM
효자였다.	효자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.125.4.3
박 하사가 지난 20여개월을 부어온 정기적금도 어머니의 무릎 수술을 위한 것이었다고 한다.

박	박/NNP
하사가	하사/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
20여개월을	20/SN+여/XSN+개월/NNB+을/JKO
부어온	붓/VV+어/EC+오/VX+ㄴ/ETM
정기적금도	정기/NNG+적금/NNG+도/JX
어머니의	어머니/NNG+의/JKG
무릎	무릎/NNG
수술을	수술/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
것이었다고	것/NNB+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.125.4.4
하지만 이달이 만기인 적금 통장만 남긴 채, 아들은 어머니 곁으로 돌아오지 못했다.

하지만	하지만/MAJ
이달이	이달/NNG+이/JKS
만기인	만기/NNG+이/VCP+ㄴ/ETM
적금	적금/NNG
통장만	통장/NNG+만/JX
남긴	남기/VV+ㄴ/ETM
채,	채/NNB+,/SP
아들은	아들/NNG+은/JX
어머니	어머니/NNG
곁으로	곁/NNG+으로/JKB
돌아오지	돌아오/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.125.4.5
실종자 가족들의 임시 거처가 마련된 경기도 평택시 해군 2함대 사령부에서 만난 박 하사의 사촌형수 조아무개(36)씨는 “보람이 어머니가 지난밤 통곡을 멈추지 못했는데, 그 때문인지 아들이 마지막 인사를 하러 (꿈에) 나타난 것 같다”며 안타까워했다.

실종자	실종자/NNG
가족들의	가족/NNG+들/XSN+의/JKG
임시	임시/NNG
거처가	거처/NNG+가/JKS
마련된	마련/NNG+되/XSV+ㄴ/ETM
경기도	경기도/NNP
평택시	평택시/NNP
해군	해군/NNG
2함대	2/SN+함대/NNG
사령부에서	사령부/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
박	박/NNP
하사의	하사/NNG+의/JKG
사촌형수	사촌/NNG+형수/NNG
조아무개(36)씨는	조/NNP+아무개/NP+(/SS+36/SN+)/SS+씨/NNB+는/JX
“보람이	“/SS+보람이/NNP
어머니가	어머니/NNG+가/JKS
지난밤	지난밤/NNG
통곡을	통곡/NNG+을/JKO
멈추지	멈추/VV+지/EC
못했는데,	못하/VX+았/EP+는데/EC+,/SP
그	그/NP
때문인지	때문/NNB+이/VCP+ㄴ지/EC
아들이	아들/NNG+이/JKS
마지막	마지막/NNG
인사를	인사/NNG+를/JKO
하러	하/VV+러/EC
(꿈에)	(/SS+꿈/NNG+에/JKB+)/SS
나타난	나타나/VV+ㄴ/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
안타까워했다.	안타까워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.125.5.1
지난달 26일 천안함 침몰 사고로 실종된 장병들이 이날 20일 만에 배꼬리(함미)와 함께 주검으로 물 밖으로 나왔다.

지난달	지난달/NNG
26일	26/SN+일/NNB
천안함	천안함/NNP
침몰	침몰/NNG
사고로	사고/NNG+로/JKB
실종된	실종/NNG+되/XSV+ㄴ/ETM
장병들이	장병/NNG+들/XSN+이/JKS
이날	이날/NNG
20일	20/SN+일/NNB
만에	만/NNB+에/JKB
배꼬리(함미)와	배/NNG+꼬리/NNG+(/SS+함미/NNG+)/SS+와/JKB
함께	함께/MAG
주검으로	주검/NNG+으로/JKB
물	물/NNG
밖으로	밖/NNG+으로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.125.5.2
군 당국은 16일 새벽 1시30분까지 36구의 주검을 찾아내 모두 신원을 확인했다.

군	군/NNG
당국은	당국/NNG+은/JX
16일	16/SN+일/NNB
새벽	새벽/NNG
1시30분까지	1/SN+시/NNB+30/SN+분/NNB+까지/JX
36구의	36/SN+구/NNB+의/JKG
주검을	주검/NNG+을/JKO
찾아내	찾아내/VV+어/EC
모두	모두/MAG
신원을	신원/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.125.5.3
인양 현장에서, 또 텔레비전으로 이 모습을 지켜보던 희생자 가족들은 “차디찬 물속에 그렇게 오래 남겨둬 미안하다”며 통곡했다.

인양	인양/NNG
현장에서,	현장/NNG+에서/JKB+,/SP
또	또/MAG
텔레비전으로	텔레비전/NNG+으로/JKB
이	이/MMD
모습을	모습/NNG+을/JKO
지켜보던	지켜보/VV+던/ETM
희생자	희생자/NNG
가족들은	가족/NNG+들/XSN+은/JX
“차디찬	“/SS+차디차/VA+ㄴ/ETM
물속에	물속/NNG+에/JKB
그렇게	그렇/VA+게/EC
오래	오래/MAG
남겨둬	남기/VV+어/EC+두/VX+어/EC
미안하다”며	미안/NNG+하/XSA+다/EF+”/SS+며/EC
통곡했다.	통곡/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.125.6.1
앞서 15일 인양 작업은 오전 8시44분 백령도 해상의 모든 경비함이 애도의 뜻으로 15초간 ‘기적’을 울리면서 시작됐다.

앞서	앞서/MAG
15일	15/SN+일/NNB
인양	인양/NNG
작업은	작업/NNG+은/JX
오전	오전/NNG
8시44분	8/SN+시/NNB+44/SN+분/NNB
백령도	백령도/NNP
해상의	해상/NNG+의/JKG
모든	모든/MMN
경비함이	경비함/NNG+이/JKS
애도의	애도/NNG+의/JKG
뜻으로	뜻/NNG+으로/JKB
15초간	15/SN+초/NNB+간/XSN
‘기적’을	‘/SS+기적/NNG+’/SS+을/JKO
울리면서	울리/VV+면서/EC
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.125.6.2
선체 물빼기와 바지선 탑재 등 함미 인양은 한나절 만에 끝났지만, 이후 실종자 수색과 신원 확인 작업 등은 밤늦게까지 계속됐다.

선체	선체/NNG
물빼기와	물/NNG+빼/VV+기/ETN+와/JC
바지선	바지선/NNG
탑재	탑재/NNG
등	등/NNB
함미	함미/NNG
인양은	인양/NNG+은/JX
한나절	한나절/NNG
만에	만/NNB+에/JKB
끝났지만,	끝나/VV+았/EP+지만/EC+,/SP
이후	이후/NNG
실종자	실종자/NNG
수색과	수색/NNG+과/JC
신원	신원/NNG
확인	확인/NNG
작업	작업/NNG
등은	등/NNB+은/JX
밤늦게까지	밤늦/VA+게/EC+까지/JX
계속됐다.	계속/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.125.6.3
사고 당시의 충격으로 함정 내부 격벽이 무너지고, 부유물과 전선 등이 뒤엉켜 수색 작업에 어려움을 겪었다.

사고	사고/NNG
당시의	당시/NNG+의/JKG
충격으로	충격/NNG+으로/JKB
함정	함정/NNG
내부	내부/NNG
격벽이	격벽/NNG+이/JKS
무너지고,	무너지/VV+고/EC+,/SP
부유물과	부유물/NNG+과/JC
전선	전선/NNG
등이	등/NNB+이/JKS
뒤엉켜	뒤엉키/VV+어/EC
수색	수색/NNG
작업에	작업/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.125.7.1
인양된 천안함의 절단면은 그물망이 씌워져 정확한 상태를 가늠하기 어려웠다.

인양된	인양/NNG+되/XSV+ㄴ/ETM
천안함의	천안함/NNP+의/JKG
절단면은	절단면/NNG+은/JX
그물망이	그물망/NNG+이/JKS
씌워져	씌우/VV+어/EC+지/VX+어/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
상태를	상태/NNG+를/JKO
가늠하기	가늠/NNG+하/XSV+기/ETN
어려웠다.	어렵/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.125.7.2
그렇지만 그물망 사이로 드러난 갑판 쪽 상부 철판은 오른쪽과 왼쪽 모두 바깥쪽으로 구겨지고 가운데가 ‘∧’ 모양으로 치솟아 있었다.

그렇지만	그렇지만/MAJ
그물망	그물망/NNG
사이로	사이/NNG+로/JKB
드러난	드러나/VV+ㄴ/ETM
갑판	갑판/NNG
쪽	쪽/NNB
상부	상부/NNG
철판은	철판/NNG+은/JX
오른쪽과	오른쪽/NNG+과/JC
왼쪽	왼쪽/NNG
모두	모두/MAG
바깥쪽으로	바깥쪽/NNG+으로/JKB
구겨지고	구겨지/VV+고/EC
가운데가	가운데/NNG+가/JKS
‘∧’	‘/SS+∧/SW+’/SS
모양으로	모양/NNG+으로/JKB
치솟아	치솟/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.125.7.3
갑판 쪽 절단부의 너덜너덜하게 찢긴 단면도 뚜렷했다.

갑판	갑판/NNG
쪽	쪽/NNB
절단부의	절단부/NNG+의/JKG
너덜너덜하게	너덜너덜/MAG+하/XSA+게/EC
찢긴	찢기/VV+ㄴ/ETM
단면도	단면/NNG+도/JX
뚜렷했다.	뚜렷하/VA+았/EP+다/EF+./SF


# id : NWRW1800000028.125.7.4
그러나 갑판부 아래 절단면은 그다지 들쭉날쭉하지 않고 비교적 매끈한 사선 모양을 그렸다.

그러나	그러나/MAJ
갑판부	갑판부/NNG
아래	아래/NNG
절단면은	절단면/NNG+은/JX
그다지	그다지/MAG
들쭉날쭉하지	들쭉날쭉/MAG+하/XSA+지/EC
않고	않/VX+고/EC
비교적	비교/NNG+적/XSN
매끈한	매끈하/VA+ㄴ/ETM
사선	사선/NNG
모양을	모양/NNG+을/JKO
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.125.8.1
함미 인양이 마무리되면서 민·군 합동조사단의 정밀조사도 본격화했다.

함미	함미/NNG
인양이	인양/NNG+이/JKS
마무리되면서	마무리/NNG+되/XSV+면서/EC
민·군	민·군/NNG
합동조사단의	합동/NNG+조사단/NNG+의/JKG
정밀조사도	정밀/NNG+조사/NNG+도/JX
본격화했다.	본격/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.125.8.2
군 관계자 28명(국군 26명, 미군 2명)과 민간인 10명으로 구성된 현장 조사요원 38명은 이날 선체 구조, 폭발 유형, 정보, 작전 등의 분야로 나뉘어 사고 원인 규명에 착수했다.

군	군/NNG
관계자	관계자/NNG
28명(국군	28/SN+명/NNB+(/SS+국군/NNG
26명,	26/SN+명/NNB+,/SP
미군	미군/NNG
2명)과	2/SN+명/NNB+)/SS+과/JC
민간인	민간인/NNG
10명으로	10/SN+명/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
현장	현장/NNG
조사요원	조사/NNG+요원/NNG
38명은	38/SN+명/NNB+은/JX
이날	이날/NNG
선체	선체/NNG
구조,	구조/NNG+,/SP
폭발	폭발/NNG
유형,	유형/NNG+,/SP
정보,	정보/NNG+,/SP
작전	작전/NNG
등의	등/NNB+의/JKG
분야로	분야/NNG+로/JKB
나뉘어	나뉘/VV+어/EC
사고	사고/NNG
원인	원인/NNG
규명에	규명/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.125.9.1
한편, 이날 발견된 장병들의 주검은 독도함에서 1차 검안과 신원 확인을 거친 뒤, 헬기로 가족들이 있는 2함대 사령부로 이송돼 임시 안치됐다.

한편,	한편/MAG+,/SP
이날	이날/NNG
발견된	발견/NNG+되/XSV+ㄴ/ETM
장병들의	장병/NNG+들/XSN+의/JKG
주검은	주검/NNG+은/JX
독도함에서	독도함/NNP+에서/JKB
1차	1/SN+차/NNB
검안과	검안/NNG+과/JC
신원	신원/NNG
확인을	확인/NNG+을/JKO
거친	거치/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
헬기로	헬기/NNG+로/JKB
가족들이	가족/NNG+들/XSN+이/JKS
있는	있/VA+는/ETM
2함대	2/SN+함대/NNG
사령부로	사령부/NNG+로/JKB
이송돼	이송/NNG+되/XSV+어/EC
임시	임시/NNG
안치됐다.	안치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.125.9.2
해군은 희생 장병들의 장례 일정에 대해 “해군장으로 한다는 원칙만 정해졌고, 이후 세부 계획은 실종자가족협의회와 논의해 결정할 것”이라고 밝혔다.

해군은	해군/NNG+은/JX
희생	희생/NNG
장병들의	장병/NNG+들/XSN+의/JKG
장례	장례/NNG
일정에	일정/NNG+에/JKB
대해	대하/VV+아/EC
“해군장으로	“/SS+해군장/NNG+으로/JKB
한다는	하/VV+ㄴ다는/ETM
원칙만	원칙/NNG+만/JX
정해졌고,	정하/VV+아/EC+지/VX+었/EP+고/EC+,/SP
이후	이후/NNG
세부	세부/NNG
계획은	계획/NNG+은/JX
실종자가족협의회와	실종자/NNG+가족/NNG+협의회/NNG+와/JKB
논의해	논의/NNG+하/XSV+아/EC
결정할	결정/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


