# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.360
metadata : {}


# id : NWRW1800000041.360.1.1
與 “공공개혁 3대 법안 2014년내 처리”

與	與/SH
공무원연금	공무원/NNG+연금/NNG
개혁법안을	개혁/NNG+법안/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
정부와	정부/NNG+와/JC
여당이	여당/NNG+이/JKS
추진해온	추진/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
공공개혁	공공/NNG+개혁/NNG
3대	3/SN+대/NNG
법안이	법안/NNG+이/JKS
모두	모두/MAG
발의됐다.	발의/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.360.5.1
규제개혁법은 규제가 신설 강화되면 해당 규제 비용에 상응하는 기존 규제를 정비하도록 한 ‘규제비용총량제’를 도입하는 것이 핵심이다.

규제개혁법은	규제/NNG+개혁법/NNG+은/JX
규제가	규제/NNG+가/JKS
신설	신설/NNG
강화되면	강화/NNG+되/XSV+면/EC
해당	해당/NNG
규제	규제/NNG
비용에	비용/NNG+에/JKB
상응하는	상응/NNG+하/XSV+는/ETM
기존	기존/NNG
규제를	규제/NNG+를/JKO
정비하도록	정비/NNG+하/XSV+도록/EC
한	하/VX+ㄴ/ETM
‘규제비용총량제’를	‘/SS+규제/NNG+비용/NNG+총량/NNG+제/XSN+’/SS+를/JKO
도입하는	도입/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
핵심이다.	핵심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.360.5.2
규제를 정할 때는 ‘원칙 허용·예외 금지 규제방식(네거티브 방식)’이 적용된다.

규제를	규제/NNG+를/JKO
정할	정하/VV+ㄹ/ETM
때는	때/NNG+는/JX
‘원칙	‘/SS+원칙/NNG
허용·예외	허용/NNG+·/SP+예외/NNG
금지	금지/NNG
규제방식(네거티브	규제/NNG+방식/NNG+(/SS+네거티브/NNG
방식)’이	방식/NNG+)/SS+’/SS+이/JKS
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.360.5.3
국내 거주 외국인을 포함해 누구든지 규제 개선을 요구할 권리를 명시하고 책임자가 실명으로 답변하도록 했다.

국내	국내/NNG
거주	거주/NNG
외국인을	외국인/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
누구든지	누구/NP+든지/JX
규제	규제/NNG
개선을	개선/NNG+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
권리를	권리/NNG+를/JKO
명시하고	명시/NNG+하/XSV+고/EC
책임자가	책임자/NNG+가/JKS
실명으로	실명/NNG+으로/JKB
답변하도록	답변/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.360.5.4
국회 법원 감사원을 비롯한 헌법기관과 지방자치단체도 이 법의 적용을 받는다.

국회	국회/NNG
법원	법원/NNG
감사원을	감사원/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
헌법기관과	헌법/NNG+기관/NNG+과/JC
지방자치단체도	지방/NNG+자치/NNG+단체/NNG+도/JX
이	이/MMD
법의	법/NNG+의/JKG
적용을	적용/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000041.360.6.1
공공기관운영법은 5년 이상 연속으로 당기순손실이 발생하거나 특별한 사유 없이 2년 이상 연속으로 전년도 대비 수익이 50% 이상 감소한 공공기관에 대해 기획재정부 장관이 공공기관혁신위원회에 해산을 요청할 수 있도록 했다.

공공기관운영법은	공공/NNG+기관/NNG+운영법/NNG+은/JX
5년	5/SN+년/NNB
이상	이상/NNG
연속으로	연속/NNG+으로/JKB
당기순손실이	당기/NNG+순손실/NNG+이/JKS
발생하거나	발생/NNG+하/XSV+거나/EC
특별한	특별/NNG+하/XSA+ㄴ/ETM
사유	사유/NNG
없이	없이/MAG
2년	2/SN+년/NNB
전년도	전년도/NNG
대비	대비/NNG
수익이	수익/NNG+이/JKS
50%	50/SN+%/SW
감소한	감소/NNG+하/XSV+ㄴ/ETM
공공기관에	공공/NNG+기관/NNG+에/JKB
대해	대하/VV+아/EC
기획재정부	기획/NNG+재정부/NNG
장관이	장관/NNG+이/JKS
공공기관혁신위원회에	공공/NNG+기관/NNG+혁신/NNG+위원회/NNG+에/JKB
해산을	해산/NNG+을/JKO
요청할	요청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.360.6.2
또 공공기관 직원에게 호봉에 따른 자동승급 대신 성과에 따른 승진과 연봉제를 도입할 수 있도록 했고, 정부 정책을 공공기관에 떠넘기는 것을 막기 위해 공공기관의 책임경영을 강화하는 경영계약제를 도입했다.

또	또/MAG
공공기관	공공/NNG+기관/NNG
직원에게	직원/NNG+에게/JKB
호봉에	호봉/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
자동승급	자동/NNG+승급/NNG
대신	대신/NNG
성과에	성과/NNG+에/JKB
승진과	승진/NNG+과/JKB
연봉제를	연봉/NNG+제/XSN+를/JKO
도입할	도입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했고,	하/VX+았/EP+고/EC+,/SP
정부	정부/NNG
정책을	정책/NNG+을/JKO
공공기관에	공공/NNG+기관/NNG+에/JKB
떠넘기는	떠넘기/VV+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
공공기관의	공공/NNG+기관/NNG+의/JKG
책임경영을	책임/NNG+경영/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
경영계약제를	경영/NNG+계약/NNG+제/XSN+를/JKO
도입했다.	도입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.360.7.1
새누리당은 ‘공공개혁 3법’의 연내 처리를 목표로 하고 있다.

새누리당은	새누리당/NNP+은/JX
‘공공개혁	‘/SS+공공/NNG+개혁/NNG
3법’의	3/SN+법/NNG+’/SS+의/JKG
연내	연내/NNG
처리를	처리/NNG+를/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.360.7.2
이완구 원내대표는 이날 최고위원회의에서 “다음 원내대표 주례회동에서 공무원연금 개혁 문제를 주의제로 해서 가닥을 잡겠다”며 “규제 개혁과 공기업 개혁은 박 대통령의 대표적 개혁정책인 만큼 차질 없이 추진하겠다”고 했다.

이완구	이완구/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
“다음	“/SS+다음/NNG
원내대표	원내/NNG+대표/NNG
주례회동에서	주례/NNG+회동/NNG+에서/JKB
공무원연금	공무원/NNG+연금/NNG
개혁	개혁/NNG
문제를	문제/NNG+를/JKO
주의제로	주의/NNG+제/XSN+로/JKB
해서	하/VV+아서/EC
가닥을	가닥/NNG+을/JKO
잡겠다”며	잡/VV+겠/EP+다/EF+”/SS+며/EC
“규제	“/SS+규제/NNG
개혁과	개혁/NNG+과/JC
공기업	공기업/NNG
개혁은	개혁/NNG+은/JX
박	박/NNP
대통령의	대통령/NNG+의/JKG
대표적	대표/NNG+적/XSN
개혁정책인	개혁/NNG+정책/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
차질	차질/NNG
없이	없이/MAG
추진하겠다”고	추진/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.360.7.3
하지만 야당의 반대와 이해당사자들의 반발을 넘어서야 하는 과제를 안고 있어 법안 추진 과정에 진통이 있을 것으로 예상된다.

하지만	하지만/MAJ
야당의	야당/NNG+의/JKG
반대와	반대/NNG+와/JC
이해당사자들의	이해/NNG+당사자/NNG+들/XSN+의/JKG
반발을	반발/NNG+을/JKO
넘어서야	넘어서/VV+어야/EC
하는	하/VX+는/ETM
과제를	과제/NNG+를/JKO
안고	안/VV+고/EC
있어	있/VX+어/EC
법안	법안/NNG
추진	추진/NNG
과정에	과정/NNG+에/JKB
진통이	진통/NNG+이/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


