# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.370
metadata : {}


# id : NWRW1800000024.370.1.1
이스라엘, 미국품 벗어나나 /‘대미의존 벗어나 관계확대 추진’ 외무부 메모 공개

이스라엘,	이스라엘/NNP+,/SP
의심할	의심/NNG+하/XSV+ㄹ/ETM
바	바/NNB
없는	없/VA+는/ETM
이스라엘의	이스라엘/NNP+의/JKG
베스트	베스트/NNG
프렌드”라면서도	프렌드/NNG+”/SS+이/VCP+라면서/EC+도/JX
“미국에	“/SS+미국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
고독한	고독/NNG+하/XSA+ㄴ/ETM
의존은	의존/NNG+은/JX
서로에게	서로/NNG+에게/JKB
이롭지	이/NNG+롭/XSA+지/EC
않으며,	않/VX+으며/EC+,/SP
다른	다른/MMD
나라들과	나라/NNG+들/XSN+과/JKB
상호	상호/NNG
관심사에	관심사/NNG+에/JKB
바탕한	바탕/NNG+하/XSV+ㄴ/ETM
동맹	동맹/NNG
관계를	관계/NNG+를/JKO
구축함으로써	구축/NNG+하/XSV+ㅁ/ETN+으로써/JKB
지지	지지/NNG
세력을	세력/NNG+을/JKO
확대·강화해야	확대/NNG+·/SP+강화/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.370.4.2
구체적 대안으로, 전임 정부들이 등한시해왔던 국가들과 관계를 확대하고, 팔레스타인과의 평화협상에 대한 국제사회의 기대를 낮추며, 전세계의 반유대주의적 표현에 대한 ‘무관용’ 정책을 펼 것을 제시했다.

구체적	구체/NNG+적/XSN
대안으로,	대안/NNG+으로/JKB+,/SP
전임	전임/NNG
정부들이	정부/NNG+들/XSN+이/JKS
등한시해왔던	등한시/NNG+하/XSV+아/EC+오/VX+았/EP+던/ETM
국가들과	국가/NNG+들/XSN+과/JKB
관계를	관계/NNG+를/JKO
확대하고,	확대/NNG+하/XSV+고/EC+,/SP
팔레스타인과의	팔레스타인/NNP+과/JKB+의/JKG
평화협상에	평화/NNG+협상/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국제사회의	국제/NNG+사회/NNG+의/JKG
기대를	기대/NNG+를/JKO
낮추며,	낮추/VV+며/EC+,/SP
전세계의	전/MMN+세계/NNG+의/JKG
반유대주의적	반/XPN+유대주의/NNG+적/XSN
표현에	표현/NNG+에/JKB
‘무관용’	‘/SS+무/XPN+관용/NNG+’/SS
정책을	정책/NNG+을/JKO
펼	펴/VV+ㄹ/ETM
것을	것/NNB+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.370.5.1
메모는 특히 “이스라엘이 지금까지 유엔 의결을 앞둔 결정적 상황이 닥칠 때에만 라틴아메리카와 아프리카의 아무 나라나 붙잡으려 한 것은 체계적 사고를 결여한 애처로운 풍경이었다”며, 이들 나라들과의 고위급 회담과 경제 지원, 문화 교류 등을 통해 이스라엘이 국제사회에서 고립되지 않도록 해야 한다고 강조했다.

메모는	메모/NNG+는/JX
특히	특히/MAG
“이스라엘이	“/SS+이스라엘/NNP+이/JKS
지금까지	지금/NNG+까지/JX
유엔	유엔/NNP
의결을	의결/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
결정적	결정/NNG+적/XSN
상황이	상황/NNG+이/JKS
닥칠	닥치/VV+ㄹ/ETM
때에만	때/NNG+에/JKB+만/JX
라틴아메리카와	라틴아메리카/NNP+와/JC
아프리카의	아프리카/NNP+의/JKG
아무	아무/MMD
나라나	나라/NNG+나/JX
붙잡으려	붙잡/VV+으려/EC
한	하/VX+ㄴ/ETM
것은	것/NNB+은/JX
체계적	체계/NNG+적/XSN
사고를	사고/NNG+를/JKO
결여한	결여/NNG+하/XSV+ㄴ/ETM
애처로운	애처롭/VA+ㄴ/ETM
풍경이었다”며,	풍경/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC+,/SP
이들	이/NP+들/XSN
나라들과의	나라/NNG+들/XSN+과/JKB+의/JKG
고위급	고위급/NNG
회담과	회담/NNG+과/JC
경제	경제/NNG
지원,	지원/NNG+,/SP
문화	문화/NNG
교류	교류/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
이스라엘이	이스라엘/NNP+이/JKS
국제사회에서	국제/NNG+사회/NNG+에서/JKB
고립되지	고립/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
해야	하/VX+아야/EC
한다고	하/VX+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.370.6.1
이런 구상은 올해 이스라엘에서 베냐민 네타냐후 정부가 출범한 이후 미국의 버락 오바마 정부와의 관계에 균열 조짐이 나타나고 있는 가운데 나온 것이어서 그 배경에 관심이 쏠린다.

이런	이런/MMD
구상은	구상/NNG+은/JX
올해	올해/NNG
이스라엘에서	이스라엘/NNP+에서/JKB
베냐민	베냐민/NNP
네타냐후	네타냐후/NNP
정부가	정부/NNG+가/JKS
출범한	출범/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
미국의	미국/NNP+의/JKG
버락	버락/NNP
오바마	오바마/NNP
정부와의	정부/NNG+와/JKB+의/JKG
관계에	관계/NNG+에/JKB
균열	균열/NNG
조짐이	조짐/NNG+이/JKS
나타나고	나타나/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
나온	나오/VV+ㄴ/ETM
것이어서	것/NNB+이/VCP+어서/EC
그	그/MMD
배경에	배경/NNG+에/JKB
관심이	관심/NNG+이/JKS
쏠린다.	쏠리/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.370.6.2
리베르만 장관이 이끄는 극우정당인 이스라엘베이테이누는 지난 2월 총선에서 네타냐후 현 총리가 이끄는 보수우파 리쿠드당에 이어 2위를 차지해 연정을 구성했다.

리베르만	리베르만/NNP
장관이	장관/NNG+이/JKS
이끄는	이끌/VV+는/ETM
극우정당인	극우/NNG+정당/NNG+이/VCP+ㄴ/ETM
이스라엘베이테이누는	이스라엘베이테이누/NNP+는/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
총선에서	총선/NNG+에서/JKB
네타냐후	네타냐후/NNP
현	현/MMD
총리가	총리/NNG+가/JKS
보수우파	보수/NNG+우파/NNG
리쿠드당에	리쿠드당/NNP+에/JKB
이어	잇/VV+어/EC
2위를	2/SN+위/NNB+를/JKO
차지해	차지/NNG+하/XSV+아/EC
연정을	연정/NNG+을/JKO
구성했다.	구성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.370.6.3
<예루살렘 포스트>는 외무부 소식통을 인용해, 리베르만 외무장관이 조만간 ‘새로운 외교정책’의 타당성과 이행 방안을 외무부의 고위 전문가 그룹과 논의할 계획이라고 전했다.

<예루살렘	</SS+예루살렘/NNP
포스트>는	포스트/NNP+>/SS+는/JX
외무부	외무부/NNG
소식통을	소식통/NNG+을/JKO
인용해,	인용/NNG+하/XSV+아/EC+,/SP
리베르만	리베르만/NNP
외무장관이	외무/NNG+장관/NNG+이/JKS
조만간	조만간/MAG
‘새로운	‘/SS+새롭/VA+ㄴ/ETM
외교정책’의	외교/NNG+정책/NNG+’/SS+의/JKG
타당성과	타당성/NNG+과/JC
이행	이행/NNG
방안을	방안/NNG+을/JKO
외무부의	외무부/NNG+의/JKG
고위	고위/NNG
전문가	전문가/NNG
그룹과	그룹/NNG+과/JKB
논의할	논의/NNG+하/XSV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


