# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.96
metadata : {}


# id : NWRW1800000052.96.1.1
오바마-시진핑, 파리기후협정 공식 비준

오바마-시진핑,	오바마/NNP+-/SO+시진핑/NNP+,/SP
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.96.6.1
오바마 대통령은 이날 행사에서 “(기후변화에 대한) 싸움은 아무리 강력한 국가라도 혼자 할 수 없다”며 “언젠가 이번 협정에 대해 지구를 구하기 위해 결단을 내린 순간으로 평가할 것”이라고 의미를 부여했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
행사에서	행사/NNG+에서/JKB
“(기후변화에	“/SS+(/SS+기후/NNG+변화/NNG+에/JKB
대한)	대하/VV+ㄴ/ETM+)/SS
싸움은	싸움/NNG+은/JX
아무리	아무리/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
국가라도	국가/NNG+이/VCP+라도/EC
혼자	혼자/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“언젠가	“/SS+언젠가/MAG
이번	이번/NNG
협정에	협정/NNG+에/JKB
대해	대하/VV+아/EC
지구를	지구/NNG+를/JKO
구하기	구하/VV+기/ETN
위해	위하/VV+아/EC
결단을	결단/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
순간으로	순간/NNG+으로/JKB
평가할	평가/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
의미를	의미/NNG+를/JKO
부여했다.	부여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.96.6.2
시진핑 주석도 “과거의 방법은 우리를 더 이상 멀리 가게 하지 못할 것”이라며 “우리는 기후변화에 대한 혁신적 접근이 필요하다”고 말했다.

시진핑	시진핑/NNP
주석도	주석/NNG+도/JX
“과거의	“/SS+과거/NNG+의/JKG
방법은	방법/NNG+은/JX
우리를	우리/NP+를/JKO
더	더/MAG
이상	이상/NNG
멀리	멀리/MAG
가게	가/VV+게/EC
하지	하/VX+지/EC
못할	못하/VX+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“우리는	“/SS+우리/NP+는/JX
기후변화에	기후/NNG+변화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
혁신적	혁신/NNG+적/XSN
접근이	접근/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.96.7.1
미·중의 비준으로 파리 협정이 올해 안에 발효될 전망은 상당히 밝아졌다.

미·중의	미/NNP+·/SP+중/NNP+의/JKG
비준으로	비준/NNG+으로/JKB
파리	파리/NNP
협정이	협정/NNG+이/JKS
올해	올해/NNG
안에	안/NNG+에/JKB
발효될	발효/NNG+되/XSV+ㄹ/ETM
전망은	전망/NNG+은/JX
상당히	상당히/MAG
밝아졌다.	밝아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.96.7.2
파리 협정이 발효되려면 55개국 이상이 비준하고, 비준국의 탄소배출량이 전 세계 배출량의 55% 이상이 돼야 한다.

파리	파리/NNP
협정이	협정/NNG+이/JKS
발효되려면	발효/NNG+되/XSV+려면/EC
55개국	55/SN+개국/NNB
이상이	이상/NNG+이/JKC
비준하고,	비준/NNG+하/XSV+고/EC+,/SP
비준국의	비준국/NNG+의/JKG
탄소배출량이	탄소/NNG+배출량/NNG+이/JKS
전	전/MMN
세계	세계/NNG
배출량의	배출량/NNG+의/JKG
55%	55/SN+%/SW
돼야	되/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.96.7.3
세계 각국은 지난 4월 유엔에서 서명식을 마친 뒤 비준절차를 시작했지만 현재 북한을 포함해 23개국만이 비준을 마쳤다.

세계	세계/NNG
각국은	각국/NNG+은/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
유엔에서	유엔/NNP+에서/JKB
서명식을	서명식/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
비준절차를	비준/NNG+절차/NNG+를/JKO
시작했지만	시작/NNG+하/XSV+았/EP+지만/EC
현재	현재/MAG
북한을	북한/NNP+을/JKO
포함해	포함/NNG+하/XSV+아/EC
23개국만이	23/SN+개국/NNB+만/JX+이/JKS
비준을	비준/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.96.7.4
또한, 이들 국가의 탄소배출량 비중은 1%에 지나지 않는다.

또한,	또한/MAG+,/SP
이들	이/NP+들/XSN
국가의	국가/NNG+의/JKG
탄소배출량	탄소/NNG+배출량/NNG
비중은	비중/NNG+은/JX
1%에	1/SN+%/SW+에/JKB
지나지	지나/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000052.96.8.1
이런 상황에서 전세계 온실가스 배출량의 38%를 점하는 미·중의 비준은 다른 국가들에게도 압력으로 작용할 것으로 예상된다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
전세계	전/MMN+세계/NNG
온실가스	온실가스/NNG
배출량의	배출량/NNG+의/JKG
38%를	38/SN+%/SW+를/JKO
점하는	점하/VV+는/ETM
미·중의	미/NNP+·/SP+중/NNP+의/JKG
비준은	비준/NNG+은/JX
다른	다른/MMD
국가들에게도	국가/NNG+들/XSN+에게/JKB+도/JX
압력으로	압력/NNG+으로/JKB
작용할	작용/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.96.8.2
온실가스 세번째 배출국인 인도도 올해 안 비준을 약속한 것으로 알려졌다.

온실가스	온실가스/NNG
세번째	세/MMN+번/NNB+째/XSN
배출국인	배출국/NNG+이/VCP+ㄴ/ETM
인도도	인도/NNP+도/JX
올해	올해/NNG
안	안/NNG
비준을	비준/NNG+을/JKO
약속한	약속/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.96.8.3
백악관은 “현재 비준을 했거나 올해 안에 비준을 약속한 국가가 55개국을 넘는다”고 전했다.

백악관은	백악관/NNP+은/JX
“현재	“/SS+현재/MAG
비준을	비준/NNG+을/JKO
했거나	하/VV+았/EP+거나/EC
올해	올해/NNG
안에	안/NNG+에/JKB
약속한	약속/NNG+하/XSV+ㄴ/ETM
국가가	국가/NNG+가/JKS
55개국을	55/SN+개국/NNB+을/JKO
넘는다”고	넘/VV+는다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.96.9.1
파리 협정은 지난해 12월 세계 196개국 정상과 대표들이 모인 제21차 유엔 기후변화협약 당사국 총회에서 합의됐으며, 산업화 이전 수준과 비교해 지구의 평균 온도 상승을 이번 세기말까지 ‘2도보다 훨씬 낮게’ 줄이는 것을 목표로 하고 있다.

파리	파리/NNP
협정은	협정/NNG+은/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
세계	세계/NNG
196개국	196/SN+개국/NNB
정상과	정상/NNG+과/JC
대표들이	대표/NNG+들/XSN+이/JKS
모인	모이/VV+ㄴ/ETM
제21차	제/XPN+21/SN+차/NNB
유엔	유엔/NNP
기후변화협약	기후/NNG+변화/NNG+협약/NNG
당사국	당사국/NNG
총회에서	총회/NNG+에서/JKB
합의됐으며,	합의/NNG+되/XSV+었/EP+으며/EC+,/SP
산업화	산업/NNG+화/XSN
이전	이전/NNG
수준과	수준/NNG+과/JKB
비교해	비교/NNG+하/XSV+아/EC
지구의	지구/NNG+의/JKG
평균	평균/NNG
온도	온도/NNG
상승을	상승/NNG+을/JKO
이번	이번/NNG
세기말까지	세기말/NNG+까지/JX
‘2도보다	‘/SS+2/SN+도/NNB+보다/JKB
훨씬	훨씬/MAG
낮게’	낮/VA+게/EC+’/SS
줄이는	줄이/VV+는/ETM
것을	것/NNB+을/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


