# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.35
metadata : {}


# id : NWRW1800000033.35.1.1
냉방 끄고 쿨스카프 두르고… 한전, 땀띠 나는 절전

냉방	냉방/NNG
# id : NWRW1800000033.35.3.4
그 대신 직원들에게 두르면 시원한 느낌이 드는 ‘쿨 스카프’를 지급했다.

그	그/NP
대신	대신/NNG
직원들에게	직원/NNG+들/XSN+에게/JKB
두르면	두르/VV+면/EC
시원한	시원하/VA+ㄴ/ETM
느낌이	느낌/NNG+이/JKS
드는	들/VV+는/ETM
‘쿨	‘/SS+쿨/NNG
스카프’를	스카프/NNG+’/SS+를/JKO
지급했다.	지급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.35.4.1
한전과 한전 자회사 사업장 290여 곳은 지난달 자체 절전 모니터링 시스템을 구축했다.

한전과	한전/NNP+과/JC
한전	한전/NNP
자회사	자회사/NNG
사업장	사업장/NNG
290여	290/SN+여/XSN
곳은	곳/NNG+은/JX
지난달	지난달/NNG
자체	자체/NNG
절전	절전/NNG
모니터링	모니터링/NNG
시스템을	시스템/NNG+을/JKO
구축했다.	구축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.35.4.2
예비전력이 정상 범위인 400만 kW 아래로 내려가면 냉·온수기와 자판기를 끄고, 300만 kW 밑으로 떨어지면 복도등과 프린터, 복사기도 끈다.

예비전력이	예비/NNG+전력/NNG+이/JKS
정상	정상/NNG
범위인	범위/NNG+이/VCP+ㄴ/ETM
400만	400/SN+만/NR
kW	kW/SW
아래로	아래/NNG+로/JKB
내려가면	내려가/VV+면/EC
냉·온수기와	냉·온수기/NNG+와/JC
자판기를	자판기/NNG+를/JKO
끄고,	끄/VV+고/EC+,/SP
300만	300/SN+만/NR
밑으로	밑/NNG+으로/JKB
떨어지면	떨어지/VV+면/EC
복도등과	복도/NNG+등/NNG+과/JC
프린터,	프린터/NNG+,/SP
복사기도	복사기/NNG+도/JX
끈다.	끄/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.35.4.3
200만 kW 아래인 ‘경계’ 단계가 되면 모든 조명과 PC를 끈다.

200만	200/SN+만/NR
kW	kW/SW
아래인	아래/NNG+이/VCP+ㄴ/ETM
‘경계’	‘/SS+경계/NNG+’/SS
단계가	단계/NNG+가/JKC
되면	되/VV+면/EC
모든	모든/MMN
조명과	조명/NNG+과/JC
PC를	PC/SL+를/JKO
끈다.	끄/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.35.5.1
반대로 겨울에는 사무실 난방 온도를 정부 권고치보다 2도 낮게 유지하거나 난방 시간을 단축하고 점심시간을 앞당기기도 한다.

반대로	반대/NNG+로/JKB
겨울에는	겨울/NNG+에/JKB+는/JX
사무실	사무실/NNG
난방	난방/NNG
온도를	온도/NNG+를/JKO
정부	정부/NNG
권고치보다	권고치/NNG+보다/MAG
2도	2/SN+도/NNB
낮게	낮/VA+게/EC
유지하거나	유지/NNG+하/XSV+거나/EC
시간을	시간/NNG+을/JKO
단축하고	단축/NNG+하/XSV+고/EC
점심시간을	점심시간/NNG+을/JKO
앞당기기도	앞당기/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.35.5.2
가장 더운 시기와 가장 추운 시기가 전력 사용량이 많고 비상근무를 해야 하는 때여서 정해진 규정은 없지만 직원 대부분이 혹서기와 혹한기에는 오히려 휴가를 내지 않는 분위기라고 한다.

가장	가장/MAG
더운	덥/VA+ㄴ/ETM
시기와	시기/NNG+와/JC
추운	춥/VA+ㄴ/ETM
시기가	시기/NNG+가/JKS
전력	전력/NNG
사용량이	사용량/NNG+이/JKS
많고	많/VA+고/EC
비상근무를	비상근무/NNG+를/JKO
해야	하/VV+아야/EC
하는	하/VX+는/ETM
때여서	때/NNG+이/VCP+어서/EC
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
규정은	규정/NNG+은/JX
없지만	없/VA+지만/EC
직원	직원/NNG
대부분이	대/XPN+부분/NNG+이/JKS
혹서기와	혹서기/NNG+와/JC
혹한기에는	혹한기/NNG+에/JKB+는/JX
오히려	오히려/MAG
휴가를	휴가/NNG+를/JKO
내지	내/VV+지/EC
않는	않/VX+는/ETM
분위기라고	분위기/NNG+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.35.6.1
한전 관계자는 “한전과 자회사들이 절전한다고 수급 상황이 크게 나아지는 것은 아니지만 우리가 솔선수범하는 모습을 보여야 하지 않겠느냐”고 말했다.

한전	한전/NNP
관계자는	관계자/NNG+는/JX
“한전과	“/SS+한전/NNP+과/JC
자회사들이	자회사/NNG+들/XSN+이/JKS
절전한다고	절전/NNG+하/XSV+ㄴ다고/EC
수급	수급/NNG
상황이	상황/NNG+이/JKS
크게	크/VA+게/EC
나아지는	나아지/VV+는/ETM
것은	것/NNB+은/JX
아니지만	아니/VCN+지만/EC
우리가	우리/NP+가/JKS
솔선수범하는	솔선수범/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보여야	보이/VV+어야/EC
하지	하/VX+지/EC
않겠느냐”고	않/VX+겠/EP+느냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


