# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.207
metadata : {}


# id : NWRW1800000052.207.1.1
“박근혜 정부에 3년간 말했는데 외면…건보 부과체계 개편하려 야당 택해”

“박근혜	“/SS+박근혜/NNP
무임승차하는	무임승차/NNG+하/XSV+는/ETM
이들에게는	이/NNB+들/XSN+에게/JKB+는/JX
보험료를	보험료/NNG+를/JKO
더	더/MAG
내게	내/VV+게/EC
하고,	하/VV+고/EC+,/SP
거의	거의/MAG
없지만	없/VA+지만/EC
전월세를	전월세/NNG+를/JKO
재산으로	재산/NNG+으로/JKB
간주해	간주/NNG+하/XSV+아/EC
내는	내/VV+는/ETM
지역가입자들의	지역/NNG+가입자/NNG+들/XSN+의/JKG
부담을	부담/NNG+을/JKO
줄여주자는	줄이/VV+어/EC+주/VX+자는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.207.11.1
보건복지부는 지난해 1월 자체적으로 꾸린 부과체계개선기획단이 만든 개선안을 발표하려다 발표 하루 전 이를 취소했고, 이후 여론과 국민들의 비판에 직면하자 여당과 정부가 협의체를 만들어 추진한다고 했지만 결국 이마저도 중단 상태다.

보건복지부는	보건/NNG+복지부/NNG+는/JX
지난해	지난해/NNG
1월	1/SN+월/NNB
자체적으로	자체/NNG+적/XSN+으로/JKB
꾸린	꾸리/VV+ㄴ/ETM
부과체계개선기획단이	부과/NNG+체계/NNG+개선/NNG+기획단/NNG+이/JKS
만든	만들/VV+ㄴ/ETM
개선안을	개선안/NNG+을/JKO
발표하려다	발표/NNG+하/XSV+려다/EC
발표	발표/NNG
하루	하루/NNG
전	전/NNG
이를	이/NP+를/JKO
취소했고,	취소/NNG+하/XSV+았/EP+고/EC+,/SP
이후	이후/NNG
여론과	여론/NNG+과/JC
국민들의	국민/NNG+들/XSN+의/JKG
비판에	비판/NNG+에/JKB
직면하자	직면/NNG+하/XSV+자/EC
여당과	여당/NNG+과/JC
정부가	정부/NNG+가/JKS
협의체를	협의체/NNG+를/JKO
만들어	만들/VV+어/EC
추진한다고	추진/NNG+하/XSV+ㄴ다고/EC
했지만	하/VV+았/EP+지만/EC
결국	결국/MAG
이마저도	이/NP+마저/JX+도/JX
중단	중단/NNG
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.207.11.2
보험료를 더 내야 할 고소득층의 눈치를 보다가 정부와 여당이 이를 포기했다는 분석이 나왔다.

보험료를	보험료/NNG+를/JKO
더	더/MAG
내야	내/VV+어야/EC
할	하/VX+ㄹ/ETM
고소득층의	고/XPN+소득/NNG+층/XSN+의/JKG
눈치를	눈치/NNG+를/JKO
보다가	보/VV+다가/EC
정부와	정부/NNG+와/JC
여당이	여당/NNG+이/JKS
이를	이/NP+를/JKO
포기했다는	포기/NNG+하/XSV+았/EP+다는/ETM
분석이	분석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.207.12.1
김 전 이사장은 1990년대 후반, 직장과 지역으로 나뉘어져 있던 의료보험을 건강보험으로 통합하는 방안이 추진되자 “직장과 지역의 건보료 부과 방식이 서로 다른 상태에서는 시기상조”라며 강력 반대하다 공직을 떠났다.

김	김/NNP
전	전/MMD
이사장은	이사장/NNG+은/JX
1990년대	1990/SN+년대/NNB
후반,	후반/NNG+,/SP
직장과	직장/NNG+과/JC
지역으로	지역/NNG+으로/JKB
나뉘어져	나뉘/VV+어/EC+지/VX+어/EC
있던	있/VX+던/ETM
의료보험을	의료/NNG+보험/NNG+을/JKO
건강보험으로	건강/NNG+보험/NNG+으로/JKB
통합하는	통합/NNG+하/XSV+는/ETM
방안이	방안/NNG+이/JKS
추진되자	추진/NNG+되/XSV+자/EC
“직장과	“/SS+직장/NNG+과/JC
지역의	지역/NNG+의/JKG
건보료	건보료/NNG
부과	부과/NNG
방식이	방식/NNG+이/JKS
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
상태에서는	상태/NNG+에서/JKB+는/JX
시기상조”라며	시기상조/NNG+”/SS+이/VCP+라며/EC
강력	강력/NNG
반대하다	반대/NNG+하/XSV+다/EC
공직을	공직/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.207.12.2
당시 진보적 성향의 시민단체들은 그를 ‘조합주의자’라고 비판했다.

당시	당시/NNG
진보적	진보/NNG+적/XSN
성향의	성향/NNG+의/JKG
시민단체들은	시민/NNG+단체/NNG+들/XSN+은/JX
그를	그/NP+를/JKO
‘조합주의자’라고	‘/SS+조합주의자/NNG+’/SS+라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.207.12.3
그는 “지금도 부과체계 개선 없이는 건강보험이 지속가능하기 어렵다고 생각한다”고 강조했다.

그는	그/NP+는/JX
“지금도	“/SS+지금/NNG+도/JX
부과체계	부과/NNG+체계/NNG
개선	개선/NNG
없이는	없이/MAG+는/JX
건강보험이	건강/NNG+보험/NNG+이/JKS
지속가능하기	지속/NNG+가능/NNG+하/XSA+기/ETN
어렵다고	어렵/VA+다고/EC
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.207.13.1
김 전 이사장은 퇴임 직전인 2014년 11월초 퇴임 뒤 자신의 보험료가 어떻게 변하는지를 공개해 화제가 되기도 했다.

김	김/NNP
전	전/MMD
이사장은	이사장/NNG+은/JX
퇴임	퇴임/NNG
직전인	직전/NNG+이/VCP+ㄴ/ETM
2014년	2014/SN+년/NNB
11월초	11/SN+월/NNB+초/NNB
뒤	뒤/NNG
자신의	자신/NNG+의/JKG
보험료가	보험료/NNG+가/JKS
어떻게	어떻/VA+게/EC
변하는지를	변하/VV+는지/EF+를/JKO
공개해	공개/NNG+하/XSV+아/EC
화제가	화제/NNG+가/JKC
되기도	되/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.207.13.2
“(생활고로 동반자살을 했던) ‘송파 세 모녀’는 소득이 거의 없지만 전월세가 재산으로 간주돼 한달에 5만원 넘게 내야 했지만, 나는 5억원이 넘는 재산과 연간 수천만원의 연금 소득이 있음에도 직장가입자인 아내의 피부양자로 등록되면 보험료를 한 푼도 안 내도 된다”고 밝힌 것이다.

“(생활고로	“/SS+(/SS+생활고/NNG+로/JKB
동반자살을	동반/NNG+자살/NNG+을/JKO
했던)	하/VV+았/EP+던/ETM+)/SS
‘송파	‘/SS+송파/NNP
세	세/MMN
모녀’는	모녀/NNG+’/SS+는/JX
소득이	소득/NNG+이/JKS
거의	거의/MAG
없지만	없/VA+지만/EC
전월세가	전월세/NNG+가/JKS
재산으로	재산/NNG+으로/JKB
간주돼	간주/NNG+되/XSV+어/EC
한달에	한/MMN+달/NNB+에/JKB
5만원	5/SN+만/NR+원/NNB
넘게	넘/VV+게/EC
내야	내/VV+어야/EC
했지만,	하/VX+았/EP+지만/EC+,/SP
나는	나/NP+는/JX
5억원이	5/SN+억/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
재산과	재산/NNG+과/JC
연간	연간/NNG
수천만원의	수천만/NR+원/NNB+의/JKG
연금	연금/NNG
있음에도	있/VA+음/ETN+에/JKB+도/JX
직장가입자인	직장/NNG+가입자/NNG+이/VCP+ㄴ/ETM
아내의	아내/NNG+의/JKG
피부양자로	피/XPN+부양자/NNG+로/JKB
등록되면	등록/NNG+되/XSV+면/EC
보험료를	보험료/NNG+를/JKO
한	한/MMN
푼도	푼/NNB+도/JX
안	안/MAG
내도	내/VV+어도/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.207.13.3
김 전 이사장은 “‘송파 세 모녀’와 같은 처지의 저소득층 가구가 많다.

김	김/NNP
전	전/MMD
이사장은	이사장/NNG+은/JX
“‘송파	“/SS+‘/SS+송파/NNP
세	세/MMN
모녀’와	모녀/NNG+’/SS+와/JKB
같은	같/VA+은/ETM
처지의	처지/NNG+의/JKG
저소득층	저/XPN+소득/NNG+층/XSN
가구가	가구/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000052.207.13.4
이 때문에 한해에 거의 6000만건에 이르는 보험료 민원이 건강보험공단에 쏟아지고 있다”며 “새 국회에서는 이런 모순된 부과체계를 반드시 개선해야 국민들에게 신뢰받는 건강보험이 될 수 있고, 이를 바탕으로 유럽 선진복지국가들처럼 보장성을 강화해 ‘아파도 병원비 걱정 없는 나라’를 만들 수 있다”고 강조했다.

이	이/NP
때문에	때문/NNB+에/JKB
한해에	한/MMN+해/NNB+에/JKB
거의	거의/MAG
6000만건에	6000/SN+만/NR+건/NNB+에/JKB
이르는	이르/VV+는/ETM
보험료	보험료/NNG
민원이	민원/NNG+이/JKS
건강보험공단에	건강보험공단/NNP+에/JKB
쏟아지고	쏟아지/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“새	“/SS+새/MMA
국회에서는	국회/NNG+에서/JKB+는/JX
이런	이런/MMD
모순된	모순/NNG+되/XSV+ㄴ/ETM
부과체계를	부과/NNG+체계/NNG+를/JKO
반드시	반드시/MAG
개선해야	개선/NNG+하/XSV+아야/EC
국민들에게	국민/NNG+들/XSN+에게/JKB
신뢰받는	신뢰/NNG+받/XSV+는/ETM
건강보험이	건강/NNG+보험/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
이를	이/NP+를/JKO
바탕으로	바탕/NNG+으로/JKB
유럽	유럽/NNP
선진복지국가들처럼	선진/NNG+복지/NNG+국가/NNG+들/XSN+처럼/JKB
보장성을	보장/NNG+성/XSN+을/JKO
강화해	강화/NNG+하/XSV+아/EC
‘아파도	‘/SS+아프/VA+아도/EC
병원비	병원비/NNG
걱정	걱정/NNG
없는	없/VA+는/ETM
나라’를	나라/NNG+’/SS+를/JKO
만들	만들/VV+ㄹ/ETM
있다”고	있/VA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.207.14.1
박근혜 대통령이 반드시 통과시켜달라는 서비스산업발전기본법에 대해서도 김 전 이사장은 “이 법의 취지는 의료를 경제부처 산하에 두면서 돈벌이로 만들려고 하는 것이다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
반드시	반드시/MAG
통과시켜달라는	통과/NNG+시키/XSV+어/EC+달/VX+라는/ETM
서비스산업발전기본법에	서비스/NNG+산업/NNG+발전/NNG+기본법/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
김	김/NNP
전	전/MMD
이사장은	이사장/NNG+은/JX
“이	“/SS+이/MMD
법의	법/NNG+의/JKG
취지는	취지/NNG+는/JX
의료를	의료/NNG+를/JKO
경제부처	경제/NNG+부처/NNG
산하에	산하/NNG+에/JKB
두면서	두/VV+면서/EC
돈벌이로	돈벌이/NNG+로/JKB
만들려고	만들/VV+려고/EC
하는	하/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.207.14.2
건강보험의 근간을 해치는 것”이라고 비판했다.

건강보험의	건강/NNG+보험/NNG+의/JKG
근간을	근간/NNG+을/JKO
해치는	해치/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.207.14.3
김 전 이사장은 “서비스산업발전기본법이 통과된다고 해서 정부가 말한 일자리 창출이 된다는 것은 난센스이며, 오히려 공공재인 의료를 상업화하면서 건강보험의 뿌리마저 흔들 수 있다”고 지적했다.

김	김/NNP
전	전/MMD
이사장은	이사장/NNG+은/JX
“서비스산업발전기본법이	“/SS+서비스/NNG+산업/NNG+발전/NNG+기본법/NNG+이/JKS
통과된다고	통과/NNG+되/XSV+ㄴ다고/EC
해서	하/VV+아서/EC
정부가	정부/NNG+가/JKS
말한	말/NNG+하/XSV+ㄴ/ETM
일자리	일자리/NNG
창출이	창출/NNG+이/JKC
된다는	되/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
난센스이며,	난센스/NNG+이/VCP+며/EC+,/SP
오히려	오히려/MAG
공공재인	공공재/NNG+이/VCP+ㄴ/ETM
의료를	의료/NNG+를/JKO
상업화하면서	상업/NNG+화/XSN+하/XSV+면서/EC
건강보험의	건강/NNG+보험/NNG+의/JKG
뿌리마저	뿌리/NNG+마저/JX
흔들	흔들/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


