# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.388
metadata : {}


# id : NWRW1800000037.388.1.1
헌재, 통진당에 답변서 제출 명령

헌재,	헌재/NNG+,/SP
# id : NWRW1800000037.388.5.1
그러나 헌재는 가처분 인용에 ‘짠’ 편이다.

그러나	그러나/MAJ
헌재는	헌재/NNG+는/JX
가처분	가/XPN+처분/NNG
인용에	인용/NNG+에/JKB
‘짠’	‘/SS+짜/VA+ㄴ/ETM+’/SS
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.388.5.2
1988년 설립 이후 1300여 건의 가처분 신청 가운데 헌재가 인용 결정을 내린 것은 4건에 불과하다.

1988년	1988/SN+년/NNB
설립	설립/NNG
이후	이후/NNG
1300여	1300/SN+여/XSN
건의	건/NNB+의/JKG
가처분	가/XPN+처분/NNG
신청	신청/NNG
가운데	가운데/NNG
헌재가	헌재/NNG+가/JKS
인용	인용/NNG
결정을	결정/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
것은	것/NNB+은/JX
4건에	4/SN+건/NNB+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000037.388.5.3
그러나 가처분 결정이 늦어져 통진당 측이 강령을 개정하거나 탈당, 제명 등의 행위가 이뤄지면 본안 심리에 방해가 될 수 있기 때문에 신속히 처리할 것이라는 전망도 나온다.

그러나	그러나/MAJ
가처분	가/XPN+처분/NNG
결정이	결정/NNG+이/JKS
늦어져	늦어지/VV+어/EC
통진당	통진당/NNP
측이	측/NNB+이/JKS
강령을	강령/NNG+을/JKO
개정하거나	개정/NNG+하/XSV+거나/EC
탈당,	탈당/NNG+,/SP
제명	제명/NNG
등의	등/NNB+의/JKG
행위가	행위/NNG+가/JKS
이뤄지면	이뤄지/VV+면/EC
본안	본안/NNG
심리에	심리/NNG+에/JKB
방해가	방해/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
신속히	신속히/MAG
처리할	처리/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망도	전망/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.388.5.4
헌재 내부와 학계에서도 청구안을 내고 가처분 결정이 내려질 때까지 벌어진 상황에 대해 정당 해산 결정과 의원직 상실 선고를 소급 적용할 수 있는지 의견이 엇갈리고 있다.

헌재	헌재/NNG
내부와	내부/NNG+와/JC
학계에서도	학계/NNG+에서/JKB+도/JX
청구안을	청구/NNG+안/NNG+을/JKO
내고	내/VV+고/EC
가처분	가/XPN+처분/NNG
결정이	결정/NNG+이/JKS
내려질	내려지/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
벌어진	벌어지/VV+ㄴ/ETM
상황에	상황/NNG+에/JKB
대해	대하/VV+아/EC
정당	정당/NNG
해산	해산/NNG
결정과	결정/NNG+과/JC
의원직	의원직/NNG
상실	상실/NNG
선고를	선고/NNG+를/JKO
소급	소급/NNG
적용할	적용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EF
의견이	의견/NNG+이/JKS
엇갈리고	엇갈리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.388.5.5
법무부가 요청한 신청 내용 가운데 일부만 인용할 가능성도 제기된다.

법무부가	법무부/NNG+가/JKS
요청한	요청/NNG+하/XSV+ㄴ/ETM
신청	신청/NNG
내용	내용/NNG
가운데	가운데/NNG
일부만	일부/NNG+만/JX
인용할	인용/NNG+하/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.388.5.6
헌재의 가처분은 재판관 7명 이상 출석에 반수 이상 찬성만 얻으면 인용된다.

헌재의	헌재/NNG+의/JKG
가처분은	가/XPN+처분/NNG+은/JX
재판관	재판관/NNG
7명	7/SN+명/NNB
이상	이상/NNG
출석에	출석/NNG+에/JKB
반수	반수/NNG
찬성만	찬성/NNG+만/JX
얻으면	얻/VV+으면/EC
인용된다.	인용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.388.6.1
이 때문에 헌재의 일부 재판관이 15일 이전에 가처분에 대한 결정을 내려야 한다고 박한철 소장에게 의견을 전달한 것으로 알려졌다.

이	이/NP
때문에	때문/NNB+에/JKB
헌재의	헌재/NNG+의/JKG
일부	일부/NNG
재판관이	재판관/NNG+이/JKS
15일	15/SN+일/NNB
이전에	이전/NNG+에/JKB
가처분에	가/XPN+처분/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
결정을	결정/NNG+을/JKO
내려야	내리/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
박한철	박한철/NNP
소장에게	소장/NNG+에게/JKB
의견을	의견/NNG+을/JKO
전달한	전달/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.388.6.2
헌재는 이날 평의에서 법무부에 입증 계획과 자료를, 피청구인인 통진당 측에는 답변서를 제출하라고 명령했다.

헌재는	헌재/NNG+는/JX
이날	이날/NNG
평의에서	평의/NNG+에서/JKB
법무부에	법무부/NNG+에/JKB
입증	입증/NNG
계획과	계획/NNG+과/JC
자료를,	자료/NNG+를/JKO+,/SP
피청구인인	피/XPN+청구인/NNG+이/VCP+ㄴ/ETM
통진당	통진당/NNP
측에는	측/NNB+에/JKB+는/JX
답변서를	답변서/NNG+를/JKO
제출하라고	제출/NNG+하/XSV+라고/EC
명령했다.	명령/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.388.6.3
헌재는 양측의 자료가 모두 제출되면 변론 준비절차를 개시할 방침이다.

헌재는	헌재/NNG+는/JX
양측의	양측/NNG+의/JKG
자료가	자료/NNG+가/JKS
모두	모두/MAG
제출되면	제출/NNG+되/XSV+면/EC
변론	변론/NNG
준비절차를	준비/NNG+절차/NNG+를/JKO
개시할	개시/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


