# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.235
metadata : {}


# id : NWRW1800000024.235.1.1
감사팀장은 ‘이권 연루’ 논란

감사팀장은	감사/NNG+팀장/NNG+은/JX
팀장과	팀장/NNG+과/JC
친구	친구/NNG
신씨는	신/NNP+씨/NNB+는/JX
발전기	발전기/NNG
기술이나	기술/NNG+이나/JC
설비제작과	설비/NNG+제작/NNG+과/JKB
직접적	직접/NNG+적/XSN
관련이	관련/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.235.4.2
특히 배 팀장은 고도의 윤리 기강에 앞장서야 하는 청와대 내부감찰 책임자로서 이권과 연관되는 상표 출원에 이름을 올린 것은 부적절한 처사라는 지적이 나온다.

특히	특히/MAG
배	배/NNP
팀장은	팀장/NNG+은/JX
고도의	고도/NNG+의/JKG
윤리	윤리/NNG
기강에	기강/NNG+에/JKB
앞장서야	앞장서/VV+어야/EC
하는	하/VX+는/ETM
청와대	청와대/NNP
내부감찰	내부/NNG+감찰/NNG
책임자로서	책임자/NNG+로서/JKB
이권과	이권/NNG+과/JKB
연관되는	연관/NNG+되/XSV+는/ETM
상표	상표/NNG
출원에	출원/NNG+에/JKB
이름을	이름/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
것은	것/NNB+은/JX
부적절한	부적절하/VA+ㄴ/ETM
처사라는	처사/NNG+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.235.4.3
경찰 출신인 배 팀장은 이명박 정부 출범 직후부터 청와대 감사팀장을 맡아왔으며, 청와대 행정관 성접대 사건을 계기로 오는 7일까지 진행되는 ‘100일 특별감찰’의 책임자이기도 하다.

경찰	경찰/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
배	배/NNP
팀장은	팀장/NNG+은/JX
이명박	이명박/NNP
정부	정부/NNG
출범	출범/NNG
직후부터	직후/NNG+부터/JX
청와대	청와대/NNP
감사팀장을	감사/NNG+팀장/NNG+을/JKO
맡아왔으며,	맡/VV+아/EC+오/VX+았/EP+으며/EC+,/SP
행정관	행정관/NNG
성접대	성/NNG+접대/NNG
사건을	사건/NNG+을/JKO
계기로	계기/NNG+로/JKB
오는	오/VV+는/ETM
7일까지	7/SN+일/NNB+까지/JX
진행되는	진행/NNG+되/XSV+는/ETM
‘100일	‘/SS+100/SN+일/NNB
특별감찰’의	특별/NNG+감찰/NNG+’/SS+의/JKG
책임자이기도	책임자/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000024.235.5.1
한 변리사는 “해당 상표와 직접 관련이 없는 자가 상표 출원을 함께한 것은 향후 상표의 브랜드 가치가 높아졌을 때에 대비한 지분 확보 용도일 가능성이 높다”며 “특히 공직자가 자신과 무관한 상표 출원에 이름을 올리는 경우는 매우 드물다”고 말했다.

한	한/MMN
변리사는	변리사/NNG+는/JX
“해당	“/SS+해당/NNG
상표와	상표/NNG+와/JKB
직접	직접/MAG
관련이	관련/NNG+이/JKS
없는	없/VA+는/ETM
자가	자/NNB+가/JKS
상표	상표/NNG
출원을	출원/NNG+을/JKO
함께한	함께/MAG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
향후	향후/NNG
상표의	상표/NNG+의/JKG
브랜드	브랜드/NNG
가치가	가치/NNG+가/JKS
높아졌을	높아지/VV+었/EP+을/ETM
때에	때/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
지분	지분/NNG
확보	확보/NNG
용도일	용도/NNG+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다”며	높/VA+다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
공직자가	공직자/NNG+가/JKS
자신과	자신/NNG+과/JKB
무관한	무관하/VA+ㄴ/ETM
출원에	출원/NNG+에/JKB
이름을	이름/NNG+을/JKO
올리는	올리/VV+는/ETM
경우는	경우/NNG+는/JX
매우	매우/MAG
드물다”고	드물/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.235.5.2
여권의 한 관계자는 “배 팀장이 지난해 상표 출원을 앞두고 해당 기술자와 사업자를 정부 부처 공무원에게 소개해 의견을 구하기도 한 것으로 안다”고 말했다.

여권의	여권/NNG+의/JKG
한	하/VX+ㄴ/ETM
관계자는	관계자/NNG+는/JX
“배	“/SS+배/NNP
팀장이	팀장/NNG+이/JKS
지난해	지난해/NNG
상표	상표/NNG
출원을	출원/NNG+을/JKO
앞두고	앞두/VV+고/EC
해당	해당/NNG
기술자와	기술자/NNG+와/JC
사업자를	사업자/NNG+를/JKO
정부	정부/NNG
부처	부처/NNG
공무원에게	공무원/NNG+에게/JKB
소개해	소개/NNG+하/XSV+아/EC
의견을	의견/NNG+을/JKO
구하기도	구하/VV+기/ETN+도/JX
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.235.6.1
이에 대해 배 팀장은 “내가 경찰특공대 시절부터 폭발물을 담당해서 전기 분야도 좀 알기에, 지난해 초부터 친구 신씨의 소개로 기술자 정씨와 사업자 이씨를 만나 자문을 해왔다”며 “상표가 아닌 특허 출원을 하는 것으로 알고 ‘내 이름을 넣어도 무방하다’고 했다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
배	배/NNP
팀장은	팀장/NNG+은/JX
“내가	“/SS+내/NP+가/JKS
경찰특공대	경찰/NNG+특공대/NNG
시절부터	시절/NNG+부터/JX
폭발물을	폭발물/NNG+을/JKO
담당해서	담당/NNG+하/XSV+아서/EC
전기	전기/NNG
분야도	분야/NNG+도/JX
좀	좀/MAG
알기에,	알/VV+기에/EC+,/SP
지난해	지난해/NNG
초부터	초/NNB+부터/JX
친구	친구/NNG
신씨의	신/NNP+씨/NNB+의/JKG
소개로	소개/NNG+로/JKB
기술자	기술자/NNG
정씨와	정/NNP+씨/NNB+와/JC
사업자	사업자/NNG
이씨를	이/NNP+씨/NNB+를/JKO
만나	만나/VV+아/EC
자문을	자문/NNG+을/JKO
해왔다”며	하/VV+아/EC+오/VX+았/EP+다/EF+”/SS+며/EC
“상표가	“/SS+상표/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
특허	특허/NNG
출원을	출원/NNG+을/JKO
하는	하/VV+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
‘내	‘/SS+나/NP+의/JKG
이름을	이름/NNG+을/JKO
넣어도	넣/VV+어도/EC
무방하다’고	무방하/VA+다/EF+’/SS+고/JKQ
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.235.6.2
배 팀장은 “관련 공무원을 소개한 적도 없고, 상표 출원 이후 전혀 관여하지 않고 있다”고 말했다.

배	배/NNP
팀장은	팀장/NNG+은/JX
“관련	“/SS+관련/NNG
공무원을	공무원/NNG+을/JKO
소개한	소개/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
없고,	없/VA+고/EC+,/SP
상표	상표/NNG
출원	출원/NNG
이후	이후/NNG
전혀	전혀/MAG
관여하지	관여/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


