# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.287
metadata : {}


# id : NWRW1800000025.287.1.1
연세대, 우수학생 추천 잘한 교사에 학생선발권 준다

연세대,	연세대/NNP+,/SP
중에는	중/NNB+에/JKB+는/JX
처음	처음/NNG
도입하는	도입/NNG+하/XSV+는/ETM
것이라고	것/NNB+이/VCP+라고/EC
학교	학교/NNG
측은	측/NNB+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.287.3.1
일반적으로 고교 교사 1명은 한 해 5명 안팎의 학생을 대학에 추천한다.

일반적으로	일반/NNG+적/XSN+으로/JKB
고교	고교/NNG
교사	교사/NNG
1명은	1/SN+명/NNB+은/JX
한	한/MMN
해	해/NNB
5명	5/SN+명/NNB
안팎의	안팎/NNG+의/JKG
학생을	학생/NNG+을/JKO
대학에	대학/NNG+에/JKB
추천한다.	추천/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.287.3.2
연세대는 고교 교사가 학생들을 추천하면 교내 입학사정관들이 이들을 별도로 평가한 뒤 결과를 비교해 특정 교사가 얼마나 공정하게 추천했는지를 분석할 예정이다.

연세대는	연세대/NNP+는/JX
고교	고교/NNG
교사가	교사/NNG+가/JKS
학생들을	학생/NNG+들/XSN+을/JKO
추천하면	추천/NNG+하/XSV+면/EC
교내	교내/NNG
입학사정관들이	입학/NNG+사정관/NNG+들/XSN+이/JKS
이들을	이/NP+들/XSN+을/JKO
별도로	별도/NNG+로/JKB
평가한	평가/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
결과를	결과/NNG+를/JKO
비교해	비교/NNG+하/XSV+아/EC
특정	특정/NNG
얼마나	얼마나/MAG
공정하게	공정/NNG+하/XSA+게/EC
추천했는지를	추천/NNG+하/XSV+았/EP+는지/EC+를/JKO
분석할	분석/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.287.3.3
이어 해당 교사가 이전에 추천한 학생이 합격했는지, 합격했다면 입학 후 학생들이 기대한 만큼의 성과를 내고 있는지 등을 종합적으로 평가한다는 것.

이어	이어/MAG
해당	해당/NNG
교사가	교사/NNG+가/JKS
이전에	이전/NNG+에/JKB
추천한	추천/NNG+하/XSV+ㄴ/ETM
학생이	학생/NNG+이/JKS
합격했는지,	합격/NNG+하/XSV+았/EP+는지/EF+,/SP
합격했다면	합격/NNG+하/XSV+았/EP+다면/EC
입학	입학/NNG
후	후/NNG
학생들이	학생/NNG+들/XSN+이/JKS
기대한	기대/NNG+하/XSV+ㄴ/ETM
만큼의	만큼/NNB+의/JKG
성과를	성과/NNG+를/JKO
내고	내/VV+고/EC
있는지	있/VX+는지/EF
등을	등/NNB+을/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
평가한다는	평가/NNG+하/XSV+ㄴ다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.287.3.4
이렇게 우수한 학생들을 꾸준히 추천해온 교사를 선별해 해당 교사가 ‘강력히 추천한다’고 한 학생을 우선 선발할 계획이다.

이렇게	이렇/VA+게/EC
우수한	우수/NNG+하/XSA+ㄴ/ETM
학생들을	학생/NNG+들/XSN+을/JKO
꾸준히	꾸준히/MAG
추천해온	추천/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
교사를	교사/NNG+를/JKO
선별해	선별/NNG+하/XSV+아/EC
해당	해당/NNG
교사가	교사/NNG+가/JKS
‘강력히	‘/SS+강력히/MAG
추천한다’고	추천/NNG+하/XSV+ㄴ다/EF+’/SS+고/JKQ
한	하/VV+ㄴ/ETM
학생을	학생/NNG+을/JKO
우선	우선/MAG
선발할	선발/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.287.4.1
연세대는 우수 추천교사를 걸러내기 위한 데이터베이스(DB) 구축을 시작했다.

연세대는	연세대/NNP+는/JX
우수	우수/NNG
추천교사를	추천/NNG+교사/NNG+를/JKO
걸러내기	거르/VV+어/EC+내/VX+기/ETN
위한	위하/VV+ㄴ/ETM
데이터베이스(DB)	데이터베이스/NNG+(/SS+DB/SL+)/SS
구축을	구축/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.287.4.2
올해부터 모든 서류를 온라인에서 접수하도록 창구를 일원화함으로써 모든 수험생 서류를 전산에 저장하고 종합적인 비교가 가능해졌다.

올해부터	올해/NNG+부터/JX
모든	모든/MMN
서류를	서류/NNG+를/JKO
온라인에서	온라인/NNG+에서/JKB
접수하도록	접수/NNG+하/XSV+도록/EC
창구를	창구/NNG+를/JKO
일원화함으로써	일원/NNG+화/XSN+하/XSV+ㅁ/ETN+으로써/JKB
수험생	수험/NNG+생/XSN
전산에	전산/NNG+에/JKB
저장하고	저장/NNG+하/XSV+고/EC
종합적인	종합/NNG+적/XSN+이/VCP+ㄴ/ETM
비교가	비교/NNG+가/JKS
가능해졌다.	가능/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.287.4.3
앞으로 매년 추천서 데이터가 누적되면 더욱 공정한 선별과 선발이 가능해질 것이라는 생각이다.

앞으로	앞/NNG+으로/JKB
매년	매년/MAG
추천서	추천서/NNG
데이터가	데이터/NNG+가/JKS
누적되면	누적/NNG+되/XSV+면/EC
더욱	더욱/MAG
공정한	공정/NNG+하/XSA+ㄴ/ETM
선별과	선별/NNG+과/JC
선발이	선발/NNG+이/JKS
가능해질	가능/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.287.5.1
연세대 김동노 입학처장은 “대학이 전권을 행사해 오던 학생 선발권 일부를 고교 교사들에게 나눠준다는 점에서 의미가 있다”며 “고교 교사가 평가한 내용을 대학이 인정해 입시에 일부 반영함으로써 교권 향상에도 도움을 줄 것으로 믿는다”고 말했다.

연세대	연세대/NNP
김동노	김동노/NNP
입학처장은	입학처장/NNG+은/JX
“대학이	“/SS+대학/NNG+이/JKS
전권을	전권/NNG+을/JKO
행사해	행사/NNG+하/XSV+아/EC
오던	오/VX+던/ETM
학생	학생/NNG
선발권	선발/NNG+권/XSN
일부를	일부/NNG+를/JKO
고교	고교/NNG
교사들에게	교사/NNG+들/XSN+에게/JKB
나눠준다는	나누/VV+어/EC+주/VX+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
의미가	의미/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“고교	“/SS+고교/NNG
교사가	교사/NNG+가/JKS
평가한	평가/NNG+하/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
대학이	대학/NNG+이/JKS
인정해	인정/NNG+하/XSV+아/EC
입시에	입시/NNG+에/JKB
일부	일부/NNG
반영함으로써	반영/NNG+하/XSV+ㅁ/ETN+으로써/JKB
교권	교권/NNG
향상에도	향상/NNG+에/JKB+도/JX
도움을	도움/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
믿는다”고	믿/VV+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.287.5.2
현재 연세대는 전체 수험생의 자기소개서를 비교해 유사도를 평가에 반영하는 ‘표절검색시스템’을 운영하고 있다.

현재	현재/MAG
연세대는	연세대/NNP+는/JX
전체	전체/NNG
수험생의	수험/NNG+생/XSN+의/JKG
자기소개서를	자기소개서/NNG+를/JKO
비교해	비교/NNG+하/XSV+아/EC
유사도를	유사도/NNG+를/JKO
평가에	평가/NNG+에/JKB
반영하는	반영/NNG+하/XSV+는/ETM
‘표절검색시스템’을	‘/SS+표절/NNG+검색/NNG+시스템/NNG+’/SS+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.287.5.3
입학처 관계자는 “현재 연세대를 비롯해 고려대 서울대 등이 이 같은 제도를 시행하고 있으며 한국대학교육협의회 차원에서 각 대학 서류 DB를 통합해 유사도 검증의 신뢰도를 높이는 방안도 고려하고 있는 것으로 알고 있다”고 말했다.

입학처	입학처/NNG
관계자는	관계자/NNG+는/JX
“현재	“/SS+현재/MAG
연세대를	연세대/NNP+를/JKO
비롯해	비롯하/VV+아/EC
고려대	고려대/NNP
서울대	서울대/NNP
등이	등/NNB+이/JKS
이	이/NP
같은	같/VA+은/ETM
제도를	제도/NNG+를/JKO
시행하고	시행/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
한국대학교육협의회	한국대학교육협의회/NNP
차원에서	차원/NNG+에서/JKB
각	각/MMD
대학	대학/NNG
서류	서류/NNG
DB를	DB/SL+를/JKO
통합해	통합/NNG+하/XSV+아/EC
유사도	유사도/NNG
검증의	검증/NNG+의/JKG
신뢰도를	신뢰도/NNG+를/JKO
높이는	높이/VV+는/ETM
방안도	방안/NNG+도/JX
고려하고	고려/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


