# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.342
metadata : {}


# id : NWRW1800000036.342.1.1
[유레카] 석굴암의 원흉 / 노형석

[유레카]	[/SS+유레카/NNG+]/SS
예산을	예산/NNG+을/JKO
보고하라고	보고/NNG+하/XSV+라고/EC
지시한다.	지시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.342.3.3
동해안 감포로 옮겨 배에 싣고 인천으로 나른 뒤 서울로 가져갈 요량이었다.

동해안	동해안/NNP
감포로	감포/NNP+로/JKB
옮겨	옮기/VV+어/EC
배에	배/NNG+에/JKB
싣고	싣/VV+고/EC
인천으로	인천/NNP+으로/JKB
나른	나르/VV+ㄴ/ETM
뒤	뒤/NNG
서울로	서울/NNP+로/JKB
가져갈	가져가/VV+ㄹ/ETM
요량이었다.	요량/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.342.3.4
그뿐만 아니었다.

그뿐만	그/NP+뿐/JX+만/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000036.342.3.5
그의 방문 뒤 석굴 본존불 뒤쪽 대리석 소탑과 감실 불상 2구가 홀연히 사라졌다.

그의	그/NP+의/JKG
방문	방문/NNG
뒤	뒤/NNG
석굴	석굴/NNG
본존불	본존불/NNG
뒤쪽	뒤쪽/NNG
대리석	대리석/NNG
소탑과	소/XPN+탑/NNG+과/JC
감실	감실/NNG
불상	불상/NNG
2구가	2/SN+구/NNB+가/JKS
홀연히	홀연히/MAG
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.342.3.6
일제 강점기 일인들의 석굴암 관련 저술에서는 한결같이 소네를 유물을 훔친 장본인으로 기술했다.

일제	일제/NNG
강점기	강점기/NNG
일인들의	일인/NNG+들/XSN+의/JKG
석굴암	석굴암/NNP
관련	관련/NNG
저술에서는	저술/NNG+에서/JKB+는/JX
한결같이	한결같이/MAG
소네를	소네/NNP+를/JKO
유물을	유물/NNG+을/JKO
훔친	훔치/VV+ㄴ/ETM
장본인으로	장본인/NNG+으로/JKB
기술했다.	기술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.342.3.7
지금도 유물의 행방은 모른다.

지금도	지금/NNG+도/JX
유물의	유물/NNG+의/JKG
행방은	행방/NNG+은/JX
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.342.4.1
소네는 1849년 한반도와 마주보는 야마구치현에서 태어났다.

소네는	소네/NNP+는/JX
1849년	1849/SN+년/NNB
한반도와	한반도/NNP+와/JKB
마주보는	마주/MAG+보/VV+는/ETM
야마구치현에서	야마구치현/NNP+에서/JKB
태어났다.	태어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.342.4.2
1868년 메이지 유신 이래 정권을 50여년간 독차지한 ‘일본판 티케이’ 지역 출신으로, 프랑스에 유학해 외교관으로 두각을 드러냈다.

1868년	1868/SN+년/NNB
메이지	메이지/NNG
유신	유신/NNG
이래	이래/NNB
정권을	정권/NNG+을/JKO
50여년간	50/SN+여/XSN+년/NNB+간/XSN
독차지한	독차지/NNG+하/XSV+ㄴ/ETM
‘일본판	‘/SS+일본판/NNG
티케이’	티케이/NNP+’/SS
지역	지역/NNG
출신으로,	출신/NNG+으로/JKB+,/SP
프랑스에	프랑스/NNP+에/JKB
유학해	유학/NNG+하/XSV+아/EC
외교관으로	외교관/NNG+으로/JKB
두각을	두각/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.342.4.3
동향 선배 이토의 총애 속에 주프랑스 대사, 내각 대신 등을 두루 맡았고, 이토 사후 2대 통감에 취임한다.

동향	동향/NNG
선배	선배/NNG
이토의	이토/NNP+의/JKG
총애	총애/NNG
속에	속/NNG+에/JKB
주프랑스	주프랑스/NNG
대사,	대사/NNG+,/SP
내각	내각/NNG
대신	대신/NNG
등을	등/NNB+을/JKO
두루	두루/MAG
맡았고,	맡/VV+았/EP+고/EC+,/SP
이토	이토/NNP
사후	사후/NNG
2대	2/SN+대/NNB
통감에	통감/NNG+에/JKB
취임한다.	취임/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.342.4.4
소네는 조선을 7~8년간 보호국으로 유지한 뒤 합병하자고 주장해 친일파 단체 일진회의 즉각 합병론과 대립했다.

소네는	소네/NNP+는/JX
조선을	조선/NNP+을/JKO
7~8년간	7/SN+~/SO+8/SN+년/NNB+간/XSN
보호국으로	보호국/NNG+으로/JKB
유지한	유지/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
합병하자고	합병/NNG+하/XSV+자고/EC
주장해	주장/NNG+하/XSV+아/EC
친일파	친일파/NNG
단체	단체/NNG
일진회의	일진회/NNP+의/JKG
즉각	즉각/MAG
합병론과	합병/NNG+론/XSN+과/JKB
대립했다.	대립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.342.4.5
이런 정치적 암투 와중에 병을 얻어 1910년 5월 통감에서 물러났고, 한일병합 직후인 9월 숨졌다.

이런	이런/MMD
정치적	정치/NNG+적/XSN
암투	암투/NNG
와중에	와중/NNG+에/JKB
병을	병/NNG+을/JKO
얻어	얻/VV+어/EC
1910년	1910/SN+년/NNB
5월	5/SN+월/NNB
통감에서	통감/NNG+에서/JKB
물러났고,	물러나/VV+았/EP+고/EC+,/SP
한일병합	한일/NNP+병합/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
9월	9/SN+월/NNB
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.342.4.6
더불어 석굴암 이전도 흐지부지되었으니, 조선병합을 둘러싼 권력 다툼이 비극을 막은 격이다.

더불어	더불/VV+어/EC
석굴암	석굴암/NNP
이전도	이전/NNG+도/JX
흐지부지되었으니,	흐지부지/MAG+되/XSV+었/EP+으니/EC+,/SP
조선병합을	조선/NNP+병합/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
권력	권력/NNG
다툼이	다툼/NNG+이/JKS
비극을	비극/NNG+을/JKO
막은	막/VV+은/ETM
격이다.	격/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.342.5.1
103년 전 오늘은 소네가 조선 통감에 임명된 날이다.

103년	103/SN+년/NNB
전	전/NNG
오늘은	오늘/NNG+은/JX
소네가	소네/NNP+가/JKS
조선	조선/NNP
통감에	통감/NNG+에/JKB
임명된	임명/NNG+되/XSV+ㄴ/ETM
날이다.	날/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.342.5.2
그의 취임과 함께 이 땅 문화유산들의 암흑기는 시작되었다.

그의	그/NP+의/JKG
취임과	취임/NNG+과/JKB
함께	함께/MAG
이	이/MMD
땅	땅/NNG
문화유산들의	문화유산/NNG+들/XSN+의/JKG
암흑기는	암흑기/NNG+는/JX
시작되었다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.342.5.3
석굴암을 불구로 만든 일본의 전직 외교관을 우리는 기억해야 한다.

석굴암을	석굴암/NNP+을/JKO
불구로	불구/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
일본의	일본/NNP+의/JKG
전직	전직/NNG
외교관을	외교관/NNG+을/JKO
우리는	우리/NP+는/JX
기억해야	기억/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


