# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.222
metadata : {}


# id : NWRW1800000040.222.1.1
지느러미로 걸었을까 실러캔스 7천만년의 비밀

지느러미로	지느러미/NNG+로/JKB
쓰기를	쓰/VV+기/ETN+를/JKO
꺼린다.	꺼리/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.222.5.3
진화가 멈춘다는 게 있을 수 있는 일인가.

진화가	진화/NNG+가/JKS
멈춘다는	멈추/VV+ㄴ다는/ETM
게	거/NNB+이/JKS
있을	있/VA+을/ETM
수	수/NNB
있는	있/VA+는/ETM
일인가.	일/NNG+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000040.222.6.1
정작 이 말을 처음 만든 이는 찰스 다윈이다.

정작	정작/MAG
이	이/MMD
말을	말/NNG+을/JKO
처음	처음/NNG
만든	만들/VV+ㄴ/ETM
이는	이/NNB+는/JX
찰스	찰스/NNP
다윈이다.	다윈/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000040.222.6.2
그는 <종의 기원>에서 “담수에는… 철갑상어를 비롯해 오리너구리와 폐어 같은 특이한 생물도 산다.

그는	그/NP+는/JX
<종의	</SS+종/NNG+의/JKG
기원>에서	기원/NNG+>/SS+에서/JKB
“담수에는…	“/SS+담수/NNG+에/JKB+는/JX+…/SE
철갑상어를	철갑상어/NNG+를/JKO
비롯해	비롯하/VV+아/EC
오리너구리와	오리너구리/NNG+와/JC
폐어	폐어/NNG
같은	같/VA+은/ETM
특이한	특이/NNG+하/XSA+ㄴ/ETM
생물도	생물/NNG+도/JX
산다.	살/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.222.6.3
… 이런 특이한 형태를 살아있는 화석이라 불러도 될 것이다.

…	…/SE
이런	이런/MMD
특이한	특이/NNG+하/XSA+ㄴ/ETM
형태를	형태/NNG+를/JKO
살아있는	살/VV+아/EC+있/VX+는/ETM
화석이라	화석/NNG+이/VCP+라/EC
불러도	부르/VV+어도/EC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.222.6.4
이들은 한정된 공간에 서식해 경쟁이 심하지 않았기 때문에 오늘날까지 살아남은 것이다”라고 썼다.

이들은	이/NP+들/XSN+은/JX
한정된	한정/NNG+되/XSV+ㄴ/ETM
공간에	공간/NNG+에/JKB
서식해	서식/NNG+하/XSV+아/EC
경쟁이	경쟁/NNG+이/JKS
심하지	심하/VA+지/EC
않았기	않/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
오늘날까지	오늘날/NNG+까지/JX
살아남은	살아남/VV+은/ETM
것이다”라고	것/NNB+이/VCP+다/EF+”/SS+라고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.222.7.1
최근 여러 나라의 과학자들이 실러캔스의 게놈(유전체)을 해독해 <네이처>에 발표했다.

최근	최근/NNG
여러	여러/MMN
나라의	나라/NNG+의/JKG
과학자들이	과학자/NNG+들/XSN+이/JKS
실러캔스의	실러캔스/NNG+의/JKG
게놈(유전체)을	게놈/NNG+(/SS+유전체/NNG+)/SS+을/JKO
해독해	해독/NNG+하/XSV+아/EC
<네이처>에	</SS+네이처/NNP+>/SS+에/JKB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.222.7.2
연구 결과 과연 이 물고기는 다른 동물보다 아주 천천히 진화해 왔음이 분명해졌다.

연구	연구/NNG
결과	결과/NNG
과연	과연/MAG
이	이/MMD
물고기는	물고기/NNG+는/JX
다른	다른/MMD
동물보다	동물/NNG+보다/JKB
아주	아주/MAG
천천히	천천히/MAG
진화해	진화/NNG+하/XSV+아/EC
왔음이	오/VX+았/EP+음/ETN+이/JKS
분명해졌다.	분명/MAG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.222.8.1
아프리카 실러캔스와 종은 다르지만 형태는 매우 비슷한 또다른 실러캔스가 1999년 인도네시아에서 발견됐다.

아프리카	아프리카/NNP
실러캔스와	실러캔스/NNG+와/JKB
종은	종/NNG+은/JX
다르지만	다르/VA+지만/EC
형태는	형태/NNG+는/JX
매우	매우/MAG
비슷한	비슷하/VA+ㄴ/ETM
또다른	또/MAG+다른/MMD
실러캔스가	실러캔스/NNG+가/JKS
1999년	1999/SN+년/NNB
인도네시아에서	인도네시아/NNP+에서/JKB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.222.8.2
두 종은 사람과 침팬지의 조상이 진화 계통에서 갈라진 것과 비슷한 시기인 약 600만년 전에 다른 진화의 길로 접어들었다.

두	두/MMN
종은	종/NNG+은/JX
사람과	사람/NNG+과/JC
침팬지의	침팬지/NNG+의/JKG
조상이	조상/NNG+이/JKS
진화	진화/NNG
계통에서	계통/NNG+에서/JKB
갈라진	갈라지/VV+ㄴ/ETM
것과	것/NNB+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
시기인	시기/NNG+이/VCP+ㄴ/ETM
약	약/MMA
600만년	600/SN+만/NR+년/NNB
전에	전/NNG+에/JKB
다른	다른/MMD
진화의	진화/NNG+의/JKG
길로	길/NNG+로/JKB
접어들었다.	접어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.222.8.3
그런데 이번에 인도네시아와 아프리카 실러캔스의 혹스 유전자 차이를 분석했더니 사람과 침팬지 차이보다 11분의 1에 지나지 않았다.

그런데	그런데/MAJ
이번에	이번/NNG+에/JKB
인도네시아와	인도네시아/NNP+와/JC
아프리카	아프리카/NNP
실러캔스의	실러캔스/NNG+의/JKG
혹스	혹스/NNG
유전자	유전자/NNG
차이를	차이/NNG+를/JKO
분석했더니	분석/NNG+하/XSV+았/EP+더니/EC
사람과	사람/NNG+과/JKB
침팬지	침팬지/NNG
차이보다	차이/NNG+보다/JKB
11분의	11/SN+분/XSN+의/JKG
1에	1/SN+에/JKB
지나지	지나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.222.9.1
연구진은 이처럼 실러캔스의 유전자 변화가 적은 이유를 변화가 필요 없는 서식환경과 관련이 있을 것으로 추정했다.

연구진은	연구진/NNG+은/JX
이처럼	이/NP+처럼/JKB
실러캔스의	실러캔스/NNG+의/JKG
유전자	유전자/NNG
변화가	변화/NNG+가/JKS
적은	적/VA+은/ETM
이유를	이유/NNG+를/JKO
필요	필요/NNG
없는	없/VA+는/ETM
서식환경과	서식/NNG+환경/NNG+과/JKB
관련이	관련/NNG+이/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
추정했다.	추정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.222.9.2
이 물고기는 낮에는 수심 170m의 어두운 바다 밑 동굴 속에 쉬다가 밤에 해저 절벽을 따라 표면에 나와 다른 물고기를 잡아먹는다.

이	이/MMD
물고기는	물고기/NNG+는/JX
낮에는	낮/NNG+에/JKB+는/JX
수심	수심/NNG
170m의	170/SN+m/SW+의/JKG
어두운	어둡/VA+ㄴ/ETM
바다	바다/NNG
밑	밑/NNG
동굴	동굴/NNG
속에	속/NNG+에/JKB
쉬다가	쉬/VV+다가/EC
밤에	밤/NNG+에/JKB
해저	해저/NNG
절벽을	절벽/NNG+을/JKO
따라	따르/VV+아/EC
표면에	표면/NNG+에/JKB
나와	나오/VV+아/EC
다른	다른/MMD
물고기를	물고기/NNG+를/JKO
잡아먹는다.	잡아먹/VV+는다/EF+./SF


# id : NWRW1800000040.222.9.3
경쟁자가 거의 없어 변화할 이유가 없었다는 것이다.

경쟁자가	경쟁자/NNG+가/JKS
거의	거의/MAG
없어	없/VA+어/EC
변화할	변화/NNG+하/XSV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없었다는	없/VA+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.222.10.1
연구자들은 “변화가 느렸을 뿐 진화가 멈췄던 적은 없다”고 밝혔다.

연구자들은	연구자/NNG+들/XSN+은/JX
“변화가	“/SS+변화/NNG+가/JKS
느렸을	느리/VA+었/EP+을/ETM
뿐	뿐/NNB
진화가	진화/NNG+가/JKS
멈췄던	멈추/VV+었/EP+던/ETM
적은	적/NNB+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.222.10.2
사실 이번 연구의 주요 성과는 다른 데 있다.

사실	사실/MAG
이번	이번/NNG
연구의	연구/NNG+의/JKG
주요	주요/NNG
성과는	성과/NNG+는/JX
다른	다른/MMD
데	데/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.222.10.3
실러캔스와 폐어 가운데 누가 육상동물로 진화한 직계인가는 진화학계의 오랜 논란거리였는데, 이번에 폐어 쪽에 손을 들어준 것이다.

실러캔스와	실러캔스/NNG+와/JC
폐어	폐어/NNG
가운데	가운데/NNG
누가	누구/NP+가/JKS
육상동물로	육상/NNG+동물/NNG+로/JKB
진화한	진화/NNG+하/XSV+ㄴ/ETM
직계인가는	직계/NNG+이/VCP+ㄴ가/EF+는/JX
진화학계의	진화학/NNG+계/XSN+의/JKG
오랜	오랜/MMA
논란거리였는데,	논란거리/NNG+이/VCP+었/EP+는데/EC+,/SP
이번에	이번/NNG+에/JKB
쪽에	쪽/NNB+에/JKB
손을	손/NNG+을/JKO
들어준	들/VV+어/EC+주/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.222.11.1
하지만 폐어의 유전자는 너무나 복잡하고 수가 많아 당분간 실러캔스는 육상동물 진화를 연구하는 주역의 자리를 내놓지 않을 전망이다.

하지만	하지만/MAJ
폐어의	폐어/NNG+의/JKG
유전자는	유전자/NNG+는/JX
너무나	너무나/MAG
복잡하고	복잡하/VA+고/EC
수가	수/NNG+가/JKS
많아	많/VA+아/EC
당분간	당분간/MAG
실러캔스는	실러캔스/NNG+는/JX
육상동물	육상/NNG+동물/NNG
진화를	진화/NNG+를/JKO
연구하는	연구/NNG+하/XSV+는/ETM
주역의	주역/NNG+의/JKG
자리를	자리/NNG+를/JKO
내놓지	내놓/VV+지/EC
않을	않/VX+을/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.222.11.2
실러캔스는 혈액 공급이 잘되는 커다란 알을 뱃속에서 부화시키는 난태생이다.

실러캔스는	실러캔스/NNG+는/JX
혈액	혈액/NNG
공급이	공급/NNG+이/JKS
잘되는	잘/MAG+되/XSV+는/ETM
커다란	커다랗/VA+ㄴ/ETM
알을	알/NNG+을/JKO
뱃속에서	뱃속/NNG+에서/JKB
부화시키는	부화/NNG+시키/XSV+는/ETM
난태생이다.	난태생/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.222.11.3
이런 형질은 나중에 태반으로 진화했을 것이다.

이런	이런/MMD
형질은	형질/NNG+은/JX
나중에	나중/NNG+에/JKB
태반으로	태반/NNG+으로/JKB
진화했을	진화/NNG+하/XSV+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.222.11.4
지금은 심해 동굴에만 살아남았지만 4억년 전 실러캔스의 다른 종은 얕은 웅덩이에서 지느러미를 이용해 걸어다녔을 것이다.

지금은	지금/NNG+은/JX
심해	심해/NNG
동굴에만	동굴/NNG+에/JKB+만/JX
살아남았지만	살아남/VV+았/EP+지만/EC
4억년	4/SN+억/NR+년/NNB
전	전/NNG
실러캔스의	실러캔스/NNG+의/JKG
다른	다른/MMD
종은	종/NNG+은/JX
얕은	얕/VA+은/ETM
웅덩이에서	웅덩이/NNG+에서/JKB
지느러미를	지느러미/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
걸어다녔을	걸/VV+어/EC+다니/VV+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


