# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.326
metadata : {}


# id : NWRW1800000046.326.1.1
"사드, 주변국이 영향력 행사 안돼"

"사드,	"/SS+사드/NNG+,/SP
대한	대하/VV+ㄴ/ETM
억제책	억제책/NNG
관점에서	관점/NNG+에서/JKB
비롯된	비롯되/VV+ㄴ/ETM
사안"이라며	사안/NNG+"/SS+이/VCP+라며/EC
"사드	"/SS+사드/NNG
배치에	배치/NNG+에/JKB
대해	대하/VV+아/EC
미국	미국/NNP
정부가	정부/NNG+가/JKS
협의를	협의/NNG+를/JKO
요청해오면	요청/NNG+하/XSV+아/EC+오/VX+면/EC
군사적	군사/NNG+적/XSN
효용성과	효용/NNG+성/XSN+과/JC
국가	국가/NNG
안보를	안보/NNG+를/JKO
고려해	고려/NNG+하/XSV+아/EC
우리	우리/NP
주도로	주도/NNG+로/JKB
판단하고	판단/NNG+하/XSV+고/EC
결정할	결정/NNG+하/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.326.5.2
중국이 반대하더라도 북핵 대응에 필요하다고 판단되면 사드 배치 결정을 할 수도 있다는 뜻으로 해석된다.

중국이	중국/NNP+이/JKS
반대하더라도	반대/NNG+하/XSV+더라도/EC
북핵	북핵/NNG
대응에	대응/NNG+에/JKB
필요하다고	필요/NNG+하/XSA+다고/EC
판단되면	판단/NNG+되/XSV+면/EC
사드	사드/NNG
배치	배치/NNG
결정을	결정/NNG+을/JKO
할	하/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
뜻으로	뜻/NNG+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.326.6.1
러셀 미 국무부 동아태 차관보도 이날 외교부 청사에서 조태용 제1차관 등과 현안을 논의한 뒤 기자들과 만나 "아직 실행되지도 않았고 이론에 그치고 있는 보안장치에 왜 제3국(중국)이 강하게 항의를 하는지 의아하다"고 말했다.

러셀	러셀/NNP
미	미/NNP
국무부	국무부/NNG
동아태	동아태/NNP
차관보도	차관보/NNG+도/JX
이날	이날/NNG
외교부	외교부/NNG
청사에서	청사/NNG+에서/JKB
조태용	조태용/NNP
제1차관	제/XPN+1/SN+차관/NNG
등과	등/NNB+과/JC
현안을	현안/NNG+을/JKO
논의한	논의/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
"아직	"/SS+아직/MAG
실행되지도	실행/NNG+되/XSV+지/EC+도/JX
않았고	않/VX+았/EP+고/EC
이론에	이론/NNG+에/JKB
그치고	그치/VV+고/EC
있는	있/VX+는/ETM
보안장치에	보안/NNG+장치/NNG+에/JKB
왜	왜/MAG
제3국(중국)이	제3국/NNG+(/SS+중국/NNP+)/SS+이/JKS
강하게	강하/VA+게/EC
항의를	항의/NNG+를/JKO
하는지	하/VV+는지/EF
의아하다"고	의아/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.326.6.2
그는 "(한·미) 군 당국으로선 북한의 위협으로부터 한국 정부와 한국인, 미국을 지킬 의무가 있다"며 "한·미 안보동맹하에서 어떤 조치를 취할지는 한국 정부가 정할 몫"이라고 말했다.

그는	그/NP+는/JX
"(한·미)	"/SS+(/SS+한·미/NNP+)/SS
군	군/NNG
당국으로선	당국/NNG+으로서/JKB+ㄴ/JX
북한의	북한/NNP+의/JKG
위협으로부터	위협/NNG+으로부터/JKB
한국	한국/NNP
정부와	정부/NNG+와/JC
한국인,	한국인/NNG+,/SP
미국을	미국/NNP+을/JKO
지킬	지키/VV+ㄹ/ETM
의무가	의무/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"한·미	"/SS+한·미/NNP
안보동맹하에서	안보/NNG+동맹/NNG+하/XSN+에서/JKB
어떤	어떤/MMD
조치를	조치/NNG+를/JKO
취할지는	취하/VV+ㄹ지/EF+는/JX
정부가	정부/NNG+가/JKS
정할	정하/VV+ㄹ/ETM
몫"이라고	몫/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.326.7.1
이와 관련, 중국 외교부 훙레이 대변인은 이날 정례 브리핑을 통해 "한 국가(한국)가 자신의 안전을 도모하려면 반드시 다른 국가(중국)의 안전에 대한 우려와 지역의 평화 안정도 고려해야 한다"고 말했다.

이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
중국	중국/NNP
외교부	외교부/NNG
훙레이	훙레이/NNP
대변인은	대변인/NNG+은/JX
이날	이날/NNG
정례	정례/NNG
브리핑을	브리핑/NNG+을/JKO
통해	통하/VV+아/EC
"한	"/SS+한/MMN
국가(한국)가	국가/NNG+(/SS+한국/NNP+)/SS+가/JKS
자신의	자신/NNG+의/JKG
안전을	안전/NNG+을/JKO
도모하려면	도모/NNG+하/XSV+려면/EC
반드시	반드시/MAG
다른	다른/MMD
국가(중국)의	국가/NNG+(/SS+중국/NNP+)/SS+의/JKG
안전에	안전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려와	우려/NNG+와/JC
지역의	지역/NNG+의/JKG
평화	평화/NNG
안정도	안정/NNG+도/JX
고려해야	고려/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


