# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.305
metadata : {}


# id : NWRW1800000048.305.1.1
인천교육청, 중1 무상급식 예산반영

인천교육청,	인천교육청/NNP+,/SP
50%씩	50/SN+%/SW+씩/XSN
분담해	분담/NNG+하/XSV+아/EC
중학교	중학교/NNG
1학년	1/SN+학년/NNG
2만6천여명에	2/SN+만/NR+6/SN+천/NR+여/XSN+명/NNB+에/JKB
대해	대하/VV+아/EC
우선	우선/MAG
시행하기로	시행/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.305.6.1
이 교육감은 “올해 일부 구·군에서라도 (전면) 시행하려고 예산까지 세웠지만 시의회에서 다른 구·군과의 형평성 문제를 들어 (대신) 중학교 1학년 학생 전체로 확대해 편성했다”고 설명했다.

이	이/NNP
교육감은	교육감/NNG+은/JX
“올해	“/SS+올해/NNG
일부	일부/NNG
구·군에서라도	구/NNG+·/SP+군/NNG+에서/JKB+라도/JX
(전면)	(/SS+전면/NNG+)/SS
시행하려고	시행/NNG+하/XSV+려고/EC
예산까지	예산/NNG+까지/JX
세웠지만	세우/VV+었/EP+지만/EC
시의회에서	시/NNG+의회/NNG+에서/JKB
다른	다른/MMD
구·군과의	구/NNG+·/SP+군/NNG+과/JKB+의/JKG
형평성	형평/NNG+성/XSN
문제를	문제/NNG+를/JKO
들어	들/VV+어/EC
(대신)	(/SS+대신/NNG+)/SS
중학교	중학교/NNG
1학년	1/SN+학년/NNG
학생	학생/NNG
전체로	전체/NNG+로/JKB
확대해	확대/NNG+하/XSV+아/EC
편성했다”고	편성/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.305.6.2
이 교육감은 “중학생 무상급식은 이웃 서울시와 경기도 대부분이 시행중이다.

이	이/NNP
교육감은	교육감/NNG+은/JX
“중학생	“/SS+중학/NNG+생/XSN
무상급식은	무상/NNG+급식/NNG+은/JX
이웃	이웃/NNG
서울시와	서울시/NNP+와/JC
경기도	경기도/NNP
대부분이	대/XPN+부분/NNG+이/JKS
시행중이다.	시행/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.305.6.3
의무교육의 책임을 실현하는 의무급식으로 지자체가 나머지 예산 지원을 못하면 자체 집행할 계획”이라고도 강조했다.

의무교육의	의무/NNG+교육/NNG+의/JKG
책임을	책임/NNG+을/JKO
실현하는	실현/NNG+하/XSV+는/ETM
의무급식으로	의무/NNG+급식/NNG+으로/JKB
지자체가	지자체/NNG+가/JKS
나머지	나머지/NNG
예산	예산/NNG
지원을	지원/NNG+을/JKO
못하면	못/MAG+하/VV+면/EC
자체	자체/NNG
집행할	집행/NNG+하/XSV+ㄹ/ETM
계획”이라고도	계획/NNG+”/SS+이라고/JKQ+도/JX
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.305.7.1
인천지역 중학교 무상급식 비율은 0.3%로 전국에서 가장 낮다.

인천지역	인천지역/NNP
중학교	중학교/NNG
무상급식	무상/NNG+급식/NNG
비율은	비율/NNG+은/JX
0.3%로	0/SN+./SP+3/SN+%/SW+로/JKB
전국에서	전국/NNG+에서/JKB
가장	가장/MAG
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000048.305.7.2
인천시도 중학교 무상급식 시행 여부를 논의하기 위해 시민단체 등이 참여하는 논의기구를 구성중이다.

인천시도	인천시/NNP+도/JX
중학교	중학교/NNG
무상급식	무상/NNG+급식/NNG
시행	시행/NNG
여부를	여부/NNG+를/JKO
논의하기	논의/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
시민단체	시민/NNG+단체/NNG
등이	등/NNB+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
논의기구를	논의/NNG+기구/NNG+를/JKO
구성중이다.	구성/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.305.8.1
시교육청은 누리과정 예산 중 유치원 1년치 지원분 1156억원을 예산안에 반영했지만 어린이집 지원분 1232억원은 포함시키지 않았다.

시교육청은	시/NNG+교육청/NNG+은/JX
누리과정	누리/NNG+과정/NNG
예산	예산/NNG
중	중/NNB
유치원	유치원/NNG
1년치	1/SN+년/NNB+치/NNB
지원분	지원/NNG+분/XSN
1156억원을	1156/SN+억/NR+원/NNB+을/JKO
예산안에	예산안/NNG+에/JKB
반영했지만	반영/NNG+하/XSV+았/EP+지만/EC
어린이집	어린이집/NNG
1232억원은	1232/SN+억/NR+원/NNB+은/JX
포함시키지	포함/NNG+시키/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.305.8.2
영유아 보육비는 보건복지부 소관으로, 중앙정부가 근본적 해결책을 제시해야 한다는 취지다.

영유아	영유아/NNG
보육비는	보육비/NNG+는/JX
보건복지부	보건/NNG+복지부/NNG
소관으로,	소관/NNG+으로/JKB+,/SP
중앙정부가	중앙/NNG+정부/NNG+가/JKS
근본적	근본/NNG+적/XSN
해결책을	해결책/NNG+을/JKO
제시해야	제시/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.305.8.3
시교육청은 이날 2조9461억원 규모의 내년도 인천시 교육비특별회계 예산안을 시의회에 제출했다.

시교육청은	시/NNG+교육청/NNG+은/JX
이날	이날/NNG
2조9461억원	2/SN+조/NR+9461/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
내년도	내년도/NNG
인천시	인천시/NNP
교육비특별회계	교육비/NNG+특별/NNG+회계/NNG
예산안을	예산안/NNG+을/JKO
시의회에	시/NNG+의회/NNG+에/JKB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


