# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.391
metadata : {}


# id : NWRW1800000028.391.1.1
‘통역의 달인’ 42명, 숨가쁜 릴레이통역

‘통역의	‘/SS+통역/NNG+의/JKG
인사들이	인사/NNG+들/XSN+이/JKS
참석하며,	참석/NNG+하/XSV+며/EC+,/SP
이들의	이/NP+들/XSN+의/JKG
언어가	언어/NNG+가/JKS
다르다보니,	다르/VA+다/EC+보/VX+니/EC+,/SP
‘매머드급’	‘/SS+매머드급/NNG+’/SS
통역요원들이	통역/NNG+요원/NNG+들/XSN+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.391.3.1
통역은 영어를 중심으로 ‘이중 동시통역’(릴레이 통역) 방식으로 이뤄진다.

통역은	통역/NNG+은/JX
영어를	영어/NNP+를/JKO
중심으로	중심/NNG+으로/JKB
‘이중	‘/SS+이중/NNG
동시통역’(릴레이	동시통역/NNG+’/SS+(/SS+릴레이/NNG
통역)	통역/NNG+)/SS
방식으로	방식/NNG+으로/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.391.3.2
예컨대 이명박 대통령이 한국어로 말하면 한국 쪽 통역사가 이를 곧바로 영어로 동시통역하고, 이를 받아 다른 13개 언어권의 통역사들이 각국 정상들에게 다시 동시통역을 해 ‘시차 없는 의사소통’을 돕는다.

예컨대	예컨대/MAG
이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
한국어로	한국어/NNP+로/JKB
말하면	말/NNG+하/XSV+면/EC
한국	한국/NNP
쪽	쪽/NNB
통역사가	통역사/NNG+가/JKS
이를	이/NP+를/JKO
곧바로	곧바로/MAG
영어로	영어/NNP+로/JKB
동시통역하고,	동시통역/NNG+하/XSV+고/EC+,/SP
받아	받/VV+아/EC
다른	다른/MMD
13개	13/SN+개/NNB
언어권의	언어/NNG+권/XSN+의/JKG
통역사들이	통역사/NNG+들/XSN+이/JKS
각국	각국/NNG
정상들에게	정상/NNG+들/XSN+에게/JKB
다시	다시/MAG
동시통역을	동시통역/NNG+을/JKO
해	하/VV+아/EC
‘시차	‘/SS+시차/NNG
없는	없/VA+는/ETM
의사소통’을	의사소통/NNG+’/SS+을/JKO
돕는다.	돕/VV+는다/EF+./SF


# id : NWRW1800000028.391.3.3
통역사들이 주로 영국식 영어에 익숙한 유럽 국가들에서 오는 데다 다자회의의 관례를 고려해, 이번 주요 20개국 회의에서도 영국식 영어가 통용된다.

통역사들이	통역사/NNG+들/XSN+이/JKS
주로	주로/MAG
영국식	영국식/NNG
영어에	영어/NNP+에/JKB
익숙한	익숙하/VA+ㄴ/ETM
유럽	유럽/NNP
국가들에서	국가/NNG+들/XSN+에서/JKB
오는	오/VV+는/ETM
데다	데/NNB+다/JX
다자회의의	다자/NNG+회의/NNG+의/JKG
관례를	관례/NNG+를/JKO
고려해,	고려/NNG+하/XSV+아/EC+,/SP
이번	이번/NNG
주요	주요/NNG
20개국	20/SN+개국/NNB
회의에서도	회의/NNG+에서/JKB+도/JX
영어가	영어/NNP+가/JKS
통용된다.	통용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.391.4.1
아시아태평양경제협력체(APEC) 등 대부분의 다자 국제회의는 해당국 정상들이 통역요원을 데리고 오지만, 주요 8개국(G8) 정상회의와 이 회의의 의전을 답습한 주요 20개국 회의는 주최국이 통역사를 조직하는 게 관행으로 굳어져 있다.

아시아태평양경제협력체(APEC)	아시아태평양경제협력체/NNP+(/SS+APEC/SL+)/SS
등	등/NNB
대부분의	대/XPN+부분/NNG+의/JKG
다자	다자/NNG
국제회의는	국제회의/NNG+는/JX
해당국	해당국/NNG
정상들이	정상/NNG+들/XSN+이/JKS
통역요원을	통역/NNG+요원/NNG+을/JKO
데리고	데리/VV+고/EC
오지만,	오/VV+지만/EC+,/SP
주요	주요/NNG
8개국(G8)	8/SN+개국/NNB+(/SS+G/SL+8/SN+)/SS
정상회의와	정상/NNG+회의/NNG+와/JKB
이	이/MMD
회의의	회의/NNG+의/JKG
의전을	의전/NNG+을/JKO
답습한	답습/NNG+하/XSV+ㄴ/ETM
20개국	20/SN+개국/NNB
회의는	회의/NNG+는/JX
주최국이	주최국/NNG+이/JKS
통역사를	통역사/NNG+를/JKO
조직하는	조직/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
관행으로	관행/NNG+으로/JKB
굳어져	굳어지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.391.4.2
이런 이유로 이번 정상회의 준비위원회는 지난 3월부터 한국어 통역요원 3명을 제외한 39명의 통역사를 외국에서 직접 섭외하고, 각국 정부한테 동의를 받는 작업을 해왔다.

이런	이런/MMD
이유로	이유/NNG+로/JKB
이번	이번/NNG
정상회의	정상/NNG+회의/NNG
준비위원회는	준비/NNG+위원회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
3월부터	3/SN+월/NNB+부터/JX
한국어	한국어/NNP
통역요원	통역/NNG+요원/NNG
3명을	3/SN+명/NNB+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
39명의	39/SN+명/NNB+의/JKG
통역사를	통역사/NNG+를/JKO
외국에서	외국/NNG+에서/JKB
직접	직접/MAG
섭외하고,	섭외/NNG+하/XSV+고/EC+,/SP
각국	각국/NNG
정부한테	정부/NNG+한테/JKB
동의를	동의/NNG+를/JKO
받는	받/VV+는/ETM
작업을	작업/NNG+을/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.391.5.1
통역 관련 일을 총괄지휘하고 있는 이진영 이화여대 통역번역대학원 교수는 “통역사 조직 작업은 한국으로선 처음 해본 일이라 큰 도전이었지만 다행히 명단을 본 각국 정부에서 만족해했다”며 “특히, 통역의 종주국으로 자부하는 프랑스가 단번에 좋다고 했다”고 전했다.

통역	통역/NNG
관련	관련/NNG
일을	일/NNG+을/JKO
총괄지휘하고	총괄/NNG+지휘/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
이진영	이진영/NNP
이화여대	이화여대/NNP
통역번역대학원	통역/NNG+번역/NNG+대학원/NNG
교수는	교수/NNG+는/JX
“통역사	“/SS+통역사/NNG
조직	조직/NNG
작업은	작업/NNG+은/JX
한국으로선	한국/NNP+으로서/JKB+ㄴ/JX
처음	처음/NNG
해본	하/VV+아/EC+보/VX+ㄴ/ETM
일이라	일/NNG+이/VCP+라/EC
큰	크/VA+ㄴ/ETM
도전이었지만	도전/NNG+이/VCP+었/EP+지만/EC
다행히	다행히/MAG
명단을	명단/NNG+을/JKO
본	보/VV+ㄴ/ETM
각국	각국/NNG
정부에서	정부/NNG+에서/JKB
만족해했다”며	만족/NNG+하/XSA+아/EC+하/VX+았/EP+다/EF+”/SS+며/EC
“특히,	“/SS+특히/MAG+,/SP
통역의	통역/NNG+의/JKG
종주국으로	종주국/NNG+으로/JKB
자부하는	자부/NNG+하/XSV+는/ETM
프랑스가	프랑스/NNP+가/JKS
단번에	단번에/MAG
좋다고	좋/VA+다고/EC
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


