# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.121
metadata : {}


# id : NWRW1800000041.121.1.1
[책의 향기/글로벌 북 카페]인류는 왜 지구의 생명을 멸종시키고 있는가

[책의	[/SS+책/NNG+의/JKG
온난화가	온난/NNG+화/XSN+가/JKS
심화되면서	심화/NNG+되/XSV+면서/EC
멸종의	멸종/NNG+의/JKG
속도는	속도/NNG+는/JX
더욱	더욱/MAG
빨라지고	빠르/VA+아/EC+지/VX+고/EC
있다고	있/VX+다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.121.5.4
양서류의 3분의 1이 멸종 위기에 처해 ‘제2의 공룡’이 될 가능성이 있다는 점을 비롯해 5000여 종의 곤충과 박쥐 등 지구상에서 사라져가는 생명체들을 소개한다.

양서류의	양서/NNG+류/XSN+의/JKG
3분의	3/SN+분/XSN+의/JKG
1이	1/SN+이/JKS
멸종	멸종/NNG
위기에	위기/NNG+에/JKB
처해	처하/VV+아/EC
‘제2의	‘/SS+제/XPN+2/SN+의/JKG
공룡’이	공룡/NNG+’/SS+이/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
비롯해	비롯하/VV+아/EC
5000여	5000/SN+여/XSN
종의	종/NNG+의/JKG
곤충과	곤충/NNG+과/JC
박쥐	박쥐/NNG
등	등/NNB
지구상에서	지구/NNG+상/XSN+에서/JKB
사라져가는	사라지/VV+어/EC+가/VX+는/ETM
생명체들을	생명체/NNG+들/XSN+을/JKO
소개한다.	소개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.121.5.5
특히 2004년 과학잡지 네이처에 소개된 ‘2050년까지 지구온난화로 수백만 종의 생명이 사라질 것’이라는 화제의 보고서를 자세히 다룬다.

특히	특히/MAG
2004년	2004/SN+년/NNB
과학잡지	과학/NNG+잡지/NNG
네이처에	네이처/NNP+에/JKB
소개된	소개/NNG+되/XSV+ㄴ/ETM
‘2050년까지	‘/SS+2050/SN+년/NNB+까지/JX
지구온난화로	지구/NNG+온난/NNG+화/XSN+로/JKB
수백만	수백만/NR
종의	종/NNG+의/JKG
생명이	생명/NNG+이/JKS
사라질	사라지/VV+ㄹ/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
화제의	화제/NNG+의/JKG
보고서를	보고서/NNG+를/JKO
자세히	자세히/MAG
다룬다.	다루/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.121.6.1
이 책이 미국에서 높은 관심을 모으는 것은 창조론과 이어지는 ‘격변론’과 ‘진화론’을 대비시키며 멸종의 역사를 다뤘기 때문이다.

이	이/MMD
책이	책/NNG+이/JKS
미국에서	미국/NNP+에서/JKB
높은	높/VA+은/ETM
관심을	관심/NNG+을/JKO
모으는	모으/VV+는/ETM
것은	것/NNB+은/JX
창조론과	창조/NNG+론/XSN+과/JKB
이어지는	이어지/VV+는/ETM
‘격변론’과	‘/SS+격변/NNG+론/XSN+’/SS+과/JC
‘진화론’을	‘/SS+진화/NNG+론/XSN+’/SS+을/JKO
대비시키며	대비/NNG+시키/XSV+며/EC
멸종의	멸종/NNG+의/JKG
역사를	역사/NNG+를/JKO
다뤘기	다루/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.121.6.2
저자는 갑자기 생명이 멸종될 수 있다는 격변론이 나오기 시작한 게 불과 200여 년 전이라고 말한다.

저자는	저자/NNG+는/JX
갑자기	갑자기/MAG
생명이	생명/NNG+이/JKS
멸종될	멸종/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
격변론이	격변/NNG+론/XSN+이/JKS
나오기	나오/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
불과	불과/MAG
200여	200/SN+여/XSN
년	년/NNB
전이라고	전/NNG+이/VCP+라고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.121.6.3
멸종된 생물종을 최초로 본격 조명한 학자가 1800년대 비교해부학의 창시자인 프랑스 박물학자인 조르주 퀴비에라는 것이다.

멸종된	멸종/NNG+되/XSV+ㄴ/ETM
생물종을	생물종/NNG+을/JKO
최초로	최초/NNG+로/JKB
본격	본격/NNG
조명한	조명/NNG+하/XSV+ㄴ/ETM
학자가	학자/NNG+가/JKS
1800년대	1800/SN+년대/NNB
비교해부학의	비교/NNG+해부학/NNG+의/JKG
창시자인	창시자/NNG+이/VCP+ㄴ/ETM
프랑스	프랑스/NNP
박물학자인	박물학자/NNG+이/VCP+ㄴ/ETM
조르주	조르주/NNP
퀴비에라는	퀴비에/NNP+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.121.6.4
퀴비에는 구약성서에 나오는 ‘노아의 방주’와 각종 신화가 사실일 수 있다고 주장했다.

퀴비에는	퀴비에/NNP+는/JX
구약성서에	구약/NNG+성서/NNG+에/JKB
나오는	나오/VV+는/ETM
‘노아의	‘/SS+노아/NNP+의/JKG
방주’와	방주/NNG+’/SS+와/JC
각종	각종/NNG
신화가	신화/NNG+가/JKS
사실일	사실/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.121.6.5
반면 같은 시대를 살았던 영국의 지질학자인 찰스 라이엘과 찰스 다윈은 이를 받아들이지 않았다.

반면	반면/NNG
같은	같/VA+은/ETM
시대를	시대/NNG+를/JKO
살았던	살/VV+았/EP+던/ETM
영국의	영국/NNP+의/JKG
지질학자인	지질학자/NNG+이/VCP+ㄴ/ETM
찰스	찰스/NNP
라이엘과	라이엘/NNP+과/JC
다윈은	다윈/NNP+은/JX
이를	이/NP+를/JKO
받아들이지	받아들이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.121.7.1
격변론자에 가까운 저자는 인류가 현재 진행되는 생명 멸종의 원흉이지만 거꾸로 이를 바꿔놓을 수 있는 능력을 가진 유일한 생명체라는 점을 강조한다.

격변론자에	격변론자/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
저자는	저자/NNG+는/JX
인류가	인류/NNG+가/JKS
현재	현재/MAG
진행되는	진행/NNG+되/XSV+는/ETM
생명	생명/NNG
멸종의	멸종/NNG+의/JKG
원흉이지만	원흉/NNG+이/VCP+지만/EC
거꾸로	거꾸로/MAG
이를	이/NP+를/JKO
바꿔놓을	바꾸/VV+어/EC+놓/VX+을/ETM
수	수/NNB
있는	있/VA+는/ETM
능력을	능력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
생명체라는	생명체/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.121.7.2
단기적인 이익을 뿌리치고 생명의 멸종을 막는 행동을 지금부터라도 할 것이냐 말 것이냐의 선택은 바로 우리 인간들에게 달려 있다는 것.

단기적인	단기/NNG+적/XSN+이/VCP+ㄴ/ETM
이익을	이익/NNG+을/JKO
뿌리치고	뿌리치/VV+고/EC
생명의	생명/NNG+의/JKG
멸종을	멸종/NNG+을/JKO
막는	막/VV+는/ETM
행동을	행동/NNG+을/JKO
지금부터라도	지금/NNG+부터/JX+이/VCP+라도/EC
할	하/VV+ㄹ/ETM
것이냐	것/NNB+이/VCP+냐/EF
말	말/VV+ㄹ/ETM
것이냐의	것/NNB+이/VCP+냐/EF+의/JKG
선택은	선택/NNG+은/JX
바로	바로/MAG
우리	우리/NP
인간들에게	인간/NNG+들/XSN+에게/JKB
달려	달리/VV+어/EC
있다는	있/VX+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.121.7.3
다행스럽게도 인류의 역사는 잘못된 것을 바로잡아온 결정으로 점철되어 왔다는 점에서 희망적이라는 얘기도 빼놓지 않았다.

다행스럽게도	다행/NNG+스럽/XSA+게/EC+도/JX
인류의	인류/NNG+의/JKG
역사는	역사/NNG+는/JX
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
바로잡아온	바로잡/VV+아/EC+오/VX+ㄴ/ETM
결정으로	결정/NNG+으로/JKB
점철되어	점철/NNG+되/XSV+어/EC
왔다는	오/VX+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
희망적이라는	희망/NNG+적/XSN+이/VCP+라는/ETM
얘기도	얘기/NNG+도/JX
빼놓지	빼놓/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


