# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.335
metadata : {}


# id : NWRW1800000021.335.1.1
세계증시 ‘미국發 훈풍’ 불까

세계증시	세계/NNG+증시/NNG
회복됐기	회복/NNG+되/XSV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
다우지수의	다우/NNP+지수/NNG+의/JKG
상승세는	상승세/NNG+는/JX
세계	세계/NNG
증시에	증시/NNG+에/JKB
제한적인	제한/NNG+적/XSN+이/VCP+ㄴ/ETM
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
선에	선/NNG+에/JKB
그칠	그치/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망도	전망/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.335.4.1
○ ‘어닝 서프라이즈’로 투자심리 개선

○	○/SW
‘어닝	‘/SS+어닝/NNG
서프라이즈’로	서프라이즈/NNG+’/SS+로/JKB
투자심리	투자/NNG+심리/NNG
개선	개선/NNG


# id : NWRW1800000021.335.5.1
알코아, 인텔, JP모간체이스, 골드만삭스 등 지금까지 실적을 발표한 미국 주요 기업들은 잇달아 시장 기대치를 뛰어넘는 성적표를 내놓았다.

알코아,	알코아/NNP+,/SP
인텔,	인텔/NNP+,/SP
JP모간체이스,	JP모간체이스/NNP+,/SP
골드만삭스	골드만삭스/NNP
등	등/NNB
지금까지	지금/NNG+까지/JX
실적을	실적/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
미국	미국/NNP
주요	주요/NNG
기업들은	기업/NNG+들/XSN+은/JX
잇달아	잇달/VV+아/EC
시장	시장/NNG
기대치를	기대/NNG+치/XSN+를/JKO
뛰어넘는	뛰어넘/VV+는/ETM
성적표를	성적표/NNG+를/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.335.5.2
금융위기의 심리적 충격에서 벗어나 관망하던 투자자들은 기업들의 실적 개선을 확인하고 다시 공격적인 투자에 나서는 모습이다.

금융위기의	금융/NNG+위기/NNG+의/JKG
심리적	심리/NNG+적/XSN
충격에서	충격/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
관망하던	관망/NNG+하/XSV+던/ETM
투자자들은	투자자/NNG+들/XSN+은/JX
기업들의	기업/NNG+들/XSN+의/JKG
실적	실적/NNG
개선을	개선/NNG+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
다시	다시/MAG
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
투자에	투자/NNG+에/JKB
나서는	나서/VV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.335.6.1
미국의 9월 비농업 부문 신규고용은 전달보다 26만3000명 줄어 여전히 좋지 않다.

미국의	미국/NNP+의/JKG
9월	9/SN+월/NNB
비농업	비/XPN+농업/NNG
부문	부문/NNG
신규고용은	신규/NNG+고용/NNG+은/JX
전달보다	전달/NNG+보다/JKB
26만3000명	26/SN+만/NR+3000/SN+명/NNB
줄어	줄/VV+어/EC
여전히	여전히/MAG
좋지	좋/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.335.6.2
하지만 올 1월 74만1000명 줄어든 것에 비하면 감소 폭이 크게 축소된 상태다.

하지만	하지만/MAJ
올	올/NNG
1월	1/SN+월/NNB
74만1000명	74/SN+만/NR+1000/SN+명/NNB
줄어든	줄어들/VV+ㄴ/ETM
것에	것/NNB+에/JKB
비하면	비/NNG+하/XSV+면/EC
감소	감소/NNG
폭이	폭/NNG+이/JKS
크게	크/VA+게/EC
축소된	축소/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.335.6.3
특히 미국의 산업생산 가동률은 내년 초까지 지속적으로 오를 것이라는 전망이 지배적이다.

특히	특히/MAG
미국의	미국/NNP+의/JKG
산업생산	산업/NNG+생산/NNG
가동률은	가동/NNG+률/XSN+은/JX
내년	내년/NNG
초까지	초/NNB+까지/JX
지속적으로	지속/NNG+적/XSN+으로/JKB
오를	오르/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
지배적이다.	지배/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000021.335.6.4
지난 1년간 기업들이 생산을 줄인 데다 정부가 자동차판매 지원책 등 다양한 경기부양책을 내놓아 기업의 재고분이 크게 줄었기 때문이다.

지난	지나/VV+ㄴ/ETM
1년간	1/SN+년/NNB+간/XSN
기업들이	기업/NNG+들/XSN+이/JKS
생산을	생산/NNG+을/JKO
줄인	줄이/VV+ㄴ/ETM
데다	데/NNB+다/JX
정부가	정부/NNG+가/JKS
자동차판매	자동차/NNG+판매/NNG
지원책	지원책/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
경기부양책을	경기/NNG+부양책/NNG+을/JKO
내놓아	내놓/VV+아/EC
기업의	기업/NNG+의/JKG
재고분이	재고/NNG+분/XSN+이/JKS
크게	크/VA+게/EC
줄었기	줄/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.335.7.1
미래에셋자산운용 구재상 사장은 “단기적으로는 미국의 주가가 등락을 거듭할 수 있다”며 “다만 장기적으로 보면 미국 기업들의 실적이 개선되고 경기지표들도 좋아지고 있어 주가가 상승할 것으로 본다”고 말했다.

미래에셋자산운용	미래에셋자산운용/NNP
구재상	구재상/NNP
사장은	사장/NNG+은/JX
“단기적으로는	“/SS+단기/NNG+적/XSN+으로/JKB+는/JX
미국의	미국/NNP+의/JKG
주가가	주가/NNG+가/JKS
등락을	등락/NNG+을/JKO
거듭할	거듭/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“다만	“/SS+다만/MAG
장기적으로	장기/NNG+적/XSN+으로/JKB
보면	보/VV+면/EC
미국	미국/NNP
기업들의	기업/NNG+들/XSN+의/JKG
실적이	실적/NNG+이/JKS
개선되고	개선/NNG+되/XSV+고/EC
경기지표들도	경기/NNG+지표/NNG+들/XSN+도/JX
좋아지고	좋/VA+아/EC+지/VX+고/EC
있어	있/VX+어/EC
상승할	상승/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.335.8.1
하지만 미국발 훈풍은 제한적일 수 있다.

하지만	하지만/MAJ
미국발	미국/NNP+발/XSN
훈풍은	훈풍/NNG+은/JX
제한적일	제한/NNG+적/XSN+이/VCP+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.335.8.2
코스피가 이미 7월 1,500 선을 돌파하며 크게 회복됐지만 미 증시는 이제 가까스로 위기 이전 수준을 되찾았기 때문이다.

코스피가	코스피/NNP+가/JKS
이미	이미/MAG
7월	7/SN+월/NNB
1,500	1/SN+,/SP+500/SN
선을	선/NNG+을/JKO
돌파하며	돌파/NNG+하/XSV+며/EC
크게	크/VA+게/EC
회복됐지만	회복/NNG+되/XSV+었/EP+지만/EC
미	미/NNP
증시는	증시/NNG+는/JX
이제	이제/MAG
가까스로	가까스로/MAG
위기	위기/NNG
이전	이전/NNG
수준을	수준/NNG+을/JKO
되찾았기	되찾/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.335.8.3
미국의 회복 속도가 아시아권보다 1분기가량 늦은 셈이다.

미국의	미국/NNP+의/JKG
회복	회복/NNG
속도가	속도/NNG+가/JKS
아시아권보다	아시아/NNP+권/XSN+보다/JKB
1분기가량	1/SN+분기/NNG+가량/XSN
늦은	늦/VA+은/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.335.8.4
HMC증권 이종우 리서치센터장은 “한국이 미리 올랐기 때문에 추가 상승의 여력이 크지는 않다”고 말했다.

HMC증권	HMC증권/NNP
이종우	이종우/NNP
리서치센터장은	리서치/NNG+센터장/NNG+은/JX
“한국이	“/SS+한국/NNP+이/JKS
미리	미리/MAG
올랐기	오르/VV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
추가	추가/NNG
상승의	상승/NNG+의/JKG
여력이	여력/NNG+이/JKS
크지는	크/VA+지/EC+는/JX
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.335.9.1
실적 공개를 앞둔 미국 금융회사와 전기전자 기업의 발표도 변수가 될 수 있다.

실적	실적/NNG
공개를	공개/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
미국	미국/NNP
금융회사와	금융/NNG+회사/NNG+와/JC
전기전자	전기/NNG+전자/NNG
기업의	기업/NNG+의/JKG
발표도	발표/NNG+도/JX
변수가	변수/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.335.9.2
IBK투자증권 임진균 리서치센터장은 “뱅크오브아메리카(BoA), 씨티은행 등 상업은행과 IBM 등의 실적이 나쁠 것으로 예상된다”며 “다만 이 기업들이 적자폭을 예상치보다 줄인다면 긍정적인 신호로 해석할 수도 있다”고 말했다.

IBK투자증권	IBK투자증권/NNP
임진균	임진균/NNP
리서치센터장은	리서치/NNG+센터장/NNG+은/JX
“뱅크오브아메리카(BoA),	“/SS+뱅크오브아메리카/NNP+(/SS+BoA/SL+)/SS+,/SP
씨티은행	씨티은행/NNP
등	등/NNB
상업은행과	상업/NNG+은행/NNG+과/JC
IBM	IBM/SL
등의	등/NNB+의/JKG
실적이	실적/NNG+이/JKS
나쁠	나쁘/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다”며	예상/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“다만	“/SS+다만/MAG
이	이/MMD
기업들이	기업/NNG+들/XSN+이/JKS
적자폭을	적자/NNG+폭/NNG+을/JKO
예상치보다	예상/NNG+치/XSN+보다/JKB
줄인다면	줄이/VV+ㄴ다면/EC
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
신호로	신호/NNG+로/JKB
해석할	해석/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.335.10.1
○ 금리인상이 걸림돌

○	○/SW
금리인상이	금리/NNG+인상/NNG+이/JKS
걸림돌	걸림돌/NNG


# id : NWRW1800000021.335.11.1
미국의 경기회복은 두 얼굴을 갖고 있다.

미국의	미국/NNP+의/JKG
경기회복은	경기/NNG+회복/NNG+은/JX
두	두/MMN
얼굴을	얼굴/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.335.11.2
주가 상승을 이끌 뿐만 아니라 달러 약세를 유발해 유가와 곡물을 비롯한 원자재 가격을 끌어올린다.

주가	주가/NNG
상승을	상승/NNG+을/JKO
이끌	이끌/VV+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
달러	달러/NNG
약세를	약세/NNG+를/JKO
유발해	유발/NNG+하/XSV+아/EC
유가와	유가/NNG+와/JC
곡물을	곡물/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
원자재	원자재/NNG
가격을	가격/NNG+을/JKO
끌어올린다.	끌어올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.335.11.3
문제는 원자재 가격 상승으로 물가 압력이 커지면 금리인상이 불가피하다는 점.

문제는	문제/NNG+는/JX
원자재	원자재/NNG
가격	가격/NNG
상승으로	상승/NNG+으로/JKB
물가	물가/NNG
압력이	압력/NNG+이/JKS
커지면	커지/VV+면/EC
금리인상이	금리/NNG+인상/NNG+이/JKS
불가피하다는	불가피하/VA+다는/ETM
점.	점/NNG+./SF


# id : NWRW1800000021.335.11.4
이미 이스라엘과 호주는 정책금리를 올려 위기극복 과정에서 풀었던 돈을 회수하고 있다.

이미	이미/MAG
이스라엘과	이스라엘/NNP+과/JC
호주는	호주/NNP+는/JX
정책금리를	정책/NNG+금리/NNG+를/JKO
올려	올리/VV+어/EC
위기극복	위기/NNG+극복/NNG
과정에서	과정/NNG+에서/JKB
풀었던	풀/VV+었/EP+던/ETM
돈을	돈/NNG+을/JKO
회수하고	회수/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.335.11.5
피데스투자자문 김한진 부사장은 “미국의 주가가 현재보다 더 오른다면 경기회복 속도가 주가상승을 따라잡지 못하는 현상이 벌어진다”며 “그럴 경우 미국의 금리인상 시기가 생각보다 빨라질 수 있다”고 내다봤다.

피데스투자자문	피데스/NNP+투자/NNG+자문/NNG
김한진	김한진/NNP
부사장은	부사장/NNG+은/JX
“미국의	“/SS+미국/NNP+의/JKG
주가가	주가/NNG+가/JKS
현재보다	현재/NNG+보다/JKB
더	더/MAG
오른다면	오르/VV+ㄴ다면/EC
경기회복	경기/NNG+회복/NNG
속도가	속도/NNG+가/JKS
주가상승을	주가/NNG+상승/NNG+을/JKO
따라잡지	따라잡/VV+지/EC
못하는	못하/VX+는/ETM
현상이	현상/NNG+이/JKS
벌어진다”며	벌어지/VV+ㄴ다/EF+”/SS+며/EC
“그럴	“/SS+그렇/VA+ㄹ/ETM
경우	경우/NNG
미국의	미국/NNP+의/JKG
금리인상	금리/NNG+인상/NNG
시기가	시기/NNG+가/JKS
생각보다	생각/NNG+보다/JKB
빨라질	빠르/VA+아/EC+지/VX+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.335.12.1
미국의 주가상승은 세계 경기회복의 또 다른 축인 중국의 출구전략(Exit Strategy) 시기를 앞당겨 경기 상승세를 꺾을 수 있다는 분석도 있다.

미국의	미국/NNP+의/JKG
주가상승은	주가/NNG+상승/NNG+은/JX
세계	세계/NNG
경기회복의	경기/NNG+회복/NNG+의/JKG
또	또/MAG
다른	다른/MMD
축인	축/NNG+이/VCP+ㄴ/ETM
중국의	중국/NNP+의/JKG
출구전략(Exit	출구/NNG+전략/NNG+(/SS+Exit/SL
Strategy)	Strategy/SL+)/SS
시기를	시기/NNG+를/JKO
앞당겨	앞당기/VV+어/EC
경기	경기/NNG
상승세를	상승세/NNG+를/JKO
꺾을	꺾/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
분석도	분석/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.335.12.2
미국의 경기선행지수는 최근 상승을 시작했지만 중국의 경기선행지수는 2분기부터 올라오기 시작해 이미 정점 수준에 도달했다.

미국의	미국/NNP+의/JKG
경기선행지수는	경기/NNG+선행/NNG+지수/NNG+는/JX
최근	최근/NNG
상승을	상승/NNG+을/JKO
시작했지만	시작/NNG+하/XSV+았/EP+지만/EC
중국의	중국/NNP+의/JKG
2분기부터	2/SN+분기/NNG+부터/JX
올라오기	올라오/VV+기/ETN
시작해	시작/NNG+하/XSV+아/EC
이미	이미/MAG
정점	정점/NNG
수준에	수준/NNG+에/JKB
도달했다.	도달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.335.12.3
하이투자증권 조익재 상무는 “미국의 경기회복에 따라 중국과 한국 등 아시아 신흥국가들의 경기선행지수가 정점에 이르렀는지 논쟁이 시작될 것으로 보인다”며 “중국 경기가 하락으로 돌아서지 않도록 하려면 미국 경기가 강하게 살아나야 하는데 현재로서는 버거워 보인다”고 분석했다.

하이투자증권	하이투자증권/NNP
조익재	조익재/NNP
상무는	상무/NNG+는/JX
“미국의	“/SS+미국/NNP+의/JKG
경기회복에	경기/NNG+회복/NNG+에/JKB
따라	따르/VV+아/EC
중국과	중국/NNP+과/JC
한국	한국/NNP
등	등/NNB
아시아	아시아/NNP
신흥국가들의	신흥/NNG+국가/NNG+들/XSN+의/JKG
경기선행지수가	경기/NNG+선행/NNG+지수/NNG+가/JKS
정점에	정점/NNG+에/JKB
이르렀는지	이르/VV+었/EP+는지/EC
논쟁이	논쟁/NNG+이/JKS
시작될	시작/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“중국	“/SS+중국/NNP
경기가	경기/NNG+가/JKS
하락으로	하락/NNG+으로/JKB
돌아서지	돌아서/VV+지/EC
않도록	않/VX+도록/EC
하려면	하/VX+려면/EC
미국	미국/NNP
강하게	강하/VA+게/EC
살아나야	살아나/VV+아야/EC
하는데	하/VX+는데/EC
현재로서는	현재/NNG+로서/JKB+는/JX
버거워	버겁/VA+어/EC
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.335.13.1
증시 전문가들은 “다우지수 상승이 한국 증시에 호재인 것은 분명하지만 혜택은 기대만큼 크지 않을 수 있다”고 말했다.

증시	증시/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
“다우지수	“/SS+다우/NNP+지수/NNG
상승이	상승/NNG+이/JKS
한국	한국/NNP
증시에	증시/NNG+에/JKB
호재인	호재/NNG+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
분명하지만	분명/MAG+하/XSA+지만/EC
혜택은	혜택/NNG+은/JX
기대만큼	기대/NNG+만큼/JKB
크지	크/VA+지/EC
않을	않/VX+을/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


