# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.179
metadata : {}


# id : NWRW1800000030.179.1.1
"美 4500만 가구에 개는 영혼의 동반자"

"美	"/SS+美/SH
4500만	4500/SN+만/NR
애브람슨은 NYT 공동 편집국장이던 2009년 골든리트리버 새끼 암컷 '스카우트'를 입양한 뒤 NYT 온라인 칼럼을 통해 1년간 16회에 걸쳐 남편과 함께 개를 키운 기록을 연재했다.

애브람슨은	애브람슨/NNP+은/JX
NYT	NYT/SL
공동	공동/NNG
편집국장이던	편집국장/NNG+이/VCP+던/ETM
2009년	2009/SN+년/NNB
골든리트리버	골든리트리버/NNG
새끼	새끼/NNG
암컷	암컷/NNG
'스카우트'를	'/SS+스카우트/NNP+'/SS+를/JKO
입양한	입양/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
온라인	온라인/NNG
칼럼을	칼럼/NNG+을/JKO
통해	통하/VV+아/EC
1년간	1/SN+년/NNB+간/XSN
16회에	16/SN+회/NNB+에/JKB
걸쳐	걸치/VV+어/EC
남편과	남편/NNG+과/JKB
함께	함께/MAG
개를	개/NNG+를/JKO
키운	키우/VV+ㄴ/ETM
기록을	기록/NNG+을/JKO
연재했다.	연재/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.179.5.2
'말 못하는 환자가 아플 때' '가장 필요한 건 인내심' '청소년기는 어떻게 오는가' 등의 논픽션 같은 글이 독자를 매료시켰다.

'말	'/SS+말/NNG
못하는	못/MAG+하/XSV+는/ETM
환자가	환자/NNG+가/JKS
아플	아프/VA+ㄹ/ETM
때'	때/NNG+'/SS
'가장	'/SS+가장/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
인내심'	인내심/NNG+'/SS
'청소년기는	'/SS+청소년기/NNG+는/JX
어떻게	어떻/VA+게/EC
오는가'	오/VV+는가/EF+'/SS
등의	등/NNB+의/JKG
논픽션	논픽션/NNG
같은	같/VA+은/ETM
글이	글/NNG+이/JKS
독자를	독자/NNG+를/JKO
매료시켰다.	매료/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.179.6.1
반면 다른 언론에서 "NYT 편집국장이 이렇게 사적인 일에 많은 시간을 할애하는지 몰랐다" "맨해튼의 잔디 딸린 고급주택에서 개가 비싼 먹이 먹고 개 전용 수영장 다니는 이야기나 늘어놓는 건 그럴 형편이 못 되는 사람들에게 박탈감을 느끼게 한다"는 지적도 나왔다.

반면	반면/NNG
다른	다른/MMD
언론에서	언론/NNG+에서/JKB
"NYT	"/SS+NYT/SL
편집국장이	편집국장/NNG+이/JKS
이렇게	이렇/VA+게/EC
사적인	사/NNG+적/XSN+이/VCP+ㄴ/ETM
일에	일/NNG+에/JKB
많은	많/VA+은/ETM
시간을	시간/NNG+을/JKO
할애하는지	할애/NNG+하/XSV+는지/EF
몰랐다"	모르/VV+았/EP+다/EF+"/SS
"맨해튼의	"/SS+맨해튼/NNP+의/JKG
잔디	잔디/NNG
딸린	딸리/VV+ㄴ/ETM
고급주택에서	고급/NNG+주택/NNG+에서/JKB
개가	개/NNG+가/JKS
비싼	비싸/VA+ㄴ/ETM
먹이	먹이/NNG
먹고	먹/VV+고/EC
개	개/NNG
전용	전용/NNG
수영장	수영장/NNG
다니는	다니/VV+는/ETM
이야기나	이야기/NNG+나/JX
늘어놓는	늘어놓/VV+는/ETM
건	거/NNB+ㄴ/JX
그럴	그렇/VA+ㄹ/ETM
형편이	형편/NNG+이/JKS
못	못/MAG
되는	되/VV+는/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
박탈감을	박탈감/NNG+을/JKO
느끼게	느끼/VV+게/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
지적도	지적/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.179.7.1
애브람슨은 "기자의 블로그는 개인 일기장이 아니다. 블로그도 기사와 같은 수준의 정확성과 공정성을 갖고 세심하게 편집해 내놓아야 한다"며 완성도에 신경을 썼다고 한다.

애브람슨은	애브람슨/NNP+은/JX
"기자의	"/SS+기자/NNG+의/JKG
블로그는	블로그/NNG+는/JX
개인	개인/NNG
일기장이	일기장/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF
블로그도	블로그/NNG+도/JX
기사와	기사/NNG+와/JKB
같은	같/VA+은/ETM
수준의	수준/NNG+의/JKG
정확성과	정확/NNG+성/XSN+과/JC
공정성을	공정/NNG+성/XSN+을/JKO
갖고	갖/VV+고/EC
세심하게	세심하/VA+게/EC
편집해	편집/NNG+하/XSV+아/EC
내놓아야	내놓/VV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
완성도에	완성도/NNG+에/JKB
신경을	신경/NNG+을/JKO
썼다고	쓰/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.179.8.1
이 책에는 자녀를 모두 키워 내보낸 그가 2007년 첫 애완견을 잃고 두 달 후 교통사고까지 당해 3개월간 누워 지내며 극도의 우울증에 빠진 경험, 그로 인해 "다시는 개를 키우지 않겠다"고 다짐했다가 다시 가족 권유로 스카우트를 만나 의욕을 되찾는 과정이 담겼다.

이	이/MMD
책에는	책/NNG+에/JKB+는/JX
자녀를	자녀/NNG+를/JKO
모두	모두/MAG
키워	키우/VV+어/EC
내보낸	내보내/VV+ㄴ/ETM
그가	그/NP+가/JKS
2007년	2007/SN+년/NNB
첫	첫/MMN
애완견을	애완견/NNG+을/JKO
잃고	잃/VV+고/EC
두	두/MMN
달	달/NNB
후	후/NNG
교통사고까지	교통사고/NNG+까지/JX
당해	당하/VV+아/EC
3개월간	3/SN+개월/NNB+간/XSN
누워	눕/VV+어/EC
지내며	지내/VV+며/EC
극도의	극도/NNG+의/JKG
우울증에	우울증/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
경험,	경험/NNG+,/SP
그로	그/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
"다시는	"/SS+다시/MAG+는/JX
개를	개/NNG+를/JKO
키우지	키우/VV+지/EC
않겠다"고	않/VX+겠/EP+다/EF+"/SS+고/JKQ
다짐했다가	다짐/NNG+하/XSV+았/EP+다가/EC
다시	다시/MAG
가족	가족/NNG
권유로	권유/NNG+로/JKB
스카우트를	스카우트/NNP+를/JKO
만나	만나/VV+아/EC
의욕을	의욕/NNG+을/JKO
되찾는	되찾/VV+는/ETM
과정이	과정/NNG+이/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.179.9.1
또 여성으로서 가정과 직장 일을 병행하며 벌이는 줄타기, 나이 먹으면서 오는 깨달음 등을 진솔하게 펼쳐냈다고 유에스에이투데이(USA TODAY)는 전했다.

또	또/MAG
여성으로서	여성/NNG+으로서/JKB
가정과	가정/NNG+과/JC
직장	직장/NNG
일을	일/NNG+을/JKO
병행하며	병행/NNG+하/XSV+며/EC
벌이는	벌이/VV+는/ETM
줄타기,	줄타기/NNG+,/SP
나이	나이/NNG
먹으면서	먹/VV+으면서/EC
오는	오/VV+는/ETM
깨달음	깨달음/NNG
등을	등/NNB+을/JKO
진솔하게	진솔하/VA+게/EC
펼쳐냈다고	펼치/VV+어/EC+내/VX+었/EP+다고/EC
유에스에이투데이(USA	유에스에이투데이/NNP+(/SS+USA/SL
TODAY)는	TODAY/SL+)/SS+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


