# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.250
metadata : {}


# id : NWRW1800000046.250.1.1
[경제포커스] 우리는 先進 福祉에 걸맞은 시민인가

[경제포커스]	[/SS+경제/NNG+포커스/NNG+]/SS
'금(金)	'/SS+금/NNG+(/SS+金/SH+)/SS
모으기	모으/VV+기/ETN
운동'이	운동/NNG+'/SS+이/JKS
그것이다.	그것/NP+이/VCP+다/EF+./SF


# id : NWRW1800000046.250.8.3
유럽 재정 위기 당시 유럽 지식인을 만나면 자신들의 위기를 극복하기 위해서는 한국인들이 보여준 시민 의식과 연대 의식이 절실하다고 말했다.

유럽	유럽/NNP
재정	재정/NNG
위기	위기/NNG
당시	당시/NNG
지식인을	지식인/NNG+을/JKO
만나면	만나/VV+면/EC
자신들의	자신/NNG+들/XSN+의/JKG
위기를	위기/NNG+를/JKO
극복하기	극복/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
한국인들이	한국인/NNG+들/XSN+이/JKS
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
시민	시민/NNG
의식과	의식/NNG+과/JC
연대	연대/NNG
의식이	의식/NNG+이/JKS
절실하다고	절실하/VA+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.250.8.4
그런데 지금 우리의 자화상은 어떤가.

그런데	그런데/MAJ
지금	지금/MAG
우리의	우리/NP+의/JKG
자화상은	자화상/NNG+은/JX
어떤가.	어떻/VA+ㄴ가/EF+./SF


# id : NWRW1800000046.250.8.5
우리 안의 시민 의식은 어디로 사라지고 무임승차자만 넘쳐나고 있을까.

우리	우리/NP
안의	안/NNG+의/JKG
시민	시민/NNG
의식은	의식/NNG+은/JX
어디로	어디/NP+로/JKB
사라지고	사라지/VV+고/EC
무임승차자만	무임승차자/NNG+만/JX
넘쳐나고	넘치/VV+어/EC+나/VX+고/EC
있을까.	있/VX+을까/EF+./SF


