# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.59
metadata : {}


# id : NWRW1800000049.59.1.1
日은 印과 ‘신칸센 외교’

日은	日/SH+은/JX
델리,	델리/NNP+,/SP
하이데라바드,	하이데라바드/NNP+,/SP
첸나이,	첸나이/NNP+,/SP
벵갈루루	벵갈루루/NNP
등을	등/NNB+을/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
6개	6/SN+개/NNB
고속철	고속철/NNG
노선에도	노선/NNG+에/JKB+도/JX
신칸센	신칸센/NNP
도입을	도입/NNG+을/JKO
요청할	요청/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.59.4.4
일본 정부 당국자는 인도 측이 긍정적인 반응을 보이고 있다고 밝혔다.

일본	일본/NNP
정부	정부/NNG
당국자는	당국자/NNG+는/JX
인도	인도/NNP
측이	측/NNB+이/JKS
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
반응을	반응/NNG+을/JKO
보이고	보이/VV+고/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.59.5.1
일본은 이에 대한 대가로 일본 기업이 인도 기업과 합작해 현지에 차량 공장을 신설하고 인도로의 기술 이전과 고용 확대 등을 해줄 것을 내걸고 있다.

일본은	일본/NNP+은/JX
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
대가로	대가/NNG+로/JKB
일본	일본/NNP
기업이	기업/NNG+이/JKS
인도	인도/NNP
기업과	기업/NNG+과/JKB
합작해	합작/NNG+하/XSV+아/EC
현지에	현지/NNG+에/JKB
차량	차량/NNG
공장을	공장/NNG+을/JKO
신설하고	신설/NNG+하/XSV+고/EC
인도로의	인도/NNP+로/JKB+의/JKG
기술	기술/NNG
이전과	이전/NNG+과/JC
고용	고용/NNG
확대	확대/NNG
등을	등/NNB+을/JKO
해줄	하/VV+아/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
내걸고	내걸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.59.6.1
일본 정부는 ‘신칸센 수출’을 아베노믹스의 주요 과제로 삼고 추진 중이지만 지난해 인도네시아 입찰에서 중국에 밀려 충격을 받았다.

일본	일본/NNP
정부는	정부/NNG+는/JX
‘신칸센	‘/SS+신칸센/NNP
수출’을	수출/NNG+’/SS+을/JKO
아베노믹스의	아베노믹스/NNG+의/JKG
주요	주요/NNG
과제로	과제/NNG+로/JKB
삼고	삼/VV+고/EC
추진	추진/NNG
중이지만	중/NNB+이/VCP+지만/EC
지난해	지난해/NNG
인도네시아	인도네시아/NNP
입찰에서	입찰/NNG+에서/JKB
중국에	중국/NNP+에/JKB
밀려	밀리/VV+어/EC
충격을	충격/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.59.6.2
이에 아베 총리는 지난해 인도 방문 당시 뭄바이∼아마다바드 505km 구간 공사비 150억 달러 중 120억 달러를 차관 형태로 빌려주는 조건을 내걸어 수출에 성공했다.

이에	이/NP+에/JKB
아베	아베/NNP
총리는	총리/NNG+는/JX
지난해	지난해/NNG
인도	인도/NNP
방문	방문/NNG
당시	당시/NNG
뭄바이∼아마다바드	뭄바이/NNP+∼/SO+아마다바드/NNP
505km	505/SN+km/SW
구간	구간/NNG
공사비	공사비/NNG
150억	150/SN+억/NR
달러	달러/NNB
중	중/NNB
120억	120/SN+억/NR
달러를	달러/NNB+를/JKO
차관	차관/NNG
형태로	형태/NNG+로/JKB
빌려주는	빌려주/VV+는/ETM
조건을	조건/NNG+을/JKO
내걸어	내걸/VV+어/EC
수출에	수출/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.59.6.3
이번에는 여기서 나아가 인도의 전 노선을 수주해 철도 강국의 면모를 과시하겠다는 계획이다.

이번에는	이번/NNG+에/JKB+는/JX
여기서	여기/NP+서/JKB
나아가	나아가/VV+아/EC
인도의	인도/NNP+의/JKG
전	전/MMN
노선을	노선/NNG+을/JKO
수주해	수주/NNG+하/XSV+아/EC
철도	철도/NNG
강국의	강국/NNG+의/JKG
면모를	면모/NNG+를/JKO
과시하겠다는	과시/NNG+하/XSV+겠/EP+다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.59.7.1
아베 총리는 인도의 철도 기술자 4000명을 훈련하고 일본 기업을 동원해 10년 동안 3만 명의 기술자를 육성한다는 제안도 내놓을 방침이다.

아베	아베/NNP
총리는	총리/NNG+는/JX
인도의	인도/NNP+의/JKG
철도	철도/NNG
기술자	기술자/NNG
4000명을	4000/SN+명/NNB+을/JKO
훈련하고	훈련/NNG+하/XSV+고/EC
일본	일본/NNP
기업을	기업/NNG+을/JKO
동원해	동원/NNG+하/XSV+아/EC
10년	10/SN+년/NNB
동안	동안/NNG
3만	3/SN+만/NR
명의	명/NNB+의/JKG
기술자를	기술자/NNG+를/JKO
육성한다는	육성/NNG+하/XSV+ㄴ다는/ETM
제안도	제안/NNG+도/JX
내놓을	내놓/VV+을/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.59.7.2
이를 위해 도요타, 스즈키, 다이킨공업 등 일본 기업은 현지에 직업훈련학교를 세우기로 했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
도요타,	도요타/NNP+,/SP
스즈키,	스즈키/NNP+,/SP
다이킨공업	다이킨공업/NNP
등	등/NNB
일본	일본/NNP
기업은	기업/NNG+은/JX
현지에	현지/NNG+에/JKB
직업훈련학교를	직업/NNG+훈련/NNG+학교/NNG+를/JKO
세우기로	세우/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.59.8.1
양국 정상은 지난해 원칙적으로 합의한 원자력협정 서명식도 가질 것이라고 요미우리신문이 6일 보도했다.

양국	양국/NNG
정상은	정상/NNG+은/JX
지난해	지난해/NNG
원칙적으로	원칙/NNG+적/XSN+으로/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
원자력협정	원자력/NNG+협정/NNG
서명식도	서명식/NNG+도/JX
가질	가지/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
요미우리신문이	요미우리신문/NNP+이/JKS
6일	6/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.59.8.2
이렇게 되면 일본은 앞으로 인도에 원전 관련 자재, 기기, 기술을 수출할 수 있게 된다.

이렇게	이렇/VA+게/EC
되면	되/VV+면/EC
일본은	일본/NNP+은/JX
앞으로	앞/NNG+으로/JKB
인도에	인도/NNP+에/JKB
원전	원전/NNG
관련	관련/NNG
자재,	자재/NNG+,/SP
기기,	기기/NNG+,/SP
기술을	기술/NNG+을/JKO
수출할	수출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


