# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.408
metadata : {}


# id : NWRW1800000054.408.1.1
文대통령 "올해 출산율, 역대 최저 1.03명 될 전망"

文대통령	文/SH+대통령/NNG
강화하는	강화/NNG+하/XSV+는/ETM
일,	일/NNG+,/SP
국공립	국공립/NNG
어린이집을	어린이집/NNG+을/JKO
늘리고	늘리/VV+고/EC
돌봄	돌봄/NNG
서비스를	서비스/NNG+를/JKO
확대하는	확대/NNG+하/XSV+는/ETM
정책들을	정책/NNG+들/XSN+을/JKO
차질	차질/NNG
없이	없이/MAG
추진해야	추진/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.408.3.2
문 대통령은 이로써 신설된 중기벤처부를 제외한 모든 부처로부터 업무 보고를 받았다.

문	문/NNP
대통령은	대통령/NNG+은/JX
이로써	이/NP+로써/JKB
신설된	신설/NNG+되/XSV+ㄴ/ETM
중기벤처부를	중기/NNG+벤처부/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
부처로부터	부처/NNG+로부터/JKB
업무	업무/NNG
보고를	보고/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.408.4.1
문 대통령은 이날 "올해 합계 출산율은 역대 최저인 1.03명이 될 것이라는 전망"이라며 "이대로 가면 대한민국은 인구가 빠른 속도로 줄어드는 국가적 위기를 맞이하게 되고, 몇년이 지나면 회복할 길이 없게 된다"고 했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
"올해	"/SS+올해/NNG
합계	합계/NNG
출산율은	출산/NNG+율/XSN+은/JX
역대	역대/NNG
최저인	최저/NNG+이/VCP+ㄴ/ETM
1.03명이	1/SN+./SP+03/SN+명/NNB+이/JKC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망"이라며	전망/NNG+"/SS+이/VCP+라며/EC
"이대로	"/SS+이대로/MAG
가면	가/VV+면/EC
대한민국은	대한민국/NNP+은/JX
인구가	인구/NNG+가/JKS
빠른	빠르/VA+ㄴ/ETM
속도로	속도/NNG+로/JKB
줄어드는	줄어들/VV+는/ETM
국가적	국가/NNG+적/XSN
위기를	위기/NNG+를/JKO
맞이하게	맞이하/VV+게/EC
되고,	되/VV+고/EC+,/SP
몇년이	몇/NR+년/NNB+이/JKS
지나면	지나/VV+면/EC
회복할	회복/NNG+하/XSV+ㄹ/ETM
길이	길/NNG+이/JKS
없게	없/VA+게/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.408.4.2
이어 "출산과 양육에 대한 국가 책임을 강화하는 것은 물론 고용과 주거 안정, 성 평등 등 근본적인 구조 개혁으로 아이를 낳고 기를 수 있는 사회 환경을 만들어야 한다"면서 "경력 단절 여성이 새 일을 찾고 재취업할 수 있는 종합적이고 체계적인 서비스를 제공해야 한다"고 했다.

이어	이어/MAG
"출산과	"/SS+출산/NNG+과/JC
양육에	양육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국가	국가/NNG
책임을	책임/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
물론	물론/MAG
고용과	고용/NNG+과/JC
주거	주거/NNG
안정,	안정/NNG+,/SP
성	성/NNG
평등	평등/NNG
등	등/NNB
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
구조	구조/NNG
개혁으로	개혁/NNG+으로/JKB
아이를	아이/NNG+를/JKO
낳고	낳/VV+고/EC
기를	기르/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사회	사회/NNG
환경을	환경/NNG+을/JKO
만들어야	만들/VV+어야/EC
한다"면서	하/VX+ㄴ다/EF+"/SS+면서/EC
"경력	"/SS+경력/NNG
단절	단절/NNG
여성이	여성/NNG+이/JKS
새	새/MMA
일을	일/NNG+을/JKO
찾고	찾/VV+고/EC
재취업할	재/XPN+취업/NNG+하/XSV+ㄹ/ETM
종합적이고	종합/NNG+적/XSN+이/VCP+고/EC
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
제공해야	제공/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.408.5.1
문 대통령은 "최저 출산율, 최장 노동시간, 최하위 국민 행복지수라는 오명이 더 이상 대한민국의 수식어가 되지 않도록 세 부처가 합동으로 최선의 노력을 경주해주길 바란다"고 했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
"최저	"/SS+최저/NNG
출산율,	출산/NNG+율/XSN+,/SP
최장	최장/NNG
노동시간,	노동/NNG+시간/NNG+,/SP
최하위	최/XPN+하위/NNG
국민	국민/NNG
행복지수라는	행복/NNG+지수/NNG+이/VCP+라는/ETM
오명이	오명/NNG+이/JKS
더	더/MAG
이상	이상/NNG
대한민국의	대한민국/NNP+의/JKG
수식어가	수식어/NNG+가/JKC
되지	되/VV+지/EC
않도록	않/VX+도록/EC
세	세/MMN
부처가	부처/NNG+가/JKS
합동으로	합동/NNG+으로/JKB
최선의	최선/NNG+의/JKG
노력을	노력/NNG+을/JKO
경주해주길	경주/NNG+하/XSV+아/EC+주/VX+기/ETN+ㄹ/JKO
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.408.6.1
문 대통령은 내년도 복지 예산안을 두고 야권(野圈)에서 '성장 감소 예산'이라고 비판하는 데 대해 "복지 예산 증가, 성장 예산 감소라는 식으로 평가하는 것은 과거 시대의 낡은 관점"이라며 "새 정부는 국민에게 투자하는 것이 국가의 미래를 위한 길이자 경제를 살리는 길이라는 확고한 신념을 가지고 있다"고 했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
내년도	내년도/NNG
복지	복지/NNG
예산안을	예산안/NNG+을/JKO
두고	두/VV+고/EC
야권(野圈)에서	야권/NNG+(/SS+野圈/SH+)/SS+에서/JKB
'성장	'/SS+성장/NNG
감소	감소/NNG
예산'이라고	예산/NNG+'/SS+이라고/JKQ
비판하는	비판/NNG+하/XSV+는/ETM
데	데/NNB
대해	대하/VV+아/EC
"복지	"/SS+복지/NNG
예산	예산/NNG
증가,	증가/NNG+,/SP
성장	성장/NNG
감소라는	감소/NNG+이/VCP+라는/ETM
식으로	식/NNB+으로/JKB
평가하는	평가/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
과거	과거/NNG
시대의	시대/NNG+의/JKG
낡은	낡/VV+은/ETM
관점"이라며	관점/NNG+"/SS+이/VCP+라며/EC
"새	"/SS+새/MMA
정부는	정부/NNG+는/JX
국민에게	국민/NNG+에게/JKB
투자하는	투자/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
국가의	국가/NNG+의/JKG
미래를	미래/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
길이자	길/NNG+이/VCP+자/EC
경제를	경제/NNG+를/JKO
살리는	살리/VV+는/ETM
길이라는	길/NNG+이/VCP+라는/ETM
확고한	확고하/VA+ㄴ/ETM
신념을	신념/NNG+을/JKO
가지고	가지/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.408.6.2
문 대통령은 또 "강력한 지출 구조 조정으로 예산을 마련한 만큼 한 푼의 세금도 누수되거나 낭비되지 않게 최선을 다해야 할 것"이라고 했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
또	또/MAG
"강력한	"/SS+강력/NNG+하/XSA+ㄴ/ETM
지출	지출/NNG
구조	구조/NNG
조정으로	조정/NNG+으로/JKB
예산을	예산/NNG+을/JKO
마련한	마련/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
한	한/MMN
푼의	푼/NNB+의/JKG
세금도	세금/NNG+도/JX
누수되거나	누수/NNG+되/XSV+거나/EC
낭비되지	낭비/NNG+되/XSV+지/EC
않게	않/VX+게/EC
최선을	최선/NNG+을/JKO
다해야	다/MAG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


