# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.36
metadata : {}


# id : NWRW1800000021.36.1.1
친이-친박, 靑오찬 끝나자마자 파열음

친이-친박,	친/XPN+이/NNP+-/SO+친/XPN+박/NNP+,/SP
내지	내/VV+지/EC
않고	않/VX+고/EC
협조해왔는데	협조/NNG+하/XSV+아/EC+오/VX+았/EP+는데/EC
이를	이/NP+를/JKO
고맙게	고맙/VA+게/EC
생각하지	생각/NNG+하/XSV+지/EC
‘왜	‘/SS+왜/MAG
비협조적이냐’고	비/XPN+협조/NNG+적/XSN+이/VCP+냐/EF+’/SS+고/JKQ
비판해왔다”며	비판/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+”/SS+며/EC
친이계에	친/XPN+이/NNP+계/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
불만을	불만/NNG+을/JKO
숨기지	숨기/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.36.6.1
김 의원의 발언은 집권 2년차 이 대통령의 국정 운영에 대해 친박계가 ‘제 목소리’를 낼 것임을 시사한 것으로 해석된다.

김	김/NNP
의원의	의원/NNG+의/JKG
발언은	발언/NNG+은/JX
집권	집권/NNG
2년차	2/SN+년/NNB+차/NNB
이	이/NNP
대통령의	대통령/NNG+의/JKG
국정	국정/NNG
운영에	운영/NNG+에/JKB
대해	대하/VV+아/EC
친박계가	친/XPN+박/NNP+계/XSN+가/JKS
‘제	‘/SS+저/NP+의/JKG
목소리’를	목소리/NNG+’/SS+를/JKO
낼	내/VV+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
시사한	시사/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.36.7.1
친박계의 한 의원은 “적절한 시기에 적절한 발언을 했다”고 말했다.

친박계의	친/XPN+박/NNP+계/XSN+의/JKG
한	한/MMN
의원은	의원/NNG+은/JX
“적절한	“/SS+적절하/VA+ㄴ/ETM
시기에	시기/NNG+에/JKB
적절한	적절하/VA+ㄴ/ETM
발언을	발언/NNG+을/JKO
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.36.7.2
다음 달 이재오 전 최고위원의 귀국을 앞두고 여권 내 지각 변동에 대응하려면 지금부터 전열을 가다듬을 필요가 있다는 것이다.

다음	다음/NNG
달	달/NNG
이재오	이재오/NNP
전	전/MMD
최고위원의	최고/NNG+위원/NNG+의/JKG
귀국을	귀국/NNG+을/JKO
앞두고	앞두/VV+고/EC
여권	여권/NNG
내	내/NNB
지각	지각/NNG
변동에	변동/NNG+에/JKB
대응하려면	대응/NNG+하/XSV+려면/EC
지금부터	지금/NNG+부터/JX
전열을	전열/NNG+을/JKO
가다듬을	가다듬/VV+을/ETM
필요가	필요/NNG+가/JKS
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.36.8.1
친박계 다른 의원은 “김 의원 개인의 정치행위”라며 “박근혜 전 대표는 전면에 나설 일도 없고, 친박 진영이 집단적인 목소리를 내는 것을 원치도 않는다”고 말했다.

친박계	친/XPN+박/NNP+계/XSN
다른	다른/MMD
의원은	의원/NNG+은/JX
“김	“/SS+김/NNP
의원	의원/NNG
개인의	개인/NNG+의/JKG
정치행위”라며	정치/NNG+행위/NNG+”/SS+이/VCP+라며/EC
“박근혜	“/SS+박근혜/NNP
전	전/MMD
대표는	대표/NNG+는/JX
전면에	전면/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
일도	일/NNG+도/JX
없고,	없/VA+고/EC+,/SP
친박	친/XPN+박/NNP
진영이	진영/NNG+이/JKS
집단적인	집단/NNG+적/XSN+이/VCP+ㄴ/ETM
목소리를	목소리/NNG+를/JKO
내는	내/VV+는/ETM
것을	것/NNB+을/JKO
원치도	원/NNG+하/XSV+지/EC+도/JX
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.36.9.1
공 최고위원은 이날 한 라디오에서 “냉소적이고 방관자적인 자세로 이 정권을 바라보거나 반대만 하면서 순간적인 인기에 연연해 다음 주자가 될 수 있다고 생각하는 분이 있다면 잘못됐다”며 박근혜 전 대표를 우회적으로 비난했다.

공	공/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
이날	이날/NNG
한	한/MMN
라디오에서	라디오/NNG+에서/JKB
“냉소적이고	“/SS+냉소/NNG+적/XSN+이/VCP+고/EC
방관자적인	방관자/NNG+적/XSN+이/VCP+ㄴ/ETM
자세로	자세/NNG+로/JKB
이	이/MMD
정권을	정권/NNG+을/JKO
바라보거나	바라보/VV+거나/EC
반대만	반대/NNG+만/JX
하면서	하/VV+면서/EC
순간적인	순간/NNG+적/XSN+이/VCP+ㄴ/ETM
인기에	인기/NNG+에/JKB
연연해	연연하/VV+아/EC
다음	다음/NNG
주자가	주자/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
분이	분/NNB+이/JKS
있다면	있/VA+다면/EC
잘못됐다”며	잘못/MAG+되/XSV+었/EP+다/EF+”/SS+며/EC
박근혜	박근혜/NNP
전	전/MMD
대표를	대표/NNG+를/JKO
우회적으로	우회/NNG+적/XSN+으로/JKB
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.36.10.1
공 최고위원은 기자와의 통화에서 “이명박 정권이 실패하면 다음 보수정권은 없다”며 “이 정권의 성공을 위해 열심히 노력하는 사람이 차기 주자가 될 수밖에 없다”고 말했다.

공	공/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
기자와의	기자/NNG+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“이명박	“/SS+이명박/NNP
정권이	정권/NNG+이/JKS
실패하면	실패/NNG+하/XSV+면/EC
다음	다음/NNG
보수정권은	보수/NNG+정권/NNG+은/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“이	“/SS+이/NNP
정권의	정권/NNG+의/JKG
성공을	성공/NNG+을/JKO
위해	위하/VV+아/EC
열심히	열심히/MAG
노력하는	노력/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
차기	차기/NNG
주자가	주자/NNG+가/JKC
될	되/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.36.11.1
당 안팎에서는 그가 박근혜 전 대표를 정면으로 겨냥한 것이란 해석이 많다.

당	당/NNG
안팎에서는	안팎/NNG+에서/JKB+는/JX
그가	그/NP+가/JKS
박근혜	박근혜/NNP
전	전/MMD
대표를	대표/NNG+를/JKO
정면으로	정면/NNG+으로/JKB
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
것이란	것/NNB+이/VCP+란/ETM
해석이	해석/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000021.36.12.1
이에 대해 공 최고위원은 “특정한 사람을 겨냥한 것이 아니라 원칙적인 얘기”라면서도 “해석을 그렇게 할 수는 있을 것”이라고 말해 극구 부인은 하지 않았다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
공	공/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
“특정한	“/SS+특정/NNG+하/XSA+ㄴ/ETM
사람을	사람/NNG+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
원칙적인	원칙/NNG+적/XSN+이/VCP+ㄴ/ETM
얘기”라면서도	얘기/NNG+”/SS+이/VCP+라면서/EC+도/JX
“해석을	“/SS+해석/NNG+을/JKO
그렇게	그렇/VA+게/EC
할	하/VV+ㄹ/ETM
수는	수/NNB+는/JX
있을	있/VV+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말해	말/NNG+하/XSV+아/EC
극구	극구/MAG
부인은	부인/NNG+은/JX
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.36.13.1
그러나 여권 내에서는 당청 소통과 당내 화합을 다짐한 청와대 오찬회동 직후 나온 공 최고위원의 언급에 대해 확대 해석을 경계하는 분위기가 뚜렷하다.

그러나	그러나/MAJ
여권	여권/NNG
내에서는	내/NNB+에서/JKB+는/JX
당청	당청/NNG
소통과	소통/NNG+과/JC
당내	당내/NNG
화합을	화합/NNG+을/JKO
다짐한	다짐/NNG+하/XSV+ㄴ/ETM
청와대	청와대/NNP
오찬회동	오찬/NNG+회동/NNG
직후	직후/NNG
나온	나오/VV+ㄴ/ETM
공	공/NNP
최고위원의	최고/NNG+위원/NNG+의/JKG
언급에	언급/NNG+에/JKB
대해	대하/VV+아/EC
확대	확대/NNG
해석을	해석/NNG+을/JKO
경계하는	경계/NNG+하/XSV+는/ETM
분위기가	분위기/NNG+가/JKS
뚜렷하다.	뚜렷하/VA+다/EF+./SF


# id : NWRW1800000021.36.14.1
친이 직계의 한 의원은 “공 최고위원 개인의 생각”이라며 “이해는 하지만 시기적으로 적절치 않다”고 말했다.

친이	친/XPN+이/NNP
직계의	직계/NNG+의/JKG
한	한/MMN
의원은	의원/NNG+은/JX
“공	“/SS+공/NNP
최고위원	최고/NNG+위원/NNG
개인의	개인/NNG+의/JKG
생각”이라며	생각/NNG+”/SS+이/VCP+라며/EC
“이해는	“/SS+이해/NNG+는/JX
하지만	하/VV+지만/EC
시기적으로	시기/NNG+적/XSN+으로/JKB
적절치	적절하/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.36.15.1
한 당직자는 “각 계파의 상징적인 인물들이 서로 날을 세우며 당내 갈등을 재점화하는 것처럼 비쳐 아쉽다”며 “결코 정권에 도움이 되지 않는다”고 말했다.

한	한/MMN
당직자는	당직자/NNG+는/JX
“각	“/SS+각/MMD
계파의	계파/NNG+의/JKG
상징적인	상징/NNG+적/XSN+이/VCP+ㄴ/ETM
인물들이	인물/NNG+들/XSN+이/JKS
서로	서로/MAG
날을	날/NNG+을/JKO
세우며	세우/VV+며/EC
당내	당내/NNG
갈등을	갈등/NNG+을/JKO
재점화하는	재/XPN+점화/NNG+하/XSV+는/ETM
것처럼	것/NNB+처럼/JKB
비쳐	비치/VV+어/EC
아쉽다”며	아쉽/VA+다/EF+”/SS+며/EC
“결코	“/SS+결코/MAG
정권에	정권/NNG+에/JKB
도움이	도움/NNG+이/JKC
되지	되/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.36.16.1
계파 간 갈등 문제는 쟁점안 처리에 당력을 집중하려는 2월 임시국회에서 시험대에 오를 것으로 보인다.

계파	계파/NNG
간	간/NNB
갈등	갈등/NNG
문제는	문제/NNG+는/JX
쟁점안	쟁점/NNG+안/NNG
처리에	처리/NNG+에/JKB
당력을	당력/NNG+을/JKO
집중하려는	집중/NNG+하/XSV+려는/ETM
2월	2/SN+월/NNB
임시국회에서	임시/NNG+국회/NNG+에서/JKB
시험대에	시험대/NNG+에/JKB
오를	오르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.36.17.1
친박 진영은 겉으로는 법안 처리에 최대한 협조한다는 방침이지만 여론이 무르익을 때까지 기다리도록 지도부를 압박하는 태도를 보이고 있다.

친박	친/XPN+박/NNP
진영은	진영/NNG+은/JX
겉으로는	겉/NNG+으로/JKB+는/JX
법안	법안/NNG
처리에	처리/NNG+에/JKB
최대한	최대한/MAG
협조한다는	협조/NNG+하/XSV+ㄴ다는/ETM
방침이지만	방침/NNG+이/VCP+지만/EC
여론이	여론/NNG+이/JKS
무르익을	무르익/VV+을/ETM
때까지	때/NNG+까지/JX
기다리도록	기다리/VV+도록/EC
지도부를	지도부/NNG+를/JKO
압박하는	압박/NNG+하/XSV+는/ETM
태도를	태도/NNG+를/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.36.17.2
또한 법안 내용에 대해서도 일부 수정을 요구할 가능성이 없지 않다.

또한	또한/MAG
법안	법안/NNG
내용에	내용/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
일부	일부/NNG
수정을	수정/NNG+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
없지	없/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.36.18.1
청와대가 전날 오찬회동을 두고 “얼음이 녹아가는 해빙기”라고 강조한 것도 당내 계파 갈등이 다시 불거지는 것을 미리 진화하겠다는 뜻으로 보인다.

청와대가	청와대/NNP+가/JKS
전날	전날/NNG
오찬회동을	오찬/NNG+회동/NNG+을/JKO
두고	두/VV+고/EC
“얼음이	“/SS+얼음/NNG+이/JKS
녹아가는	녹/VV+아/EC+가/VX+는/ETM
해빙기”라고	해빙기/NNG+”/SS+라고/JKQ
강조한	강조/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
당내	당내/NNG
계파	계파/NNG
갈등이	갈등/NNG+이/JKS
다시	다시/MAG
불거지는	불거지/VV+는/ETM
것을	것/NNB+을/JKO
미리	미리/MAG
진화하겠다는	진화/NNG+하/XSV+겠/EP+다는/ETM
뜻으로	뜻/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.36.19.1
청와대 핵심 관계자는 “해빙기가 올 때 얼음이 한번에 녹는 게 아니다”면서 “녹는 과정에 살얼음이 있기 마련”이라고 말했다.

청와대	청와대/NNP
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
“해빙기가	“/SS+해빙기/NNG+가/JKS
올	오/VV+ㄹ/ETM
때	때/NNG
얼음이	얼음/NNG+이/JKS
한번에	한/MMN+번/NNB+에/JKB
녹는	녹/VV+는/ETM
게	거/NNB+이/JKC
아니다”면서	아니/VCN+다/EF+”/SS+면서/EC
“녹는	“/SS+녹/VV+는/ETM
과정에	과정/NNG+에/JKB
살얼음이	살얼음/NNG+이/JKS
있기	있/VA+기/ETN
마련”이라고	마련/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


