# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.135
metadata : {}


# id : NWRW1800000033.135.1.1
[인문사회]11년 동거… 젊은 철학자의 ‘솔메이트’가 된 순혈늑대

[인문사회]11년	[/SS+인문/NNG+사회/NNG+]/SS+11/SN+년/NNB
무엇보다도 이 늑대는 그에게 ‘인간이라는 존재가 무엇인지’를 가르쳐준다.

무엇보다도	무엇/NP+보다/JKB+도/JX
이	이/MMD
늑대는	늑대/NNG+는/JX
그에게	그/NP+에게/JKB
‘인간이라는	‘/SS+인간/NNG+이/VCP+라는/ETM
존재가	존재/NNG+가/JKS
무엇인지’를	무엇/NP+이/VCP+ㄴ지/EF+’/SS+를/JKO
가르쳐준다.	가르치/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.135.3.5
미국 마이애미대 철학 교수가 쓴 이 책은 늑대를 통해 인간을 바라본 철학 에세이다.

미국	미국/NNP
마이애미대	마이애미대/NNP
철학	철학/NNG
교수가	교수/NNG+가/JKS
쓴	쓰/VV+ㄴ/ETM
이	이/MMD
책은	책/NNG+은/JX
늑대를	늑대/NNG+를/JKO
통해	통하/VV+아/EC
인간을	인간/NNG+을/JKO
바라본	바라보/VV+ㄴ/ETM
에세이다.	에세이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.135.4.1
저자는 브레닌이 야성을 가진 늑대임을 항상 기억하고 단순한 반복 훈련이 아니라 브레닌 스스로 ‘이 같은 선택을 하면 좋지 않다’는 것을 깨닫게 하는 식으로 길들였다.

저자는	저자/NNG+는/JX
브레닌이	브레닌/NNP+이/JKS
야성을	야성/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
늑대임을	늑대/NNG+이/VCP+ㅁ/ETN+을/JKO
항상	항상/MAG
기억하고	기억/NNG+하/XSV+고/EC
단순한	단순/NNG+하/XSA+ㄴ/ETM
반복	반복/NNG
훈련이	훈련/NNG+이/JKC
아니라	아니/VCN+라/EC
브레닌	브레닌/NNP
스스로	스스로/MAG
‘이	‘/SS+이/MMD
같은	같/VA+은/ETM
선택을	선택/NNG+을/JKO
하면	하/VV+면/EC
좋지	좋/VA+지/EC
않다’는	않/VX+다/EF+’/SS+는/ETM
것을	것/NNB+을/JKO
깨닫게	깨닫/VV+게/EC
하는	하/VX+는/ETM
식으로	식/NNB+으로/JKB
길들였다.	길들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.135.4.2
여러 차례 시행착오를 겪은 끝에 브레닌은 목줄 없이도 저자와 함께 길을 걸을 수 있게 됐다.

여러	여러/MMN
차례	차례/NNG
시행착오를	시행착오/NNG+를/JKO
겪은	겪/VV+은/ETM
끝에	끝/NNG+에/JKB
브레닌은	브레닌/NNP+은/JX
목줄	목줄/NNG
없이도	없이/MAG+도/JX
저자와	저자/NNG+와/JKB
함께	함께/MAG
길을	길/NNG+을/JKO
걸을	걷/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.135.4.3
사람들은 브레닌을 늑대가 아니라 큰 개로 여겼다.

사람들은	사람/NNG+들/XSN+은/JX
브레닌을	브레닌/NNP+을/JKO
늑대가	늑대/NNG+가/JKC
아니라	아니/VCN+라/EC
큰	크/VA+ㄴ/ETM
개로	개/NNG+로/JKB
여겼다.	여기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.135.5.1
그렇게 11년간 야성을 간직한 브레닌과 함께 살면서 저자는 자연스럽게 ‘오래전 같은 길을 걸었을 늑대와 인간이 왜 다른 길로 접어들었을까’를 고찰한다.

그렇게	그렇/VA+게/EC
11년간	11/SN+년/NNB+간/XSN
야성을	야성/NNG+을/JKO
간직한	간직/NNG+하/XSV+ㄴ/ETM
브레닌과	브레닌/NNP+과/JKB
함께	함께/MAG
살면서	살/VV+면서/EC
저자는	저자/NNG+는/JX
자연스럽게	자연/NNG+스럽/XSA+게/EC
‘오래전	‘/SS+오래전/NNG
같은	같/VA+은/ETM
길을	길/NNG+을/JKO
걸었을	걷/VV+었/EP+을/ETM
늑대와	늑대/NNG+와/JC
인간이	인간/NNG+이/JKS
왜	왜/MAG
다른	다른/MMD
길로	길/NNG+로/JKB
접어들었을까’를	접어들/VV+었/EP+을까/EF+’/SS+를/JKO
고찰한다.	고찰/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.135.5.2
그리고 인간, 즉 영장류의 지능은 더 강한 성적 쾌락을 추구하기 위해 속임수와 계략을 쓰게 되면서 발전했는데, 이것이 늑대와 영장류를 갈라놓은 핵심적인 차이라고 인식하게 된다.

그리고	그리고/MAJ
인간,	인간/NNG+,/SP
즉	즉/MAG
영장류의	영장/NNG+류/XSN+의/JKG
지능은	지능/NNG+은/JX
더	더/MAG
강한	강하/VA+ㄴ/ETM
성적	성/NNG+적/XSN
쾌락을	쾌락/NNG+을/JKO
추구하기	추구/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
속임수와	속임수/NNG+와/JC
계략을	계략/NNG+을/JKO
쓰게	쓰/VV+게/EC
되면서	되/VV+면서/EC
발전했는데,	발전/NNG+하/XSV+았/EP+는데/EC+,/SP
이것이	이것/NP+이/JKS
늑대와	늑대/NNG+와/JKB
영장류를	영장/NNG+류/XSN+를/JKO
갈라놓은	갈라놓/VV+은/ETM
핵심적인	핵심/NNG+적/XSN+이/VCP+ㄴ/ETM
차이라고	차이/NNG+이/VCP+라고/EC
인식하게	인식/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.135.6.1
“늑대는 우두머리만이 1년에 한두 번 교미를 한다.

“늑대는	“/SS+늑대/NNG+는/JX
우두머리만이	우두머리/NNG+만/JX+이/JKS
1년에	1/SN+년/NNB+에/JKB
한두	한두/MMN
번	번/NNB
교미를	교미/NNG+를/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.135.6.2
대부분의 늑대는 하고 싶어 하지도 않고 하지 못하는 것에 불만을 표시하지도 않는다.

대부분의	대/XPN+부분/NNG+의/JKG
늑대는	늑대/NNG+는/JX
하고	하/VV+고/EC
싶어	싶/VX+어/EC
하지도	하/VV+지/EC+도/JX
않고	않/VX+고/EC
하지	하/VV+지/EC
못하는	못하/VX+는/ETM
것에	것/NNB+에/JKB
불만을	불만/NNG+을/JKO
표시하지도	표시/NNG+하/XSV+지/EC+도/JX
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000033.135.6.3
브레닌 역시 번식 본능에 의해서만 교미를 원했다.

브레닌	브레닌/NNP
역시	역시/MAG
번식	번식/NNG
본능에	본능/NNG+에/JKB
의해서만	의하/VV+아서/EC+만/JX
교미를	교미/NNG+를/JKO
원했다.	원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.135.6.4
하지만 모든 영장류는 그 쾌락을 안다.

하지만	하지만/MAJ
모든	모든/MMN
영장류는	영장/NNG+류/XSN+는/JX
그	그/MMD
쾌락을	쾌락/NNG+을/JKO
안다.	알/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.135.6.5
늑대에게 쾌락은 번식 본능의 결과물이지만 영장류는 이 관계를 뒤집었다.

늑대에게	늑대/NNG+에게/JKB
쾌락은	쾌락/NNG+은/JX
번식	번식/NNG
본능의	본능/NNG+의/JKG
결과물이지만	결과물/NNG+이/VCP+지만/EC
영장류는	영장/NNG+류/XSN+는/JX
이	이/MMD
관계를	관계/NNG+를/JKO
뒤집었다.	뒤집/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.135.6.6
이 전도된 공식은 속임수와 계략을 향한 영장류의 욕구를 늑대보다 훨씬 강하게 만들었다.”

이	이/MMD
전도된	전도/NNG+되/XSV+ㄴ/ETM
공식은	공식/NNG+은/JX
속임수와	속임수/NNG+와/JC
계략을	계략/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
영장류의	영장/NNG+류/XSN+의/JKG
욕구를	욕구/NNG+를/JKO
늑대보다	늑대/NNG+보다/JKB
훨씬	훨씬/MAG
강하게	강하/VA+게/EC
만들었다.”	만들/VV+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000033.135.7.1
저자에 따르면 ‘감정이 아닌 실체’를 쫓는 것도 늑대가 인간과 다른 점이다.

저자에	저자/NNG+에/JKB
따르면	따르/VV+면/EC
‘감정이	‘/SS+감정/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
실체’를	실체/NNG+’/SS+를/JKO
쫓는	쫓/VV+는/ETM
것도	것/NNB+도/JX
늑대가	늑대/NNG+가/JKS
인간과	인간/NNG+과/JKB
다른	다른/MMD
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.135.7.2
브레닌은 토끼 한 마리를 잡기 위해 15분간 숨죽인 채 기다렸다.

브레닌은	브레닌/NNP+은/JX
토끼	토끼/NNG
한	한/MMN
마리를	마리/NNB+를/JKO
잡기	잡/VV+기/ETN
위해	위하/VV+아/EC
15분간	15/SN+분/NNB+간/XSN
숨죽인	숨죽이/VV+ㄴ/ETM
채	채/NNB
기다렸다.	기다리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.135.7.3
온몸을 경직시켜 다음 순간을 위해 참고 견디는 일이 유쾌하지는 않을 것이다.

온몸을	온몸/NNG+을/JKO
경직시켜	경직/NNG+시키/XSV+어/EC
다음	다음/NNG
순간을	순간/NNG+을/JKO
위해	위하/VV+아/EC
참고	참/VV+고/EC
견디는	견디/VV+는/ETM
일이	일/NNG+이/JKS
유쾌하지는	유쾌/NNG+하/XSA+지/EC+는/JX
않을	않/VX+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.135.7.4
하지만 브레닌은 눈을 반짝이며 토끼 잡는 것, 즉 사냥 자체에서 행복을 느꼈다.

하지만	하지만/MAJ
브레닌은	브레닌/NNP+은/JX
눈을	눈/NNG+을/JKO
반짝이며	반짝이/VV+며/EC
토끼	토끼/NNG
잡는	잡/VV+는/ETM
것,	것/NNB+,/SP
즉	즉/MAG
사냥	사냥/NNG
자체에서	자체/NNG+에서/JKB
행복을	행복/NNG+을/JKO
느꼈다.	느끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.135.7.5
반면 인간은 실체가 아닌 감정을 숭배한다.

반면	반면/NNG
인간은	인간/NNG+은/JX
실체가	실체/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
감정을	감정/NNG+을/JKO
숭배한다.	숭배/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.135.7.6
지금 인간사회를 지배하는 이성과 과학, 도덕과 철학도 결국 ‘감정을 어떻게 조절할까’를 고민한 끝에 태어났다는 분석이다.

지금	지금/MAG
인간사회를	인간/NNG+사회/NNG+를/JKO
지배하는	지배/NNG+하/XSV+는/ETM
이성과	이성/NNG+과/JC
과학,	과학/NNG+,/SP
도덕과	도덕/NNG+과/JC
철학도	철학/NNG+도/JX
결국	결국/MAG
‘감정을	‘/SS+감정/NNG+을/JKO
어떻게	어떻/VA+게/EC
조절할까’를	조절/NNG+하/XSV+ㄹ까/EF+’/SS+를/JKO
고민한	고민/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
태어났다는	태어나/VV+았/EP+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.135.8.1
에피소드 중심으로 풀었지만 일반 에세이처럼 쉽게 읽히진 않는다.

에피소드	에피소드/NNG
중심으로	중심/NNG+으로/JKB
풀었지만	풀/VV+었/EP+지만/EC
일반	일반/NNG
에세이처럼	에세이/NNG+처럼/JKB
쉽게	쉽/VA+게/EC
읽히진	읽히/VV+지/EC+ㄴ/JX
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000033.135.8.2
철학자와 늑대 간의 눈물겨운 우정 이야기를 기대한 독자라면 실망할지 모른다.

철학자와	철학자/NNG+와/JC
늑대	늑대/NNG
간의	간/NNB+의/JKG
눈물겨운	눈물겹/VA+ㄴ/ETM
우정	우정/NNG
이야기를	이야기/NNG+를/JKO
기대한	기대/NNG+하/XSV+ㄴ/ETM
독자라면	독자/NNG+이/VCP+라면/EC
실망할지	실망/NNG+하/XSV+ㄹ지/EC
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.135.8.3
저자는 브레닌이 세상을 떠난 후 태어난 아들의 이름을 브레닌으로 할 만큼 늑대를 사랑했다.

저자는	저자/NNG+는/JX
브레닌이	브레닌/NNP+이/JKS
세상을	세상/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
후	후/NNG
태어난	태어나/VV+ㄴ/ETM
아들의	아들/NNG+의/JKG
이름을	이름/NNG+을/JKO
브레닌으로	브레닌/NNP+으로/JKB
할	하/VV+ㄹ/ETM
만큼	만큼/NNB
늑대를	늑대/NNG+를/JKO
사랑했다.	사랑/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.135.8.4
하지만 이 같은 우정의 술회보다는 브레닌의 특징, 길들이는 과정, 이를 통한 인간 들여다보기가 책의 줄기를 이룬다.

하지만	하지만/MAJ
이	이/MMD
같은	같/VA+은/ETM
우정의	우정/NNG+의/JKG
술회보다는	술회/NNG+보다/JKB+는/JX
브레닌의	브레닌/NNP+의/JKG
특징,	특징/NNG+,/SP
길들이는	길들이/VV+는/ETM
과정,	과정/NNG+,/SP
이를	이/NP+를/JKO
통한	통하/VV+ㄴ/ETM
인간	인간/NNG
들여다보기가	들여다보/VV+기/ETN+가/JKS
책의	책/NNG+의/JKG
줄기를	줄기/NNG+를/JKO
이룬다.	이루/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.135.8.5
브레닌의 잘생긴 얼굴이 책 날개의 저자 소개에 작게 한 컷만 실린 점도 아쉽다.

브레닌의	브레닌/NNP+의/JKG
잘생긴	잘생기/VV+ㄴ/ETM
얼굴이	얼굴/NNG+이/JKS
책	책/NNG
날개의	날개/NNG+의/JKG
저자	저자/NNG
소개에	소개/NNG+에/JKB
작게	작/VA+게/EC
한	한/MMN
컷만	컷/NNG+만/JX
실린	실리/VV+ㄴ/ETM
점도	점/NNG+도/JX
아쉽다.	아쉽/VA+다/EF+./SF


