# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.58
metadata : {}


# id : NWRW1800000033.58.1.1
내년 ‘태양활동 극대기’ 지구촌 비상

내년	내년/NNG
높은	높/VA+은/ETM
에너지를	에너지/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
플라스마	플라스마/NNG
입자가	입자/NNG+가/JKS
우주로	우주/NNG+로/JKB
방출되면서	방출/NNG+되/XSV+면서/EC
우주폭풍이	우주/NNG+폭풍/NNG+이/JKS
발생한다.	발생/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.58.5.1
태양흑점이 가장 많은 시기를 ‘태양 활동 극대기’라고 부른다.

태양흑점이	태양/NNG+흑점/NNG+이/JKS
가장	가장/MAG
많은	많/VA+은/ETM
시기를	시기/NNG+를/JKO
‘태양	‘/SS+태양/NNG
활동	활동/NNG
극대기’라고	극대기/NNG+’/SS+라고/JKQ
부른다.	부르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.58.5.2
태양은 2002∼2003년 극대기를 거친 후 2010년까지 안정된 상태를 보여 왔다.

태양은	태양/NNG+은/JX
2002∼2003년	2002/SN+∼/SO+2003/SN+년/NNB
극대기를	극대기/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
후	후/NNG
2010년까지	2010/SN+년/NNB+까지/JX
안정된	안정/NNG+되/XSV+ㄴ/ETM
상태를	상태/NNG+를/JKO
보여	보이/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.58.5.3
태양 활동이 극대화되면 태양 플레어(Solar Flare·태양 표면에서 돌발적으로 다량의 에너지를 방출하는 현상)와 코로나 질량 방출(태양 표면에서 양성자, 중성자 등이 쏟아지는 현상)이 많아진다.

태양	태양/NNG
활동이	활동/NNG+이/JKS
극대화되면	극대/NNG+화/XSN+되/XSV+면/EC
플레어(Solar	플레어/NNG+(/SS+Solar/SL
Flare·태양	Flare/SL+·/SP+태양/NNG
표면에서	표면/NNG+에서/JKB
돌발적으로	돌발/NNG+적/XSN+으로/JKB
다량의	다량/NNG+의/JKG
에너지를	에너지/NNG+를/JKO
방출하는	방출/NNG+하/XSV+는/ETM
현상)와	현상/NNG+)/SS+와/JC
코로나	코로나/NNG
질량	질량/NNG
방출(태양	방출/NNG+(/SS+태양/NNG
양성자,	양성자/NNG+,/SP
중성자	중성자/NNG
등이	등/NNB+이/JKS
쏟아지는	쏟아지/VV+는/ETM
현상)이	현상/NNG+)/SS+이/JKS
많아진다.	많아지/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.58.5.4
이로 인해 지구 자기권이 교란돼 인공위성과 무선통신에 장애가 발생한다.

이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
지구	지구/NNG
자기권이	자기/NNG+권/XSN+이/JKS
교란돼	교란/NNG+되/XSV+어/EC
인공위성과	인공위성/NNG+과/JC
무선통신에	무선/NNG+통신/NNG+에/JKB
장애가	장애/NNG+가/JKS
발생한다.	발생/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.58.5.5
1989년 태양폭발로 인해 캐나다 퀘벡 주에서 수많은 변압기가 타버려 일대 전력이 마비되기도 했다.

1989년	1989/SN+년/NNB
태양폭발로	태양/NNG+폭발/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
캐나다	캐나다/NNP
퀘벡	퀘벡/NNP
주에서	주/NNG+에서/JKB
수많은	수많/VA+은/ETM
변압기가	변압기/NNG+가/JKS
타버려	타/VV+아/EC+버리/VX+어/EC
일대	일대/NNG
전력이	전력/NNG+이/JKS
마비되기도	마비/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.58.6.1
전문가들은 태양 활동 극대기가 인체에도 악영향을 미칠 수 있다고 지적했다.

전문가들은	전문가/NNG+들/XSN+은/JX
태양	태양/NNG
활동	활동/NNG
극대기가	극대기/NNG+가/JKS
인체에도	인체/NNG+에/JKB+도/JX
악영향을	악영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.58.6.2
문용재 경희대 우주과학과 교수는 “태양폭발로 지구 자기장이 교란되면 인체 전해질에 영향을 미쳐 심장병 등을 악화시킬 수 있다는 연구 결과가 있다”고 말했다.

문용재	문용재/NNP
경희대	경희대/NNP
우주과학과	우주/NNG+과학/NNG+과/NNG
교수는	교수/NNG+는/JX
“태양폭발로	“/SS+태양/NNG+폭발/NNG+로/JKB
지구	지구/NNG
자기장이	자기장/NNG+이/JKS
교란되면	교란/NNG+되/XSV+면/EC
인체	인체/NNG
전해질에	전해질/NNG+에/JKB
영향을	영향/NNG+을/JKO
미쳐	미치/VV+어/EC
심장병	심장병/NNG
등을	등/NNB+을/JKO
악화시킬	악화/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
연구	연구/NNG
결과가	결과/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.58.6.3
또 태양폭발로 발생한 X선과 고에너지 입자로 인해 항공기 탑승객 등 지구 자기장의 보호를 덜 받는 사람은 방사능에 노출될 수 있다.

또	또/MAG
태양폭발로	태양/NNG+폭발/NNG+로/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
X선과	X/SL+선/NNG+과/JC
고에너지	고/XPN+에너지/NNG
입자로	입자/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
항공기	항공기/NNG
탑승객	탑승객/NNG
등	등/NNB
지구	지구/NNG
자기장의	자기장/NNG+의/JKG
보호를	보호/NNG+를/JKO
덜	덜/MAG
받는	받/VV+는/ETM
사람은	사람/NNG+은/JX
방사능에	방사능/NNG+에/JKB
노출될	노출/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.58.7.1
이에 따라 국가우주기상협의체는 우선 태양이 정확히 언제 어떤 규모로 폭발할지를 조사할 방침이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
국가우주기상협의체는	국가우주기상협의체/NNP+는/JX
우선	우선/MAG
태양이	태양/NNG+이/JKS
정확히	정확히/MAG
언제	언제/MAG
어떤	어떤/MMD
규모로	규모/NNG+로/JKB
폭발할지를	폭발/NNG+하/XSV+ㄹ지/EF+를/JKO
조사할	조사/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.58.7.2
국내 88개 관측소에 설치된 전지구위성항법시스템(GNSS)에서 나온 데이터와 해외 인공위성 데이터를 토대로 태양 극대기를 예측, 관찰한 후 △태양폭발 영향이 지구에까지 도달하는 시간 △각종 영향의 범위 등을 우주기상 예측 모델로 계산한다.

국내	국내/NNG
88개	88/SN+개/NNB
관측소에	관측소/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
전지구위성항법시스템(GNSS)에서	전/MMN+지구/NNG+위성/NNG+항법/NNG+시스템/NNG+(/SS+GNSS/SL+)/SS+에서/JKB
나온	나오/VV+ㄴ/ETM
데이터와	데이터/NNG+와/JC
해외	해외/NNG
인공위성	인공위성/NNG
데이터를	데이터/NNG+를/JKO
토대로	토대/NNG+로/JKB
태양	태양/NNG
극대기를	극대기/NNG+를/JKO
예측,	예측/NNG+,/SP
관찰한	관찰/NNG+하/XSV+ㄴ/ETM
후	후/NNG
△태양폭발	△/SW+태양/NNG+폭발/NNG
영향이	영향/NNG+이/JKS
지구에까지	지구/NNG+에/JKB+까지/JX
도달하는	도달/NNG+하/XSV+는/ETM
시간	시간/NNG
△각종	△/SW+각종/NNG
영향의	영향/NNG+의/JKG
범위	범위/NNG
등을	등/NNB+을/JKO
우주기상	우주/NNG+기상/NNG
예측	예측/NNG
모델로	모델/NNG+로/JKB
계산한다.	계산/NNG+하/XSV+ㄴ다/EF+./SF


