# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.364
metadata : {}


# id : NWRW1800000054.364.1.1
安, 반기문측 등 중도·보수인사 영입

安,	安/SH+,/SP
박상규 전 의원은 반 전 총장 귀국 환영 대회 준비위원장, 이 전 의원은 반기문 캠프 정무특보를 지냈다.

박상규	박상규/NNP
전	전/MMD
의원은	의원/NNG+은/JX
반	반/NNP
총장	총장/NNG
귀국	귀국/NNG
환영	환영/NNG
대회	대회/NNG
준비위원장,	준비/NNG+위원장/NNG+,/SP
이	이/NNP
반기문	반기문/NNP
캠프	캠프/NNG
정무특보를	정무/NNG+특보/NNG+를/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.364.4.3
반 전 총장 지지모임 '인망(人望)' 포럼 상임대표로 있는 서규용 전 농림부 장관, 김대중 정부 시절 청와대 외교안보수석을 지냈고 반 전 총장과 가까운 임성준 전 수석도 각각 국정자문위원과 특보로 합류했다.

반	반/NNP
전	전/MMD
총장	총장/NNG
지지모임	지지/NNG+모임/NNG
'인망(人望)'	'/SS+인망/NNG+(/SS+人望/SH+)/SS+'/SS
포럼	포럼/NNG
상임대표로	상임/NNG+대표/NNG+로/JKB
있는	있/VA+는/ETM
서규용	서규용/NNP
농림부	농림부/NNG
장관,	장관/NNG+,/SP
김대중	김대중/NNP
정부	정부/NNG
시절	시절/NNG
청와대	청와대/NNP
외교안보수석을	외교/NNG+안보/NNG+수석/NNG+을/JKO
지냈고	지내/VV+었/EP+고/EC
총장과	총장/NNG+과/JKB
가까운	가깝/VA+ㄴ/ETM
임성준	임성준/NNP
수석도	수석/NNG+도/JX
각각	각각/MAG
국정자문위원과	국정/NNG+자문/NNG+위원/NNG+과/JC
특보로	특보/NNG+로/JKB
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.364.4.4
박지원 대표는 "이들은 반 전 총장이 우리와 함께하는 데 촉매 역할을 할 것"이라고 했다.

박지원	박지원/NNP
대표는	대표/NNG+는/JX
"이들은	"/SS+이/NP+들/XSN+은/JX
반	반/NNP
전	전/MMD
총장이	총장/NNG+이/JKS
우리와	우리/NP+와/JKB
함께하는	함께/MAG+하/XSV+는/ETM
데	데/NNB
촉매	촉매/NNG
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.364.4.5
안 후보의 한 측근은 "반 전 총장 캠프에 몸담았던 사람들 상당수가 조만간 안 후보 지지를 선언하고 캠프에 합류할 예정"이라고 했다.

안	안/NNP
후보의	후보/NNG+의/JKG
한	한/MMN
측근은	측근/NNG+은/JX
"반	"/SS+반/NNP
전	전/MMD
총장	총장/NNG
캠프에	캠프/NNG+에/JKB
몸담았던	몸담/VV+았/EP+던/ETM
사람들	사람/NNG+들/XSN
상당수가	상당수/NNG+가/JKS
조만간	조만간/MAG
후보	후보/NNG
지지를	지지/NNG+를/JKO
선언하고	선언/NNG+하/XSV+고/EC
합류할	합류/NNG+하/XSV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.364.4.6
김대중 정부에서 행정자치부 장관을 지낸 김기재 전 부산시장도 국정자문위원으로 합류했다.

김대중	김대중/NNP
정부에서	정부/NNG+에서/JKB
행정자치부	행정/NNG+자치부/NNG
장관을	장관/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
김기재	김기재/NNP
전	전/MMD
부산시장도	부산시장/NNG+도/JX
국정자문위원으로	국정/NNG+자문/NNG+위원/NNG+으로/JKB
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.364.4.7
노무현 정부 초대 청와대 홍보수석 출신으로 민주당 경선에서 안희정 충남지사를 도왔던 이해성 전 수석도 부산에서 안 후보 지지 의사를 밝혔다.

노무현	노무현/NNP
정부	정부/NNG
초대	초대/NNG
청와대	청와대/NNP
홍보수석	홍보/NNG+수석/NNG
출신으로	출신/NNG+으로/JKB
민주당	민주당/NNP
경선에서	경선/NNG+에서/JKB
안희정	안희정/NNP
충남지사를	충남/NNP+지사/NNG+를/JKO
도왔던	돕/VV+았/EP+던/ETM
이해성	이해성/NNG
전	전/MMD
수석도	수석/NNG+도/JX
부산에서	부산/NNP+에서/JKB
안	안/NNP
후보	후보/NNG
지지	지지/NNG
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.364.4.8
하창우 전 대한변호사협회장은 법률지원단장으로 캠프에 합류했다.

하창우	하창우/NNP
전	전/MMD
대한변호사협회장은	대한변호사협회장/NNP+은/JX
법률지원단장으로	법률/NNG+지원단장/NNG+으로/JKB
캠프에	캠프/NNG+에/JKB
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.364.5.1
무소속 홍의락 의원(대구 북구을)에게도 영입 제안을 했다.

무소속	무/XPN+소속/NNG
홍의락	홍의락/NNP
의원(대구	의원/NNG+(/SS+대구/NNP
북구을)에게도	북구을/NNP+)/SS+에게/JKB+도/JX
영입	영입/NNG
제안을	제안/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.364.5.2
박 대표는 "홍 의원과 13일 통화해 도와달라고 했고 긍정적 답변을 들었으니 기다려보겠다"고 했다.

박	박/NNP
대표는	대표/NNG+는/JX
"홍	"/SS+홍/NNP
의원과	의원/NNG+과/JKB
13일	13/SN+일/NNB
통화해	통화/NNG+하/XSV+아/EC
도와달라고	돕/VV+아/EC+달/VX+라고/EC
했고	하/VV+았/EP+고/EC
긍정적	긍정/NNG+적/XSN
답변을	답변/NNG+을/JKO
들었으니	듣/VV+었/EP+으니/EC
기다려보겠다"고	기다리/VV+어/EC+보/VX+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.364.5.3
이날 정균환, 김영진, 송훈석 등 전직 의원 13명은 국회에서 안 후보 지지 선언을 했다.

이날	이날/NNG
정균환,	정균환/NNP+,/SP
김영진,	김영진/NNP+,/SP
송훈석	송훈석/NNP
등	등/NNB
전직	전직/NNG
의원	의원/NNG
13명은	13/SN+명/NNB+은/JX
국회에서	국회/NNG+에서/JKB
안	안/NNP
후보	후보/NNG
지지	지지/NNG
선언을	선언/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


