# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.322
metadata : {}


# id : NWRW1800000024.322.1.1
중소상인 “기업형 슈퍼 자율협상 절차 거부”

중소상인	중소/NNG+상인/NNG
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.322.4.2
연석회의는 문제의 사업조정 신청 건들에 대해 중기청이 사업조정심의회를 열어 직접 개입할 것을 요구했다.

연석회의는	연석회의/NNG+는/JX
문제의	문제/NNG+의/JKG
사업조정	사업/NNG+조정/NNG
신청	신청/NNG
건들에	건/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
중기청이	중기청/NNG+이/JKS
사업조정심의회를	사업/NNG+조정/NNG+심의회/NNG+를/JKO
열어	열/VV+어/EC
직접	직접/MAG
개입할	개입/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.322.4.3
사업조정 제도는 1960년대 도입됐지만, 중기청은 사업조정심의회를 열지 않고 자율 조정으로만 문제에 접근해왔다.

사업조정	사업/NNG+조정/NNG
제도는	제도/NNG+는/JX
1960년대	1960/SN+년대/NNB
도입됐지만,	도입/NNG+되/XSV+었/EP+지만/EC+,/SP
중기청은	중기청/NNG+은/JX
사업조정심의회를	사업/NNG+조정/NNG+심의회/NNG+를/JKO
열지	열/VV+지/EC
않고	않/VX+고/EC
자율	자율/NNG
조정으로만	조정/NNG+으로/JKB+만/JX
문제에	문제/NNG+에/JKB
접근해왔다.	접근/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.322.5.1
신 위원장은 “대기업과 중소상인들이 자율 협상을 할 기반이 실종되어 버렸다면, 마땅히 중기청이 직접 개입을 해야 한다”며 “중기청은 시도의 무기력한 사업조정 제도 운영을 방치해선 안 된다”고 말했다.

신	신/NNP
위원장은	위원장/NNG+은/JX
“대기업과	“/SS+대/XPN+기업/NNG+과/JC
중소상인들이	중소/NNG+상인/NNG+들/XSN+이/JKS
자율	자율/NNG
협상을	협상/NNG+을/JKO
할	하/VV+ㄹ/ETM
기반이	기반/NNG+이/JKS
실종되어	실종/NNG+되/XSV+어/EC
버렸다면,	버리/VX+었/EP+다면/EC+,/SP
마땅히	마땅히/MAG
중기청이	중기청/NNG+이/JKS
직접	직접/MAG
개입을	개입/NNG+을/JKO
해야	하/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“중기청은	“/SS+중기청/NNG+은/JX
시도의	시도/NNG+의/JKG
무기력한	무/XPN+기력/NNG+하/XSA+ㄴ/ETM
사업조정	사업/NNG+조정/NNG
제도	제도/NNG
운영을	운영/NNG+을/JKO
방치해선	방치/NNG+하/XSV+아서/EC+ㄴ/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


