# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.92
metadata : {}


# id : NWRW1800000046.92.1.1
중국·일본에도 '선플' 수출했습니다

중국·일본에도	중국/NNP+·/SP+일본/NNP+에/JKB+도/JX
'선(善)플'은 악성 댓글인 '악(惡)플'의 반대말로 격려하고 칭찬하는 '착한 댓글'이란 뜻이다.

'선(善)플'은	'/SS+선/NNG+(/SS+善/SH+)/SS+플/NA+'/SS+은/JX
악성	악성/NNG
댓글인	댓글/NNG+이/VCP+ㄴ/ETM
'악(惡)플'의	'/SS+악/NNG+(/SS+惡/SH+)/SS+플/NA+'/SS+의/JKG
반대말로	반대말/NNG+로/JKB
격려하고	격려/NNG+하/XSV+고/EC
칭찬하는	칭찬/NNG+하/XSV+는/ETM
'착한	'/SS+착하/VA+ㄴ/ETM
댓글'이란	댓글/NNG+'/SS+이/VCP+란/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.92.4.5
같은 시각 중국과 일본에서도 '한·중·일 청소년 선플 평화 선언식'이 열렸고, 중국 인민망TV 등을 통해 생중계됐다.

같은	같/VA+은/ETM
시각	시각/NNG
중국과	중국/NNP+과/JC
일본에서도	일본/NNP+에서/JKB+도/JX
'한·중·일	'/SS+한·중·일/NNP
청소년	청소년/NNG
선플	선플/NNG
평화	평화/NNG
선언식'이	선언식/NNG+'/SS+이/JKS
열렸고,	열리/VV+었/EP+고/EC+,/SP
중국	중국/NNP
인민망TV	인민망TV/NNP
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
생중계됐다.	생/XPN+중계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.92.5.1
그 닷새 전에는 국회에서 한·일 대학생이 모여 '사이버 언어폭력 예방'을 주제로 토론회를 개최했다.

그	그/MMD
닷새	닷새/NNG
전에는	전/NNG+에/JKB+는/JX
국회에서	국회/NNG+에서/JKB
한·일	한·일/NNP
대학생이	대학/NNG+생/XSN+이/JKS
모여	모이/VV+어/EC
'사이버	'/SS+사이버/NNG
언어폭력	언어폭력/NNG
예방'을	예방/NNG+'/SS+을/JKO
주제로	주제/NNG+로/JKB
토론회를	토론회/NNG+를/JKO
개최했다.	개최/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.92.5.2
이들은 '선플'의 효과에 대해 의견을 함께했다.

이들은	이/NP+들/XSN+은/JX
'선플'의	'/SS+선플/NNG+'/SS+의/JKG
효과에	효과/NNG+에/JKB
대해	대하/VV+아/EC
의견을	의견/NNG+을/JKO
함께했다.	함께/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.92.6.1
이 두 행사 모두 선플운동본부 이사장인 민병철(65) 건국대 국제학부 교수가 주최했다.

이	이/MMD
두	두/MMN
행사	행사/NNG
모두	모두/MAG
선플운동본부	선플/NNG+운동/NNG+본부/NNG
이사장인	이사장/NNG+이/VCP+ㄴ/ETM
민병철(65)	민병철/NNP+(/SS+65/SN+)/SS
건국대	건국대/NNP
국제학부	국제학부/NNG
교수가	교수/NNG+가/JKS
주최했다.	주최/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.92.6.2
그가 2007년부터 이끌어온 선플 운동이 이웃 나라로까지 확산된 것이다.

그가	그/NP+가/JKS
2007년부터	2007/SN+년/NNB+부터/JX
이끌어온	이끌/VV+어/EC+오/VX+ㄴ/ETM
선플	선플/NNG
운동이	운동/NNG+이/JKS
이웃	이웃/NNG
나라로까지	나라/NNG+로/JKB+까지/JX
확산된	확산/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.92.6.3
"작년 11월에는 중국의 인터넷 관리 기관인 국가인터넷정보판공실이 우리 운동에 공감해 무려 2000만명의 선플 자원봉사단을 모집하기로 했어요.

"작년	"/SS+작년/NNG
11월에는	11/SN+월/NNB+에/JKB+는/JX
중국의	중국/NNP+의/JKG
인터넷	인터넷/NNG
관리	관리/NNG
기관인	기관/NNG+이/VCP+ㄴ/ETM
국가인터넷정보판공실이	국가인터넷정보판공실/NNP+이/JKS
우리	우리/NP
운동에	운동/NNG+에/JKB
공감해	공감/NNG+하/XSV+아/EC
무려	무려/MAG
2000만명의	2000/SN+만/NR+명/NNB+의/JKG
선플	선플/NNG
자원봉사단을	자원봉사단/NNG+을/JKO
모집하기로	모집/NNG+하/XSV+기/ETN+로/JKB
했어요.	하/VV+았/EP+어요/EF+./SF


# id : NWRW1800000046.92.6.4
일본 규슈대 학생들은 '한·일 우호를 다지자'는 선플들을 보내왔고요."

일본	일본/NNP
규슈대	규슈대/NNP
학생들은	학생/NNG+들/XSN+은/JX
'한·일	'/SS+한·일/NNP
우호를	우호/NNG+를/JKO
다지자'는	다지/VV+자/EF+'/SS+는/ETM
선플들을	선플/NNG+들/XSN+을/JKO
보내왔고요."	보내오/VV+았/EP+고/EC+요/JX+./SF+"/SS


# id : NWRW1800000046.92.7.1
생활영어 교육의 대명사인 민 교수가 15일 '결국, 좋은 사람이 성공한다'라는 제목의 책을 냈다.

생활영어	생활/NNG+영어/NNP
교육의	교육/NNG+의/JKG
대명사인	대명사/NNG+이/VCP+ㄴ/ETM
민	민/NNP
교수가	교수/NNG+가/JKS
15일	15/SN+일/NNB
'결국,	'/SS+결국/MAG+,/SP
좋은	좋/VA+은/ETM
사람이	사람/NNG+이/JKS
성공한다'라는	성공/NNG+하/XSV+ㄴ다/EF+'/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
책을	책/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.92.7.2
선플운동본부 이사장으로 활동하며 겪은 일화와 함께 청춘에게 전하는 성공법을 담았다.

선플운동본부	선플/NNG+운동/NNG+본부/NNG
이사장으로	이사장/NNG+으로/JKB
활동하며	활동/NNG+하/XSV+며/EC
겪은	겪/VV+은/ETM
일화와	일화/NNG+와/JKB
함께	함께/MAG
청춘에게	청춘/NNG+에게/JKB
전하는	전하/VV+는/ETM
성공법을	성공법/NNG+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.92.7.3
영어 교재만 50권 넘게 낸 그가 처음 펴낸 자기 계발서다.

영어	영어/NNP
교재만	교재/NNG+만/JX
50권	50/SN+권/NNB
넘게	넘/VV+게/EC
낸	내/VV+ㄴ/ETM
그가	그/NP+가/JKS
처음	처음/NNG
펴낸	펴내/VV+ㄴ/ETM
자기	자기/NNG
계발서다.	계발서/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.92.7.4
부제(副題)는 '민병철의 청춘 멘토링'.

부제(副題)는	부제/NNP+(/SS+副題/SH+)/SS+는/JX
'민병철의	'/SS+민병철/NNP+의/JKG
청춘	청춘/NNG
멘토링'.	멘토링/NNG+'/SS+./SF


# id : NWRW1800000046.92.7.5
그가 제시하는 성공 비법은 '바른 인성'이다.

그가	그/NP+가/JKS
제시하는	제시/NNG+하/XSV+는/ETM
성공	성공/NNG
비법은	비법/NNG+은/JX
'바른	'/SS+바르/VA+ㄴ/ETM
인성'이다.	인성/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.92.8.1
"우리는 빠른 성장과 성공에 몰두한 나머지 인성에는 미처 신경 쓰지 못했어요.

"우리는	"/SS+우리/NP+는/JX
빠른	빠르/VA+ㄴ/ETM
성장과	성장/NNG+과/JC
성공에	성공/NNG+에/JKB
몰두한	몰두/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
인성에는	인성/NNG+에/JKB+는/JX
미처	미처/MAG
신경	신경/NNG
쓰지	쓰/VV+지/EC
못했어요.	못하/VX+았/EP+어요/EF+./SF


# id : NWRW1800000046.92.8.2
그러다 보니 성공과 욕구를 위해 남의 불행과 슬픔을 아랑곳하지 않는 분위기가 만들어져서 사회를 좀먹고 있어요.

그러다	그러/VV+다/EC
보니	보/VX+니/EC
성공과	성공/NNG+과/JC
욕구를	욕구/NNG+를/JKO
위해	위하/VV+아/EC
남의	남/NNG+의/JKG
불행과	불행/NNG+과/JC
슬픔을	슬픔/NNG+을/JKO
아랑곳하지	아랑곳/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
분위기가	분위기/NNG+가/JKS
만들어져서	만들/VV+어/EC+지/VX+어서/EC
사회를	사회/NNG+를/JKO
좀먹고	좀먹/VV+고/EC
있어요.	있/VX+어요/EF+./SF


# id : NWRW1800000046.92.8.3
개인의 능력이 한껏 올라간 요즘엔 바른 인성을 갖춘 사람이 진정한 경쟁력이 있다고 봅니다."

개인의	개인/NNG+의/JKG
능력이	능력/NNG+이/JKS
한껏	한껏/MAG
올라간	올라가/VV+ㄴ/ETM
요즘엔	요즘/NNG+에/JKB+ㄴ/JX
바른	바르/VA+ㄴ/ETM
인성을	인성/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
진정한	진정하/VA+ㄴ/ETM
경쟁력이	경쟁력/NNG+이/JKS
있다고	있/VA+다고/EC
봅니다."	보/VV+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000046.92.9.1
민 교수는 미래에는 바로 이 인성의 가치가 더더욱 높아질 것이라고 확신했다.

민	민/NNP
교수는	교수/NNG+는/JX
미래에는	미래/NNG+에/JKB+는/JX
바로	바로/MAG
이	이/MMD
인성의	인성/NNG+의/JKG
가치가	가치/NNG+가/JKS
더더욱	더더욱/MAG
높아질	높아지/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
확신했다.	확신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.92.9.2
"정보화 시대에 개개인의 인성은 전보다 평가받기가 쉬워졌어요.

"정보화	"/SS+정보/NNG+화/XSN
시대에	시대/NNG+에/JKB
개개인의	개개인/NNG+의/JKG
인성은	인성/NNG+은/JX
전보다	전/NNG+보다/JKB
평가받기가	평가/NNG+받/XSV+기/ETN+가/JKS
쉬워졌어요.	쉽/VA+어/EC+지/VX+었/EP+어요/EF+./SF


# id : NWRW1800000046.92.9.3
SNS를 통해 자기 본바닥을 드러내면서 망신당하는 사례도 많잖아요.

SNS를	SNS/SL+를/JKO
통해	통하/VV+아/EC
자기	자기/NNG
본바닥을	본바닥/NNG+을/JKO
드러내면서	드러내/VV+면서/EC
망신당하는	망신/NNG+당하/XSV+는/ETM
사례도	사례/NNG+도/JX
많잖아요.	많/VA+잖아/EF+요/JX+./SF


# id : NWRW1800000046.92.9.4
선플 운동은 바른 인성을 갖춰 가기 위한 실천 방안의 하나입니다."

선플	선플/NNG
운동은	운동/NNG+은/JX
바른	바르/VA+ㄴ/ETM
인성을	인성/NNG+을/JKO
갖춰	갖추/VV+어/EC
가기	가/VX+기/ETN
위한	위하/VV+ㄴ/ETM
실천	실천/NNG
방안의	방안/NNG+의/JKG
하나입니다."	하나/NR+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000046.92.10.1
착한 댓글 달기는 간단하다.

착한	착하/VA+ㄴ/ETM
댓글	댓글/NNG
달기는	달/VV+기/ETN+는/JX
간단하다.	간단하/VA+다/EF+./SF


# id : NWRW1800000046.92.10.2
근거 없는 악성 댓글을 보면 무엇이 잘못됐는지 차분히 지적한 뒤, 격려하고 응원해주는 내용을 덧붙이는 것이다.

근거	근거/NNG
없는	없/VA+는/ETM
악성	악성/NNG
댓글을	댓글/NNG+을/JKO
보면	보/VV+면/EC
무엇이	무엇/NP+이/JKS
잘못됐는지	잘못/MAG+되/XSV+었/EP+는지/EC
차분히	차분히/MAG
지적한	지적/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
격려하고	격려/NNG+하/XSV+고/EC
응원해주는	응원/NNG+하/XSV+아/EC+주/VX+는/ETM
내용을	내용/NNG+을/JKO
덧붙이는	덧붙이/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.92.10.3
이렇게 8년간 자발적으로 선플에 참여한 청소년들이 남긴 댓글이 600만개가 넘는다.

이렇게	이렇/VA+게/EC
8년간	8/SN+년/NNB+간/XSN
자발적으로	자발/NNG+적/XSN+으로/JKB
선플에	선플/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
청소년들이	청소년/NNG+들/XSN+이/JKS
남긴	남기/VV+ㄴ/ETM
댓글이	댓글/NNG+이/JKS
600만개가	600/SN+만/NR+개/NNB+가/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000046.92.10.4
"그렇다고 무조건 칭찬하자는 것은 아닙니다.

"그렇다고	"/SS+그렇/VA+다고/EC
무조건	무/XPN+조건/NNG
칭찬하자는	칭찬/NNG+하/XSV+자는/ETM
것은	것/NNB+은/JX
아닙니다.	아니/VCN+ㅂ니다/EF+./SF


# id : NWRW1800000046.92.10.5
사실을 쓰고, 상대를 존중하는 태도를 갖자는 거죠."

사실을	사실/NNG+을/JKO
쓰고,	쓰/VV+고/EC+,/SP
상대를	상대/NNG+를/JKO
존중하는	존중/NNG+하/XSV+는/ETM
태도를	태도/NNG+를/JKO
갖자는	갖/VV+자는/ETM
거죠."	거/NNB+이/VCP+죠/EF+./SF+"/SS


# id : NWRW1800000046.92.11.1
평생 생활영어를 보급해온 그가 '선플'이라는 시민운동에 나서자 의아해했던 사람도 사실은 적지 않았다.

평생	평생/NNG
생활영어를	생활/NNG+영어/NNP+를/JKO
보급해온	보급/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
그가	그/NP+가/JKS
'선플'이라는	'/SS+선플/NNG+'/SS+이/VCP+라는/ETM
시민운동에	시민운동/NNG+에/JKB
나서자	나서/VV+자/EC
의아해했던	의아/NNG+하/XSA+아/EC+하/VX+았/EP+던/ETM
사람도	사람/NNG+도/JX
사실은	사실/NNG+은/JX
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.92.11.2
"영어 선생이 선플 운동하는 건 이상할 게 없어요.

"영어	"/SS+영어/NNP
선생이	선생/NNG+이/JKS
선플	선플/NNG
운동하는	운동/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
이상할	이상/NNG+하/XSA+ㄹ/ETM
게	거/NNB+이/JKS
없어요.	없/VA+어요/EF+./SF


# id : NWRW1800000046.92.11.3
언어 교육의 핵심은 '소통' 아닙니까.

언어	언어/NNG
교육의	교육/NNG+의/JKG
핵심은	핵심/NNG+은/JX
'소통'	'/SS+소통/NNG+'/SS
아닙니까.	아니/VCN+ㅂ니까/EF+./SF


# id : NWRW1800000046.92.11.4
악플이야말로 소통의 가장 큰 적(敵)이고요." 선플운동본부 운영비는 대부분 그의 사비로 충당해왔다.

악플이야말로	악플/NNG+이야말로/JX
소통의	소통/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
적(敵)이고요."	적/NNG+(/SS+敵/SH+)/SS+이/VCP+고/EC+요/JX+./SF+"/SS
선플운동본부	선플/NNG+운동/NNG+본부/NNG
운영비는	운영비/NNG+는/JX
대부분	대/XPN+부분/NNG
그의	그/NP+의/JKG
사비로	사비/NNG+로/JKB
충당해왔다.	충당/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.92.11.5
그는 "영어 선생으로 오랜 시간 많은 이에게 사랑받았으니 당연히 해야 할 봉사라고 생각한다"고 말했다.

그는	그/NP+는/JX
"영어	"/SS+영어/NNP
선생으로	선생/NNG+으로/JKB
오랜	오랜/MMA
시간	시간/NNG
많은	많/VA+은/ETM
이에게	이/NNB+에게/JKB
사랑받았으니	사랑/NNG+받/XSV+았/EP+으니/EC
당연히	당연히/MAG
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
봉사라고	봉사/NNG+이/VCP+라고/EC
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


