# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.393
metadata : {}


# id : NWRW1800000026.393.1.1
'위키리크스' 美 외교電文 연일 폭로;유명환(前 외교장관) "北 고위외교관들 비밀리에 한국 망명중"

'위키리크스'	'/SS+위키리크스/NNP+'/SS
혼란스러워지고	혼란/NNG+스럽/XSA+어/EC+지/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.393.2.3
관련기사 A4·16면

관련기사	관련/NNG+기사/NNG
A4·16면	A/SL+4/SN+·/SP+16/SN+면/NNG


# id : NWRW1800000026.393.3.1
또 현재 중국 외교부 부장조리(차관보)를 맡고 있는 청궈핑(程國平)은 카자흐스탄 주재 대사로 있던 작년 6월 8일 현지 미국 대사 리처드 호글랜드와의 만찬 자리에서 "김정은 권력 승계는 주도면밀하게 계획된 전략에 따라 이루어졌다기보다 김정일 국방위원장의 건강악화에 따라 (급하게) 진행되는 것으로 보인다"고 분석하고 "북한이 (권력세습) 계획을 세울 만큼 시간이 없었다"고 말했다.

또	또/MAG
현재	현재/MAG
중국	중국/NNP
외교부	외교부/NNG
부장조리(차관보)를	부장조리/NNG+(/SS+차관보/NNG+)/SS+를/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
청궈핑(程國平)은	청궈핑/NNP+(/SS+程國平/SH+)/SS+은/JX
카자흐스탄	카자흐스탄/NNP
주재	주재/NNG
대사로	대사/NNG+로/JKB
있던	있/VA+던/ETM
작년	작년/NNG
6월	6/SN+월/NNB
8일	8/SN+일/NNB
현지	현지/NNG
미국	미국/NNP
대사	대사/NNG
리처드	리처드/NNP
호글랜드와의	호글랜드/NNP+와/JKB+의/JKG
만찬	만찬/NNG
자리에서	자리/NNG+에서/JKB
"김정은	"/SS+김정은/NNP
권력	권력/NNG
승계는	승계/NNG+는/JX
주도면밀하게	주도면밀하/VA+게/EC
계획된	계획/NNG+되/XSV+ㄴ/ETM
전략에	전략/NNG+에/JKB
따라	따르/VV+아/EC
이루어졌다기보다	이루어지/VV+었/EP+다기/ETN+보다/JKB
김정일	김정일/NNP
국방위원장의	국방/NNG+위원장/NNG+의/JKG
건강악화에	건강/NNG+악화/NNG+에/JKB
(급하게)	(/SS+급하/VA+게/EC+)/SS
진행되는	진행/NNG+되/XSV+는/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
분석하고	분석/NNG+하/XSV+고/EC
"북한이	"/SS+북한/NNP+이/JKS
(권력세습)	(/SS+권력/NNG+세습/NNG+)/SS
계획을	계획/NNG+을/JKO
세울	세우/VV+ㄹ/ETM
만큼	만큼/NNB
시간이	시간/NNG+이/JKS
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.393.4.1
28일부터 25만건에 달하는 미 국무부 외교 전문(電文) 내용을 단계적으로 폭로하고 있는 위키리크스와 뉴욕타임스·가디언 등 서방 언론들은 29일과 30일 북한 관련 내용을 추가로 공개했다.

28일부터	28/SN+일/NNB+부터/JX
25만건에	25/SN+만/NR+건/NNB+에/JKB
달하는	달하/VV+는/ETM
미	미/NNP
국무부	국무부/NNG
외교	외교/NNG
전문(電文)	전문/NNG+(/SS+電文/SH+)/SS
내용을	내용/NNG+을/JKO
단계적으로	단계/NNG+적/XSN+으로/JKB
폭로하고	폭로/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
위키리크스와	위키리크스/NNP+와/JC
뉴욕타임스·가디언	뉴욕타임스/NNP+·/SP+가디언/NNP
등	등/NNB
서방	서방/NNG
언론들은	언론/NNG+들/XSN+은/JX
29일과	29/SN+일/NNB+과/JC
30일	30/SN+일/NNB
북한	북한/NNP
관련	관련/NNG
추가로	추가/NNG+로/JKB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.393.4.2
이 문서에 따르면 지난 2월 천영우 외교 제2차관(현 청와대 외교안보수석)은 캐슬린 스티븐스 주한 미 대사에게 "김정일 사후 2~3년 내에 북한이 붕괴될 것"이라며 "중국의 젊은 세대 지도자들은 한국이 주도하고 미국과 우호적인 동맹으로 연결된 통일한국을 편안하게 받아들일 것"이라고 말했다.

이	이/MMD
문서에	문서/NNG+에/JKB
따르면	따르/VV+면/EC
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
천영우	천영우/NNP
외교	외교/NNG
제2차관(현	제/XPN+2/SN+차관/NNG+(/SS+현/MMD
청와대	청와대/NNP
외교안보수석)은	외교/NNG+안보/NNG+수석/NNG+)/SS+은/JX
캐슬린	캐슬린/NNP
스티븐스	스티븐스/NNP
주한	주한/NNG
미	미/NNP
대사에게	대사/NNG+에게/JKB
"김정일	"/SS+김정일/NNP
사후	사후/NNG
2~3년	2/SN+~/SO+3/SN+년/NNB
내에	내/NNB+에/JKB
북한이	북한/NNP+이/JKS
붕괴될	붕괴/NNG+되/XSV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"중국의	"/SS+중국/NNP+의/JKG
젊은	젊/VA+은/ETM
세대	세대/NNG
지도자들은	지도자/NNG+들/XSN+은/JX
한국이	한국/NNP+이/JKS
주도하고	주도/NNG+하/XSV+고/EC
미국과	미국/NNP+과/JKB
우호적인	우호/NNG+적/XSN+이/VCP+ㄴ/ETM
동맹으로	동맹/NNG+으로/JKB
연결된	연결/NNG+되/XSV+ㄴ/ETM
통일한국을	통일/NNG+한국/NNP+을/JKO
편안하게	편안/NNG+하/XSA+게/EC
받아들일	받아들이/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.393.5.1
현인택 통일부 장관은 작년 7월 20일 커트 캠벨 미 국무부 동아태 차관보와 만나 "김정일은 현재 정권을 확고히 장악하고 있지만 2015년 이후까지 살 수 있을 것 같지는 않다"고 말했다.

현인택	현인택/NNP
통일부	통일부/NNG
장관은	장관/NNG+은/JX
작년	작년/NNG
7월	7/SN+월/NNB
20일	20/SN+일/NNB
커트	커트/NNP
캠벨	캠벨/NNP
미	미/NNP
국무부	국무부/NNG
동아태	동아태/NNP
차관보와	차관보/NNG+와/JKB
만나	만나/VV+아/EC
"김정일은	"/SS+김정일/NNP+은/JX
현재	현재/MAG
정권을	정권/NNG+을/JKO
확고히	확고히/MAG
장악하고	장악/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
2015년	2015/SN+년/NNB
이후까지	이후/NNG+까지/JX
살	살/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같지는	같/VA+지/EC+는/JX
않다"고	않/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.393.5.2
현 장관은 "현재 북한에서 권력 승계 준비 과정이 서둘러 진행되고 있는 것을 주시할 필요가 있다"면서 "현금이 절박한 북한으로서는 핵기술, 심지어 플루토늄까지 잠재적인 구매자에게 팔 가능성이 있다"고 말했다.

현	현/MMD
장관은	장관/NNG+은/JX
"현재	"/SS+현재/MAG
북한에서	북한/NNP+에서/JKB
권력	권력/NNG
승계	승계/NNG
준비	준비/NNG
과정이	과정/NNG+이/JKS
서둘러	서두르/VV+어/EC
진행되고	진행/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
것을	것/NNB+을/JKO
주시할	주시/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"면서	있/VA+다/EF+"/SS+면서/EC
"현금이	"/SS+현금/NNG+이/JKS
절박한	절박하/VA+ㄴ/ETM
북한으로서는	북한/NNP+으로서/JKB+는/JX
핵기술,	핵/NNG+기술/NNG+,/SP
심지어	심지어/MAG
플루토늄까지	플루토늄/NNG+까지/JX
잠재적인	잠재/NNG+적/XSN+이/VCP+ㄴ/ETM
구매자에게	구매자/NNG+에게/JKB
팔	팔/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.393.6.1
한·미 외교 당국자들 사이에 비공개를 전제로 오간 민감한 발언들이 공개되면서 정부와 관련 인사들은 곤혹스러워하고 있다.

한·미	한·미/NNP
외교	외교/NNG
당국자들	당국자/NNG+들/XSN
사이에	사이/NNG+에/JKB
비공개를	비/XPN+공개/NNG+를/JKO
전제로	전제/NNG+로/JKB
오간	오가/VV+ㄴ/ETM
민감한	민감/NNG+하/XSA+ㄴ/ETM
발언들이	발언/NNG+들/XSN+이/JKS
공개되면서	공개/NNG+되/XSV+면서/EC
정부와	정부/NNG+와/JKB
관련	관련/NNG
인사들은	인사/NNG+들/XSN+은/JX
곤혹스러워하고	곤혹/NNG+스럽/XSA+어/EC+하/VX+고/EC
있다.	있/VX+다/EF+./SF


