# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.40
metadata : {}


# id : NWRW1800000048.40.1.1
‘가정용 태양광’ 마트에서 산다

‘가정용	‘/SS+가정/NNG+용/XSN
발전기를	발전기/NNG+를/JKO
설치하면	설치/NNG+하/XSV+면/EC
월	월/NNG
평균	평균/NNG
50㎾의	50/SN+㎾/SW+의/JKG
전기를	전기/NNG+를/JKO
생산할	생산/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.40.5.2
국내 가구당 월 평균 전기료 3만7000원을 기준으로 계산했을 때 월 1만원 가량의 전기료 절감 효과가 있다.

국내	국내/NNG
가구당	가구/NNG+당/XSN
월	월/NNG
평균	평균/NNG
전기료	전기료/NNG
3만7000원을	3/SN+만/NR+7000/SN+원/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
계산했을	계산/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
1만원	1/SN+만/NR+원/NNB
가량의	가량/XSN+의/JKG
절감	절감/NNG
효과가	효과/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.40.5.3
누진요금제의 영향으로 전력 사용량이 많을수록 전기료 절감 효과가 더 크다.

누진요금제의	누진/NNG+요금/NNG+제/XSN+의/JKG
영향으로	영향/NNG+으로/JKB
전력	전력/NNG
사용량이	사용량/NNG+이/JKS
많을수록	많/VA+을수록/EC
전기료	전기료/NNG
절감	절감/NNG
효과가	효과/NNG+가/JKS
더	더/MAG
크다.	크/VA+다/EF+./SF


# id : NWRW1800000048.40.5.4
한 번 설치로 10~15년 정도 사용할 수 있다.

한	한/MMN
번	번/NNB
설치로	설치/NNG+로/JKB
10~15년	10/SN+~/SO+15/SN+년/NNB
정도	정도/NNG
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


