# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.134
metadata : {}


# id : NWRW1800000041.134.1.1
[책의 향기]“취학前 아이들은 도서관 데려가지 말라”

[책의	[/SS+책/NNG+의/JKG
전달자’,	전달자/NNG+’/SS+,/SP
‘해리포터’	‘/SS+해리포터/NNP+’/SS
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
책과	책/NNG+과/JKB
함께	함께/MAG
소개하면서	소개/NNG+하/XSV+면서/EC
곳곳에서	곳곳/NNG+에서/JKB
다음과	다음/NNG+과/JKB
같은	같/VA+은/ETM
파격적인	파격/NNG+적/XSN+이/VCP+ㄴ/ETM
조언도	조언/NNG+도/JX
서슴지	서슴/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.134.5.1
“초등학교 취학 전의 아이들은 도서관에 데려가지 마세요.”

“초등학교	“/SS+초등학교/NNG
취학	취학/NNG
전의	전/NNG+의/JKG
아이들은	아이/NNG+들/XSN+은/JX
도서관에	도서관/NNG+에/JKB
데려가지	데려가/VV+지/EC
마세요.”	말/VX+시/EP+어요/EF+./SF+”/SS


# id : NWRW1800000041.134.6.1
호기심이 한창 많을 아이가 부모의 조급한 마음에 억지로 읽기 교육을 받으면 오히려 책과 멀어진다.

호기심이	호기심/NNG+이/JKS
한창	한창/MAG
많을	많/VA+을/ETM
아이가	아이/NNG+가/JKS
부모의	부모/NNG+의/JKG
조급한	조급하/VA+ㄴ/ETM
마음에	마음/NNG+에/JKB
억지로	억지로/MAG
읽기	읽기/NNG
교육을	교육/NNG+을/JKO
받으면	받/VV+으면/EC
오히려	오히려/MAG
책과	책/NNG+과/JKB
멀어진다.	멀어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.134.6.2
시각보다는 촉각 후각 청각 등 다른 감각을 먼저 훈련해야 한다.

시각보다는	시각/NNG+보다/JKB+는/JX
촉각	촉각/NNG
후각	후각/NNG
청각	청각/NNG
등	등/NNB
다른	다른/MMD
감각을	감각/NNG+을/JKO
먼저	먼저/MAG
훈련해야	훈련/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.134.6.3
그래야 아이가 커서 시각 정보도 잘 받아들이게 된다.

그래야	그러/VV+어야/EC
아이가	아이/NNG+가/JKS
커서	크/VA+어서/EC
시각	시각/NNG
정보도	정보/NNG+도/JX
잘	잘/MAG
받아들이게	받아들이/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.134.7.1
이는 ‘책 읽기의 의미’와도 연결된다.

이는	이/NP+는/JX
‘책	‘/SS+책/NNG
읽기의	읽/VV+기/ETN+의/JKG
의미’와도	의미/NNG+’/SS+와/JKB+도/JX
연결된다.	연결/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.134.7.2
저자는 인간이 삶을 통해 터득한 원리를 담은 모든 것이 넒은 의미에서 책이라고 강조한다.

저자는	저자/NNG+는/JX
인간이	인간/NNG+이/JKS
삶을	삶/NNG+을/JKO
통해	통하/VV+아/EC
터득한	터득/NNG+하/XSV+ㄴ/ETM
원리를	원리/NNG+를/JKO
담은	담/VV+은/ETM
모든	모든/MMN
것이	것/NNB+이/JKS
넒은	넒/VA+은/ETM
의미에서	의미/NNG+에서/JKB
책이라고	책/NNG+이/VCP+라고/EC
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.134.7.3
CD, 전자책, 노래, 숲과의 교감까지도 하나의 책이 될 수 있다.

CD,	CD/SL+,/SP
전자책,	전자책/NNG+,/SP
노래,	노래/NNG+,/SP
숲과의	숲/NNG+과/JKB+의/JKG
교감까지도	교감/NNG+까지/JX+도/JX
하나의	하나/NR+의/JKG
책이	책/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.134.7.4
또 Library(도서관)의 기원 역시 고대 그리스어 ‘libr(기록을 남기는 천)’와 ‘ary(공간)’가 합쳐진 단어라고 설명한다.

또	또/MAG
Library(도서관)의	Library/SL+(/SS+도서관/NNG+)/SS+의/JKG
기원	기원/NNG
역시	역시/MAG
고대	고대/NNG
그리스어	그리스어/NNP
‘libr(기록을	‘/SS+libr/SL+(/SS+기록/NNG+을/JKO
남기는	남기/VV+는/ETM
천)’와	천/NNG+)/SS+’/SS+와/JC
‘ary(공간)’가	‘/SS+ary/SL+(/SS+공간/NNG+)/SS+’/SS+가/JKS
합쳐진	합치/VV+어/EC+지/VX+ㄴ/ETM
단어라고	단어/NNG+이/VCP+라고/EC
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.134.7.5
즉 기록이 있는 모든 공간이 도서관이다.

즉	즉/MAG
기록이	기록/NNG+이/JKS
있는	있/VA+는/ETM
모든	모든/MMN
공간이	공간/NNG+이/JKS
도서관이다.	도서관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.134.7.6
책 읽기와 도서관을 특정 개념에 가둬두지 말고 확장시켜야 한다는 메시지로 들린다.

책	책/NNG
읽기와	읽/VV+기/ETN+와/JC
도서관을	도서관/NNG+을/JKO
특정	특정/NNG
개념에	개념/NNG+에/JKB
가둬두지	가두/VV+어/EC+두/VX+지/EC
말고	말/VX+고/EC
확장시켜야	확장/NNG+시키/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
메시지로	메시지/NNG+로/JKB
들린다.	들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.134.8.1
‘정보’를 넘어선 ‘가치’를 읽는 법도 소개된다.

‘정보’를	‘/SS+정보/NNG+’/SS+를/JKO
넘어선	넘어서/VV+ㄴ/ETM
‘가치’를	‘/SS+가치/NNG+’/SS+를/JKO
읽는	읽/VV+는/ETM
법도	법/NNB+도/JX
소개된다.	소개/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.134.8.2
일단 책을 바로 읽지 말아야 한다.

일단	일단/MAG
책을	책/NNG+을/JKO
바로	바로/MAG
읽지	읽/VV+지/EC
말아야	말/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.134.8.3
먼저 제목을 보면서 연상되는 이미지를 떠올려 본다.

먼저	먼저/MAG
제목을	제목/NNG+을/JKO
보면서	보/VV+면서/EC
연상되는	연상/NNG+되/XSV+는/ETM
이미지를	이미지/NNG+를/JKO
떠올려	떠올리/VV+어/EC
본다.	보/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.134.8.4
목차를 보면서 저자가 견지하는 바를 파악한 후 읽기 시작한다.

목차를	목차/NNG+를/JKO
보면서	보/VV+면서/EC
저자가	저자/NNG+가/JKS
견지하는	견지/NNG+하/XSV+는/ETM
바를	바/NNB+를/JKO
파악한	파악/NNG+하/XSV+ㄴ/ETM
후	후/NNG
읽기	읽/VV+기/ETN
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.134.8.5
이런 훈련을 하다 보면 책 읽는 속도를 높일 뿐 아니라 책의 본질적 의미도 알게 된다고 저자는 설명한다.

이런	이런/MMD
훈련을	훈련/NNG+을/JKO
하다	하/VV+다/EC
보면	보/VX+면/EC
책	책/NNG
읽는	읽/VV+는/ETM
속도를	속도/NNG+를/JKO
높일	높이/VV+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
책의	책/NNG+의/JKG
본질적	본질/NNG+적/XSN
의미도	의미/NNG+도/JX
알게	알/VV+게/EC
된다고	되/VV+ㄴ다고/EC
저자는	저자/NNG+는/JX
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


