# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.173
metadata : {}


# id : NWRW1800000049.173.1.1
친부는… ‘야누스 목사’

친부는…	친부/NNG+는/JX+…/SE
# id : NWRW1800000049.173.6.1
이 씨는 경찰 체포 직전 출강하는 대학 관계자에게 “딸이 죽기 전날 밤 가출하고 돌아와 밤늦게까지 식구들끼리 서로 부둥켜안고 울며 참회했다.

이	이/NNP
씨는	씨/NNB+는/JX
경찰	경찰/NNG
체포	체포/NNG
직전	직전/NNG
출강하는	출강/NNG+하/XSV+는/ETM
대학	대학/NNG
관계자에게	관계자/NNG+에게/JKB
“딸이	“/SS+딸/NNG+이/JKS
죽기	죽/VV+기/ETN
전날	전날/NNG
밤	밤/NNG
가출하고	가출/NNG+하/XSV+고/EC
돌아와	돌아오/VV+아/EC
밤늦게까지	밤늦/VA+게/EC+까지/JX
식구들끼리	식구/NNG+들/XSN+끼리/XSN
서로	서로/MAG
부둥켜안고	부둥켜안/VV+고/EC
울며	울/VV+며/EC
참회했다.	참회/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.173.6.2
딸이 잠자리에 드는 걸 보고 잤는데 아침에 깨어 보니 죽어 있었다”며 “딸이 자살한 것 같다”고 주장했다.

딸이	딸/NNG+이/JKS
잠자리에	잠자리/NNG+에/JKB
드는	들/VV+는/ETM
걸	거/NNB+ㄹ/JKO
보고	보/VV+고/EC
잤는데	자/VV+았/EP+는데/EC
아침에	아침/NNG+에/JKB
깨어	깨/VV+어/EC
보니	보/VX+니/EC
죽어	죽/VV+어/EC
있었다”며	있/VX+었/EP+다/EF+”/SS+며/EC
“딸이	“/SS+딸/NNG+이/JKS
자살한	자살/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.173.6.3
이 관계자는 동아일보 기자와 만나 “이 씨가 ‘막내딸의 방황이 너무 심했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
동아일보	동아일보/NNP
기자와	기자/NNG+와/JKB
만나	만나/VV+아/EC
“이	“/SS+이/NNP
씨가	씨/NNB+가/JKS
‘막내딸의	‘/SS+막내딸/NNG+의/JKG
방황이	방황/NNG+이/JKS
너무	너무/MAG
심했다.	심하/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.173.6.4
툭하면 가출해 여러 차례 잡아왔다.

툭하면	툭하면/MAG
가출해	가출/NNG+하/XSV+아/EC
여러	여러/MMN
차례	차례/NNG
잡아왔다.	잡/VV+아/EC+오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.173.6.5
타이르고 혼을 내도 소용이 없었다’고 토로했다”고 전했다.

타이르고	타이르/VV+고/EC
혼을	혼/NNG+을/JKO
내도	내/VV+어도/EC
소용이	소용/NNG+이/JKS
없었다’고	없/VA+었/EP+다/EF+’/SS+고/JKQ
토로했다”고	토로/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.173.7.1
하지만 이 씨의 말을 곧이곧대로 믿는다 해도 친부가 숨진 딸을 약 11개월이나 집 안에 방치한 것은 납득하기 어렵다.

하지만	하지만/MAJ
이	이/NNP
씨의	씨/NNB+의/JKG
말을	말/NNG+을/JKO
곧이곧대로	곧이곧대로/MAG
믿는다	믿/VV+는다/EF
해도	하/VV+아도/EC
친부가	친부/NNG+가/JKS
숨진	숨지/VV+ㄴ/ETM
딸을	딸/NNG+을/JKO
약	약/MMA
11개월이나	11/SN+개월/NNB+이나/JX
집	집/NNG
안에	안/NNG+에/JKB
방치한	방치/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
납득하기	납득/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000049.173.7.2
게다가 이 씨는 주변에 딸의 일탈과 방황에 대한 고민만 털어놓았지 빗자루 등으로 폭행한 사실은 철저히 감췄다.

게다가	게다가/MAG
이	이/NNP
씨는	씨/NNB+는/JX
주변에	주변/NNG+에/JKB
딸의	딸/NNG+의/JKG
일탈과	일탈/NNG+과/JC
방황에	방황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
고민만	고민/NNG+만/JX
털어놓았지	털어놓/VV+았/EP+지/EC
빗자루	빗자루/NNG
등으로	등/NNB+으로/JKB
폭행한	폭행/NNG+하/XSV+ㄴ/ETM
사실은	사실/NNG+은/JX
철저히	철저히/MAG
감췄다.	감추/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.173.8.1
이 양이 학대받았다는 사실은 딸의 친구가 아니었더라면 모를 뻔했다.

이	이/NNP
양이	양/NNB+이/JKS
학대받았다는	학대/NNG+받/XSV+았/EP+다는/ETM
사실은	사실/NNG+은/JX
딸의	딸/NNG+의/JKG
친구가	친구/NNG+가/JKC
아니었더라면	아니/VCN+었/EP+더라면/EC
모를	모르/VV+ㄹ/ETM
뻔했다.	뻔/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000049.173.8.2
이 양의 절친한 친구 A 양이 경찰에 “친구가 지난해 3월 15일 가출한 직후 만났는데 종아리와 손에 멍 자국이 있었다.

이	이/NNP
양의	양/NNB+의/JKG
절친한	절친하/VA+ㄴ/ETM
친구	친구/NNG
A	A/SL
양이	양/NNB+이/JKS
경찰에	경찰/NNG+에/JKB
“친구가	“/SS+친구/NNG+가/JKS
지난해	지난해/NNG
3월	3/SN+월/NNB
15일	15/SN+일/NNB
가출한	가출/NNG+하/XSV+ㄴ/ETM
직후	직후/NNG
만났는데	만나/VV+았/EP+는데/EC
종아리와	종아리/NNG+와/JC
손에	손/NNG+에/JKB
멍	멍/NNG
자국이	자국/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.173.8.3
물어 보니 ‘전날 맞았다’고 말했다”고 증언하면서 이 양 시신 유기 사건이 드러났다.

물어	묻/VV+어/EC
보니	보/VX+니/EC
‘전날	‘/SS+전날/NNG
맞았다’고	맞/VV+았/EP+다/EF+’/SS+고/JKQ
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
증언하면서	증언/NNG+하/XSV+면서/EC
이	이/NNP
양	양/NNB
시신	시신/NNG
유기	유기/NNG
사건이	사건/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.173.8.4
A 양은 본보에 “그 친구가 지난해 3월 사망하기 전 마지막 가출했을 때 초등학교 담임선생님을 찾아간 이유도 갈 데가 딱히 없어서 그랬다”고 말했다.

A	A/SL
양은	양/NNB+은/JX
본보에	본보/NNG+에/JKB
“그	“/SS+그/MMD
친구가	친구/NNG+가/JKS
지난해	지난해/NNG
3월	3/SN+월/NNB
사망하기	사망/NNG+하/XSV+기/ETN
전	전/NNG
마지막	마지막/NNG
가출했을	가출/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
초등학교	초등학교/NNG
담임선생님을	담임/NNG+선생/NNG+님/XSN+을/JKO
찾아간	찾아가/VV+ㄴ/ETM
이유도	이유/NNG+도/JX
갈	가/VV+ㄹ/ETM
데가	데/NNB+가/JKS
딱히	딱히/MAG
없어서	없/VA+어서/EC
그랬다”고	그러/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.173.8.5
이 양과 함께 학교를 다닌 친구들은 “평소 표정이 어두웠고 말수가 적은 편”이었다고 했다.

이	이/NNP
양과	양/NNB+과/JKB
함께	함께/MAG
학교를	학교/NNG+를/JKO
다닌	다니/VV+ㄴ/ETM
친구들은	친구/NNG+들/XSN+은/JX
“평소	“/SS+평소/NNG
표정이	표정/NNG+이/JKS
어두웠고	어둡/VA+었/EP+고/EC
말수가	말수/NNG+가/JKS
적은	적/VA+은/ETM
편”이었다고	편/NNB+”/SS+이/VCP+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.173.8.6
친한 친구에게만 가끔 밝은 모습을 보였다고 한다.

친한	친하/VA+ㄴ/ETM
친구에게만	친구/NNG+에게/JKB+만/JX
가끔	가끔/MAG
밝은	밝/VA+은/ETM
모습을	모습/NNG+을/JKO
보였다고	보이/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.173.9.1
이 양은 부모와의 갈등을 피해 2012년경부터 계모의 여동생 백모 씨(39) 집에서 지냈다.

이	이/NNP
양은	양/NNB+은/JX
부모와의	부모/NNG+와/JKB+의/JKG
갈등을	갈등/NNG+을/JKO
피해	피하/VV+아/EC
2012년경부터	2012/SN+년/NNB+경/XSN+부터/JX
계모의	계모/NNG+의/JKG
여동생	여동생/NNG
백모	백/NNP+모/NP
씨(39)	씨/NNB+(/SS+39/SN+)/SS
집에서	집/NNG+에서/JKB
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.173.9.2
그곳에서도 폭력의 굴레를 벗어나지 못했다.

그곳에서도	그곳/NP+에서/JKB+도/JX
폭력의	폭력/NNG+의/JKG
굴레를	굴레/NNG+를/JKO
벗어나지	벗어나/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.173.9.3
A 양은 “친구가 ‘함께 살던 계모의 여동생도 무섭고 엄하다’고 토로했다”고 말했다.

A	A/SL
양은	양/NNB+은/JX
“친구가	“/SS+친구/NNG+가/JKS
‘함께	‘/SS+함께/MAG
살던	살/VV+던/ETM
계모의	계모/NNG+의/JKG
여동생도	여동생/NNG+도/JX
무섭고	무섭/VA+고/EC
엄하다’고	엄하/VA+다/EF+’/SS+고/JKQ
토로했다”고	토로/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.173.9.4
백 씨의 딸도 “엄마가 언니(이 양)가 무슨 잘못을 저질렀다며 자주 혼냈다”고 했다.

백	백/NNP
씨의	씨/NNB+의/JKG
딸도	딸/NNG+도/JX
“엄마가	“/SS+엄마/NNG+가/JKS
언니(이	언니/NNG+(/SS+이/NNP
양)가	양/NNB+)/SS+가/JKS
무슨	무슨/MMD
잘못을	잘못/NNG+을/JKO
저질렀다며	저지르/VV+었/EP+다며/EC
자주	자주/MAG
혼냈다”고	혼내/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


