# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.190
metadata : {}


# id : NWRW1800000037.190.1.1
[휴지통]회삿돈 47억 빼돌린 뒤 ‘페이스오프’

[휴지통]회삿돈	[/SS+휴지통/NNG+]/SS+회삿돈/NNG
달랐기	다르/VA+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.190.4.3
경찰 조사 결과 윤 씨는 지난달 21일 500만 원을 들여 코를 높이고 눈을 확대하는 성형수술로 ‘페이스오프’(얼굴을 감쪽같이 바꾸는 것)를 시도했다.

경찰	경찰/NNG
조사	조사/NNG
결과	결과/NNG
윤	윤/NNP
씨는	씨/NNB+는/JX
지난달	지난달/NNG
21일	21/SN+일/NNB
500만	500/SN+만/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
코를	코/NNG+를/JKO
높이고	높이/VV+고/EC
눈을	눈/NNG+을/JKO
확대하는	확대/NNG+하/XSV+는/ETM
성형수술로	성형/NNG+수술/NNG+로/JKB
‘페이스오프’(얼굴을	‘/SS+페이스오프/NNG+’/SS+(/SS+얼굴/NNG+을/JKO
감쪽같이	감쪽같이/MAG
바꾸는	바꾸/VV+는/ETM
것)를	것/NNB+)/SS+를/JKO
시도했다.	시도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.190.4.4
피부의 주름살과 잡티까지 제거해 지인이 아니면 알아보기 어려울 정도였다.

피부의	피부/NNG+의/JKG
주름살과	주름살/NNG+과/JC
잡티까지	잡티/NNG+까지/JX
제거해	제거/NNG+하/XSV+아/EC
지인이	지인/NNG+이/JKC
아니면	아니/VCN+면/EC
알아보기	알아보/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.190.5.1
윤 씨의 도주 행각은 변화무쌍했다.

윤	윤/NNP
씨의	씨/NNB+의/JKG
도주	도주/NNG
행각은	행각/NNG+은/JX
변화무쌍했다.	변화무쌍/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000037.190.5.2
그는 지난달 4일 오전 9시경 아산시 회사에 출근하자마자 회삿돈 47억 원을 자신과 지인의 계좌로 빼돌린 뒤 곧바로 서울로 상경해 회사가 지급 정지한 금액을 제외한 33억6000만 원을 현금으로 찾았다.

그는	그/NP+는/JX
지난달	지난달/NNG
4일	4/SN+일/NNB
오전	오전/NNG
9시경	9/SN+시/NNB+경/XSN
아산시	아산시/NNP
회사에	회사/NNG+에/JKB
출근하자마자	출근/NNG+하/XSV+자마자/EC
회삿돈	회삿돈/NNG
47억	47/SN+억/NR
원을	원/NNB+을/JKO
자신과	자신/NNG+과/JC
지인의	지인/NNG+의/JKG
계좌로	계좌/NNG+로/JKB
빼돌린	빼돌리/VV+ㄴ/ETM
뒤	뒤/NNG
곧바로	곧바로/MAG
서울로	서울/NNP+로/JKB
상경해	상경/NNG+하/XSV+아/EC
회사가	회사/NNG+가/JKS
지급	지급/NNG
정지한	정지/NNG+하/XSV+ㄴ/ETM
금액을	금액/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
33억6000만	33/SN+억/NR+6000/SN+만/NR
현금으로	현금/NNG+으로/JKB
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.190.5.3
통장 명의를 빌려준 신모 씨(34) 등 2명과 함께 강남의 특급호텔에 머물며 백화점에서 명품 쇼핑을 했다.

통장	통장/NNG
명의를	명의/NNG+를/JKO
빌려준	빌려주/VV+ㄴ/ETM
신모	신/NNP+모/NP
씨(34)	씨/NNB+(/SS+34/SN+)/SS
등	등/NNB
2명과	2/SN+명/NNB+과/JKB
함께	함께/MAG
강남의	강남/NNP+의/JKG
특급호텔에	특급/NNG+호텔/NNG+에/JKB
머물며	머물/VV+며/EC
백화점에서	백화점/NNG+에서/JKB
명품	명품/NNG
쇼핑을	쇼핑/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.190.5.4
경찰이 수배에 나서자 고향 부근인 광주로 내려가 원룸을 얻고 폐쇄회로(CC)TV 8대를 설치해 주위를 감시했다.

경찰이	경찰/NNG+이/JKS
수배에	수배/NNG+에/JKB
나서자	나서/VV+자/EC
고향	고향/NNG
부근인	부근/NNG+이/VCP+ㄴ/ETM
광주로	광주/NNP+로/JKB
내려가	내려가/VV+아/EC
원룸을	원룸/NNG+을/JKO
얻고	얻/VV+고/EC
폐쇄회로(CC)TV	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS+TV/SL
8대를	8/SN+대/NNB+를/JKO
설치해	설치/NNG+하/XSV+아/EC
주위를	주위/NNG+를/JKO
감시했다.	감시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.190.5.5
그러고는 남은 약 27억 원 가운데 11억 원을 무안군 은신처에, 16억 원을 고향인 신안군 섬마을 야산에 숨기는 치밀함을 보였다.

그러고는	그러/VV+고는/EC
남은	남/VV+은/ETM
약	약/MMA
27억	27/SN+억/NR
원	원/NNB
가운데	가운데/NNG
11억	11/SN+억/NR
원을	원/NNB+을/JKO
무안군	무안군/NNP
은신처에,	은신처/NNG+에/JKB+,/SP
16억	16/SN+억/NR
고향인	고향/NNG+이/VCP+ㄴ/ETM
신안군	신안군/NNP
섬마을	섬마을/NNG
야산에	야산/NNG+에/JKB
숨기는	숨기/VV+는/ETM
치밀함을	치밀하/VA+ㅁ/ETN+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.190.5.6
경찰은 21일 윤 씨에 대해 횡령 혐의로 구속영장을 신청했다.

경찰은	경찰/NNG+은/JX
21일	21/SN+일/NNB
윤	윤/NNP
씨에	씨/NNB+에/JKB
대해	대하/VV+아/EC
횡령	횡령/NNG
혐의로	혐의/NNG+로/JKB
구속영장을	구속/NNG+영장/NNG+을/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


