# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.351
metadata : {}


# id : NWRW1800000030.351.1.1
[수도권III] 성남시 "구도심 재개발때 고도제한 완화"

[수도권III]	[/SS+수도/NNG+권/XSN+III/SL+]/SS
이루어질	이루어지/VV+ㄹ/ETM
경우	경우/NNG
▲1단계	▲/SW+1/SN+단계/NNG
재개발사업	재/XPN+개발/NNG+사업/NNG
단대구역은	단대구역/NNP+은/JX
전체	전체/NNG
220억원대,	220/SN+억/NR+원/NNB+대/XSN+,/SP
세대별	세대/NNG+별/XSN
3000만원대,	3000/SN+만/NR+원/NNB+대/XSN+,/SP
중동3구역의	중동/NNP+3/SN+구역/NNG+의/JKG
150억원대,	150/SN+억/NR+원/NNB+대/XSN+,/SP
가구별	가구/NNG+별/XSN
4000만원대의	4000/SN+만/NR+원/NNB+대/XSN+의/JKG
사업성	사업/NNG+성/XSN
개선효과가	개선/NNG+효과/NNG+가/JKS
▲2단계	▲/SW+2/SN+단계/NNG
주택재개발사업의	주택/NNG+재/XPN+개발/NNG+사업/NNG+의/JKG
신흥2구역	신흥2구역/NNP
1080억원대	1080/SN+억/NR+원/NNB+대/XSN
5000만원대,	5000/SN+만/NR+원/NNB+대/XSN+,/SP
중1구역	중1구역/NNP
410억원대	410/SN+억/NR+원/NNB+대/XSN
금광1구역	금광1구역/NNP
1020억원대	1020/SN+억/NR+원/NNB+대/XSN
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.351.8.1
이재명 성남시장은 "향후 위례신도시 사업권조정과 자산매각 등으로 시 재정을 확충하고 사업성 악화로 어려움을 겪고 있는 재개발사업에 우선 투입해 본시가지 정비를 통한 지역 균형개발에 역점을 둘 것"이라며 "원가정산방식의 불합리한 부분을 개선할 수 있도록 LH공사와 협의해 나갈 방침"이라고 말했다.

이재명	이재명/NNP
성남시장은	성남시장/NNG+은/JX
"향후	"/SS+향후/NNG
위례신도시	위례신도시/NNP
사업권조정과	사업/NNG+권/XSN+조정/NNG+과/JC
자산매각	자산/NNG+매각/NNG
등으로	등/NNB+으로/JKB
시	시/NNG
재정을	재정/NNG+을/JKO
확충하고	확충/NNG+하/XSV+고/EC
사업성	사업/NNG+성/XSN
악화로	악화/NNG+로/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
재개발사업에	재/XPN+개발/NNG+사업/NNG+에/JKB
우선	우선/MAG
투입해	투입/NNG+하/XSV+아/EC
본시가지	본시가지/NNG
정비를	정비/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
지역	지역/NNG
균형개발에	균형/NNG+개발/NNG+에/JKB
역점을	역점/NNG+을/JKO
둘	두/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"원가정산방식의	"/SS+원가/NNG+정산/NNG+방식/NNG+의/JKG
불합리한	불/XPN+합리/NNG+하/XSA+ㄴ/ETM
부분을	부분/NNG+을/JKO
개선할	개선/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
LH공사와	LH공사/NNP+와/JKB
협의해	협의/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
방침"이라고	방침/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


