# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.66
metadata : {}


# id : NWRW1800000044.66.1.1
“박 대통령, 여학생처럼 고자질” 일 노다 전 총리 인터뷰 논란

“박	“/SS+박/NNP
만날	만나/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
중국의	중국/NNP+의/JKG
해양진출을	해양/NNG+진출/NNG+을/JKO
견제하는	견제/NNG+하/XSV+는/ETM
발언을	발언/NNG+을/JKO
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
질문에	질문/NNG+에/JKB
대해	대하/VV+아/EC
“한국의	“/SS+한국/NNP+의/JKG
대통령이	대통령/NNG+이/JKS
미국이나	미국/NNP+이나/JC
유럽에서	유럽/NNP+에서/JKB
‘여학생의	‘/SS+여학생/NNG+의/JKG
고자질	고자/NNG+질/XSN
외교’로	외교/NNG+’/SS+로/JKB
일본을	일본/NNP+을/JKO
비판하는	비판/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
똑같이	똑같이/MAG
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.66.5.2
중국도 그렇게 생각할 것이다.

중국도	중국/NNP+도/JX
그렇게	그렇/VA+게/EC
생각할	생각/NNG+하/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.66.5.3
역시 (하고 싶은 말이 있으면) 정상들이 만나서 직접 하지 않으면 안 된다.

역시	역시/MAG
(하고	(/SS+하/VV+고/EC
싶은	싶/VX+은/ETM
말이	말/NNG+이/JKS
있으면)	있/VA+으면/EC+)/SS
정상들이	정상/NNG+들/XSN+이/JKS
만나서	만나/VV+아서/EC
직접	직접/MAG
하지	하/VV+지/EC
않으면	않/VX+으면/EC
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.66.5.4
‘고자질 외교’는 서로 그만두는 게 좋다”고 말했다.

‘고자질	‘/SS+고자/NNG+질/XSN
외교’는	외교/NNG+’/SS+는/JX
서로	서로/MAG
그만두는	그만두/VV+는/ETM
게	거/NNB+이/JKS
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.66.6.1
그동안 일본에선 박 대통령이 아베 총리와 정상회담은 하지 않으며 제3국 정상들과 회담에서 일본을 비판하는 것에 대해 비판 의견이 많았다.

그동안	그동안/NNG
일본에선	일본/NNP+에서/JKB+ㄴ/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
아베	아베/NNP
총리와	총리/NNG+와/JKB
정상회담은	정상/NNG+회담/NNG+은/JX
하지	하/VV+지/EC
않으며	않/VX+으며/EC
제3국	제3국/NNG
정상들과	정상/NNG+들/XSN+과/JKB
회담에서	회담/NNG+에서/JKB
일본을	일본/NNP+을/JKO
비판하는	비판/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
비판	비판/NNG
의견이	의견/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000044.66.6.2
노다 총리는 일본인 스스로가 비판해 온 행동을 아베 총리가 되풀이하고 있다고 일침을 놓은 셈이다.

노다	노다/NNP
총리는	총리/NNG+는/JX
일본인	일본인/NNG
스스로가	스스로/NNG+가/JKS
비판해	비판/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
행동을	행동/NNG+을/JKO
아베	아베/NNP
총리가	총리/NNG+가/JKS
되풀이하고	되풀이/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
일침을	일침/NNG+을/JKO
놓은	놓/VV+은/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.66.6.3
그러나 한국 누리꾼들은 이 발언을 ‘망언’이라 부르며 한국 정부에 대응 조처를 요구하는 등 민감한 반응을 보이고 있다.

그러나	그러나/MAJ
한국	한국/NNP
누리꾼들은	누리/NNG+꾼/XSN+들/XSN+은/JX
이	이/MMD
발언을	발언/NNG+을/JKO
‘망언’이라	‘/SS+망언/NNG+’/SS+이라/JKQ
부르며	부르/VV+며/EC
정부에	정부/NNG+에/JKB
대응	대응/NNG
조처를	조처/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
등	등/NNB
민감한	민감/NNG+하/XSA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.66.7.1
한편, 노다 총리는 재임기에 추진된 위안부 문제 해결을 위한 한국 정부와 교섭 비화도 소개했다.

한편,	한편/MAG+,/SP
노다	노다/NNP
총리는	총리/NNG+는/JX
재임기에	재임기/NNG+에/JKB
추진된	추진/NNG+되/XSV+ㄴ/ETM
위안부	위안부/NNG
문제	문제/NNG
해결을	해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
한국	한국/NNP
정부와	정부/NNG+와/JKB
교섭	교섭/NNG
비화도	비화/NNG+도/JX
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.66.7.2
당시 노다 정부는 사이토 쓰요시 관방부장관을 통해 △위안부 할머니들에 대한 주한 일본대사의 직접 사죄 △정상회담에서 일본 정부가 취할 인도적 조처 설명 △일본 정부의 예산으로 위로금 지급 등의 안을 제시했다.

당시	당시/NNG
노다	노다/NNP
정부는	정부/NNG+는/JX
사이토	사이토/NNP
쓰요시	쓰요시/NNP
관방부장관을	관방/NNG+부장관/NNG+을/JKO
통해	통하/VV+아/EC
△위안부	△/SW+위안부/NNG
할머니들에	할머니/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
주한	주한/NNG
일본대사의	일본/NNP+대사/NNG+의/JKG
직접	직접/NNG
사죄	사죄/NNG
△정상회담에서	△/SW+정상/NNG+회담/NNG+에서/JKB
일본	일본/NNP
정부가	정부/NNG+가/JKS
취할	취하/VV+ㄹ/ETM
인도적	인도/NNG+적/XSN
조처	조처/NNG
설명	설명/NNG
△일본	△/SW+일본/NNP
정부의	정부/NNG+의/JKG
예산으로	예산/NNG+으로/JKB
위로금	위로금/NNG
지급	지급/NNG
등의	등/NNB+의/JKG
안을	안/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.66.7.3
노다 총리는 이에 대해 “사이토 부장관이 아이디어 차원에서 이를 제시했으나 상대(한국) 쪽에서 반응이 오지 않았다.

노다	노다/NNP
총리는	총리/NNG+는/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
“사이토	“/SS+사이토/NNP
부장관이	부장관/NNG+이/JKS
아이디어	아이디어/NNG
차원에서	차원/NNG+에서/JKB
이를	이/NP+를/JKO
제시했으나	제시/NNG+하/XSV+았/EP+으나/EC
상대(한국)	상대/NNG+(/SS+한국/NNP+)/SS
쪽에서	쪽/NNB+에서/JKB
반응이	반응/NNG+이/JKS
오지	오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.66.7.4
그 무렵 이명박 대통령의 독도 방문이 이어진 것”이라고 설명했다.

그	그/MMD
무렵	무렵/NNB
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
독도	독도/NNP
방문이	방문/NNG+이/JKS
이어진	이어지/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.66.7.5
노다 총리가 한국과 있었던 위안부 교섭의 경위를 설명한 것은 이번이 처음이다.

노다	노다/NNP
총리가	총리/NNG+가/JKS
한국과	한국/NNP+과/JKB
있었던	있/VA+었/EP+던/ETM
위안부	위안부/NNG
교섭의	교섭/NNG+의/JKG
경위를	경위/NNG+를/JKO
설명한	설명/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


